Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",52.77,53.36,50.06,50.85,"1,377,600",50.85
"Jun 10, 2016",40.78,58.93,39.25,53.00,"3,556,300",53.00
"Jun 9, 2016",41.32,42.74,41.12,41.47,"236,300",41.47
"Jun 8, 2016",42.62,42.76,41.00,41.88,"250,900",41.88
"Jun 7, 2016",43.35,43.62,41.91,42.61,"339,900",42.61
"Jun 6, 2016",43.63,43.88,37.75,43.78,"949,500",43.78
"Jun 3, 2016",48.86,48.86,43.18,43.78,"404,300",43.78
"Jun 2, 2016",48.56,49.99,46.98,49.34,"370,700",49.34
"Jun 1, 2016",47.20,48.97,46.97,48.79,"281,800",48.79
"May 31, 2016",46.89,47.84,45.92,47.53,"225,600",47.53
"May 27, 2016",46.39,48.11,44.84,46.73,"250,300",46.73
"May 26, 2016",48.83,49.49,46.34,46.55,"218,700",46.55
"May 25, 2016",49.57,50.77,47.95,48.99,"455,400",48.99
"May 24, 2016",48.49,49.48,47.93,49.39,"378,900",49.39
"May 23, 2016",46.25,47.77,46.04,47.65,"341,300",47.65
"May 20, 2016",44.83,46.32,44.38,46.32,"349,800",46.32
"May 19, 2016",45.39,46.38,43.81,44.41,"386,100",44.41
"May 18, 2016",42.84,46.41,42.84,45.88,"366,500",45.88
"May 17, 2016",43.88,44.18,42.48,43.16,"438,700",43.16
"May 16, 2016",42.15,44.64,41.95,44.20,"430,500",44.20
"May 13, 2016",39.96,42.53,39.74,42.26,"319,900",42.26
"May 12, 2016",38.70,40.63,37.30,40.05,"386,100",40.05
"May 11, 2016",41.67,42.76,38.36,38.48,"322,600",38.48
"May 10, 2016",40.31,42.84,39.27,42.03,"431,500",42.03
"May 9, 2016",37.52,43.20,37.50,40.09,"536,100",40.09
"May 6, 2016",36.04,36.95,34.70,35.75,"370,300",35.75
"May 5, 2016",37.89,37.89,35.91,36.26,"267,500",36.26
"May 4, 2016",40.62,40.87,37.39,37.58,"365,500",37.58
"May 3, 2016",38.87,42.01,38.85,40.91,"364,900",40.91
"May 2, 2016",38.00,39.67,36.66,39.61,"248,000",39.61
"Apr 29, 2016",38.86,39.65,37.78,37.86,"195,600",37.86
"Apr 28, 2016",39.59,40.99,38.81,39.25,"229,300",39.25
"Apr 27, 2016",40.08,40.61,38.25,39.65,"188,800",39.65
"Apr 26, 2016",41.30,42.33,39.03,40.30,"199,800",40.30
"Apr 25, 2016",41.20,43.29,40.85,41.30,"237,100",41.30
"Apr 22, 2016",40.12,41.78,40.12,41.06,"278,700",41.06
"Apr 21, 2016",37.50,43.88,37.37,41.01,"485,100",41.01
"Apr 20, 2016",37.21,37.92,36.20,37.51,"145,400",37.51
"Apr 19, 2016",38.30,38.80,36.85,37.07,"155,900",37.07
"Apr 18, 2016",37.07,38.69,36.58,38.48,"178,400",38.48
"Apr 15, 2016",37.08,37.58,36.76,37.22,"132,300",37.22
"Apr 14, 2016",36.82,37.38,36.12,36.81,"167,700",36.81
"Apr 13, 2016",33.86,36.98,33.86,36.89,"340,700",36.89
"Apr 12, 2016",36.50,36.50,33.02,34.00,"797,200",34.00
"Apr 11, 2016",40.00,40.27,36.39,36.39,"478,200",36.39
"Apr 8, 2016",41.23,41.23,38.91,40.04,"266,500",40.04
"Apr 7, 2016",40.13,41.77,39.24,40.61,"415,300",40.61
"Apr 6, 2016",39.63,41.25,39.03,40.30,"522,700",40.30
"Apr 5, 2016",39.65,40.69,38.96,39.16,"1,370,700",39.16
"Apr 4, 2016",40.76,41.70,39.77,39.94,"222,300",39.94
"Apr 1, 2016",40.12,40.90,39.60,40.67,"330,000",40.67
"Mar 31, 2016",38.45,40.98,38.45,40.50,"320,300",40.50
"Mar 30, 2016",40.14,40.75,37.90,39.06,"358,200",39.06
"Mar 29, 2016",37.37,39.82,35.82,39.77,"401,700",39.77
"Mar 28, 2016",35.47,38.38,35.10,37.85,"585,600",37.85
"Mar 24, 2016",41.00,41.50,37.55,38.68,"572,100",38.68
"Mar 23, 2016",43.29,43.41,40.60,41.43,"362,000",41.43
"Mar 22, 2016",41.59,43.48,41.16,43.29,"418,000",43.29
"Mar 21, 2016",42.71,43.13,40.46,41.24,"725,500",41.24
"Mar 18, 2016",45.01,45.75,40.50,43.50,"2,481,300",43.50
"Mar 17, 2016",57.03,57.03,52.72,53.68,"638,600",53.68
"Mar 16, 2016",55.58,58.00,55.00,56.69,"261,600",56.69
"Mar 15, 2016",59.47,60.19,55.50,56.06,"381,600",56.06
"Mar 14, 2016",61.81,62.54,60.26,60.35,"375,300",60.35
"Mar 11, 2016",61.24,62.57,59.32,61.81,"495,600",61.81
