Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",16.61,17.12,16.15,16.68,"8,144,400",16.68
"Jun 10, 2016",17.72,17.87,16.40,16.48,"11,331,900",16.48
"Jun 9, 2016",17.65,18.29,17.50,18.00,"7,647,200",18.00
"Jun 8, 2016",17.71,17.78,17.25,17.72,"5,482,400",17.72
"Jun 7, 2016",17.17,17.86,16.21,17.62,"11,737,700",17.62
"Jun 6, 2016",17.52,18.10,16.97,17.96,"9,195,500",17.96
"Jun 3, 2016",17.59,17.94,16.75,17.59,"8,789,700",17.59
"Jun 2, 2016",16.64,17.82,16.57,17.44,"14,203,600",17.44
"Jun 1, 2016",15.69,17.24,15.51,16.62,"10,735,600",16.62
"May 31, 2016",15.51,16.05,15.48,15.81,"7,845,900",15.81
"May 27, 2016",15.72,16.05,15.36,15.38,"9,606,600",15.38
"May 26, 2016",15.31,15.38,14.81,15.22,"6,177,500",15.22
"May 25, 2016",15.57,15.76,15.13,15.31,"7,021,400",15.31
"May 24, 2016",15.33,15.61,14.78,15.44,"6,935,700",15.44
"May 23, 2016",15.51,15.95,15.11,15.16,"7,136,400",15.16
"May 20, 2016",14.74,15.93,14.73,15.44,"11,081,400",15.44
"May 19, 2016",15.44,16.01,14.31,14.77,"11,685,500",14.77
"May 18, 2016",14.99,15.81,14.92,15.57,"11,755,900",15.57
"May 17, 2016",14.48,15.20,14.24,15.17,"12,009,200",15.17
"May 16, 2016",14.05,14.45,13.61,14.30,"9,406,800",14.30
"May 13, 2016",13.42,14.33,13.31,14.05,"11,768,900",14.05
"May 12, 2016",13.81,13.90,12.56,13.45,"19,890,200",13.45
"May 11, 2016",15.41,15.53,13.50,13.55,"22,244,400",13.55
"May 10, 2016",15.42,16.00,15.29,15.52,"13,590,400",15.52
"May 9, 2016",16.06,16.22,15.25,15.27,"19,343,600",15.27
"May 6, 2016",17.40,18.00,15.50,16.17,"57,769,700",16.17
"May 5, 2016",27.40,27.53,25.80,26.59,"7,705,200",26.59
"May 4, 2016",27.85,28.07,26.61,27.37,"5,698,600",27.37
"May 3, 2016",27.40,28.67,27.06,28.13,"7,151,200",28.13
"May 2, 2016",27.03,27.20,26.06,27.18,"4,745,100",27.18
"Apr 29, 2016",28.29,28.36,26.75,27.00,"5,779,400",27.00
"Apr 28, 2016",28.88,29.48,28.16,28.27,"4,790,600",28.27
"Apr 27, 2016",29.46,29.76,28.57,28.88,"3,749,700",28.88
"Apr 26, 2016",30.34,30.72,28.35,29.47,"7,720,500",29.47
"Apr 25, 2016",33.08,33.25,29.88,30.04,"12,564,700",30.04
"Apr 22, 2016",32.21,35.34,32.21,33.98,"11,663,700",33.98
"Apr 21, 2016",28.79,32.09,28.79,31.83,"9,830,200",31.83
"Apr 20, 2016",28.73,29.59,28.01,28.42,"7,080,800",28.42
"Apr 19, 2016",29.01,30.00,28.32,28.75,"6,860,000",28.75
"Apr 18, 2016",26.28,28.59,25.90,28.49,"7,689,100",28.49
"Apr 15, 2016",27.08,27.41,26.14,26.33,"5,799,800",26.33
"Apr 14, 2016",27.21,27.55,26.54,27.16,"4,449,200",27.16
"Apr 13, 2016",26.14,27.32,25.82,27.14,"6,643,500",27.14
"Apr 12, 2016",25.33,27.03,25.23,26.25,"9,113,900",26.25
"Apr 11, 2016",28.48,28.50,25.67,26.03,"12,495,000",26.03
"Apr 8, 2016",29.29,29.63,27.86,28.30,"5,361,400",28.30
"Apr 7, 2016",29.23,31.36,28.82,29.07,"11,931,400",29.07
"Apr 6, 2016",27.03,29.28,26.95,29.23,"9,745,400",29.23
"Apr 5, 2016",27.85,28.09,26.54,26.91,"8,791,700",26.91
"Apr 4, 2016",29.28,29.71,28.36,28.41,"5,617,000",28.41
"Apr 1, 2016",27.77,29.03,27.60,28.68,"6,888,000",28.68
"Mar 31, 2016",28.55,28.90,25.98,28.15,"15,615,200",28.15
"Mar 30, 2016",29.22,29.51,28.43,28.45,"3,704,500",28.45
"Mar 29, 2016",28.29,29.49,27.84,28.96,"6,552,700",28.96
"Mar 28, 2016",29.60,29.73,28.21,28.27,"4,820,100",28.27
"Mar 24, 2016",29.58,30.22,29.00,29.63,"4,124,400",29.63
"Mar 23, 2016",30.87,31.55,29.87,29.93,"6,633,100",29.93
"Mar 22, 2016",28.59,30.97,28.53,30.81,"10,216,900",30.81
"Mar 21, 2016",29.61,31.27,28.28,28.84,"11,787,100",28.84
"Mar 18, 2016",30.55,31.36,29.50,29.84,"9,758,600",29.84
"Mar 17, 2016",32.40,32.65,27.45,30.03,"20,893,400",30.03
"Mar 16, 2016",33.38,36.95,32.03,33.91,"13,775,500",33.91
"Mar 15, 2016",40.72,40.98,32.48,32.57,"17,422,000",32.57
"Mar 14, 2016",42.45,42.60,41.51,42.08,"2,547,800",42.08
"Mar 11, 2016",41.33,42.51,40.82,42.40,"6,119,500",42.40
"Mar 10, 2016",41.60,42.12,39.64,40.40,"7,213,200",40.40
"Mar 9, 2016",42.87,43.56,41.68,41.79,"6,191,900",41.79
"Mar 8, 2016",44.00,44.61,42.58,42.66,"3,273,700",42.66
"Mar 7, 2016",42.37,45.00,42.20,44.58,"5,605,400",44.58
"Mar 4, 2016",43.25,43.69,41.63,42.44,"5,644,700",42.44
"Mar 3, 2016",43.15,44.00,42.82,43.17,"5,661,800",43.17
"Mar 2, 2016",43.05,43.98,42.13,43.85,"6,576,900",43.85
"Mar 1, 2016",42.40,43.15,40.09,42.19,"11,916,300",42.19
"Feb 29, 2016",50.47,50.56,39.97,41.81,"22,684,200",41.81
"Feb 26, 2016",53.04,54.79,52.80,52.94,"4,345,000",52.94
"Feb 25, 2016",51.35,52.79,51.22,52.67,"2,718,200",52.67
"Feb 24, 2016",49.53,51.19,48.51,51.02,"1,699,800",51.02
"Feb 23, 2016",50.04,51.45,49.83,50.22,"1,877,600",50.22
"Feb 22, 2016",50.61,51.68,49.72,50.44,"2,697,100",50.44
"Feb 19, 2016",50.48,51.32,49.43,50.26,"3,411,200",50.26
"Feb 18, 2016",52.49,52.50,50.34,51.03,"3,455,600",51.03
"Feb 17, 2016",52.59,53.74,51.58,52.76,"2,748,400",52.76
"Feb 16, 2016",51.11,51.80,50.26,51.58,"2,996,600",51.58
"Feb 12, 2016",49.39,50.19,47.66,50.09,"3,039,700",50.09
"Feb 11, 2016",49.75,50.20,47.50,48.49,"6,317,300",48.49
"Feb 10, 2016",52.61,53.26,50.98,51.00,"2,640,600",51.00
"Feb 9, 2016",49.93,53.24,49.31,52.22,"4,745,800",52.22
"Feb 8, 2016",53.25,53.25,48.00,50.65,"6,491,100",50.65
"Feb 5, 2016",53.89,56.71,52.09,53.87,"6,581,600",53.87
"Feb 4, 2016",54.57,55.43,53.37,54.30,"3,080,800",54.30
