Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",23.24,23.60,22.90,23.03,"193,100",23.03
"Jun 10, 2016",23.18,23.40,22.58,23.33,"198,000",23.33
"Jun 9, 2016",23.90,24.30,23.45,23.53,"182,700",23.53
"Jun 8, 2016",24.39,24.51,23.83,24.05,"193,900",24.05
"Jun 7, 2016",25.13,25.13,24.24,24.31,"279,700",24.31
"Jun 6, 2016",25.58,25.71,24.72,25.25,"397,100",25.25
"Jun 3, 2016",25.81,26.17,25.18,25.42,"322,000",25.42
"Jun 2, 2016",25.09,25.97,24.97,25.97,"264,600",25.97
"Jun 1, 2016",24.46,25.27,24.16,25.13,"272,500",25.13
"May 31, 2016",24.39,25.00,24.21,24.53,"265,900",24.53
"May 27, 2016",23.16,24.40,22.86,24.39,"267,900",24.39
"May 26, 2016",23.62,23.74,23.02,23.19,"327,400",23.19
"May 25, 2016",24.27,24.56,23.59,23.79,"223,700",23.79
"May 24, 2016",23.68,24.35,23.64,24.24,"193,900",24.24
"May 23, 2016",23.60,24.86,23.33,23.45,"311,600",23.45
"May 20, 2016",23.16,24.04,23.12,23.74,"207,800",23.74
"May 19, 2016",23.65,23.76,22.84,23.05,"304,500",23.05
"May 18, 2016",23.48,23.97,23.05,23.64,"237,600",23.64
"May 17, 2016",24.31,24.67,23.26,23.44,"441,800",23.44
"May 16, 2016",24.59,25.36,24.04,24.46,"489,500",24.46
"May 13, 2016",24.15,25.08,23.91,24.57,"260,900",24.57
"May 12, 2016",24.13,24.40,23.41,23.92,"452,200",23.92
"May 11, 2016",24.44,25.36,24.04,24.08,"359,200",24.08
"May 10, 2016",23.00,25.33,23.00,24.52,"742,400",24.52
"May 9, 2016",25.00,25.86,24.94,25.45,"261,100",25.45
"May 6, 2016",24.91,25.10,24.30,24.97,"305,300",24.97
"May 5, 2016",25.20,25.46,24.25,25.03,"264,400",25.03
"May 4, 2016",25.72,25.80,24.89,25.06,"316,700",25.06
"May 3, 2016",27.15,27.54,25.90,25.94,"481,300",25.94
"May 2, 2016",29.44,29.44,26.42,27.54,"588,000",27.54
"Apr 29, 2016",29.66,29.73,28.81,29.20,"260,900",29.20
"Apr 28, 2016",31.50,31.54,29.45,29.77,"607,400",29.77
"Apr 27, 2016",31.23,32.08,30.01,31.81,"242,000",31.81
"Apr 26, 2016",31.92,31.92,30.21,31.36,"208,400",31.36
"Apr 25, 2016",31.60,32.49,31.60,31.91,"159,100",31.91
