Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",11.72,11.90,11.39,11.50,"302,400",11.50
"Jun 10, 2016",12.02,12.26,11.64,11.87,"408,000",11.87
"Jun 9, 2016",12.82,12.95,12.20,12.26,"202,500",12.26
"Jun 8, 2016",12.65,13.11,12.43,12.99,"209,000",12.99
"Jun 7, 2016",12.74,13.46,12.34,12.58,"449,000",12.58
"Jun 6, 2016",12.26,13.00,11.90,12.90,"449,100",12.90
"Jun 3, 2016",12.75,12.96,12.12,12.16,"516,000",12.16
"Jun 2, 2016",11.81,13.02,11.81,12.88,"475,800",12.88
"Jun 1, 2016",11.00,11.90,10.82,11.82,"827,900",11.82
"May 31, 2016",10.99,11.38,10.65,11.06,"373,800",11.06
"May 27, 2016",10.62,10.88,10.38,10.86,"143,600",10.86
"May 26, 2016",10.82,10.82,10.48,10.55,"123,200",10.55
"May 25, 2016",10.77,11.19,10.52,10.80,"265,900",10.80
"May 24, 2016",10.35,10.77,10.27,10.69,"249,400",10.69
"May 23, 2016",9.95,10.41,9.95,10.25,"195,500",10.25
"May 20, 2016",9.39,10.04,9.35,9.94,"204,300",9.94
"May 19, 2016",9.74,10.00,9.18,9.33,"234,200",9.33
"May 18, 2016",9.36,9.97,9.36,9.82,"193,100",9.82
"May 17, 2016",9.46,9.88,9.30,9.47,"342,600",9.47
"May 16, 2016",9.07,9.72,9.07,9.58,"226,000",9.58
"May 13, 2016",8.97,9.19,8.81,9.00,"204,400",9.00
"May 12, 2016",9.34,9.76,8.77,8.96,"245,100",8.96
"May 11, 2016",9.66,9.88,9.23,9.25,"209,100",9.25
"May 10, 2016",10.27,10.28,9.48,9.68,"317,100",9.68
"May 9, 2016",9.04,10.30,8.84,10.16,"379,300",10.16
"May 6, 2016",8.96,9.44,8.96,9.33,"232,200",9.33
"May 5, 2016",9.60,10.14,8.84,9.07,"386,200",9.07
"May 4, 2016",9.65,9.68,9.09,9.50,"578,300",9.50
"May 3, 2016",10.52,10.68,9.86,9.88,"419,900",9.88
"May 2, 2016",10.51,10.90,10.28,10.67,"422,300",10.67
"Apr 29, 2016",11.00,11.35,10.32,10.42,"308,000",10.42
"Apr 28, 2016",11.05,11.58,10.82,11.06,"220,900",11.06
"Apr 27, 2016",11.00,11.33,10.30,11.16,"392,700",11.16
"Apr 26, 2016",12.23,12.24,10.97,11.03,"314,800",11.03
"Apr 25, 2016",12.62,12.75,12.10,12.12,"171,200",12.12
"Apr 22, 2016",12.48,12.60,12.05,12.59,"270,000",12.59
"Apr 21, 2016",12.04,12.58,11.99,12.38,"246,500",12.38
"Apr 20, 2016",12.18,12.62,11.93,12.11,"195,800",12.11
"Apr 19, 2016",12.71,12.72,11.85,12.12,"235,500",12.12
"Apr 18, 2016",12.60,12.92,12.39,12.71,"267,700",12.71
"Apr 15, 2016",12.63,13.00,12.52,12.88,"178,400",12.88
"Apr 14, 2016",12.94,13.13,12.60,12.70,"252,300",12.70
"Apr 13, 2016",12.46,13.00,12.39,12.85,"256,700",12.85
"Apr 12, 2016",12.12,12.40,11.79,12.35,"268,600",12.35
"Apr 11, 2016",12.48,12.81,11.85,12.15,"272,500",12.15
"Apr 8, 2016",12.97,13.08,12.24,12.40,"297,100",12.40
"Apr 7, 2016",13.05,13.46,12.44,12.71,"344,700",12.71
"Apr 6, 2016",12.49,13.37,12.42,13.20,"570,200",13.20
"Apr 5, 2016",12.40,13.41,12.11,12.34,"593,300",12.34
"Apr 4, 2016",11.91,12.66,11.80,12.33,"432,500",12.33
"Apr 1, 2016",12.01,12.52,11.69,11.89,"356,300",11.89
"Mar 31, 2016",11.62,12.94,11.62,12.12,"592,400",12.12
"Mar 30, 2016",11.44,12.35,11.32,11.51,"361,800",11.51
"Mar 29, 2016",10.43,11.38,10.01,11.32,"374,700",11.32
"Mar 28, 2016",10.82,10.85,10.18,10.49,"139,100",10.49
"Mar 24, 2016",10.41,10.83,9.88,10.72,"264,600",10.72
"Mar 23, 2016",11.54,11.85,10.50,10.51,"223,100",10.51
"Mar 22, 2016",11.04,11.89,10.77,11.67,"376,900",11.67
"Mar 21, 2016",10.91,11.39,10.81,11.08,"367,100",11.08
"Mar 18, 2016",10.09,11.00,9.99,10.96,"636,600",10.96
"Mar 17, 2016",9.89,10.24,9.30,10.02,"349,600",10.02
"Mar 16, 2016",10.20,10.46,9.66,9.86,"193,100",9.86
"Mar 15, 2016",10.92,10.92,9.90,10.21,"346,600",10.21
"Mar 14, 2016",10.95,11.90,10.75,11.09,"678,500",11.09
"Mar 11, 2016",10.03,10.35,9.67,10.31,"348,200",10.31
"Mar 10, 2016",9.43,10.15,9.35,9.92,"568,300",9.92
"Mar 9, 2016",9.54,9.76,8.50,9.51,"660,200",9.51
"Mar 8, 2016",10.30,10.30,9.33,9.39,"404,000",9.39
"Mar 7, 2016",9.55,10.48,9.34,10.26,"362,700",10.26
"Mar 4, 2016",9.70,10.23,9.45,9.60,"286,800",9.60
"Mar 3, 2016",9.49,10.28,9.16,9.64,"278,900",9.64
"Mar 2, 2016",9.09,9.62,8.80,9.52,"425,500",9.52
