Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",16.57,17.65,15.95,16.17,"302,300",16.17
"Jun 10, 2016",17.36,17.36,16.56,16.74,"183,900",16.74
"Jun 9, 2016",17.83,18.13,17.22,17.75,"160,200",17.75
"Jun 8, 2016",18.56,19.57,17.98,18.03,"220,100",18.03
"Jun 7, 2016",18.22,18.69,17.74,18.31,"210,700",18.31
"Jun 6, 2016",17.06,18.67,16.35,18.50,"333,300",18.50
"Jun 3, 2016",18.39,18.39,16.89,16.95,"325,900",16.95
"Jun 2, 2016",17.67,18.47,17.54,18.38,"321,700",18.38
"Jun 1, 2016",17.03,17.99,16.52,17.74,"291,300",17.74
"May 31, 2016",16.49,17.74,16.47,17.12,"358,600",17.12
"May 27, 2016",15.59,16.40,15.47,16.36,"261,300",16.36
"May 26, 2016",15.64,15.67,15.35,15.58,"168,600",15.58
"May 25, 2016",15.35,15.75,15.05,15.63,"243,500",15.63
"May 24, 2016",15.22,15.41,14.85,15.28,"328,100",15.28
"May 23, 2016",14.97,15.59,14.88,15.02,"268,500",15.02
"May 20, 2016",14.24,15.16,14.13,15.08,"213,800",15.08
"May 19, 2016",14.35,15.07,13.96,14.25,"296,400",14.25
"May 18, 2016",14.50,15.35,14.44,14.47,"355,900",14.47
"May 17, 2016",15.48,15.90,14.45,14.65,"347,400",14.65
"May 16, 2016",14.75,15.84,14.70,15.52,"202,300",15.52
"May 13, 2016",14.39,15.21,14.36,14.71,"169,100",14.71
"May 12, 2016",15.05,15.22,13.93,14.41,"326,800",14.41
"May 11, 2016",15.58,15.80,14.78,14.93,"279,000",14.93
"May 10, 2016",15.69,15.99,15.13,15.67,"167,900",15.67
"May 9, 2016",15.11,15.79,14.82,15.38,"251,600",15.38
"May 6, 2016",14.21,15.04,14.15,14.85,"357,300",14.85
"May 5, 2016",14.80,15.00,14.12,14.35,"373,600",14.35
"May 4, 2016",15.35,15.44,13.50,14.37,"1,252,000",14.37
"May 3, 2016",15.76,16.20,15.25,15.57,"312,700",15.57
"May 2, 2016",16.51,16.68,15.56,16.03,"265,100",16.03
"Apr 29, 2016",16.79,17.07,16.13,16.39,"229,700",16.39
"Apr 28, 2016",17.34,17.62,16.76,16.84,"279,600",16.84
"Apr 27, 2016",17.40,17.86,16.99,17.23,"205,200",17.23
"Apr 26, 2016",18.26,18.43,16.91,17.41,"352,200",17.41
"Apr 25, 2016",19.36,19.47,18.02,18.24,"290,200",18.24
"Apr 22, 2016",19.27,19.63,18.87,19.30,"217,200",19.30
"Apr 21, 2016",18.41,19.44,18.40,19.14,"298,100",19.14
"Apr 20, 2016",18.68,19.00,18.17,18.32,"198,800",18.32
"Apr 19, 2016",19.02,19.17,18.02,18.56,"250,100",18.56
"Apr 18, 2016",18.42,19.85,18.22,18.94,"281,000",18.94
"Apr 15, 2016",18.35,18.82,18.02,18.66,"116,800",18.66
"Apr 14, 2016",18.60,18.97,18.22,18.43,"135,100",18.43
"Apr 13, 2016",18.06,18.68,17.67,18.57,"222,500",18.57
"Apr 12, 2016",17.64,17.93,17.29,17.73,"233,800",17.73
"Apr 11, 2016",18.91,18.92,17.61,17.79,"258,200",17.79
"Apr 8, 2016",19.45,19.45,18.29,18.66,"278,700",18.66
"Apr 7, 2016",19.13,19.83,18.65,19.00,"338,700",19.00
"Apr 6, 2016",18.10,19.51,18.03,19.24,"348,600",19.24
"Apr 5, 2016",19.08,19.13,17.83,17.95,"486,800",17.95
"Apr 4, 2016",17.67,20.19,17.52,19.36,"767,800",19.36
"Apr 1, 2016",16.69,18.16,16.41,17.50,"551,500",17.50
"Mar 31, 2016",16.46,17.20,16.28,16.91,"284,600",16.91
"Mar 30, 2016",16.50,17.19,15.95,16.49,"563,700",16.49
"Mar 29, 2016",15.18,16.42,14.65,16.37,"278,900",16.37
"Mar 28, 2016",15.92,15.92,15.15,15.31,"267,400",15.31
"Mar 24, 2016",14.50,15.91,14.40,15.72,"410,600",15.72
"Mar 23, 2016",16.28,16.75,14.70,14.73,"356,300",14.73
"Mar 22, 2016",16.26,16.95,16.01,16.40,"356,600",16.40
"Mar 21, 2016",15.45,16.66,15.06,16.39,"412,600",16.39
"Mar 18, 2016",14.50,15.93,14.22,15.50,"1,841,500",15.50
"Mar 17, 2016",14.68,14.97,13.82,14.38,"471,200",14.38
"Mar 16, 2016",15.17,15.62,14.24,14.69,"371,200",14.69
"Mar 15, 2016",16.79,16.89,15.01,15.35,"718,000",15.35
"Mar 14, 2016",15.44,17.35,15.44,17.12,"639,600",17.12
"Mar 11, 2016",15.63,15.77,15.16,15.47,"438,800",15.47
"Mar 10, 2016",15.90,16.41,14.87,15.26,"438,300",15.26
"Mar 9, 2016",15.83,16.23,15.31,15.72,"414,200",15.72
"Mar 8, 2016",18.06,18.15,15.55,15.80,"542,100",15.80
"Mar 7, 2016",17.28,18.76,16.69,18.32,"644,800",18.32
"Mar 4, 2016",17.53,18.45,17.10,17.32,"550,200",17.32
"Mar 3, 2016",18.21,18.44,17.10,17.33,"677,300",17.33
"Mar 2, 2016",15.72,18.37,15.59,18.25,"912,700",18.25
"Mar 1, 2016",15.20,15.64,14.84,15.53,"572,100",15.53
"Feb 29, 2016",15.45,15.65,14.37,14.89,"574,600",14.89
"Feb 26, 2016",15.10,15.80,14.83,15.54,"483,700",15.54
"Feb 25, 2016",15.96,16.46,14.91,14.97,"485,500",14.97
"Feb 24, 2016",15.34,16.21,14.35,16.09,"601,300",16.09
"Feb 23, 2016",16.60,16.96,15.71,15.74,"431,400",15.74
"Feb 22, 2016",16.50,17.34,16.25,16.93,"382,100",16.93
"Feb 19, 2016",15.85,16.92,15.51,16.58,"367,700",16.58
"Feb 18, 2016",16.72,16.72,15.46,15.97,"394,900",15.97
