Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",7.31,7.44,7.25,7.38,"4,975,700",7.38
"Jun 10, 2016",7.25,7.44,7.15,7.38,"5,733,300",7.38
"Jun 9, 2016",7.24,7.49,7.16,7.37,"10,180,700",7.37
"Jun 8, 2016",7.10,7.30,6.92,7.26,"4,900,500",7.26
"Jun 7, 2016",7.30,7.32,7.07,7.12,"3,986,500",7.12
"Jun 6, 2016",6.79,7.34,6.76,7.33,"16,769,500",7.33
"Jun 3, 2016",6.75,6.75,6.40,6.59,"3,705,700",6.59
"Jun 2, 2016",6.47,6.80,6.46,6.76,"5,654,500",6.76
"Jun 1, 2016",6.45,6.53,6.39,6.48,"3,604,100",6.48
"May 31, 2016",6.40,6.63,6.37,6.49,"5,360,400",6.49
"May 27, 2016",6.34,6.35,6.21,6.34,"2,953,900",6.34
"May 26, 2016",6.23,6.38,6.16,6.30,"5,436,900",6.30
"May 25, 2016",6.20,6.38,6.17,6.23,"5,001,400",6.23
"May 24, 2016",6.10,6.19,6.03,6.15,"5,850,000",6.15
"May 23, 2016",5.81,6.14,5.70,6.00,"10,174,800",6.00
"May 20, 2016",5.39,5.58,5.36,5.56,"3,184,300",5.56
"May 19, 2016",5.35,5.51,5.26,5.37,"2,594,000",5.37
"May 18, 2016",5.24,5.44,5.14,5.35,"4,500,500",5.35
"May 17, 2016",5.49,5.53,5.20,5.24,"4,603,100",5.24
"May 16, 2016",5.58,5.62,5.33,5.49,"6,333,800",5.49
"May 13, 2016",5.21,5.65,5.21,5.61,"11,440,000",5.61
"May 12, 2016",5.02,5.26,4.95,5.19,"6,719,800",5.19
"May 11, 2016",5.02,5.05,4.87,4.89,"3,503,400",4.89
"May 10, 2016",5.00,5.10,4.95,5.04,"4,695,800",5.04
"May 9, 2016",4.82,5.09,4.72,4.95,"8,599,700",4.95
"May 6, 2016",4.66,4.88,4.65,4.79,"4,529,600",4.79
"May 5, 2016",4.29,4.77,4.25,4.69,"6,247,500",4.69
