Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",17.41,17.53,16.59,16.80,"434,000",16.80
"Jun 10, 2016",17.96,18.72,17.45,17.59,"226,700",17.59
"Jun 9, 2016",18.89,19.42,18.36,18.39,"233,900",18.39
"Jun 8, 2016",19.03,19.38,18.63,19.05,"188,800",19.05
"Jun 7, 2016",19.72,19.72,18.96,19.01,"305,200",19.01
"Jun 6, 2016",18.80,19.98,18.18,19.75,"413,400",19.75
"Jun 3, 2016",19.45,19.45,18.23,18.69,"351,000",18.69
"Jun 2, 2016",18.78,19.49,18.62,19.48,"336,400",19.48
"Jun 1, 2016",18.68,18.96,18.18,18.89,"387,900",18.89
"May 31, 2016",18.45,18.85,18.23,18.66,"664,200",18.66
"May 27, 2016",18.39,18.49,18.00,18.43,"317,300",18.43
"May 26, 2016",18.60,18.64,18.34,18.39,"302,600",18.39
"May 25, 2016",18.22,18.72,17.99,18.52,"566,600",18.52
"May 24, 2016",18.22,18.39,17.76,18.20,"919,500",18.20
"May 23, 2016",18.19,18.60,17.88,17.98,"410,400",17.98
"May 20, 2016",17.60,18.09,17.27,18.04,"310,200",18.04
"May 19, 2016",17.94,18.47,17.15,17.50,"294,200",17.50
"May 18, 2016",17.25,18.26,17.25,17.95,"327,600",17.95
"May 17, 2016",17.56,18.02,17.00,17.35,"344,900",17.35
"May 16, 2016",17.53,18.23,17.00,17.60,"469,500",17.60
"May 13, 2016",17.04,17.75,17.04,17.49,"344,900",17.49
"May 12, 2016",17.66,17.97,17.02,17.11,"490,600",17.11
"May 11, 2016",17.80,18.52,17.41,17.45,"387,000",17.45
"May 10, 2016",17.00,18.27,17.00,17.94,"834,400",17.94
"May 9, 2016",16.00,16.95,16.00,16.73,"581,700",16.73
"May 6, 2016",16.00,16.38,15.21,15.79,"624,800",15.79
"May 5, 2016",16.62,17.02,16.09,16.22,"362,700",16.22
"May 4, 2016",16.98,17.01,16.40,16.55,"483,100",16.55
"May 3, 2016",18.24,18.55,17.04,17.15,"431,300",17.15
"May 2, 2016",18.18,18.45,17.66,18.37,"395,100",18.37
"Apr 29, 2016",18.79,19.09,17.85,18.00,"479,100",18.00
"Apr 28, 2016",19.36,19.48,18.64,18.77,"379,500",18.77
"Apr 27, 2016",19.82,20.05,19.00,19.21,"292,300",19.21
"Apr 26, 2016",20.61,20.61,19.51,19.78,"282,700",19.78
"Apr 25, 2016",20.70,20.85,20.36,20.45,"176,600",20.45
"Apr 22, 2016",20.49,20.71,19.97,20.65,"204,000",20.65
"Apr 21, 2016",19.60,20.79,19.60,20.40,"425,000",20.40
"Apr 20, 2016",20.18,20.39,19.33,19.65,"256,900",19.65
"Apr 19, 2016",20.88,20.94,19.85,20.11,"229,700",20.11
"Apr 18, 2016",20.26,20.95,20.26,20.76,"374,900",20.76
"Apr 15, 2016",20.37,20.75,20.02,20.42,"253,100",20.42
"Apr 14, 2016",20.42,20.79,20.18,20.36,"358,200",20.36
"Apr 13, 2016",20.81,21.34,20.23,20.55,"604,500",20.55
"Apr 12, 2016",20.50,20.97,19.78,20.54,"441,200",20.54
"Apr 11, 2016",21.42,21.72,20.27,20.30,"523,500",20.30
"Apr 8, 2016",21.83,22.00,20.77,21.26,"388,600",21.26
"Apr 7, 2016",21.88,22.60,21.04,21.31,"522,700",21.31
"Apr 6, 2016",20.88,22.23,20.71,22.15,"568,600",22.15
"Apr 5, 2016",20.87,21.59,20.48,20.79,"404,400",20.79
"Apr 4, 2016",21.00,21.83,20.82,21.00,"529,800",21.00
"Apr 1, 2016",20.88,21.57,20.38,21.33,"354,800",21.33
"Mar 31, 2016",20.61,21.63,20.46,21.29,"458,700",21.29
"Mar 30, 2016",20.00,20.89,19.79,20.62,"632,500",20.62
"Mar 29, 2016",18.70,20.00,18.16,19.91,"419,100",19.91
"Mar 28, 2016",19.34,19.56,18.91,19.02,"343,400",19.02
"Mar 24, 2016",18.57,20.30,18.50,19.21,"480,200",19.21
"Mar 23, 2016",19.13,19.54,18.64,18.82,"791,100",18.82
"Mar 22, 2016",18.36,19.14,18.22,19.12,"389,100",19.12
"Mar 21, 2016",17.57,18.96,17.53,18.58,"556,000",18.58
"Mar 18, 2016",16.59,17.71,16.22,17.63,"867,700",17.63
"Mar 17, 2016",17.11,17.39,15.52,16.48,"685,000",16.48
"Mar 16, 2016",17.56,17.89,16.42,17.08,"415,600",17.08
"Mar 15, 2016",19.05,19.18,17.39,17.43,"523,400",17.43
"Mar 14, 2016",18.56,19.84,18.32,19.48,"390,200",19.48
"Mar 11, 2016",17.96,18.71,17.86,18.60,"491,200",18.60
"Mar 10, 2016",18.60,19.17,17.43,17.83,"268,400",17.83
"Mar 9, 2016",18.57,19.04,17.01,18.50,"474,900",18.50
"Mar 8, 2016",20.11,20.43,18.45,18.53,"435,000",18.53
"Mar 7, 2016",19.51,21.21,18.91,20.28,"579,900",20.28
"Mar 4, 2016",18.72,20.25,18.45,19.57,"574,400",19.57
"Mar 3, 2016",18.43,18.83,18.04,18.77,"408,500",18.77
"Mar 2, 2016",17.97,18.99,17.72,18.48,"544,200",18.48
"Mar 1, 2016",17.57,18.02,15.78,18.00,"841,700",18.00
"Feb 29, 2016",18.61,18.75,17.21,17.33,"594,600",17.33
"Feb 26, 2016",18.33,18.68,17.90,18.19,"391,100",18.19
"Feb 25, 2016",18.87,19.18,18.03,18.26,"312,000",18.26
"Feb 24, 2016",17.89,18.67,17.21,18.51,"464,800",18.51
"Feb 23, 2016",19.33,19.59,17.90,17.98,"431,400",17.98
"Feb 22, 2016",19.90,20.49,19.28,19.39,"451,800",19.39
"Feb 19, 2016",19.54,19.91,18.64,19.80,"412,800",19.80
"Feb 18, 2016",20.00,20.80,19.24,19.31,"458,300",19.31
"Feb 17, 2016",18.99,20.24,18.75,19.81,"632,200",19.81
"Feb 16, 2016",18.20,19.13,17.92,18.56,"792,300",18.56
"Feb 12, 2016",17.33,17.95,16.61,17.70,"544,900",17.70
"Feb 11, 2016",15.58,17.49,14.96,17.19,"1,321,400",17.19
"Feb 10, 2016",15.46,16.30,15.02,15.08,"523,700",15.08
"Feb 9, 2016",14.86,15.87,14.39,15.33,"693,200",15.33
"Feb 8, 2016",16.54,16.63,14.38,14.76,"853,000",14.76
"Feb 5, 2016",17.36,17.97,16.48,16.64,"657,700",16.64
"Feb 4, 2016",17.94,18.26,17.20,17.54,"648,900",17.54
"Feb 3, 2016",18.60,19.05,17.31,18.36,"512,000",18.36
"Feb 2, 2016",19.20,19.33,18.35,18.48,"422,800",18.48
"Feb 1, 2016",20.17,20.54,19.22,19.46,"529,300",19.46
"Jan 29, 2016",19.33,20.34,18.65,20.28,"560,300",20.28
"Jan 28, 2016",20.48,20.63,18.61,18.97,"551,700",18.97
"Jan 27, 2016",20.57,20.77,19.19,19.28,"554,800",19.28
"Jan 26, 2016",21.25,21.49,20.12,20.55,"440,800",20.55
"Jan 25, 2016",21.05,21.96,20.76,21.20,"506,600",21.20
"Jan 22, 2016",21.03,21.55,20.50,20.92,"520,800",20.92
"Jan 21, 2016",21.96,22.25,20.31,20.45,"517,300",20.45
"Jan 20, 2016",20.96,21.89,19.89,21.52,"735,900",21.52
"Jan 19, 2016",23.00,23.00,20.95,21.42,"445,700",21.42
"Jan 15, 2016",22.90,23.63,22.15,22.53,"531,400",22.53
"Jan 14, 2016",23.42,24.18,22.25,24.00,"635,400",24.00
"Jan 13, 2016",24.95,25.06,23.05,23.32,"576,800",23.32
"Jan 12, 2016",25.43,26.29,23.97,24.74,"550,600",24.74
"Jan 11, 2016",26.37,26.44,24.37,25.08,"400,000",25.08
"Jan 8, 2016",27.03,27.47,25.53,26.00,"432,300",26.00
"Jan 7, 2016",26.46,27.16,25.76,27.07,"385,100",27.07
"Jan 6, 2016",29.80,29.84,26.98,27.07,"686,300",27.07
"Jan 5, 2016",30.66,31.90,30.00,30.07,"546,000",30.07
"Jan 4, 2016",29.79,30.60,29.53,30.50,"470,500",30.50
"Dec 31, 2015",31.04,31.48,30.46,30.47,"247,300",30.47
"Dec 30, 2015",31.04,31.25,30.10,31.05,"204,600",31.05
"Dec 29, 2015",30.38,31.48,30.26,31.36,"149,500",31.36
"Dec 28, 2015",30.53,30.83,29.46,30.08,"295,600",30.08
"Dec 24, 2015",30.98,31.44,30.48,30.96,"161,300",30.96
"Dec 23, 2015",29.96,31.27,29.75,31.21,"841,200",31.21
"Dec 22, 2015",30.07,30.42,28.93,29.60,"334,600",29.60
"Dec 21, 2015",29.44,30.62,29.16,29.87,"267,200",29.87
"Dec 18, 2015",30.56,30.88,29.12,29.15,"2,999,800",29.15
"Dec 17, 2015",30.78,30.99,29.81,30.63,"483,600",30.63
"Dec 16, 2015",29.62,30.80,29.51,30.78,"461,400",30.78
"Dec 15, 2015",28.95,30.00,28.54,29.47,"555,300",29.47
"Dec 14, 2015",28.85,29.69,28.75,29.09,"507,400",29.09
"Dec 11, 2015",29.93,30.20,28.62,28.87,"377,500",28.87
"Dec 10, 2015",28.96,30.68,28.96,30.65,"384,200",30.65
