Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",11.61,12.42,11.61,11.77,"80,000",11.77
"Jun 10, 2016",11.91,12.02,11.50,11.74,"72,200",11.74
"Jun 9, 2016",12.09,12.42,11.60,11.92,"149,600",11.92
"Jun 8, 2016",12.38,12.55,12.14,12.21,"56,900",12.21
"Jun 7, 2016",12.23,12.54,11.80,12.36,"142,400",12.36
"Jun 6, 2016",12.58,12.71,12.05,12.23,"186,500",12.23
"Jun 3, 2016",13.19,13.44,12.50,12.66,"91,300",12.66
"Jun 2, 2016",13.34,13.64,12.90,13.12,"135,600",13.12
"Jun 1, 2016",12.54,13.28,12.02,13.16,"128,700",13.16
"May 31, 2016",12.56,13.14,12.24,12.51,"127,800",12.51
"May 27, 2016",12.48,12.94,12.30,12.43,"107,600",12.43
"May 26, 2016",12.75,12.87,12.21,12.40,"95,500",12.40
"May 25, 2016",12.67,13.97,12.53,12.63,"151,300",12.63
"May 24, 2016",12.41,12.83,12.02,12.50,"128,200",12.50
"May 23, 2016",12.46,13.00,11.98,12.19,"113,300",12.19
"May 20, 2016",11.14,12.60,11.14,12.43,"73,300",12.43
"May 19, 2016",10.99,11.34,10.54,11.19,"63,500",11.19
"May 18, 2016",10.92,11.20,10.77,11.00,"58,500",11.00
"May 17, 2016",10.05,11.64,10.05,10.87,"115,400",10.87
"May 16, 2016",10.42,10.54,10.00,10.45,"53,200",10.45
"May 13, 2016",9.67,10.22,9.55,10.04,"48,100",10.04
"May 12, 2016",10.33,10.48,9.50,9.64,"69,600",9.64
"May 11, 2016",10.15,10.64,10.00,10.23,"77,500",10.23
"May 10, 2016",9.76,10.36,9.75,10.09,"51,100",10.09
"May 9, 2016",9.09,10.11,9.09,9.80,"68,500",9.80
"May 6, 2016",9.56,10.20,9.04,9.06,"82,300",9.06
"May 5, 2016",10.44,10.93,9.57,9.59,"92,600",9.59
"May 4, 2016",10.30,10.81,9.75,10.41,"224,700",10.41
"May 3, 2016",10.37,10.89,10.02,10.69,"120,600",10.69
"May 2, 2016",10.76,10.76,10.35,10.49,"69,700",10.49
"Apr 29, 2016",11.46,11.46,10.87,10.96,"29,700",10.96
"Apr 28, 2016",11.96,12.11,11.39,11.43,"39,700",11.43
"Apr 27, 2016",12.29,12.32,11.81,11.91,"30,200",11.91
"Apr 26, 2016",12.74,12.77,11.99,12.31,"39,800",12.31
"Apr 25, 2016",12.51,13.02,12.51,12.67,"43,600",12.67
"Apr 22, 2016",12.45,13.12,12.30,12.43,"72,100",12.43
"Apr 21, 2016",11.90,12.54,11.62,12.45,"137,200",12.45
"Apr 20, 2016",11.91,12.10,11.82,11.82,"52,300",11.82
"Apr 19, 2016",11.93,12.25,11.67,11.77,"36,800",11.77
"Apr 18, 2016",12.21,12.27,11.65,11.89,"69,900",11.89
"Apr 15, 2016",12.51,12.55,12.19,12.27,"41,400",12.27
"Apr 14, 2016",12.01,12.58,11.84,12.50,"80,000",12.50
"Apr 13, 2016",11.23,12.10,11.15,11.94,"65,400",11.94
"Apr 12, 2016",11.18,11.38,10.85,11.12,"58,300",11.12
"Apr 11, 2016",12.04,12.19,11.05,11.05,"87,000",11.05
"Apr 8, 2016",12.20,12.35,11.83,11.98,"93,300",11.98
"Apr 7, 2016",11.59,12.26,11.47,11.99,"108,600",11.99
"Apr 6, 2016",11.46,12.27,11.42,11.79,"136,600",11.79
"Apr 5, 2016",11.45,11.74,11.09,11.35,"78,000",11.35
"Apr 4, 2016",11.36,11.83,11.25,11.46,"206,500",11.46
"Apr 1, 2016",10.96,11.49,10.96,11.34,"36,600",11.34
"Mar 31, 2016",11.12,11.30,10.63,10.97,"54,600",10.97
"Mar 30, 2016",11.27,11.63,10.76,11.16,"36,700",11.16
"Mar 29, 2016",10.22,11.15,10.06,11.10,"50,700",11.10
"Mar 28, 2016",10.67,10.91,10.06,10.17,"54,400",10.17
"Mar 24, 2016",11.27,11.51,10.30,10.48,"104,800",10.48
"Mar 23, 2016",11.87,12.10,11.35,11.40,"119,900",11.40
"Mar 22, 2016",11.83,12.01,11.64,11.88,"91,100",11.88
"Mar 21, 2016",10.81,12.10,10.81,11.78,"161,300",11.78
"Mar 18, 2016",11.05,11.37,10.89,11.01,"213,600",11.01
"Mar 17, 2016",10.84,11.15,10.53,10.86,"93,100",10.86
"Mar 16, 2016",9.84,11.25,9.81,10.90,"122,700",10.90
"Mar 15, 2016",9.91,9.98,9.40,9.52,"97,600",9.52
"Mar 14, 2016",7.64,10.42,7.64,10.06,"243,700",10.06
"Mar 11, 2016",6.91,7.76,6.86,7.62,"286,100",7.62
"Mar 10, 2016",7.14,7.32,6.48,6.53,"113,200",6.53
"Mar 9, 2016",7.32,7.32,6.73,7.10,"75,500",7.10
"Mar 8, 2016",7.50,8.64,7.18,7.23,"82,800",7.23
"Mar 7, 2016",7.21,7.66,7.19,7.55,"58,400",7.55
"Mar 4, 2016",7.14,7.44,7.04,7.20,"18,900",7.20
"Mar 3, 2016",7.40,7.51,7.05,7.26,"64,700",7.26
"Mar 2, 2016",7.49,8.14,6.94,7.42,"65,000",7.42
"Mar 1, 2016",7.46,7.59,7.04,7.54,"38,900",7.54
"Feb 29, 2016",7.54,7.80,7.39,7.43,"76,600",7.43
"Feb 26, 2016",7.05,7.94,7.00,7.51,"111,900",7.51
"Feb 25, 2016",7.12,7.16,6.97,7.07,"25,600",7.07
"Feb 24, 2016",6.99,7.15,6.98,7.07,"38,900",7.07
"Feb 23, 2016",7.17,7.32,7.00,7.00,"232,300",7.00
"Feb 22, 2016",7.50,7.65,7.13,7.25,"87,600",7.25
"Feb 19, 2016",7.40,7.96,7.01,7.42,"42,300",7.42
"Feb 18, 2016",7.51,7.62,7.25,7.42,"55,800",7.42
"Feb 17, 2016",7.02,7.53,6.66,7.45,"38,100",7.45
"Feb 16, 2016",7.08,7.23,6.63,7.03,"47,500",7.03
"Feb 12, 2016",7.50,8.25,6.90,6.98,"52,700",6.98
"Feb 11, 2016",7.10,7.70,6.93,7.39,"88,500",7.39
"Feb 10, 2016",7.10,7.72,6.89,7.26,"91,400",7.26
"Feb 9, 2016",7.00,7.21,6.98,7.06,"38,100",7.06
