Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",9.80,9.99,9.63,9.88,"224,300",9.88
"Jun 10, 2016",10.30,10.39,9.81,9.88,"192,300",9.88
"Jun 9, 2016",10.78,10.95,10.34,10.37,"130,900",10.37
"Jun 8, 2016",10.67,10.87,10.42,10.75,"197,800",10.75
"Jun 7, 2016",10.64,10.79,10.42,10.72,"194,200",10.72
"Jun 6, 2016",10.49,10.82,10.20,10.65,"172,600",10.65
"Jun 3, 2016",10.76,10.76,10.36,10.48,"128,800",10.48
"Jun 2, 2016",10.81,10.94,10.61,10.79,"128,100",10.79
"Jun 1, 2016",10.55,10.92,10.55,10.78,"179,100",10.78
"May 31, 2016",10.57,10.84,10.53,10.64,"76,900",10.64
"May 27, 2016",10.63,10.84,10.53,10.60,"116,700",10.60
"May 26, 2016",10.47,10.88,10.42,10.69,"282,400",10.69
"May 25, 2016",10.28,10.77,10.26,10.55,"214,000",10.55
"May 24, 2016",10.01,10.41,9.89,10.25,"366,300",10.25
"May 23, 2016",9.85,10.24,9.79,9.95,"492,100",9.95
"May 20, 2016",9.42,9.90,9.42,9.83,"351,300",9.83
"May 19, 2016",9.58,9.95,9.24,9.48,"222,200",9.48
"May 18, 2016",9.76,10.05,9.60,9.67,"275,100",9.67
"May 17, 2016",9.59,10.09,9.44,9.90,"687,700",9.90
"May 16, 2016",9.25,9.51,9.17,9.31,"172,700",9.31
"May 13, 2016",8.89,9.68,8.89,9.32,"356,800",9.32
"May 12, 2016",9.11,9.13,8.61,8.83,"365,000",8.83
"May 11, 2016",9.42,9.56,9.08,9.15,"356,400",9.15
"May 10, 2016",10.15,10.41,9.31,9.42,"325,500",9.42
"May 9, 2016",10.46,10.74,9.75,10.16,"408,500",10.16
"May 6, 2016",11.14,11.24,10.64,10.86,"228,500",10.86
"May 5, 2016",11.99,11.99,11.30,11.37,"234,300",11.37
"May 4, 2016",11.69,12.15,11.69,11.88,"225,400",11.88
"May 3, 2016",12.30,12.30,11.87,12.01,"275,900",12.01
"May 2, 2016",11.59,12.50,11.34,12.32,"312,000",12.32
"Apr 29, 2016",11.86,12.14,11.34,11.46,"231,200",11.46
"Apr 28, 2016",12.16,12.33,11.91,11.97,"217,700",11.97
"Apr 27, 2016",12.11,12.30,11.89,12.08,"151,500",12.08
"Apr 26, 2016",12.11,12.40,11.88,12.17,"225,700",12.17
"Apr 25, 2016",11.70,12.34,11.70,12.13,"206,100",12.13
"Apr 22, 2016",11.75,11.99,11.50,11.60,"169,700",11.60
"Apr 21, 2016",11.69,11.88,11.35,11.71,"181,800",11.71
"Apr 20, 2016",11.64,11.90,11.41,11.63,"148,300",11.63
"Apr 19, 2016",11.88,11.88,11.15,11.52,"252,500",11.52
"Apr 18, 2016",11.19,11.89,11.14,11.85,"149,900",11.85
"Apr 15, 2016",11.29,11.44,11.15,11.29,"315,200",11.29
"Apr 14, 2016",11.68,11.68,11.31,11.35,"163,300",11.35
"Apr 13, 2016",11.43,11.68,11.28,11.58,"271,600",11.58
"Apr 12, 2016",11.19,11.55,11.06,11.46,"141,200",11.46
"Apr 11, 2016",11.87,11.98,11.14,11.26,"241,400",11.26
"Apr 8, 2016",11.94,12.11,11.49,11.85,"196,800",11.85
"Apr 7, 2016",12.13,12.22,11.61,11.76,"175,800",11.76
"Apr 6, 2016",11.12,12.23,11.01,12.17,"349,900",12.17
"Apr 5, 2016",10.94,11.22,10.67,11.00,"266,600",11.00
"Apr 4, 2016",11.00,11.62,10.89,11.13,"189,300",11.13
"Apr 1, 2016",10.97,11.15,10.71,10.97,"164,700",10.97
"Mar 31, 2016",11.10,11.25,10.52,11.04,"496,900",11.04
"Mar 30, 2016",10.59,11.31,10.59,10.82,"302,400",10.82
"Mar 29, 2016",10.59,10.87,10.25,10.70,"458,800",10.70
"Mar 28, 2016",10.72,10.82,10.47,10.60,"224,100",10.60
"Mar 24, 2016",10.74,11.23,10.25,10.74,"450,800",10.74
"Mar 23, 2016",11.40,11.68,10.90,10.92,"394,800",10.92
"Mar 22, 2016",11.08,11.46,10.79,11.19,"554,700",11.19
"Mar 21, 2016",10.64,11.44,10.50,11.19,"281,500",11.19
"Mar 18, 2016",11.30,11.30,10.64,10.82,"626,400",10.82
"Mar 17, 2016",10.76,11.24,10.49,11.09,"505,700",11.09
"Mar 16, 2016",10.23,10.98,10.23,10.40,"585,900",10.40
"Mar 15, 2016",10.25,10.78,9.83,10.21,"644,900",10.21
"Mar 14, 2016",9.54,10.67,9.54,10.24,"521,600",10.24
"Mar 11, 2016",8.81,9.58,8.73,9.44,"448,900",9.44
"Mar 10, 2016",9.00,9.00,8.21,8.69,"558,300",8.69
"Mar 9, 2016",8.19,8.31,7.87,8.05,"173,400",8.05
"Mar 8, 2016",8.75,8.75,8.10,8.23,"264,000",8.23
"Mar 7, 2016",8.80,8.85,8.57,8.67,"165,100",8.67
"Mar 4, 2016",8.18,8.94,8.18,8.68,"321,700",8.68
"Mar 3, 2016",8.74,8.77,8.05,8.23,"325,700",8.23
"Mar 2, 2016",8.00,8.88,8.00,8.60,"426,800",8.60
"Mar 1, 2016",8.92,8.92,7.56,7.85,"864,500",7.85
"Feb 29, 2016",9.03,9.22,8.70,8.73,"147,300",8.73
"Feb 26, 2016",9.24,9.45,8.98,9.07,"165,300",9.07
"Feb 25, 2016",9.10,9.26,9.06,9.19,"156,800",9.19
"Feb 24, 2016",9.09,9.29,8.87,9.10,"178,000",9.10
"Feb 23, 2016",9.56,9.72,9.18,9.25,"151,300",9.25
"Feb 22, 2016",9.73,9.85,9.51,9.65,"96,900",9.65
"Feb 19, 2016",9.94,9.94,9.26,9.65,"155,200",9.65
"Feb 18, 2016",9.46,10.20,9.26,9.96,"232,900",9.96
"Feb 17, 2016",9.45,9.70,9.18,9.40,"352,700",9.40
"Feb 16, 2016",9.61,9.85,9.20,9.36,"244,800",9.36
"Feb 12, 2016",9.16,9.39,8.90,9.05,"270,200",9.05
"Feb 11, 2016",9.25,9.34,8.67,9.21,"170,300",9.21
"Feb 10, 2016",9.40,9.68,9.12,9.41,"228,700",9.41
"Feb 9, 2016",8.89,9.45,8.89,9.25,"277,200",9.25
"Feb 8, 2016",9.19,9.35,8.86,9.19,"162,700",9.19
"Feb 5, 2016",9.41,9.50,9.08,9.35,"109,700",9.35
"Feb 4, 2016",9.36,9.86,9.35,9.51,"63,300",9.51
"Feb 3, 2016",9.83,9.86,9.08,9.51,"159,700",9.51
"Feb 2, 2016",10.42,10.50,9.61,9.79,"214,100",9.79
"Feb 1, 2016",10.12,10.37,9.68,10.21,"147,700",10.21
"Jan 29, 2016",9.75,10.33,9.75,10.16,"144,900",10.16
"Jan 28, 2016",9.89,9.94,9.45,9.77,"174,200",9.77
"Jan 27, 2016",10.22,10.45,9.73,9.84,"98,900",9.84
"Jan 26, 2016",10.05,10.47,9.90,10.43,"139,400",10.43
"Jan 25, 2016",10.79,10.79,10.03,10.09,"171,400",10.09
"Jan 22, 2016",10.38,10.78,9.83,10.41,"158,800",10.41
"Jan 21, 2016",10.33,10.49,10.14,10.25,"201,000",10.25
"Jan 20, 2016",9.71,10.56,9.62,10.30,"222,300",10.30
"Jan 19, 2016",10.23,10.23,9.78,9.86,"268,300",9.86
"Jan 15, 2016",9.96,10.28,9.68,10.04,"170,500",10.04
"Jan 14, 2016",9.92,10.63,9.61,10.33,"872,700",10.33
"Jan 13, 2016",10.12,10.35,9.72,9.76,"384,100",9.76
"Jan 12, 2016",9.95,10.32,9.75,10.13,"259,400",10.13
"Jan 11, 2016",10.32,10.73,9.72,9.86,"607,900",9.86
"Jan 8, 2016",11.65,11.70,9.75,10.22,"2,735,900",10.22
"Jan 7, 2016",12.40,12.59,11.87,12.01,"236,900",12.01
"Jan 6, 2016",12.60,12.96,12.45,12.51,"239,900",12.51
"Jan 5, 2016",12.70,13.47,12.58,12.77,"314,900",12.77
"Jan 4, 2016",12.25,13.05,12.11,12.92,"413,500",12.92
"Dec 31, 2015",14.34,14.34,11.57,12.21,"1,818,700",12.21
"Dec 30, 2015",14.64,14.75,14.44,14.49,"65,000",14.49
"Dec 29, 2015",14.75,14.87,14.33,14.67,"130,500",14.67
"Dec 28, 2015",14.81,14.82,14.15,14.61,"225,900",14.61
"Dec 24, 2015",15.11,15.22,14.56,14.85,"126,900",14.85
"Dec 23, 2015",14.54,15.54,14.46,15.10,"244,200",15.10
"Dec 22, 2015",13.85,14.49,13.51,14.37,"133,000",14.37
"Dec 21, 2015",13.56,13.95,13.33,13.76,"89,600",13.76
"Dec 18, 2015",13.26,14.00,13.16,13.60,"186,700",13.60
"Dec 17, 2015",14.11,14.12,13.26,13.29,"95,500",13.29
"Dec 16, 2015",14.28,14.30,13.66,13.96,"259,100",13.96
"Dec 15, 2015",13.46,14.25,13.12,14.11,"215,900",14.11
"Dec 14, 2015",13.90,13.90,13.11,13.48,"144,900",13.48
"Dec 11, 2015",14.22,14.32,13.65,13.70,"140,700",13.70
"Dec 10, 2015",14.64,15.00,14.15,14.28,"157,700",14.28
"Dec 9, 2015",14.35,14.90,14.11,14.73,"189,800",14.73
"Dec 8, 2015",14.50,14.51,14.07,14.33,"132,700",14.33
"Dec 7, 2015",14.85,14.85,14.11,14.27,"126,800",14.27
"Dec 4, 2015",14.76,14.96,14.29,14.92,"185,900",14.92
"Dec 3, 2015",14.87,15.21,14.29,14.62,"412,200",14.62
"Dec 2, 2015",15.11,15.40,14.69,14.98,"296,600",14.98
"Dec 1, 2015",14.25,15.15,14.05,14.97,"365,800",14.97
"Nov 30, 2015",14.50,14.60,13.92,14.37,"188,400",14.37
"Nov 27, 2015",14.38,14.59,14.21,14.43,"81,400",14.43
"Nov 25, 2015",13.90,14.29,13.89,14.22,"128,100",14.22
"Nov 24, 2015",13.95,14.17,13.77,14.14,"107,000",14.14
"Nov 23, 2015",14.18,14.60,13.67,14.09,"310,500",14.09
"Nov 20, 2015",13.94,14.00,13.59,13.74,"219,200",13.74
"Nov 19, 2015",14.47,14.68,13.62,13.95,"329,200",13.95
"Nov 18, 2015",14.14,14.69,13.48,14.37,"221,700",14.37
"Nov 17, 2015",14.84,14.90,13.64,13.97,"422,000",13.97
"Nov 16, 2015",14.30,14.98,13.92,14.85,"207,300",14.85
"Nov 13, 2015",14.69,14.81,14.02,14.19,"473,400",14.19
"Nov 12, 2015",13.52,15.03,13.52,14.69,"545,900",14.69
"Nov 11, 2015",14.66,15.13,13.63,15.01,"736,500",15.01
