Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",14.10,14.35,13.75,13.89,"358,900",13.89
"Jun 10, 2016",14.01,14.20,13.80,13.83,"490,700",13.83
"Jun 9, 2016",14.08,14.39,14.02,14.03,"538,000",14.03
"Jun 8, 2016",14.51,14.92,13.89,14.10,"3,588,300",14.10
"Jun 7, 2016",16.61,16.77,16.08,16.09,"184,500",16.09
"Jun 6, 2016",16.07,17.15,15.85,16.73,"341,600",16.73
"Jun 3, 2016",16.99,16.99,15.80,16.12,"376,600",16.12
"Jun 2, 2016",16.93,17.24,16.48,17.05,"412,900",17.05
"Jun 1, 2016",17.01,17.31,16.04,16.83,"576,800",16.83
"May 31, 2016",15.66,17.87,15.39,17.44,"826,900",17.44
"May 27, 2016",16.86,16.88,14.67,15.53,"1,046,600",15.53
"May 26, 2016",12.66,17.35,12.66,17.23,"2,327,000",17.23
"May 25, 2016",11.61,12.30,11.41,11.45,"358,300",11.45
"May 24, 2016",10.75,11.68,10.60,11.54,"166,200",11.54
"May 23, 2016",10.49,10.98,10.24,10.60,"105,400",10.60
"May 20, 2016",9.79,10.70,9.60,10.49,"128,600",10.49
"May 19, 2016",10.23,10.64,9.45,9.68,"147,100",9.68
"May 18, 2016",9.93,10.91,9.91,10.24,"176,100",10.24
"May 17, 2016",9.65,10.03,9.47,9.60,"158,900",9.60
"May 16, 2016",8.83,9.78,8.77,9.67,"247,600",9.67
"May 13, 2016",9.27,9.27,8.16,8.75,"226,300",8.75
"May 12, 2016",9.47,9.66,8.52,8.59,"277,900",8.59
"May 11, 2016",10.08,10.12,9.38,9.42,"119,300",9.42
"May 10, 2016",10.29,10.29,9.67,10.04,"74,600",10.04
"May 9, 2016",9.82,10.35,9.73,10.18,"70,500",10.18
"May 6, 2016",9.99,10.30,9.64,9.75,"128,900",9.75
"May 5, 2016",10.05,10.74,9.73,10.11,"142,500",10.11
"May 4, 2016",11.27,11.35,10.03,10.19,"170,300",10.19
"May 3, 2016",10.83,11.39,10.40,11.28,"234,700",11.28
"May 2, 2016",10.42,10.76,10.01,10.63,"136,200",10.63
"Apr 29, 2016",10.82,10.92,10.18,10.40,"113,000",10.40
"Apr 28, 2016",10.60,11.19,10.27,10.76,"88,600",10.76
"Apr 27, 2016",12.11,12.19,10.54,10.61,"316,300",10.61
"Apr 26, 2016",12.60,12.67,11.83,12.15,"120,900",12.15
"Apr 25, 2016",12.82,12.82,12.48,12.58,"126,100",12.58
"Apr 22, 2016",13.14,13.24,12.68,12.76,"110,000",12.76
"Apr 21, 2016",12.40,13.64,12.30,13.12,"161,100",13.12
"Apr 20, 2016",12.60,12.86,12.37,12.41,"106,800",12.41
"Apr 19, 2016",13.36,13.36,12.50,12.56,"144,900",12.56
"Apr 18, 2016",12.80,13.48,12.64,13.39,"191,800",13.39
"Apr 15, 2016",12.56,12.97,12.49,12.85,"127,700",12.85
"Apr 14, 2016",12.35,12.75,12.12,12.65,"93,500",12.65
"Apr 13, 2016",11.99,12.40,11.87,12.31,"210,500",12.31
"Apr 12, 2016",11.78,12.03,11.49,11.86,"201,900",11.86
"Apr 11, 2016",11.87,12.20,11.63,11.79,"276,400",11.79
"Apr 8, 2016",12.45,12.45,11.51,11.76,"146,800",11.76
"Apr 7, 2016",12.19,12.78,11.73,12.24,"375,600",12.24
"Apr 6, 2016",11.01,12.90,11.01,12.30,"398,300",12.30
"Apr 5, 2016",10.98,11.55,10.51,11.00,"384,800",11.00
"Apr 4, 2016",9.65,11.21,9.58,10.95,"582,200",10.95
"Apr 1, 2016",9.12,9.49,8.93,9.42,"69,000",9.42
"Mar 31, 2016",9.00,9.47,8.91,9.20,"115,300",9.20
"Mar 30, 2016",9.09,9.56,8.66,9.00,"143,400",9.00
"Mar 29, 2016",8.49,9.10,8.15,9.01,"153,100",9.01
"Mar 28, 2016",8.87,8.92,8.17,8.55,"271,100",8.55
"Mar 24, 2016",8.54,9.05,8.31,8.81,"248,900",8.81
"Mar 23, 2016",8.96,9.23,8.42,8.65,"334,000",8.65
"Mar 22, 2016",8.58,9.39,8.48,9.03,"223,900",9.03
"Mar 21, 2016",8.44,8.90,8.28,8.59,"128,000",8.59
"Mar 18, 2016",8.18,8.65,7.68,8.47,"409,900",8.47
"Mar 17, 2016",8.30,8.71,7.56,8.12,"274,800",8.12
"Mar 16, 2016",8.44,8.49,8.19,8.28,"190,300",8.28
"Mar 15, 2016",9.56,9.60,8.40,8.44,"228,700",8.44
"Mar 14, 2016",8.92,9.82,8.92,9.72,"166,500",9.72
"Mar 11, 2016",9.67,9.76,8.23,8.97,"581,300",8.97
"Mar 10, 2016",10.15,10.35,9.66,9.71,"268,000",9.71
"Mar 9, 2016",10.15,10.30,9.66,10.08,"194,700",10.08
"Mar 8, 2016",10.80,11.04,9.97,10.04,"239,100",10.04
"Mar 7, 2016",9.72,11.00,9.65,10.81,"398,700",10.81
