Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",18.67,19.12,18.12,18.53,"216,300",18.53
"Jun 10, 2016",19.97,20.00,18.77,18.91,"268,200",18.91
"Jun 9, 2016",21.25,21.53,20.00,20.08,"196,600",20.08
"Jun 8, 2016",20.72,21.75,20.33,21.48,"208,800",21.48
"Jun 7, 2016",21.40,21.40,20.62,20.71,"239,300",20.71
"Jun 6, 2016",20.77,22.38,20.31,21.53,"376,200",21.53
"Jun 3, 2016",21.66,21.75,20.31,20.65,"384,900",20.65
"Jun 2, 2016",19.37,21.64,19.37,21.43,"490,000",21.43
"Jun 1, 2016",18.71,19.52,18.71,19.50,"226,800",19.50
"May 31, 2016",18.62,19.42,18.51,18.85,"227,300",18.85
"May 27, 2016",18.26,18.67,18.10,18.50,"113,100",18.50
"May 26, 2016",18.70,18.92,18.25,18.28,"190,400",18.28
"May 25, 2016",18.80,18.98,18.29,18.66,"155,900",18.66
"May 24, 2016",17.66,18.74,17.33,18.67,"222,200",18.67
"May 23, 2016",17.13,17.73,17.13,17.43,"90,600",17.43
"May 20, 2016",16.70,17.29,16.31,17.25,"101,100",17.25
"May 19, 2016",16.84,17.13,16.36,16.60,"111,300",16.60
"May 18, 2016",16.73,17.13,16.41,16.94,"122,100",16.94
"May 17, 2016",17.49,17.59,16.59,16.87,"167,600",16.87
"May 16, 2016",17.52,17.96,17.12,17.19,"162,000",17.19
"May 13, 2016",16.27,17.39,16.07,17.27,"129,800",17.27
"May 12, 2016",16.43,16.66,15.87,16.09,"241,600",16.09
"May 11, 2016",17.07,17.10,16.40,16.46,"224,100",16.46
"May 10, 2016",17.68,17.83,17.06,17.20,"109,500",17.20
"May 9, 2016",16.93,17.95,16.93,17.47,"205,000",17.47
"May 6, 2016",16.44,17.23,16.44,16.97,"226,500",16.97
"May 5, 2016",16.85,17.49,16.21,16.71,"259,500",16.71
"May 4, 2016",16.84,17.82,16.30,16.63,"533,000",16.63
"May 3, 2016",16.13,16.13,15.10,15.23,"166,600",15.23
"May 2, 2016",15.80,16.25,15.52,16.24,"120,800",16.24
"Apr 29, 2016",16.53,16.53,15.79,15.95,"167,300",15.95
"Apr 28, 2016",16.60,17.24,16.26,16.54,"141,300",16.54
"Apr 27, 2016",16.62,16.97,16.26,16.63,"160,300",16.63
"Apr 26, 2016",17.19,17.21,16.40,16.71,"193,500",16.71
"Apr 25, 2016",17.50,17.74,17.04,17.21,"93,000",17.21
"Apr 22, 2016",17.54,17.86,17.13,17.61,"119,500",17.61
"Apr 21, 2016",17.43,18.03,17.00,17.46,"256,500",17.46
"Apr 20, 2016",17.56,17.70,16.89,17.43,"384,400",17.43
"Apr 19, 2016",17.29,17.99,17.25,17.49,"250,000",17.49
"Apr 18, 2016",17.50,17.66,17.04,17.33,"201,600",17.33
"Apr 15, 2016",17.73,17.99,17.16,17.51,"214,300",17.51
"Apr 14, 2016",18.10,18.16,17.70,17.87,"233,000",17.87
"Apr 13, 2016",17.70,18.50,17.66,18.00,"258,000",18.00
"Apr 12, 2016",17.01,17.82,16.85,17.62,"240,700",17.62
"Apr 11, 2016",17.47,17.77,16.73,17.08,"197,600",17.08
"Apr 8, 2016",18.20,18.47,17.30,17.43,"149,600",17.43
"Apr 7, 2016",18.38,18.67,17.78,17.98,"143,600",17.98
"Apr 6, 2016",17.45,18.94,17.45,18.58,"192,100",18.58
"Apr 5, 2016",18.35,18.75,17.48,17.52,"161,600",17.52
"Apr 4, 2016",18.33,19.11,18.23,18.52,"203,300",18.52
"Apr 1, 2016",18.02,18.50,17.65,18.25,"130,200",18.25
"Mar 31, 2016",17.36,18.66,17.36,18.18,"194,200",18.18
"Mar 30, 2016",18.00,18.50,17.16,17.21,"183,700",17.21
"Mar 29, 2016",16.87,17.56,16.05,17.49,"322,900",17.49
"Mar 28, 2016",17.28,17.48,16.43,16.76,"169,700",16.76
"Mar 24, 2016",16.77,17.45,16.25,17.11,"145,000",17.11
"Mar 23, 2016",17.62,18.36,16.77,16.81,"147,900",16.81
"Mar 22, 2016",17.47,17.91,17.33,17.58,"146,400",17.58
"Mar 21, 2016",16.53,17.80,16.53,17.50,"177,600",17.50
"Mar 18, 2016",16.32,17.62,15.85,16.60,"259,500",16.60
"Mar 17, 2016",16.33,16.53,15.30,16.19,"165,800",16.19
"Mar 16, 2016",16.83,17.00,15.99,16.46,"238,000",16.46
"Mar 15, 2016",18.33,18.38,16.42,16.65,"212,000",16.65
"Mar 14, 2016",17.65,18.43,17.56,18.21,"219,700",18.21
"Mar 11, 2016",16.87,17.72,16.61,17.47,"311,000",17.47
"Mar 10, 2016",17.60,17.85,16.52,16.73,"193,900",16.73
"Mar 9, 2016",18.22,18.53,16.83,17.37,"306,500",17.37
"Mar 8, 2016",19.62,19.62,18.13,18.21,"389,000",18.21
"Mar 7, 2016",17.95,18.98,17.67,18.66,"409,900",18.66
"Mar 4, 2016",17.19,18.42,17.02,17.60,"361,100",17.60
"Mar 3, 2016",16.92,17.48,16.86,17.20,"365,500",17.20
"Mar 2, 2016",15.77,16.99,15.30,16.97,"310,400",16.97
"Mar 1, 2016",14.91,15.92,14.75,15.78,"265,100",15.78
"Feb 29, 2016",15.15,15.65,14.77,14.83,"171,200",14.83
"Feb 26, 2016",14.39,15.31,14.25,15.01,"290,200",15.01
"Feb 25, 2016",14.97,15.13,14.26,14.34,"176,900",14.34
