Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",6.02,6.26,5.81,5.86,"1,973,900",5.86
"Jun 10, 2016",6.57,6.70,6.03,6.05,"4,266,400",6.05
"Jun 9, 2016",6.83,7.01,6.70,6.71,"1,652,000",6.71
"Jun 8, 2016",7.07,7.18,6.88,6.92,"1,782,900",6.92
"Jun 7, 2016",7.22,7.28,7.04,7.04,"1,578,100",7.04
"Jun 6, 2016",7.19,7.26,6.97,7.16,"1,841,600",7.16
"Jun 3, 2016",7.67,7.81,7.16,7.17,"3,038,900",7.17
"Jun 2, 2016",7.17,7.88,7.16,7.71,"3,408,200",7.71
"Jun 1, 2016",7.05,7.27,7.01,7.18,"4,753,100",7.18
"May 31, 2016",7.06,7.20,6.89,7.08,"3,926,300",7.08
"May 27, 2016",7.03,7.12,6.94,7.06,"1,154,900",7.06
"May 26, 2016",7.12,7.20,7.00,7.03,"1,740,200",7.03
"May 25, 2016",7.19,7.25,7.03,7.10,"1,467,300",7.10
"May 24, 2016",6.98,7.18,6.82,7.14,"1,812,300",7.14
"May 23, 2016",6.84,7.00,6.79,6.92,"1,559,000",6.92
"May 20, 2016",6.97,6.99,6.72,6.84,"1,492,000",6.84
"May 19, 2016",7.03,7.23,6.75,6.91,"1,705,400",6.91
"May 18, 2016",6.76,7.25,6.68,7.07,"3,477,700",7.07
"May 17, 2016",6.77,6.89,6.58,6.61,"1,629,800",6.61
"May 16, 2016",6.43,6.81,6.32,6.79,"1,576,600",6.79
"May 13, 2016",6.45,6.62,6.26,6.34,"1,419,500",6.34
"May 12, 2016",6.65,6.86,6.28,6.47,"1,817,900",6.47
"May 11, 2016",6.53,7.02,6.50,6.57,"1,716,600",6.57
"May 10, 2016",6.67,6.73,6.28,6.57,"2,828,000",6.57
"May 9, 2016",6.40,6.77,6.40,6.61,"2,201,200",6.61
"May 6, 2016",6.50,6.55,6.26,6.44,"1,600,900",6.44
"May 5, 2016",6.87,6.91,6.51,6.53,"1,486,500",6.53
"May 4, 2016",7.07,7.26,6.81,6.81,"2,083,300",6.81
"May 3, 2016",7.40,7.51,7.05,7.07,"1,749,700",7.07
"May 2, 2016",7.51,7.70,7.31,7.53,"2,938,300",7.53
"Apr 29, 2016",7.70,7.83,7.36,7.47,"1,758,200",7.47
"Apr 28, 2016",7.71,8.05,7.60,7.75,"1,593,400",7.75
"Apr 27, 2016",7.91,7.91,7.65,7.78,"1,390,300",7.78
"Apr 26, 2016",8.08,8.14,7.78,7.97,"1,657,500",7.97
"Apr 25, 2016",8.02,8.40,8.00,8.11,"1,830,000",8.11
"Apr 22, 2016",8.06,8.14,7.78,8.05,"1,570,800",8.05
"Apr 21, 2016",7.77,8.10,7.74,8.03,"2,199,600",8.03
"Apr 20, 2016",7.62,7.90,7.55,7.80,"1,550,100",7.80
"Apr 19, 2016",7.90,7.91,7.48,7.60,"2,111,200",7.60
"Apr 18, 2016",7.65,8.01,7.57,7.90,"2,101,600",7.90
"Apr 15, 2016",7.96,8.00,7.69,7.75,"2,290,500",7.75
"Apr 14, 2016",8.15,8.25,7.92,7.99,"1,815,100",7.99
"Apr 13, 2016",8.06,8.25,7.83,8.15,"2,898,200",8.15
"Apr 12, 2016",8.33,8.45,7.84,7.94,"5,846,000",7.94
"Apr 11, 2016",8.14,8.19,7.76,7.82,"1,917,900",7.82
"Apr 8, 2016",8.47,8.47,7.96,8.11,"1,945,500",8.11
"Apr 7, 2016",8.44,8.70,8.10,8.25,"3,087,700",8.25
"Apr 6, 2016",8.45,8.68,8.36,8.61,"2,609,000",8.61
"Apr 5, 2016",8.10,8.49,7.81,8.41,"2,891,100",8.41
"Apr 4, 2016",8.94,8.99,8.19,8.25,"4,237,600",8.25
"Apr 1, 2016",8.38,9.83,8.28,8.69,"9,120,900",8.69
"Mar 31, 2016",8.16,8.74,7.95,8.45,"3,424,500",8.45
"Mar 30, 2016",8.05,8.58,7.85,7.99,"3,890,400",7.99
"Mar 29, 2016",7.62,8.12,7.31,8.11,"2,253,000",8.11
"Mar 28, 2016",7.91,7.91,7.52,7.68,"1,276,000",7.68
"Mar 24, 2016",7.51,8.05,7.29,7.76,"1,622,700",7.76
"Mar 23, 2016",8.27,8.44,7.64,7.65,"1,931,300",7.65
"Mar 22, 2016",7.75,8.33,7.75,8.30,"2,821,500",8.30
"Mar 21, 2016",7.82,8.39,7.64,7.73,"2,568,800",7.73
"Mar 18, 2016",7.33,8.14,7.00,7.86,"6,829,100",7.86
"Mar 17, 2016",7.20,7.49,6.90,7.27,"2,601,300",7.27
"Mar 16, 2016",7.46,7.71,6.80,7.21,"2,056,900",7.21
"Mar 15, 2016",7.85,7.90,7.44,7.50,"2,101,500",7.50
"Mar 14, 2016",7.91,8.17,7.79,8.02,"1,661,800",8.02
"Mar 11, 2016",7.57,8.02,7.33,7.91,"1,950,000",7.91
"Mar 10, 2016",7.52,7.89,7.06,7.40,"2,013,300",7.40
"Mar 9, 2016",7.78,7.97,7.17,7.50,"2,512,400",7.50
"Mar 8, 2016",8.59,8.60,7.61,7.68,"2,796,000",7.68
"Mar 7, 2016",7.42,8.48,7.21,8.24,"2,658,500",8.24
"Mar 4, 2016",7.72,7.94,7.48,7.55,"2,278,200",7.55
"Mar 3, 2016",8.00,8.15,7.29,7.68,"2,784,800",7.68
"Mar 2, 2016",6.83,8.01,6.83,7.98,"5,754,600",7.98
"Mar 1, 2016",6.39,6.87,6.27,6.85,"4,711,500",6.85
"Feb 29, 2016",6.30,6.55,6.01,6.16,"2,545,700",6.16
"Feb 26, 2016",5.94,6.32,5.76,6.23,"1,937,500",6.23
"Feb 25, 2016",6.78,7.03,6.27,6.44,"2,760,400",6.44
"Feb 24, 2016",6.86,7.07,6.25,6.56,"2,113,000",6.56
"Feb 23, 2016",7.12,7.53,6.85,6.95,"3,529,000",6.95
"Feb 22, 2016",6.91,7.25,6.91,7.16,"2,683,100",7.16
"Feb 19, 2016",6.40,6.81,6.22,6.77,"1,522,000",6.77
"Feb 18, 2016",6.64,6.96,6.42,6.45,"2,199,800",6.45
"Feb 17, 2016",5.94,6.79,5.93,6.57,"3,373,100",6.57
"Feb 16, 2016",5.50,5.82,5.37,5.82,"2,425,500",5.82
"Feb 12, 2016",5.37,5.48,4.99,5.33,"2,419,200",5.33
"Feb 11, 2016",5.17,5.41,5.09,5.24,"1,310,400",5.24
"Feb 10, 2016",5.33,5.70,5.15,5.39,"1,686,300",5.39
"Feb 9, 2016",5.14,5.64,5.00,5.28,"1,623,600",5.28
"Feb 8, 2016",5.86,5.95,5.10,5.16,"2,407,400",5.16
"Feb 5, 2016",6.37,6.37,5.84,5.99,"2,019,400",5.99
"Feb 4, 2016",5.85,6.48,5.73,6.40,"2,601,400",6.40
"Feb 3, 2016",6.10,6.19,5.64,5.85,"2,153,800",5.85
"Feb 2, 2016",5.95,6.06,5.76,6.04,"1,822,000",6.04
"Feb 1, 2016",6.03,6.21,5.78,6.13,"1,889,000",6.13
"Jan 29, 2016",5.77,6.27,5.71,6.04,"2,455,700",6.04
"Jan 28, 2016",6.33,6.43,5.71,5.78,"2,430,200",5.78
"Jan 27, 2016",6.85,6.93,6.21,6.25,"2,121,800",6.25
"Jan 26, 2016",7.30,7.31,6.65,6.84,"2,117,900",6.84
"Jan 25, 2016",7.44,7.81,7.20,7.22,"2,358,000",7.22
"Jan 22, 2016",7.50,7.67,7.30,7.51,"2,056,200",7.51
"Jan 21, 2016",7.32,7.83,6.94,7.26,"2,884,600",7.26
"Jan 20, 2016",6.58,7.43,6.31,7.22,"2,584,500",7.22
"Jan 19, 2016",7.28,7.54,6.69,6.79,"3,211,000",6.79
"Jan 15, 2016",6.85,7.55,6.69,7.36,"3,769,200",7.36
"Jan 14, 2016",6.45,7.44,6.00,7.42,"2,372,000",7.42
"Jan 13, 2016",7.37,7.57,6.50,6.54,"2,271,800",6.54
"Jan 12, 2016",7.42,7.84,6.96,7.31,"2,155,300",7.31
"Jan 11, 2016",7.71,8.05,6.96,7.31,"1,962,800",7.31
"Jan 8, 2016",8.11,8.29,7.80,7.85,"1,348,900",7.85
"Jan 7, 2016",8.63,8.63,7.92,8.05,"2,280,500",8.05
"Jan 6, 2016",8.99,9.14,8.63,8.79,"1,590,500",8.79
"Jan 5, 2016",9.11,9.60,8.94,9.21,"1,488,700",9.21
"Jan 4, 2016",9.40,9.52,8.99,9.03,"2,146,100",9.03
"Dec 31, 2015",9.60,9.99,9.33,9.70,"2,231,300",9.70
"Dec 30, 2015",9.66,9.85,9.62,9.64,"1,101,000",9.64
"Dec 29, 2015",9.50,9.66,9.36,9.64,"1,224,300",9.64
"Dec 28, 2015",9.30,9.71,9.06,9.39,"1,693,600",9.39
"Dec 24, 2015",9.64,9.75,9.15,9.40,"1,311,900",9.40
"Dec 23, 2015",9.73,9.89,9.60,9.67,"1,080,200",9.67
"Dec 22, 2015",9.76,9.98,9.45,9.61,"1,471,900",9.61
"Dec 21, 2015",9.18,9.68,9.00,9.67,"1,562,700",9.67
"Dec 18, 2015",8.99,9.87,8.98,9.12,"8,104,900",9.12
"Dec 17, 2015",9.55,9.77,9.01,9.02,"1,680,600",9.02
"Dec 16, 2015",9.23,9.55,9.12,9.53,"1,694,400",9.53
"Dec 15, 2015",9.20,9.53,8.95,9.15,"1,896,900",9.15
"Dec 14, 2015",9.39,9.57,8.80,8.98,"1,905,100",8.98
"Dec 11, 2015",9.71,10.00,9.37,9.41,"1,195,200",9.41
"Dec 10, 2015",9.59,10.04,9.58,9.98,"1,132,500",9.98
"Dec 9, 2015",9.99,10.02,9.45,9.57,"1,278,100",9.57
"Dec 8, 2015",9.61,10.12,9.38,10.07,"1,138,900",10.07
"Dec 7, 2015",10.52,10.54,9.66,9.85,"1,486,700",9.85
"Dec 4, 2015",10.07,10.64,9.64,10.53,"1,896,400",10.53
"Dec 3, 2015",10.80,10.80,9.88,10.05,"1,726,200",10.05
"Dec 2, 2015",10.51,11.02,10.47,10.70,"1,337,000",10.70
"Dec 1, 2015",10.75,10.75,10.10,10.57,"1,858,600",10.57
"Nov 30, 2015",11.58,11.58,10.38,10.73,"2,359,300",10.73
"Nov 27, 2015",11.30,11.78,11.22,11.53,"1,044,300",11.53
"Nov 25, 2015",11.26,11.74,11.08,11.33,"1,896,600",11.33
"Nov 24, 2015",10.71,11.24,10.66,11.19,"1,472,300",11.19
"Nov 23, 2015",10.73,11.09,10.50,10.73,"1,008,900",10.73
"Nov 20, 2015",10.26,10.87,10.25,10.70,"1,470,700",10.70
"Nov 19, 2015",10.39,10.72,10.22,10.34,"1,362,800",10.34
"Nov 18, 2015",9.52,10.40,9.45,10.37,"2,089,600",10.37
"Nov 17, 2015",10.04,10.04,9.24,9.44,"3,970,500",9.44
"Nov 16, 2015",10.41,10.65,10.00,10.13,"2,173,000",10.13
"Nov 13, 2015",10.01,10.74,9.83,10.48,"2,035,500",10.48
"Nov 12, 2015",10.10,10.33,9.88,9.99,"1,301,300",9.99
"Nov 11, 2015",10.33,10.51,10.07,10.14,"1,658,800",10.14
"Nov 10, 2015",10.32,10.45,9.53,10.08,"2,882,100",10.08
"Nov 9, 2015",10.64,10.79,10.19,10.29,"2,940,500",10.29
"Nov 6, 2015",10.08,10.73,10.01,10.67,"3,789,500",10.67
"Nov 5, 2015",9.47,10.32,9.23,10.12,"4,260,400",10.12
"Nov 4, 2015",8.80,9.72,8.02,9.50,"5,073,000",9.50
"Nov 3, 2015",8.55,9.35,8.53,8.83,"4,966,300",8.83
"Nov 2, 2015",7.57,8.77,7.43,8.72,"4,691,100",8.72
"Oct 30, 2015",7.50,7.80,7.31,7.50,"2,741,700",7.50
"Oct 29, 2015",7.21,7.80,7.15,7.56,"4,042,800",7.56
"Oct 28, 2015",6.78,7.40,6.65,7.35,"3,694,600",7.35
"Oct 27, 2015",6.63,6.89,6.46,6.87,"2,746,200",6.87
"Oct 26, 2015",6.59,6.79,6.37,6.57,"2,208,100",6.57
"Oct 23, 2015",6.05,6.65,5.98,6.59,"2,830,500",6.59
"Oct 22, 2015",6.15,6.39,5.86,5.95,"3,930,300",5.95
"Oct 21, 2015",6.71,6.76,6.15,6.17,"3,388,700",6.17
"Oct 20, 2015",6.81,6.90,6.51,6.66,"2,092,100",6.66
"Oct 19, 2015",7.01,7.14,6.63,6.90,"2,592,700",6.90
"Oct 16, 2015",7.25,7.44,6.86,7.04,"2,198,700",7.04
"Oct 15, 2015",6.81,7.30,6.64,7.27,"3,255,000",7.27
"Oct 14, 2015",6.91,7.25,6.61,6.73,"4,087,000",6.73
"Oct 13, 2015",7.31,7.50,6.84,6.85,"3,725,300",6.85
"Oct 12, 2015",7.57,7.67,7.25,7.40,"3,482,900",7.40
"Oct 9, 2015",6.97,7.71,6.88,7.58,"5,152,000",7.58
"Oct 8, 2015",6.98,7.31,6.75,6.87,"4,858,500",6.87
"Oct 7, 2015",6.24,7.09,6.14,7.01,"8,669,300",7.01
"Oct 6, 2015",6.85,7.08,6.04,6.30,"8,378,400",6.30
"Oct 5, 2015",7.49,7.84,6.53,6.85,"17,795,400",6.85
"Oct 2, 2015",5.98,9.99,5.69,6.39,"55,625,800",6.39
"Oct 1, 2015",13.71,13.79,12.51,13.75,"3,452,500",13.75
"Sep 30, 2015",13.50,14.48,13.35,13.99,"3,734,500",13.99
"Sep 29, 2015",13.16,13.74,12.69,12.96,"2,754,600",12.96
"Sep 28, 2015",14.08,14.18,12.41,13.19,"3,514,800",13.19
"Sep 25, 2015",15.56,15.56,13.72,14.21,"3,362,800",14.21
"Sep 24, 2015",15.17,15.48,14.30,15.37,"2,609,700",15.37
"Sep 23, 2015",15.31,15.68,14.88,15.25,"2,295,000",15.25
"Sep 22, 2015",15.28,15.99,14.91,15.33,"2,381,700",15.33
"Sep 21, 2015",17.93,17.93,15.70,16.11,"3,436,000",16.11
"Sep 18, 2015",17.37,18.09,17.13,17.67,"5,611,800",17.67
"Sep 17, 2015",17.01,17.93,16.58,17.62,"1,950,600",17.62
"Sep 16, 2015",17.58,18.05,16.30,17.15,"3,859,900",17.15
"Sep 15, 2015",18.03,18.39,17.13,18.23,"2,981,900",18.23
"Sep 14, 2015",18.28,18.40,17.75,18.23,"2,384,900",18.23
"Sep 11, 2015",17.80,18.26,17.53,18.16,"2,009,800",18.16
"Sep 10, 2015",16.92,17.99,16.91,17.95,"1,886,600",17.95
"Sep 9, 2015",17.52,17.64,16.95,17.06,"1,910,400",17.06
"Sep 8, 2015",16.19,17.46,16.05,17.35,"2,490,200",17.35
"Sep 4, 2015",14.63,15.69,14.52,15.53,"1,538,300",15.53
"Sep 3, 2015",15.30,15.60,14.71,14.89,"1,850,900",14.89
"Sep 2, 2015",14.70,14.92,14.23,14.91,"1,809,300",14.91
"Sep 1, 2015",14.13,14.66,13.98,14.28,"2,460,700",14.28
"Aug 31, 2015",14.85,15.84,14.33,14.38,"2,301,100",14.38
"Aug 28, 2015",14.71,15.17,14.56,14.87,"914,600",14.87
"Aug 27, 2015",14.56,15.30,14.50,14.85,"1,366,200",14.85
"Aug 26, 2015",13.92,14.44,13.33,14.38,"1,894,900",14.38
"Aug 25, 2015",14.09,14.17,13.06,13.59,"1,899,800",13.59
"Aug 24, 2015",13.00,14.41,12.15,13.41,"2,298,500",13.41
"Aug 21, 2015",14.64,15.00,13.63,14.05,"3,983,800",14.05
"Aug 20, 2015",15.96,16.04,15.03,15.06,"1,182,000",15.06
"Aug 19, 2015",16.27,16.45,15.85,16.18,"906,400",16.18
"Aug 18, 2015",16.75,16.89,16.28,16.31,"1,049,700",16.31
"Aug 17, 2015",16.04,16.66,15.79,16.63,"1,140,700",16.63
"Aug 14, 2015",16.01,16.35,15.55,15.97,"1,301,200",15.97
"Aug 13, 2015",15.96,16.51,15.95,16.09,"994,100",16.09
"Aug 12, 2015",15.56,15.94,15.07,15.89,"2,188,800",15.89
"Aug 11, 2015",15.69,16.39,15.64,15.75,"1,638,900",15.75
"Aug 10, 2015",15.30,16.07,15.30,15.88,"1,643,400",15.88
"Aug 7, 2015",14.91,15.65,14.58,15.19,"2,460,300",15.19
"Aug 6, 2015",18.00,18.00,14.98,15.12,"4,040,200",15.12
"Aug 5, 2015",18.22,18.83,18.05,18.19,"1,934,900",18.19
"Aug 4, 2015",18.00,18.13,17.75,18.02,"1,539,700",18.02
"Aug 3, 2015",17.36,17.91,17.30,17.83,"1,825,600",17.83
"Jul 31, 2015",16.47,17.25,16.30,17.19,"3,041,100",17.19
"Jul 30, 2015",16.63,16.79,16.02,16.39,"1,313,200",16.39
"Jul 29, 2015",16.50,16.84,16.42,16.57,"1,347,500",16.57
"Jul 28, 2015",15.84,16.54,15.47,16.48,"1,322,400",16.48
"Jul 27, 2015",15.81,16.00,14.80,15.79,"2,038,600",15.79
"Jul 24, 2015",16.61,16.91,15.57,15.74,"1,550,600",15.74
"Jul 23, 2015",16.60,17.06,16.40,16.76,"1,247,900",16.76
"Jul 22, 2015",16.06,16.69,15.87,16.60,"1,270,900",16.60
"Jul 21, 2015",16.80,17.00,15.89,16.35,"2,209,200",16.35
"Jul 20, 2015",16.72,17.42,16.65,16.85,"2,482,200",16.85
"Jul 17, 2015",16.35,16.52,15.97,16.51,"1,867,900",16.51
"Jul 16, 2015",15.34,16.34,15.22,16.23,"2,513,700",16.23
"Jul 15, 2015",15.17,15.95,15.10,15.23,"1,947,000",15.23
"Jul 14, 2015",14.65,15.11,14.61,15.07,"1,988,900",15.07
"Jul 13, 2015",14.63,15.06,14.59,14.70,"2,243,400",14.70
"Jul 10, 2015",14.15,14.58,13.98,14.48,"1,768,800",14.48
"Jul 9, 2015",13.97,14.11,13.81,14.04,"1,169,500",14.04
"Jul 8, 2015",13.95,14.02,13.66,13.77,"1,430,000",13.77
"Jul 7, 2015",14.03,14.11,13.50,14.10,"1,734,700",14.10
"Jul 6, 2015",13.61,14.05,13.42,14.03,"1,881,800",14.03
"Jul 2, 2015",14.04,14.05,13.42,13.75,"1,940,900",13.75
"Jul 1, 2015",14.20,14.23,13.84,14.02,"2,488,500",14.02
"Jun 30, 2015",13.82,14.19,13.76,14.15,"2,574,500",14.15
"Jun 29, 2015",13.60,13.71,13.02,13.63,"2,735,600",13.63
"Jun 26, 2015",13.69,14.65,13.50,14.05,"16,924,900",14.05
"Jun 25, 2015",13.67,13.87,13.45,13.66,"1,314,000",13.66
"Jun 24, 2015",14.08,14.09,13.45,13.55,"1,370,200",13.55
"Jun 23, 2015",14.20,14.23,13.83,14.12,"1,800,500",14.12
"Jun 22, 2015",13.78,14.14,13.60,13.92,"2,145,300",13.92
"Jun 19, 2015",13.25,13.55,13.16,13.49,"2,665,300",13.49
"Jun 18, 2015",13.31,13.69,13.20,13.27,"1,508,300",13.27
"Jun 17, 2015",13.29,13.45,13.09,13.22,"1,267,700",13.22
"Jun 16, 2015",14.00,14.01,13.22,13.32,"2,547,600",13.32
"Jun 15, 2015",14.38,14.58,13.90,14.00,"3,051,600",14.00
"Jun 12, 2015",13.78,14.50,13.60,14.34,"11,920,600",14.34
"Jun 11, 2015",12.50,13.43,12.41,13.29,"2,578,100",13.29
"Jun 10, 2015",13.07,13.49,12.98,13.09,"1,985,800",13.09
"Jun 9, 2015",13.02,13.36,12.88,13.09,"2,808,600",13.09
"Jun 8, 2015",12.65,13.18,12.64,13.06,"3,186,100",13.06
"Jun 5, 2015",12.23,12.65,12.14,12.64,"1,360,900",12.64
"Jun 4, 2015",12.30,12.53,12.00,12.22,"930,800",12.22
"Jun 3, 2015",12.32,12.39,11.99,12.36,"955,100",12.36
"Jun 2, 2015",12.23,12.32,11.86,12.22,"1,021,000",12.22
"Jun 1, 2015",12.35,12.53,11.95,12.28,"1,198,700",12.28
"May 29, 2015",12.25,12.41,11.97,12.31,"1,432,200",12.31
"May 28, 2015",11.97,12.23,11.80,12.19,"999,200",12.19
"May 27, 2015",11.77,12.00,11.56,11.96,"960,100",11.96
"May 26, 2015",11.67,11.77,11.32,11.71,"1,142,300",11.71
"May 22, 2015",11.36,11.57,11.31,11.39,"616,900",11.39
"May 21, 2015",11.39,11.72,11.14,11.39,"1,278,800",11.39
"May 20, 2015",11.21,11.54,10.93,11.46,"1,185,300",11.46
"May 19, 2015",10.98,11.38,10.96,11.06,"1,060,900",11.06
"May 18, 2015",10.54,11.08,10.53,10.97,"921,000",10.97
"May 15, 2015",10.49,10.58,10.40,10.53,"557,300",10.53
"May 14, 2015",10.51,10.65,10.22,10.50,"748,400",10.50
"May 13, 2015",10.88,11.00,10.31,10.46,"1,004,400",10.46
"May 12, 2015",10.56,10.95,10.39,10.87,"842,200",10.87
"May 11, 2015",10.83,11.01,10.70,10.76,"1,253,400",10.76
"May 8, 2015",10.71,10.90,10.58,10.80,"715,500",10.80
"May 7, 2015",10.56,10.78,10.15,10.54,"1,079,400",10.54
"May 6, 2015",10.52,11.25,10.41,10.60,"2,662,900",10.60
