Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",6.63,6.80,6.17,6.20,"496,900",6.20
"Jun 10, 2016",6.87,6.87,6.62,6.66,"115,600",6.66
"Jun 9, 2016",7.05,7.11,6.83,6.90,"117,700",6.90
"Jun 8, 2016",7.15,7.19,7.00,7.09,"137,900",7.09
"Jun 7, 2016",7.13,7.42,7.00,7.11,"89,300",7.11
"Jun 6, 2016",7.27,7.36,7.02,7.17,"92,200",7.17
"Jun 3, 2016",7.26,7.29,7.07,7.22,"64,700",7.22
"Jun 2, 2016",7.14,7.33,7.10,7.25,"90,100",7.25
"Jun 1, 2016",7.21,7.30,7.09,7.21,"64,600",7.21
"May 31, 2016",7.20,7.38,7.04,7.29,"87,200",7.29
"May 27, 2016",7.02,7.17,6.79,7.15,"48,900",7.15
"May 26, 2016",7.00,7.08,6.80,7.00,"66,800",7.00
"May 25, 2016",6.99,7.12,6.84,6.99,"77,900",6.99
"May 24, 2016",6.89,6.98,6.84,6.93,"115,200",6.93
"May 23, 2016",6.81,6.98,6.76,6.84,"170,400",6.84
"May 20, 2016",6.40,6.84,6.40,6.80,"96,800",6.80
"May 19, 2016",6.53,6.58,6.27,6.40,"48,700",6.40
"May 18, 2016",6.35,6.60,6.26,6.51,"72,900",6.51
"May 17, 2016",6.81,6.84,6.30,6.41,"116,500",6.41
"May 16, 2016",6.03,6.90,5.98,6.84,"216,700",6.84
"May 13, 2016",5.97,6.05,5.85,5.96,"36,200",5.96
"May 12, 2016",6.18,6.18,5.75,5.92,"75,400",5.92
"May 11, 2016",6.77,6.77,6.13,6.13,"50,100",6.13
"May 10, 2016",6.49,7.14,6.41,6.60,"253,500",6.60
"May 9, 2016",6.08,6.50,6.08,6.41,"57,600",6.41
"May 6, 2016",6.28,6.38,6.00,6.03,"46,100",6.03
"May 5, 2016",6.52,6.63,6.23,6.30,"43,900",6.30
"May 4, 2016",6.68,6.91,6.45,6.49,"86,300",6.49
"May 3, 2016",6.36,7.07,6.36,6.75,"174,200",6.75
"May 2, 2016",6.38,6.42,6.01,6.39,"64,100",6.39
"Apr 29, 2016",6.60,6.60,6.20,6.31,"54,100",6.31
"Apr 28, 2016",6.68,6.90,6.54,6.58,"51,500",6.58
"Apr 27, 2016",6.78,6.93,6.59,6.67,"37,900",6.67
"Apr 26, 2016",6.86,6.96,6.61,6.79,"52,000",6.79
"Apr 25, 2016",7.22,7.22,6.85,6.91,"50,300",6.91
"Apr 22, 2016",7.06,7.32,6.95,7.17,"36,600",7.17
"Apr 21, 2016",6.97,7.24,6.96,7.07,"59,100",7.07
"Apr 20, 2016",6.91,7.11,6.90,7.03,"52,800",7.03
"Apr 19, 2016",6.99,7.07,6.70,6.91,"30,700",6.91
"Apr 18, 2016",6.91,7.07,6.84,6.94,"52,400",6.94
"Apr 15, 2016",6.79,7.01,6.72,6.90,"33,400",6.90
"Apr 14, 2016",6.73,7.02,6.53,6.84,"57,200",6.84
"Apr 13, 2016",6.40,6.71,6.29,6.65,"58,400",6.65
"Apr 12, 2016",6.42,6.56,6.28,6.36,"34,000",6.36
"Apr 11, 2016",6.91,6.95,6.43,6.46,"55,100",6.46
"Apr 8, 2016",7.41,7.41,6.81,6.86,"57,200",6.86
"Apr 7, 2016",7.43,7.60,7.31,7.32,"58,700",7.32
"Apr 6, 2016",7.19,7.67,7.16,7.49,"111,900",7.49
"Apr 5, 2016",7.20,7.32,7.11,7.18,"50,800",7.18
"Apr 4, 2016",6.85,7.27,6.85,7.22,"67,000",7.22
"Apr 1, 2016",6.48,6.80,6.45,6.79,"48,500",6.79
"Mar 31, 2016",6.63,6.75,6.48,6.52,"91,500",6.52
"Mar 30, 2016",6.60,6.79,6.47,6.56,"55,000",6.56
"Mar 29, 2016",5.93,6.64,5.87,6.54,"88,200",6.54
"Mar 28, 2016",6.01,6.09,5.73,5.95,"49,600",5.95
"Mar 24, 2016",6.00,6.28,5.85,5.98,"43,900",5.98
"Mar 23, 2016",6.29,6.40,6.01,6.05,"47,800",6.05
"Mar 22, 2016",6.11,6.34,6.11,6.28,"70,300",6.28
"Mar 21, 2016",6.00,6.26,5.98,6.12,"57,800",6.12
"Mar 18, 2016",5.98,6.05,5.80,6.03,"193,400",6.03
"Mar 17, 2016",5.77,6.00,5.48,5.92,"76,300",5.92
"Mar 16, 2016",5.82,5.90,5.54,5.79,"92,700",5.79
"Mar 15, 2016",6.01,6.03,5.79,5.84,"89,200",5.84
"Mar 14, 2016",5.91,6.27,5.91,6.15,"82,300",6.15
"Mar 11, 2016",5.80,5.96,5.70,5.91,"55,700",5.91
"Mar 10, 2016",5.96,6.04,5.67,5.75,"89,500",5.75
"Mar 9, 2016",5.95,6.11,5.81,5.89,"54,700",5.89
"Mar 8, 2016",6.22,6.22,5.80,5.94,"130,800",5.94
"Mar 7, 2016",5.84,6.41,5.77,6.28,"283,500",6.28
"Mar 4, 2016",5.86,6.00,5.74,5.88,"68,400",5.88
"Mar 3, 2016",6.04,6.28,5.73,5.90,"61,500",5.90
"Mar 2, 2016",5.96,6.21,5.69,6.05,"68,500",6.05
"Mar 1, 2016",5.78,5.90,5.70,5.90,"60,600",5.90
"Feb 29, 2016",5.77,5.93,5.70,5.73,"80,900",5.73
"Feb 26, 2016",5.71,5.81,5.60,5.78,"50,500",5.78
"Feb 25, 2016",5.80,5.83,5.60,5.69,"32,200",5.69
"Feb 24, 2016",5.65,5.83,5.62,5.79,"48,000",5.79
"Feb 23, 2016",5.70,5.87,5.63,5.76,"67,500",5.76
"Feb 22, 2016",5.88,5.94,5.64,5.69,"122,000",5.69
"Feb 19, 2016",5.72,5.95,5.72,5.87,"72,600",5.87
"Feb 18, 2016",6.17,6.17,5.71,5.74,"105,500",5.74
"Feb 17, 2016",6.27,6.32,5.91,6.16,"120,600",6.16
"Feb 16, 2016",6.25,6.25,6.03,6.24,"59,600",6.24
"Feb 12, 2016",6.13,6.16,5.89,6.10,"47,000",6.10
"Feb 11, 2016",5.85,6.15,5.77,6.07,"46,500",6.07
"Feb 10, 2016",5.85,6.19,5.76,5.90,"46,200",5.90
"Feb 9, 2016",5.85,6.00,5.67,5.79,"101,100",5.79
"Feb 8, 2016",6.21,6.27,5.88,5.96,"167,700",5.96
"Feb 5, 2016",6.49,6.68,6.25,6.29,"124,200",6.29
"Feb 4, 2016",6.36,6.89,6.25,6.54,"70,400",6.54
"Feb 3, 2016",6.55,6.56,6.23,6.38,"75,300",6.38
"Feb 2, 2016",6.65,6.79,6.46,6.50,"76,100",6.50
"Feb 1, 2016",6.42,6.77,6.39,6.76,"90,300",6.76
