Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",42.99,43.89,41.77,42.93,"479,900",42.93
"Jun 10, 2016",41.45,43.85,41.20,42.87,"561,500",42.87
"Jun 9, 2016",43.28,43.88,42.14,42.18,"469,900",42.18
"Jun 8, 2016",42.78,43.41,41.88,43.34,"401,700",43.34
"Jun 7, 2016",41.08,43.48,40.05,42.76,"525,100",42.76
"Jun 6, 2016",42.29,42.50,39.45,41.59,"544,300",41.59
"Jun 3, 2016",46.14,46.38,42.20,42.28,"778,100",42.28
"Jun 2, 2016",45.25,47.74,45.25,46.52,"587,600",46.52
"Jun 1, 2016",45.74,46.35,44.91,45.24,"365,000",45.24
"May 31, 2016",45.10,46.06,45.08,45.72,"515,900",45.72
"May 27, 2016",45.21,45.38,44.21,44.90,"309,700",44.90
"May 26, 2016",43.55,45.20,43.46,44.90,"356,100",44.90
"May 25, 2016",44.34,44.70,43.39,43.73,"377,800",43.73
"May 24, 2016",43.75,44.54,43.29,44.34,"525,900",44.34
"May 23, 2016",42.66,43.82,42.66,43.62,"450,100",43.62
"May 20, 2016",42.39,43.48,41.81,43.19,"395,200",43.19
"May 19, 2016",42.84,43.48,41.51,42.25,"326,800",42.25
"May 18, 2016",41.52,42.97,41.06,42.49,"548,000",42.49
"May 17, 2016",41.36,42.48,40.81,41.94,"580,200",41.94
"May 16, 2016",40.78,41.77,40.39,41.62,"511,300",41.62
"May 13, 2016",39.49,41.97,38.38,40.78,"463,400",40.78
"May 12, 2016",41.04,41.91,38.81,39.65,"470,900",39.65
"May 11, 2016",41.64,42.61,41.00,41.17,"409,800",41.17
"May 10, 2016",43.18,43.28,41.40,41.70,"465,000",41.70
"May 9, 2016",40.90,43.66,40.75,43.02,"745,700",43.02
"May 6, 2016",41.04,41.74,37.69,40.32,"1,057,300",40.32
"May 5, 2016",42.57,43.49,40.94,41.89,"686,200",41.89
"May 4, 2016",45.01,45.12,42.09,42.51,"702,700",42.51
"May 3, 2016",48.00,49.00,45.20,45.28,"710,700",45.28
"May 2, 2016",47.83,48.49,46.24,48.49,"598,700",48.49
"Apr 29, 2016",47.66,48.27,46.55,47.59,"624,800",47.59
"Apr 28, 2016",48.00,48.82,46.24,47.82,"579,800",47.82
"Apr 27, 2016",47.81,48.48,45.81,47.84,"483,100",47.84
"Apr 26, 2016",46.70,47.86,45.98,47.56,"605,900",47.56
"Apr 25, 2016",49.25,49.26,45.63,46.45,"954,700",46.45
"Apr 22, 2016",48.90,50.11,48.34,49.76,"573,900",49.76
"Apr 21, 2016",47.07,49.08,46.78,48.93,"651,600",48.93
"Apr 20, 2016",45.96,48.00,44.82,46.89,"790,900",46.89
"Apr 19, 2016",47.06,47.61,45.31,45.56,"558,400",45.56
"Apr 18, 2016",47.02,47.51,46.09,47.05,"671,200",47.05
"Apr 15, 2016",47.50,48.00,46.31,46.60,"618,700",46.60
"Apr 14, 2016",46.72,48.04,46.36,47.35,"582,800",47.35
"Apr 13, 2016",45.19,47.68,45.14,46.50,"760,300",46.50
"Apr 12, 2016",44.73,45.12,43.01,44.81,"468,200",44.81
"Apr 11, 2016",45.08,46.09,44.34,44.73,"647,600",44.73
"Apr 8, 2016",44.25,45.17,43.55,44.48,"727,000",44.48
"Apr 7, 2016",45.61,45.64,43.81,44.04,"926,400",44.04
"Apr 6, 2016",42.81,46.81,42.81,45.80,"1,493,800",45.80
"Apr 5, 2016",41.58,43.05,41.15,42.79,"981,700",42.79
"Apr 4, 2016",42.10,42.39,40.87,41.16,"520,000",41.16
"Apr 1, 2016",40.50,42.03,40.08,41.49,"691,400",41.49
"Mar 31, 2016",40.33,41.79,39.90,40.63,"687,100",40.63
"Mar 30, 2016",39.89,40.69,39.06,39.84,"768,400",39.84
"Mar 29, 2016",38.10,40.08,36.09,39.89,"982,000",39.89
"Mar 28, 2016",37.69,38.79,36.50,37.98,"703,600",37.98
"Mar 24, 2016",35.66,37.70,34.34,37.31,"452,800",37.31
"Mar 23, 2016",37.96,38.49,35.46,35.58,"431,200",35.58
"Mar 22, 2016",36.67,38.35,36.60,38.02,"589,000",38.02
"Mar 21, 2016",34.83,37.95,34.60,37.06,"729,000",37.06
"Mar 18, 2016",33.54,35.47,32.91,35.08,"952,900",35.08
"Mar 17, 2016",32.37,33.80,31.19,33.39,"682,700",33.39
"Mar 16, 2016",32.42,33.80,31.70,32.58,"609,400",32.58
"Mar 15, 2016",33.43,33.43,31.53,32.11,"491,700",32.11
"Mar 14, 2016",34.06,34.84,33.00,33.69,"693,200",33.69
"Mar 11, 2016",33.10,35.50,32.21,33.52,"1,062,100",33.52
"Mar 10, 2016",33.47,34.89,30.35,30.90,"430,900",30.90
