Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",2.75,2.78,2.69,2.71,"1,885,500",2.71
"Jun 10, 2016",2.78,2.81,2.73,2.77,"1,667,600",2.77
"Jun 9, 2016",2.92,2.93,2.81,2.81,"1,669,000",2.81
"Jun 8, 2016",2.99,3.02,2.93,2.95,"1,473,700",2.95
"Jun 7, 2016",3.09,3.09,2.97,2.98,"1,398,600",2.98
"Jun 6, 2016",2.97,3.15,2.91,3.12,"2,253,100",3.12
"Jun 3, 2016",3.07,3.09,2.96,2.96,"1,742,900",2.96
"Jun 2, 2016",2.97,3.08,2.97,3.07,"1,636,800",3.07
"Jun 1, 2016",2.95,3.04,2.92,2.98,"1,537,100",2.98
"May 31, 2016",2.86,2.98,2.85,2.96,"2,336,400",2.96
"May 27, 2016",2.82,2.85,2.75,2.85,"1,073,400",2.85
"May 26, 2016",2.94,2.94,2.81,2.81,"2,141,800",2.81
"May 25, 2016",2.93,3.03,2.90,2.94,"2,204,200",2.94
"May 24, 2016",2.87,2.93,2.83,2.92,"1,600,000",2.92
"May 23, 2016",2.82,2.93,2.79,2.84,"1,336,900",2.84
"May 20, 2016",2.72,2.82,2.72,2.82,"1,617,700",2.82
"May 19, 2016",2.80,2.84,2.68,2.68,"1,640,200",2.68
"May 18, 2016",2.73,2.88,2.73,2.81,"1,456,500",2.81
"May 17, 2016",2.74,2.84,2.72,2.74,"1,596,000",2.74
"May 16, 2016",2.69,2.81,2.66,2.76,"1,804,500",2.76
"May 13, 2016",2.64,2.73,2.61,2.64,"1,800,300",2.64
"May 12, 2016",2.77,2.79,2.63,2.63,"2,149,600",2.63
"May 11, 2016",2.80,2.87,2.75,2.75,"1,419,200",2.75
"May 10, 2016",2.80,2.90,2.74,2.82,"1,449,800",2.82
"May 9, 2016",2.66,2.81,2.66,2.77,"1,870,500",2.77
"May 6, 2016",2.65,2.76,2.59,2.67,"1,970,300",2.67
"May 5, 2016",2.75,2.79,2.67,2.70,"2,031,400",2.70
"May 4, 2016",2.83,2.85,2.69,2.73,"3,137,900",2.73
"May 3, 2016",2.98,3.00,2.84,2.84,"2,144,500",2.84
"May 2, 2016",2.99,3.01,2.88,3.00,"1,626,500",3.00
"Apr 29, 2016",3.04,3.10,2.94,2.95,"1,816,400",2.95
"Apr 28, 2016",3.08,3.16,3.03,3.04,"1,530,300",3.04
"Apr 27, 2016",3.14,3.14,3.02,3.09,"1,066,000",3.09
"Apr 26, 2016",3.23,3.27,3.06,3.11,"2,051,700",3.11
"Apr 25, 2016",3.29,3.35,3.21,3.21,"1,095,400",3.21
"Apr 22, 2016",3.26,3.27,3.17,3.27,"1,137,800",3.27
"Apr 21, 2016",3.20,3.30,3.14,3.26,"1,669,500",3.26
"Apr 20, 2016",3.27,3.32,3.14,3.22,"1,847,900",3.22
"Apr 19, 2016",3.33,3.35,3.23,3.24,"1,343,100",3.24
"Apr 18, 2016",3.26,3.35,3.21,3.32,"1,374,400",3.32
"Apr 15, 2016",3.25,3.33,3.21,3.26,"1,336,700",3.26
"Apr 14, 2016",3.26,3.32,3.20,3.28,"1,766,200",3.28
"Apr 13, 2016",3.15,3.20,3.04,3.20,"1,880,100",3.20
"Apr 12, 2016",3.07,3.13,3.03,3.10,"2,417,000",3.10
"Apr 11, 2016",3.15,3.21,3.06,3.07,"2,367,900",3.07
"Apr 8, 2016",3.24,3.29,3.11,3.15,"1,915,300",3.15
"Apr 7, 2016",3.28,3.34,3.18,3.20,"2,288,500",3.20
"Apr 6, 2016",3.10,3.29,3.08,3.29,"2,846,400",3.29
"Apr 5, 2016",3.15,3.26,3.06,3.07,"2,265,200",3.07
"Apr 4, 2016",3.05,3.32,3.04,3.18,"3,715,600",3.18
"Apr 1, 2016",2.89,3.04,2.83,3.00,"2,074,500",3.00
"Mar 31, 2016",2.89,3.00,2.85,2.92,"2,887,600",2.92
"Mar 30, 2016",2.90,3.05,2.84,2.87,"1,952,300",2.87
