Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",25.77,26.26,25.24,25.38,"234,700",25.38
"Jun 10, 2016",25.89,26.45,25.01,26.18,"187,000",26.18
"Jun 9, 2016",26.88,27.31,26.03,26.20,"238,200",26.20
"Jun 8, 2016",27.12,27.84,26.69,27.10,"170,500",27.10
"Jun 7, 2016",27.94,28.01,27.02,27.17,"162,500",27.17
"Jun 6, 2016",26.75,28.25,26.24,28.20,"258,600",28.20
"Jun 3, 2016",27.40,27.40,26.10,26.56,"157,600",26.56
"Jun 2, 2016",27.47,27.93,27.34,27.66,"157,900",27.66
"Jun 1, 2016",26.65,27.66,26.58,27.53,"187,500",27.53
"May 31, 2016",26.77,27.00,25.06,26.80,"177,300",26.80
"May 27, 2016",26.45,26.87,25.99,26.60,"98,300",26.60
"May 26, 2016",26.24,26.86,25.69,26.25,"112,900",26.25
"May 25, 2016",26.90,27.40,25.77,26.20,"247,000",26.20
"May 24, 2016",25.59,27.39,25.59,26.68,"339,000",26.68
"May 23, 2016",25.20,25.66,25.11,25.48,"178,200",25.48
"May 20, 2016",24.15,25.98,24.08,25.19,"331,700",25.19
"May 19, 2016",24.91,25.42,23.57,23.91,"300,800",23.91
"May 18, 2016",26.72,26.73,24.82,24.97,"512,900",24.97
"May 17, 2016",27.70,27.99,27.17,27.42,"205,900",27.42
"May 16, 2016",27.30,27.90,27.07,27.76,"161,200",27.76
"May 13, 2016",26.53,27.47,26.47,27.28,"155,900",27.28
"May 12, 2016",27.27,27.46,26.40,26.70,"167,300",26.70
"May 11, 2016",27.52,28.04,27.00,27.23,"208,300",27.23
"May 10, 2016",27.76,28.18,26.56,27.54,"194,200",27.54
"May 9, 2016",27.28,28.14,26.89,27.64,"181,500",27.64
"May 6, 2016",27.27,27.47,26.30,27.15,"207,300",27.15
"May 5, 2016",26.97,28.24,26.33,27.40,"513,400",27.40
"May 4, 2016",25.78,25.95,24.54,24.65,"255,800",24.65
"May 3, 2016",26.97,27.08,25.59,25.98,"309,900",25.98
"May 2, 2016",26.48,27.35,25.84,27.23,"181,700",27.23
"Apr 29, 2016",27.20,27.36,26.25,26.28,"117,400",26.28
"Apr 28, 2016",27.79,28.19,27.24,27.39,"127,100",27.39
"Apr 27, 2016",27.99,28.31,27.27,28.04,"96,800",28.04
"Apr 26, 2016",28.03,28.38,27.75,28.09,"94,100",28.09
"Apr 25, 2016",28.22,28.47,27.87,28.02,"177,700",28.02
"Apr 22, 2016",28.13,28.46,27.92,28.31,"153,200",28.31
"Apr 21, 2016",27.68,28.99,27.23,28.09,"226,200",28.09
"Apr 20, 2016",27.78,28.07,27.50,27.79,"127,200",27.79
"Apr 19, 2016",27.61,27.86,27.21,27.75,"152,700",27.75
"Apr 18, 2016",26.97,27.84,26.94,27.61,"98,200",27.61
"Apr 15, 2016",26.91,27.37,26.77,27.02,"125,200",27.02
"Apr 14, 2016",26.75,27.14,26.32,27.04,"135,100",27.04
"Apr 13, 2016",26.60,26.85,25.87,26.68,"197,500",26.68
"Apr 12, 2016",25.88,26.34,25.41,26.31,"150,300",26.31
"Apr 11, 2016",26.59,26.60,25.74,26.01,"151,300",26.01
"Apr 8, 2016",27.06,27.06,25.55,26.51,"362,700",26.51
"Apr 7, 2016",26.54,27.42,26.18,26.82,"264,500",26.82
"Apr 6, 2016",24.78,26.72,24.78,26.67,"212,400",26.67
"Apr 5, 2016",25.33,25.50,24.64,24.70,"159,800",24.70
"Apr 4, 2016",25.48,26.00,25.35,25.56,"143,300",25.56
"Apr 1, 2016",24.64,25.74,24.26,25.48,"123,100",25.48
"Mar 31, 2016",24.63,25.16,24.40,24.77,"140,300",24.77
