Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",84.03,84.81,83.90,83.98,"8,180,200",83.98
"Jun 10, 2016",84.98,85.17,84.08,84.45,"8,029,000",84.45
"Jun 9, 2016",86.92,87.25,85.65,85.77,"8,049,900",85.77
"Jun 8, 2016",87.52,88.09,86.82,87.42,"7,271,200",87.42
"Jun 7, 2016",87.54,88.24,86.90,87.50,"7,911,900",87.50
"Jun 6, 2016",86.17,87.87,86.10,87.60,"8,581,700",87.60
"Jun 3, 2016",86.85,86.98,85.55,86.15,"7,420,000",86.15
"Jun 2, 2016",86.69,87.07,85.86,86.72,"7,273,200",86.72
"Jun 1, 2016",87.23,87.30,86.31,86.58,"7,441,400",86.58
"May 31, 2016",86.40,87.23,86.05,87.06,"12,289,900",87.06
"May 27, 2016",85.82,86.02,85.20,85.82,"6,122,900",85.82
"May 26, 2016",86.44,86.50,85.05,85.29,"7,983,500",85.29
"May 25, 2016",86.80,87.00,85.70,86.51,"11,621,400",86.51
"May 24, 2016",83.78,86.44,83.71,86.22,"13,139,600",86.22
"May 23, 2016",83.02,84.03,82.25,83.33,"7,755,400",83.33
"May 20, 2016",82.17,83.08,82.07,82.64,"7,927,500",82.64
"May 19, 2016",82.31,82.59,81.28,82.14,"9,243,900",82.14
"May 18, 2016",82.74,83.44,82.33,82.88,"7,475,100",82.88
"May 17, 2016",83.50,83.74,82.45,82.76,"8,364,400",82.76
"May 16, 2016",82.70,83.83,82.50,83.61,"6,490,400",83.61
"May 13, 2016",82.66,83.87,82.41,82.70,"8,303,100",82.70
"May 12, 2016",84.10,84.30,81.70,82.76,"12,057,200",82.76
"May 11, 2016",86.39,86.40,83.81,83.90,"8,387,200",83.90
"May 10, 2016",86.41,86.48,84.89,86.18,"6,824,600",86.18
"May 9, 2016",84.99,86.46,84.70,85.67,"8,451,600",85.67
"May 6, 2016",85.67,85.84,84.04,84.68,"9,249,900",84.68
"May 5, 2016",86.35,86.40,85.20,85.86,"8,018,600",85.86
"May 4, 2016",86.66,86.99,85.41,85.60,"12,058,200",85.60
"May 3, 2016",88.67,89.12,87.00,87.17,"9,751,500",87.17
"May 2, 2016",88.70,89.45,86.75,89.00,"13,472,100",89.00
"Apr 29, 2016",91.19,92.53,87.80,88.21,"33,471,400",88.21
"Apr 28, 2016",100.41,100.75,96.80,97.00,"15,043,500",97.00
"Apr 27, 2016",101.30,101.78,100.15,100.72,"8,561,000",100.72
"Apr 26, 2016",102.02,103.10,101.01,101.33,"9,299,000",101.33
"Apr 25, 2016",101.84,102.38,101.50,102.29,"8,278,300",102.29
"Apr 22, 2016",101.56,102.45,100.50,101.93,"10,227,000",101.93
"Apr 21, 2016",99.90,101.84,99.90,101.74,"8,981,500",101.74
"Apr 20, 2016",99.35,100.96,99.35,100.11,"8,856,500",100.11
"Apr 19, 2016",99.76,100.73,99.24,99.44,"9,780,100",99.44
"Apr 18, 2016",98.17,99.73,98.11,99.20,"8,059,500",99.20
"Apr 15, 2016",98.53,98.98,97.62,98.29,"8,899,800",98.29
"Apr 14, 2016",97.01,98.77,96.90,98.19,"8,737,200",98.19
"Apr 13, 2016",97.84,97.97,96.65,97.19,"9,293,800",97.19
"Apr 12, 2016",96.00,97.40,95.50,97.24,"9,186,200",97.24
"Apr 11, 2016",96.41,97.05,95.74,95.83,"8,733,400",95.83
"Apr 8, 2016",96.21,97.45,95.58,96.09,"9,656,800",96.09
"Apr 7, 2016",97.21,97.63,95.09,95.57,"13,214,400",95.57
"Apr 6, 2016",95.49,97.50,95.48,97.44,"10,990,200",97.44
"Apr 5, 2016",93.55,96.69,93.50,95.57,"11,804,700",95.57
"Apr 4, 2016",94.35,95.00,93.75,94.24,"8,793,200",94.24
"Apr 1, 2016",91.34,94.38,91.04,94.12,"11,393,700",94.12
"Mar 31, 2016",91.90,92.75,91.54,91.86,"13,635,000",91.86
"Mar 30, 2016",92.47,93.57,91.56,91.97,"8,108,400",91.97
"Mar 29, 2016",92.19,92.24,90.61,92.20,"8,608,300",92.20
"Mar 28, 2016",92.07,94.31,91.94,92.46,"9,590,400",92.46
"Mar 24, 2016",89.61,92.82,89.44,91.32,"14,335,400",91.32
"Mar 23, 2016",90.96,92.22,89.97,90.08,"13,693,600",90.08
"Mar 22, 2016",92.14,93.96,92.05,93.72,"9,636,600",93.72
"Mar 21, 2016",90.00,93.01,90.00,92.67,"9,756,400",92.67
"Mar 18, 2016",90.02,90.73,89.54,90.27,"16,794,200",90.27
"Mar 17, 2016",89.79,90.37,88.81,89.53,"10,526,500",89.53
"Mar 16, 2016",88.96,90.88,88.91,90.28,"8,794,800",90.28
"Mar 15, 2016",89.92,90.07,89.03,89.44,"10,265,100",89.44
"Mar 14, 2016",90.00,91.21,89.34,90.46,"11,004,900",90.46
"Mar 14, 2016",0.43 Dividend,,,,,
"Mar 11, 2016",89.97,89.98,88.80,89.65,"10,581,000",89.22
"Mar 10, 2016",88.30,89.90,87.82,88.64,"10,884,500",88.21
"Mar 9, 2016",88.94,89.25,87.43,87.83,"10,428,100",87.41
"Mar 8, 2016",89.65,90.40,88.35,88.66,"11,056,800",88.23
"Mar 7, 2016",87.11,90.04,86.88,89.65,"13,100,600",89.22
"Mar 4, 2016",88.30,89.10,86.85,87.21,"21,201,900",86.79
"Mar 3, 2016",89.13,89.31,87.48,87.83,"12,374,600",87.41
"Mar 2, 2016",89.60,89.68,87.96,88.80,"10,557,200",88.37
"Mar 1, 2016",87.90,89.72,87.30,89.69,"11,746,100",89.26
"Feb 29, 2016",87.87,89.14,87.25,87.25,"12,732,500",86.83
"Feb 26, 2016",90.61,90.92,87.89,88.10,"13,349,700",87.68
"Feb 25, 2016",90.00,90.49,89.55,90.16,"9,171,500",89.73
"Feb 24, 2016",87.41,89.54,86.79,89.36,"8,338,400",88.93
"Feb 23, 2016",89.10,89.40,87.90,88.35,"8,394,500",87.93
"Feb 22, 2016",88.35,89.50,88.05,89.10,"9,749,400",88.67
"Feb 19, 2016",88.20,88.98,87.12,87.44,"12,897,800",87.02
"Feb 18, 2016",89.60,90.95,88.93,88.99,"11,427,500",88.56
"Feb 17, 2016",91.09,91.50,88.66,89.36,"22,772,800",88.93
"Feb 16, 2016",90.72,91.28,89.89,91.15,"12,278,000",90.71
"Feb 12, 2016",88.66,89.88,86.68,89.44,"11,311,700",89.01
"Feb 11, 2016",86.50,88.45,86.01,87.36,"13,013,400",86.94
"Feb 10, 2016",88.69,89.85,87.54,87.80,"13,462,300",87.38
"Feb 9, 2016",84.20,88.48,84.10,87.25,"14,322,700",86.83
"Feb 8, 2016",84.19,86.65,83.86,85.26,"19,111,300",84.85
"Feb 5, 2016",86.68,88.02,84.45,85.14,"15,732,800",84.73
"Feb 4, 2016",86.02,87.45,85.61,86.68,"14,538,700",86.26
"Feb 3, 2016",84.91,86.99,83.87,86.39,"24,497,700",85.98
"Feb 2, 2016",84.18,84.22,81.89,82.71,"16,895,600",82.31
"Feb 1, 2016",82.32,84.52,82.28,84.05,"17,943,600",83.65
"Jan 29, 2016",84.28,85.30,82.33,83.00,"37,029,000",82.60
"Jan 28, 2016",90.00,90.22,86.86,87.53,"14,168,300",87.11
"Jan 27, 2016",91.84,92.10,89.00,89.63,"12,520,300",89.20
"Jan 26, 2016",90.72,92.83,90.25,92.21,"6,889,200",91.77
"Jan 25, 2016",91.53,93.54,90.43,90.61,"10,188,400",90.18
"Jan 22, 2016",90.40,92.07,89.71,91.83,"9,160,700",91.39
"Jan 21, 2016",90.37,90.60,88.71,88.87,"12,158,300",88.44
"Jan 20, 2016",88.00,91.83,86.28,90.55,"19,676,300",90.12
"Jan 19, 2016",93.14,93.22,88.85,89.90,"14,373,700",89.47
"Jan 15, 2016",90.37,92.78,89.68,91.84,"18,108,300",91.40
"Jan 14, 2016",92.72,94.88,90.79,93.02,"16,303,200",92.57
"Jan 13, 2016",97.25,98.03,92.12,92.54,"12,135,700",92.10
"Jan 12, 2016",96.90,98.49,95.21,97.10,"9,830,100",96.63
"Jan 11, 2016",97.22,97.22,94.29,96.50,"12,322,500",96.04
"Jan 8, 2016",96.90,97.99,96.41,96.45,"11,976,000",95.99
"Jan 7, 2016",98.06,99.00,96.03,96.25,"12,944,600",95.79
"Jan 6, 2016",97.57,100.68,97.52,100.30,"12,540,700",99.82
"Jan 5, 2016",99.69,99.85,98.70,99.26,"9,260,800",98.78
"Jan 4, 2016",99.77,100.00,97.01,98.01,"14,904,400",97.54
"Dec 31, 2015",102.36,102.42,101.17,101.19,"6,245,200",100.70
"Dec 30, 2015",102.84,103.05,102.03,102.16,"4,876,300",101.67
"Dec 29, 2015",102.25,103.55,101.57,103.36,"7,647,300",102.86
"Dec 28, 2015",103.00,103.31,101.51,101.68,"5,270,900",101.19
"Dec 24, 2015",103.35,103.90,103.15,103.58,"2,656,900",103.08
"Dec 23, 2015",103.59,103.59,102.69,103.14,"7,279,900",102.65
"Dec 22, 2015",102.99,103.54,102.49,102.86,"7,151,200",102.37
"Dec 21, 2015",102.21,103.26,101.63,102.63,"8,306,500",102.14
"Dec 18, 2015",101.68,101.99,100.92,101.60,"15,768,500",101.11
"Dec 17, 2015",104.25,104.79,102.33,102.36,"7,614,400",101.87
"Dec 16, 2015",103.18,103.49,101.64,103.34,"10,950,300",102.84
"Dec 15, 2015",101.74,103.00,101.44,101.97,"11,678,500",101.48
"Dec 14, 2015",99.97,100.93,98.66,100.49,"10,251,300",100.01
"Dec 14, 2015",0.43 Dividend,,,,,
"Dec 11, 2015",101.35,102.47,99.67,100.03,"9,518,900",99.12
"Dec 10, 2015",102.45,103.06,101.56,102.62,"7,653,300",101.69
"Dec 9, 2015",103.25,104.33,101.50,101.95,"7,534,900",101.02
"Dec 8, 2015",102.07,104.07,101.73,103.53,"6,675,600",102.59
"Dec 7, 2015",104.11,104.15,102.25,102.91,"5,956,100",101.98
"Dec 4, 2015",101.44,104.16,101.25,104.07,"8,738,300",103.13
"Dec 3, 2015",104.32,104.59,100.50,101.38,"13,772,400",100.46
"Dec 2, 2015",105.00,105.57,104.30,104.44,"8,850,500",103.49
"Dec 1, 2015",106.35,107.38,104.65,105.85,"10,659,500",104.89
"Nov 30, 2015",108.21,108.31,105.69,105.96,"9,837,800",105.00
"Nov 27, 2015",108.14,108.63,107.62,108.00,"2,749,200",107.02
"Nov 25, 2015",106.57,108.07,106.31,107.78,"5,720,500",106.80
"Nov 24, 2015",105.75,106.80,105.50,106.57,"6,547,100",105.60
"Nov 23, 2015",106.70,107.65,105.93,106.36,"5,481,700",105.39
"Nov 20, 2015",107.34,107.97,106.42,106.54,"7,113,200",105.57
"Nov 19, 2015",108.00,108.05,106.21,106.51,"7,019,600",105.54
"Nov 18, 2015",104.49,108.22,104.45,108.13,"8,246,800",107.15
"Nov 17, 2015",104.45,104.89,103.50,104.53,"6,921,800",103.58
"Nov 16, 2015",102.90,104.00,101.64,103.81,"7,344,200",102.87
"Nov 13, 2015",104.09,104.18,102.12,102.57,"10,848,400",101.64
"Nov 12, 2015",106.94,107.10,104.16,104.23,"8,010,900",103.28
"Nov 11, 2015",108.91,109.23,107.03,107.19,"6,056,800",106.22
"Nov 10, 2015",108.10,109.37,107.94,108.85,"8,571,300",107.86
"Nov 9, 2015",108.00,108.53,107.08,108.11,"8,142,200",107.13
"Nov 6, 2015",107.00,108.34,106.36,108.34,"8,565,900",107.36
"Nov 5, 2015",108.33,108.39,106.05,107.83,"10,182,100",106.85
"Nov 4, 2015",109.60,109.73,107.30,108.98,"8,081,800",107.99
"Nov 3, 2015",109.40,109.54,108.32,109.10,"7,458,600",108.11
"Nov 2, 2015",108.76,109.95,108.32,109.60,"8,362,000",108.61
"Oct 30, 2015",109.52,109.86,108.08,108.13,"8,545,000",107.15
"Oct 29, 2015",108.18,110.77,107.69,109.21,"10,783,300",108.22
"Oct 28, 2015",109.00,109.21,105.94,108.13,"17,795,600",107.15
