Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",16.68,16.74,16.54,16.61,"1,237,900",16.61
"Jun 10, 2016",16.90,17.06,16.83,16.96,"1,202,800",16.96
"Jun 9, 2016",17.12,17.25,17.06,17.19,"1,923,500",17.19
"Jun 8, 2016",17.29,17.31,17.16,17.30,"1,809,300",17.30
"Jun 7, 2016",17.17,17.40,17.11,17.30,"1,597,600",17.30
"Jun 6, 2016",16.91,17.17,16.83,17.17,"1,030,700",17.17
"Jun 3, 2016",16.77,17.00,16.66,16.91,"2,856,800",16.91
"Jun 2, 2016",16.52,16.85,16.39,16.84,"1,150,200",16.84
"Jun 2, 2016",0.159 Dividend,,,,,
"Jun 1, 2016",16.49,16.97,16.45,16.96,"1,785,100",16.80
"May 31, 2016",16.11,16.59,16.11,16.53,"2,073,300",16.38
"May 27, 2016",15.99,16.16,15.87,16.10,"1,526,100",15.95
"May 26, 2016",15.84,16.03,15.79,15.97,"1,607,100",15.82
"May 25, 2016",15.62,15.83,15.62,15.79,"1,006,800",15.64
"May 24, 2016",15.14,15.65,15.12,15.57,"2,701,800",15.42
"May 23, 2016",15.00,15.33,14.99,15.23,"4,041,600",15.09
"May 20, 2016",14.67,14.97,14.67,14.84,"435,600",14.70
"May 19, 2016",14.71,14.74,14.45,14.54,"576,200",14.40
"May 18, 2016",14.70,14.79,14.64,14.77,"743,700",14.63
"May 17, 2016",14.86,14.88,14.54,14.60,"551,900",14.46
"May 16, 2016",14.76,14.94,14.69,14.90,"847,400",14.76
"May 13, 2016",14.80,14.88,14.68,14.78,"681,400",14.64
"May 12, 2016",14.97,15.02,14.83,14.88,"1,139,300",14.74
"May 11, 2016",15.00,15.05,14.88,14.90,"521,300",14.76
"May 10, 2016",15.07,15.17,14.97,15.07,"797,000",14.93
"May 9, 2016",14.95,15.15,14.95,15.01,"751,600",14.87
"May 6, 2016",15.24,15.24,14.80,14.91,"796,500",14.77
"May 5, 2016",15.29,15.31,15.09,15.26,"1,264,900",15.12
"May 4, 2016",15.69,15.71,15.21,15.24,"2,458,700",15.10
"May 3, 2016",15.77,15.91,15.66,15.86,"1,756,200",15.71
"May 2, 2016",15.64,15.91,15.64,15.90,"1,799,900",15.75
"Apr 29, 2016",15.75,15.80,15.59,15.72,"1,186,500",15.57
"Apr 28, 2016",15.80,15.88,15.58,15.77,"1,585,900",15.62
"Apr 27, 2016",15.96,16.08,15.83,15.92,"629,700",15.77
"Apr 26, 2016",16.02,16.03,15.84,15.93,"1,847,700",15.78
"Apr 25, 2016",15.83,16.06,15.74,16.05,"2,820,600",15.90
"Apr 22, 2016",15.74,15.99,15.70,15.89,"1,802,600",15.74
"Apr 21, 2016",15.51,15.84,15.51,15.76,"2,919,500",15.61
"Apr 20, 2016",15.54,15.67,15.43,15.48,"1,213,100",15.33
