Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",88.95,90.28,86.50,87.14,"397,000",87.14
"Jun 10, 2016",88.78,90.37,87.50,89.69,"370,100",89.69
"Jun 9, 2016",90.71,91.20,88.73,89.45,"336,400",89.45
"Jun 8, 2016",90.68,92.01,87.41,91.14,"358,200",91.14
"Jun 7, 2016",93.59,93.85,90.25,90.44,"431,000",90.44
"Jun 6, 2016",92.60,94.50,92.21,94.19,"367,700",94.19
"Jun 3, 2016",96.91,97.98,91.80,92.09,"668,000",92.09
"Jun 2, 2016",92.18,94.25,92.08,93.41,"342,300",93.41
"Jun 1, 2016",89.60,92.94,87.85,92.17,"441,600",92.17
"May 31, 2016",90.98,95.48,87.55,89.12,"914,400",89.12
"May 27, 2016",89.95,90.67,89.15,90.48,"261,200",90.48
"May 26, 2016",88.97,91.00,88.19,90.17,"570,900",90.17
"May 25, 2016",86.38,90.52,85.51,87.95,"662,900",87.95
"May 24, 2016",85.26,87.40,84.55,86.84,"413,800",86.84
"May 23, 2016",84.99,86.00,84.15,85.14,"488,700",85.14
"May 20, 2016",80.47,84.89,80.47,84.48,"410,000",84.48
"May 19, 2016",80.22,80.86,78.89,80.57,"198,200",80.57
"May 18, 2016",79.85,82.05,79.35,80.36,"249,500",80.36
"May 17, 2016",80.08,82.83,78.30,80.30,"297,400",80.30
"May 16, 2016",77.55,81.22,76.69,79.72,"468,200",79.72
"May 13, 2016",76.33,79.09,75.89,76.95,"271,200",76.95
"May 12, 2016",78.19,78.46,74.50,76.66,"459,600",76.66
"May 11, 2016",75.90,79.50,75.36,77.62,"392,000",77.62
"May 10, 2016",78.33,78.33,74.42,76.68,"535,000",76.68
"May 9, 2016",78.20,80.23,77.78,78.16,"401,100",78.16
"May 6, 2016",76.91,80.34,75.71,79.00,"491,700",79.00
"May 5, 2016",76.66,79.45,74.05,77.95,"610,800",77.95
"May 4, 2016",80.00,80.00,76.52,78.54,"476,300",78.54
"May 3, 2016",81.53,81.63,78.35,79.84,"347,800",79.84
"May 2, 2016",81.92,82.65,79.22,82.53,"292,200",82.53
"Apr 29, 2016",82.70,83.76,79.10,81.02,"383,100",81.02
"Apr 28, 2016",82.65,84.29,81.41,82.41,"222,800",82.41
"Apr 27, 2016",82.84,83.95,81.01,82.23,"337,800",82.23
"Apr 26, 2016",84.31,84.73,81.64,83.79,"430,000",83.79
"Apr 25, 2016",84.43,85.43,83.53,84.27,"293,500",84.27
"Apr 22, 2016",86.62,87.87,83.52,84.75,"338,900",84.75
"Apr 21, 2016",87.91,88.25,85.00,86.36,"493,000",86.36
"Apr 20, 2016",83.26,88.34,82.34,86.23,"803,500",86.23
"Apr 19, 2016",84.56,84.79,80.13,82.54,"609,200",82.54
"Apr 18, 2016",82.12,84.98,80.75,83.74,"467,900",83.74
"Apr 15, 2016",80.94,83.25,80.30,82.29,"269,600",82.29
"Apr 14, 2016",80.00,81.86,79.66,81.61,"305,800",81.61
"Apr 13, 2016",79.33,82.27,78.48,80.38,"342,300",80.38
"Apr 12, 2016",78.65,80.31,76.31,79.14,"551,400",79.14
"Apr 11, 2016",81.89,81.89,79.31,79.77,"506,100",79.77
"Apr 8, 2016",79.33,80.93,78.03,79.69,"428,700",79.69
"Apr 7, 2016",78.66,79.64,76.88,78.65,"483,600",78.65
"Apr 6, 2016",74.79,79.80,74.04,79.25,"680,700",79.25
"Apr 5, 2016",73.12,76.17,72.60,74.43,"376,100",74.43
"Apr 4, 2016",74.36,77.00,73.03,73.64,"599,000",73.64
"Apr 1, 2016",71.05,75.90,70.70,74.61,"599,000",74.61
"Mar 31, 2016",71.28,76.21,69.12,72.15,"1,166,200",72.15
"Mar 30, 2016",75.38,75.94,70.52,70.92,"935,300",70.92
"Mar 29, 2016",77.29,77.50,72.51,74.97,"992,900",74.97
"Mar 28, 2016",82.77,82.87,76.15,76.99,"1,007,600",76.99
"Mar 24, 2016",79.74,83.30,78.31,81.63,"669,600",81.63
"Mar 23, 2016",85.87,88.41,79.85,80.74,"1,001,900",80.74
"Mar 22, 2016",79.06,85.89,78.65,85.24,"960,000",85.24
"Mar 21, 2016",72.76,82.16,72.72,80.87,"957,600",80.87
"Mar 18, 2016",73.06,74.83,71.15,72.72,"701,500",72.72
"Mar 17, 2016",71.88,75.87,70.31,72.18,"1,121,500",72.18
"Mar 16, 2016",79.16,80.35,69.50,72.07,"1,777,500",72.07
"Mar 15, 2016",85.19,86.50,78.32,79.87,"2,378,300",79.87
"Mar 14, 2016",84.05,91.65,80.00,84.71,"10,546,200",84.71
"Mar 11, 2016",36.69,38.96,36.55,38.46,"352,800",38.46
"Mar 10, 2016",37.31,37.37,35.83,36.64,"435,100",36.64
"Mar 9, 2016",38.05,38.63,36.37,37.20,"364,600",37.20
"Mar 8, 2016",39.81,39.81,37.40,37.53,"457,300",37.53
