Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",8.65,8.92,8.62,8.67,"1,488,800",8.67
"Jun 10, 2016",8.79,8.97,8.60,8.75,"1,586,900",8.75
"Jun 9, 2016",9.08,9.23,8.91,8.97,"1,638,000",8.97
"Jun 8, 2016",9.20,9.27,8.91,9.21,"1,287,300",9.21
"Jun 7, 2016",9.40,9.41,8.88,9.17,"1,513,300",9.17
"Jun 6, 2016",9.62,9.62,8.60,9.50,"2,543,300",9.50
"Jun 3, 2016",10.35,10.35,9.59,9.63,"2,169,500",9.63
"Jun 2, 2016",9.96,10.39,9.96,10.39,"1,935,600",10.39
"Jun 1, 2016",9.98,10.14,9.76,9.96,"2,168,900",9.96
"May 31, 2016",9.96,10.38,9.89,10.06,"1,991,000",10.06
"May 27, 2016",9.90,10.05,9.79,10.00,"638,800",10.00
"May 26, 2016",10.05,10.10,9.77,9.89,"1,056,000",9.89
"May 25, 2016",9.83,10.10,9.68,10.07,"1,217,800",10.07
"May 24, 2016",9.42,9.73,9.39,9.70,"1,470,100",9.70
"May 23, 2016",9.15,9.49,9.08,9.32,"1,020,300",9.32
"May 20, 2016",8.96,9.22,8.92,9.15,"1,254,600",9.15
"May 19, 2016",9.00,9.30,8.77,8.91,"952,100",8.91
"May 18, 2016",8.80,9.26,8.79,9.07,"1,080,700",9.07
"May 17, 2016",9.00,9.29,8.79,8.83,"1,294,800",8.83
"May 16, 2016",8.83,9.23,8.72,9.08,"1,494,300",9.08
"May 13, 2016",8.51,8.91,8.45,8.74,"1,250,400",8.74
"May 12, 2016",8.74,8.82,8.22,8.57,"1,842,000",8.57
"May 11, 2016",9.81,9.81,8.62,8.63,"2,711,600",8.63
"May 10, 2016",10.34,10.54,9.37,9.85,"2,586,500",9.85
"May 9, 2016",9.51,9.90,9.49,9.72,"1,477,300",9.72
"May 6, 2016",9.50,9.90,9.25,9.50,"1,330,400",9.50
"May 5, 2016",9.99,10.10,9.44,9.63,"996,800",9.63
"May 4, 2016",10.11,10.12,9.82,9.90,"1,555,900",9.90
"May 3, 2016",10.67,10.72,10.18,10.22,"1,246,100",10.22
"May 2, 2016",10.63,10.85,10.26,10.85,"1,292,700",10.85
"Apr 29, 2016",10.79,10.98,10.47,10.55,"1,233,700",10.55
"Apr 28, 2016",10.91,11.32,10.68,10.84,"1,246,400",10.84
"Apr 27, 2016",11.06,11.10,10.59,10.95,"1,593,500",10.95
"Apr 26, 2016",11.91,11.93,10.85,11.22,"1,743,600",11.22
"Apr 25, 2016",12.00,12.31,11.88,11.92,"1,007,600",11.92
"Apr 22, 2016",12.04,12.17,11.68,11.99,"1,080,400",11.99
"Apr 21, 2016",11.83,12.32,11.75,12.05,"1,325,100",12.05
"Apr 20, 2016",11.83,12.12,11.61,11.90,"1,421,600",11.90
"Apr 19, 2016",12.09,12.21,11.31,11.72,"1,961,100",11.72
"Apr 18, 2016",11.87,12.17,11.72,12.00,"1,392,100",12.00
"Apr 15, 2016",11.75,12.05,11.47,11.97,"1,463,500",11.97
"Apr 14, 2016",11.99,12.33,11.67,11.82,"1,410,300",11.82
"Apr 13, 2016",11.13,11.77,11.06,11.76,"1,454,100",11.76
"Apr 12, 2016",10.85,11.10,10.63,11.02,"1,174,300",11.02
"Apr 11, 2016",11.08,11.29,10.78,10.84,"1,360,100",10.84
"Apr 8, 2016",11.30,11.39,10.74,11.00,"1,690,500",11.00
"Apr 7, 2016",10.99,11.45,10.61,11.03,"2,695,300",11.03
"Apr 6, 2016",10.07,11.04,10.07,11.04,"2,203,100",11.04
"Apr 5, 2016",10.03,10.39,9.87,10.03,"1,404,500",10.03
"Apr 4, 2016",9.79,10.67,9.79,10.13,"2,321,000",10.13
"Apr 1, 2016",9.33,9.91,9.23,9.75,"1,417,400",9.75
"Mar 31, 2016",9.32,9.84,9.27,9.47,"2,014,200",9.47
"Mar 30, 2016",9.06,9.70,9.06,9.26,"2,449,200",9.26
"Mar 29, 2016",8.61,8.95,8.25,8.93,"2,016,100",8.93
"Mar 28, 2016",8.97,9.13,8.56,8.66,"1,232,900",8.66
"Mar 24, 2016",8.84,9.18,8.53,8.87,"1,142,100",8.87
"Mar 23, 2016",9.29,9.53,8.84,8.93,"1,999,500",8.93
"Mar 22, 2016",9.02,9.43,9.00,9.31,"1,698,900",9.31
"Mar 21, 2016",8.37,9.29,8.30,9.08,"2,385,100",9.08
"Mar 18, 2016",8.16,8.54,7.90,8.39,"2,759,100",8.39
"Mar 17, 2016",8.00,8.22,7.52,8.10,"2,215,600",8.10
"Mar 16, 2016",8.33,8.55,7.83,8.06,"2,016,100",8.06
"Mar 15, 2016",9.18,9.24,8.36,8.42,"1,723,500",8.42
"Mar 14, 2016",9.02,9.46,8.94,9.32,"1,525,900",9.32
"Mar 11, 2016",8.60,9.05,8.46,9.03,"2,294,800",9.03
"Mar 10, 2016",9.01,9.23,8.24,8.53,"2,203,300",8.53
"Mar 9, 2016",8.87,9.04,8.26,8.96,"2,766,300",8.96
"Mar 8, 2016",9.45,9.47,8.81,8.83,"1,830,200",8.83
"Mar 7, 2016",9.46,9.81,9.25,9.57,"2,503,700",9.57
"Mar 4, 2016",9.45,9.94,9.26,9.59,"1,849,500",9.59
"Mar 3, 2016",9.47,9.69,9.29,9.47,"1,916,000",9.47
"Mar 2, 2016",8.73,9.72,8.70,9.44,"3,931,000",9.44
"Mar 1, 2016",8.72,9.64,8.49,8.74,"5,324,000",8.74
"Feb 29, 2016",8.23,8.44,8.06,8.13,"1,924,000",8.13
"Feb 26, 2016",7.91,8.27,7.83,8.25,"1,667,400",8.25
"Feb 25, 2016",7.99,8.19,7.66,7.81,"1,322,000",7.81
"Feb 24, 2016",7.63,7.93,7.18,7.91,"1,314,600",7.91
"Feb 23, 2016",8.09,8.29,7.76,7.76,"1,241,600",7.76
"Feb 22, 2016",8.44,8.50,7.96,8.19,"1,285,200",8.19
"Feb 19, 2016",8.00,8.32,7.77,8.30,"1,173,100",8.30
"Feb 18, 2016",8.64,8.64,8.05,8.06,"1,628,700",8.06
"Feb 17, 2016",7.93,8.64,7.93,8.59,"2,507,800",8.59
"Feb 16, 2016",7.76,7.97,7.63,7.86,"1,744,300",7.86
"Feb 12, 2016",7.62,7.62,7.11,7.54,"2,355,800",7.54
"Feb 11, 2016",7.00,7.62,6.96,7.43,"2,101,900",7.43
"Feb 10, 2016",7.35,7.88,7.12,7.17,"1,477,300",7.17
"Feb 9, 2016",7.11,7.53,7.00,7.28,"1,364,700",7.28
