Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",17.87,18.26,17.32,17.37,"2,489,600",17.37
"Jun 10, 2016",18.24,18.27,17.75,17.88,"2,583,600",17.88
"Jun 9, 2016",18.36,18.88,18.23,18.53,"2,718,900",18.53
"Jun 8, 2016",18.53,18.78,18.20,18.54,"2,234,300",18.54
"Jun 7, 2016",18.29,18.62,18.04,18.46,"3,082,300",18.46
"Jun 6, 2016",18.33,18.82,17.81,18.82,"5,411,200",18.82
"Jun 3, 2016",17.70,18.00,17.23,17.81,"3,043,400",17.81
"Jun 2, 2016",17.43,18.14,17.36,17.89,"4,739,700",17.89
"Jun 1, 2016",17.09,17.85,16.80,17.50,"3,683,800",17.50
"May 31, 2016",16.69,17.29,16.69,17.23,"3,217,500",17.23
"May 27, 2016",16.42,16.79,16.31,16.60,"2,144,500",16.60
"May 26, 2016",16.21,16.41,15.90,16.32,"3,006,900",16.32
"May 25, 2016",15.56,16.20,15.35,16.16,"4,783,600",16.16
"May 24, 2016",15.45,15.56,15.20,15.44,"2,515,700",15.44
"May 23, 2016",15.19,15.50,15.02,15.30,"2,760,400",15.30
"May 20, 2016",14.49,15.24,14.26,15.19,"3,340,600",15.19
"May 19, 2016",15.23,15.77,14.50,14.61,"4,089,700",14.61
"May 18, 2016",15.09,15.65,14.92,15.33,"4,524,700",15.33
"May 17, 2016",14.83,15.66,14.83,15.18,"4,503,700",15.18
"May 16, 2016",14.28,14.95,14.14,14.85,"4,182,300",14.85
"May 13, 2016",13.50,14.48,13.48,14.08,"4,114,100",14.08
"May 12, 2016",14.10,14.23,13.37,13.57,"6,157,400",13.57
"May 11, 2016",14.58,14.65,14.01,14.02,"4,394,000",14.02
"May 10, 2016",15.50,15.54,14.52,14.70,"6,039,500",14.70
"May 9, 2016",14.44,15.96,14.41,15.27,"11,408,800",15.27
"May 6, 2016",13.95,14.16,13.05,13.41,"9,199,300",13.41
"May 5, 2016",14.85,14.96,14.36,14.59,"3,265,800",14.59
"May 4, 2016",15.00,15.36,14.65,14.73,"2,353,900",14.73
"May 3, 2016",14.89,15.83,14.59,15.23,"3,124,400",15.23
