Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",150.00,151.99,144.55,144.87,"382,400",144.87
"Jun 10, 2016",152.83,153.46,148.30,150.66,"498,200",150.66
"Jun 9, 2016",160.00,160.99,152.32,154.22,"808,300",154.22
"Jun 8, 2016",162.39,162.55,158.11,161.10,"489,900",161.10
"Jun 7, 2016",165.34,165.50,157.43,162.61,"538,300",162.61
"Jun 6, 2016",168.36,170.00,162.12,166.46,"603,100",166.46
"Jun 3, 2016",169.74,173.31,161.07,167.37,"1,236,200",167.37
"Jun 2, 2016",154.88,169.65,154.12,167.66,"1,084,200",167.66
"Jun 1, 2016",148.49,156.98,147.24,155.13,"876,700",155.13
"May 31, 2016",137.80,150.95,137.11,148.36,"1,837,700",148.36
"May 27, 2016",139.95,141.95,137.85,141.77,"427,100",141.77
"May 26, 2016",142.20,142.51,136.40,137.73,"388,300",137.73
"May 25, 2016",140.02,142.75,137.01,141.21,"387,200",141.21
"May 24, 2016",139.00,140.88,137.50,139.80,"296,800",139.80
"May 23, 2016",134.85,139.80,134.51,138.60,"325,700",138.60
"May 20, 2016",131.69,134.96,130.30,134.28,"310,400",134.28
"May 19, 2016",133.46,137.40,130.23,131.34,"324,200",131.34
"May 18, 2016",132.23,137.00,131.80,134.01,"219,700",134.01
"May 17, 2016",134.55,136.63,132.51,132.92,"245,300",132.92
"May 16, 2016",131.19,137.86,131.19,134.08,"394,400",134.08
"May 13, 2016",129.83,133.32,128.87,131.15,"359,000",131.15
"May 12, 2016",137.28,140.29,128.25,129.62,"544,800",129.62
"May 11, 2016",141.08,143.46,136.83,137.28,"309,900",137.28
"May 10, 2016",138.40,142.43,136.04,141.08,"517,100",141.08
"May 9, 2016",133.00,139.64,133.00,137.44,"385,200",137.44
"May 6, 2016",135.19,139.13,132.51,133.34,"408,900",133.34
"May 5, 2016",139.67,141.81,135.68,136.99,"385,000",136.99
"May 4, 2016",146.19,146.38,138.80,139.13,"389,700",139.13
"May 3, 2016",149.66,151.33,146.48,147.34,"279,400",147.34
"May 2, 2016",150.63,151.06,146.09,150.40,"301,100",150.40
"Apr 29, 2016",152.54,155.50,149.26,150.74,"293,300",150.74
"Apr 28, 2016",150.77,159.75,149.12,153.68,"372,900",153.68
"Apr 27, 2016",148.18,153.38,146.04,150.48,"286,100",150.48
"Apr 26, 2016",151.76,153.46,145.84,148.28,"395,600",148.28
"Apr 25, 2016",156.82,157.63,151.08,151.73,"420,100",151.73
"Apr 22, 2016",150.35,158.61,149.24,157.74,"478,300",157.74
"Apr 21, 2016",149.18,156.85,148.05,150.87,"444,900",150.87
"Apr 20, 2016",150.75,152.48,147.23,148.93,"410,200",148.93
"Apr 19, 2016",150.00,151.75,145.49,149.53,"427,000",149.53
"Apr 18, 2016",149.18,153.94,148.57,150.00,"506,800",150.00
"Apr 15, 2016",152.56,153.14,148.50,149.66,"562,800",149.66
"Apr 14, 2016",147.66,155.59,144.80,152.62,"744,100",152.62
"Apr 13, 2016",147.73,148.49,143.50,146.66,"482,800",146.66
"Apr 12, 2016",146.76,147.00,140.93,146.52,"531,300",146.52
"Apr 11, 2016",156.22,157.50,142.74,144.64,"1,197,500",144.64
"Apr 8, 2016",162.50,163.24,147.53,156.36,"3,122,300",156.36
"Apr 7, 2016",163.83,163.83,163.83,163.83,"166,400",163.83
"Apr 6, 2016",151.75,163.83,151.00,163.83,"1,071,400",163.83
"Apr 5, 2016",143.47,159.20,142.90,151.31,"2,148,700",151.31
"Apr 4, 2016",131.76,140.41,131.03,133.55,"1,289,100",133.55
"Apr 1, 2016",128.01,131.40,127.45,130.76,"772,200",130.76
"Mar 31, 2016",127.25,131.46,125.04,128.47,"668,500",128.47
"Mar 30, 2016",126.21,130.85,123.04,125.02,"1,286,500",125.02
"Mar 29, 2016",124.33,125.12,119.32,124.26,"658,800",124.26
"Mar 28, 2016",126.00,127.66,121.34,124.58,"471,200",124.58
"Mar 24, 2016",120.95,127.80,120.35,126.00,"438,100",126.00
"Mar 23, 2016",128.29,130.61,121.77,122.66,"477,900",122.66
"Mar 22, 2016",121.50,129.50,121.00,128.48,"737,100",128.48
"Mar 21, 2016",120.39,122.89,118.31,121.82,"583,700",121.82
"Mar 18, 2016",119.00,123.88,115.88,120.14,"884,200",120.14
"Mar 17, 2016",115.50,120.00,111.50,118.79,"545,500",118.79
"Mar 16, 2016",115.00,117.50,112.15,115.23,"439,300",115.23
"Mar 15, 2016",119.40,120.69,114.26,115.39,"489,800",115.39
"Mar 14, 2016",117.45,121.45,115.45,120.90,"413,000",120.90
"Mar 11, 2016",117.69,119.99,114.83,117.25,"446,700",117.25
"Mar 10, 2016",124.40,124.48,114.56,116.36,"467,600",116.36
"Mar 9, 2016",123.18,126.56,119.90,122.08,"341,900",122.08
"Mar 8, 2016",128.19,129.36,120.20,121.84,"421,600",121.84
"Mar 7, 2016",125.32,132.72,121.85,128.45,"471,300",128.45
"Mar 4, 2016",125.46,126.63,122.55,125.42,"550,900",125.42
"Mar 3, 2016",119.12,125.11,117.92,124.77,"492,000",124.77
"Mar 2, 2016",121.72,125.95,117.16,119.37,"571,000",119.37
"Mar 1, 2016",111.94,122.12,110.92,122.07,"710,100",122.07
"Feb 29, 2016",113.21,117.09,111.21,111.38,"492,900",111.38
"Feb 26, 2016",113.18,116.04,112.34,113.90,"499,100",113.90
"Feb 25, 2016",113.05,116.78,111.05,112.27,"423,400",112.27
"Feb 24, 2016",115.71,116.07,110.95,112.45,"784,900",112.45
"Feb 23, 2016",118.05,124.00,117.24,119.29,"609,300",119.29
"Feb 22, 2016",129.50,131.10,121.12,121.76,"911,800",121.76
"Feb 19, 2016",123.78,128.99,122.51,128.66,"894,900",128.66
"Feb 18, 2016",128.60,129.90,124.12,124.78,"1,550,800",124.78
"Feb 17, 2016",118.30,125.46,116.58,124.66,"910,000",124.66
"Feb 16, 2016",120.00,120.42,111.00,118.25,"1,242,200",118.25
"Feb 12, 2016",95.36,128.75,91.50,120.22,"4,069,700",120.22
"Feb 11, 2016",93.26,96.77,89.76,94.29,"808,000",94.29
"Feb 10, 2016",95.18,102.97,95.00,95.74,"879,800",95.74
"Feb 9, 2016",92.05,99.44,91.00,93.89,"890,000",93.89
"Feb 8, 2016",96.68,97.70,92.33,93.71,"1,223,600",93.71
"Feb 5, 2016",101.76,102.33,95.59,98.51,"925,300",98.51
"Feb 4, 2016",96.42,105.00,95.06,102.34,"969,700",102.34
"Feb 3, 2016",96.19,98.00,90.00,97.84,"799,700",97.84
"Feb 2, 2016",104.63,106.97,94.61,94.96,"1,285,600",94.96
"Feb 1, 2016",104.86,107.41,100.06,105.27,"996,700",105.27
"Jan 29, 2016",102.00,106.48,98.23,106.23,"905,700",106.23
"Jan 28, 2016",111.91,113.43,99.03,99.32,"892,100",99.32
"Jan 27, 2016",109.82,115.98,108.00,110.19,"684,300",110.19
"Jan 26, 2016",112.81,115.06,105.20,109.92,"719,900",109.92
"Jan 25, 2016",114.63,116.80,111.29,112.29,"591,000",112.29
"Jan 22, 2016",115.15,119.10,113.69,115.81,"544,600",115.81
"Jan 21, 2016",119.85,123.00,110.22,112.21,"745,900",112.21
"Jan 20, 2016",112.11,123.20,107.06,120.11,"643,100",120.11
"Jan 19, 2016",122.50,123.92,111.70,114.29,"679,200",114.29
"Jan 15, 2016",120.25,122.74,116.42,121.70,"1,195,600",121.70
"Jan 14, 2016",122.04,126.87,116.34,124.24,"554,700",124.24
"Jan 13, 2016",129.97,131.99,120.60,121.04,"510,000",121.04
"Jan 12, 2016",126.08,134.00,122.32,129.06,"696,500",129.06
"Jan 11, 2016",135.48,138.46,121.00,123.60,"551,500",123.60
"Jan 8, 2016",138.00,141.17,133.50,134.43,"333,400",134.43
"Jan 7, 2016",137.05,141.67,133.57,135.74,"443,600",135.74
"Jan 6, 2016",149.72,151.01,137.67,139.67,"407,400",139.67
"Jan 5, 2016",147.56,152.60,147.56,151.44,"325,000",151.44
"Jan 4, 2016",146.09,149.99,143.55,147.82,"345,500",147.82
"Dec 31, 2015",149.06,151.83,148.41,149.35,"239,200",149.35
"Dec 30, 2015",153.54,155.96,149.70,150.06,"263,600",150.06
"Dec 29, 2015",154.29,155.72,152.10,154.50,"237,700",154.50
"Dec 28, 2015",154.00,155.30,150.50,153.57,"243,000",153.57
"Dec 24, 2015",155.67,157.75,153.00,154.17,"116,600",154.17
"Dec 23, 2015",155.77,159.69,152.32,155.30,"299,600",155.30
"Dec 22, 2015",162.78,162.78,152.66,153.94,"419,600",153.94
"Dec 21, 2015",157.23,163.90,149.59,162.23,"665,600",162.23
"Dec 18, 2015",153.65,159.45,152.51,156.08,"1,177,200",156.08
"Dec 17, 2015",175.00,175.00,164.24,165.95,"695,200",165.95
"Dec 16, 2015",164.01,174.55,162.01,174.25,"650,500",174.25
"Dec 15, 2015",157.45,169.00,157.00,163.22,"1,325,700",163.22
"Dec 14, 2015",145.44,146.78,137.28,139.68,"452,800",139.68
"Dec 11, 2015",150.75,151.68,145.19,146.21,"328,300",146.21
"Dec 10, 2015",154.71,154.71,149.77,151.78,"401,300",151.78
"Dec 9, 2015",156.11,158.99,153.00,154.36,"210,400",154.36
"Dec 8, 2015",151.33,159.88,148.01,158.12,"271,100",158.12
"Dec 7, 2015",154.49,155.09,149.02,152.99,"377,100",152.99
"Dec 4, 2015",157.00,160.50,151.20,155.24,"385,800",155.24
"Dec 3, 2015",163.00,163.78,155.41,156.10,"555,300",156.10
"Dec 2, 2015",170.46,170.46,162.10,162.27,"679,600",162.27
"Dec 1, 2015",176.50,179.61,170.11,171.45,"402,800",171.45
"Nov 30, 2015",185.05,186.87,173.57,176.51,"295,400",176.51
"Nov 27, 2015",184.72,185.86,182.08,184.74,"143,500",184.74
"Nov 25, 2015",182.63,184.96,180.10,183.75,"303,300",183.75
"Nov 24, 2015",181.70,186.00,177.04,183.62,"412,900",183.62
