Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",140.44,143.78,139.42,139.71,"909,800",139.71
"Jun 10, 2016",142.14,142.79,140.10,141.62,"928,900",141.62
"Jun 9, 2016",144.39,146.11,142.73,143.42,"734,300",143.42
"Jun 8, 2016",144.95,145.85,143.52,145.26,"627,000",145.26
"Jun 7, 2016",147.13,147.51,144.02,144.95,"845,700",144.95
"Jun 6, 2016",145.67,148.84,144.05,147.60,"750,300",147.60
"Jun 3, 2016",146.21,147.00,143.32,145.54,"684,800",145.54
"Jun 2, 2016",146.05,147.30,144.86,147.10,"875,400",147.10
"Jun 1, 2016",144.42,146.46,143.07,145.78,"785,500",145.78
"May 31, 2016",144.05,145.17,143.52,144.83,"948,400",144.83
"May 27, 2016",143.47,144.50,141.70,143.85,"659,700",143.85
"May 26, 2016",143.18,144.93,142.05,143.12,"540,500",143.12
"May 25, 2016",143.99,145.80,143.00,143.55,"879,300",143.55
"May 24, 2016",140.64,143.65,139.05,143.48,"782,800",143.48
"May 23, 2016",140.62,141.93,139.63,139.83,"448,700",139.83
"May 20, 2016",138.77,141.57,137.47,140.51,"764,100",140.51
"May 19, 2016",139.19,139.97,136.34,138.03,"557,500",138.03
"May 18, 2016",138.46,141.84,137.75,140.23,"791,900",140.23
"May 17, 2016",140.53,142.24,138.43,138.77,"1,179,200",138.77
"May 16, 2016",136.49,140.74,135.99,140.40,"757,500",140.40
"May 13, 2016",136.63,138.32,135.55,136.92,"914,200",136.92
"May 12, 2016",139.87,140.15,135.97,136.94,"1,184,200",136.94
"May 11, 2016",142.85,144.08,138.64,138.86,"1,076,400",138.86
"May 10, 2016",142.41,143.00,139.20,142.84,"741,600",142.84
"May 9, 2016",140.29,142.98,140.29,141.76,"1,127,700",141.76
"May 6, 2016",138.58,142.78,138.03,140.71,"2,213,600",140.71
"May 5, 2016",134.59,140.00,134.11,138.90,"2,054,600",138.90
"May 4, 2016",128.49,136.70,127.10,134.97,"3,274,800",134.97
"May 3, 2016",134.30,135.38,132.00,133.65,"2,318,800",133.65
"May 2, 2016",134.72,136.99,134.34,135.92,"1,956,600",135.92
"Apr 29, 2016",135.00,135.89,132.00,134.99,"2,145,900",134.99
"Apr 28, 2016",137.61,139.30,135.19,135.75,"1,487,400",135.75
"Apr 27, 2016",139.00,139.71,137.30,138.59,"1,292,300",138.59
"Apr 26, 2016",142.93,143.50,138.02,139.21,"1,845,900",139.21
"Apr 25, 2016",144.00,144.47,142.47,143.07,"1,697,900",143.07
"Apr 22, 2016",144.69,145.72,141.06,143.59,"2,197,100",143.59
"Apr 21, 2016",140.00,145.10,139.85,144.95,"2,215,900",144.95
"Apr 20, 2016",138.50,140.00,136.50,139.48,"2,900,400",139.48
"Apr 19, 2016",142.54,144.00,132.51,136.88,"11,368,700",136.88
