Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",10.44,10.54,10.20,10.27,"83,700",10.27
"Jun 10, 2016",10.38,10.85,10.00,10.57,"179,000",10.57
"Jun 9, 2016",11.64,11.64,10.28,10.65,"284,500",10.65
"Jun 8, 2016",11.88,12.05,11.67,11.76,"70,400",11.76
"Jun 7, 2016",12.23,12.39,11.78,11.82,"77,500",11.82
"Jun 6, 2016",12.35,12.53,12.06,12.28,"189,800",12.28
"Jun 3, 2016",13.05,13.22,12.00,12.26,"80,900",12.26
"Jun 2, 2016",12.51,13.22,12.51,13.00,"79,000",13.00
"Jun 1, 2016",12.58,13.00,12.53,12.81,"42,000",12.81
"May 31, 2016",12.79,12.91,12.00,12.55,"89,200",12.55
"May 27, 2016",13.00,13.43,12.45,12.56,"52,200",12.56
"May 26, 2016",13.42,13.42,12.61,12.94,"33,200",12.94
"May 25, 2016",13.36,14.21,12.45,13.28,"62,600",13.28
"May 24, 2016",12.66,13.43,12.18,13.21,"129,500",13.21
"May 23, 2016",12.90,13.49,12.77,13.11,"63,200",13.11
"May 20, 2016",12.32,13.35,12.20,12.86,"50,400",12.86
"May 19, 2016",11.96,12.64,11.52,12.19,"139,500",12.19
"May 18, 2016",11.46,12.43,11.46,12.32,"71,900",12.32
"May 17, 2016",12.19,12.88,11.35,11.65,"289,800",11.65
"May 16, 2016",11.70,12.51,11.70,12.27,"62,400",12.27
"May 13, 2016",11.11,12.23,11.11,11.48,"55,500",11.48
"May 12, 2016",11.64,11.64,10.63,11.13,"71,800",11.13
"May 11, 2016",12.53,12.84,11.46,11.56,"58,200",11.56
"May 10, 2016",13.11,13.20,12.40,13.20,"60,100",13.20
"May 9, 2016",11.97,13.28,11.70,12.92,"38,800",12.92
"May 6, 2016",12.32,12.56,11.69,12.05,"34,500",12.05
"May 5, 2016",12.65,12.75,12.07,12.49,"83,200",12.49
"May 4, 2016",13.54,14.19,12.44,12.49,"49,100",12.49
"May 3, 2016",13.74,14.09,13.20,13.69,"60,500",13.69
"May 2, 2016",13.92,14.32,13.23,13.99,"58,200",13.99
"Apr 29, 2016",14.79,15.11,13.56,13.64,"80,500",13.64
"Apr 28, 2016",14.87,15.54,14.68,14.82,"81,400",14.82
"Apr 27, 2016",15.14,15.29,14.61,14.87,"25,600",14.87
"Apr 26, 2016",16.19,16.34,14.62,15.18,"73,400",15.18
"Apr 25, 2016",16.63,16.94,15.88,16.12,"39,500",16.12
"Apr 22, 2016",16.21,16.84,15.73,16.65,"49,300",16.65
"Apr 21, 2016",16.25,16.74,15.47,16.24,"62,300",16.24
"Apr 20, 2016",15.08,16.70,15.08,16.19,"132,400",16.19
"Apr 19, 2016",15.38,15.38,14.55,15.01,"38,400",15.01
"Apr 18, 2016",14.98,15.38,14.78,15.24,"110,600",15.24
"Apr 15, 2016",15.08,15.27,14.75,15.06,"30,500",15.06
"Apr 14, 2016",15.29,15.33,14.84,15.08,"33,400",15.08
"Apr 13, 2016",14.14,15.53,14.00,15.39,"224,700",15.39
"Apr 12, 2016",13.96,14.94,13.40,14.00,"68,000",14.00
"Apr 11, 2016",14.12,14.44,13.45,13.97,"80,700",13.97
"Apr 8, 2016",15.38,15.38,13.58,13.96,"263,000",13.96
"Apr 7, 2016",14.70,15.30,14.08,15.10,"95,000",15.10
"Apr 6, 2016",14.11,14.95,14.11,14.93,"98,800",14.93
"Apr 5, 2016",13.64,14.62,13.62,14.09,"71,200",14.09
"Apr 4, 2016",13.72,14.36,13.72,13.79,"51,500",13.79
"Apr 1, 2016",12.77,13.85,12.65,13.60,"101,100",13.60
"Mar 31, 2016",11.77,13.42,11.47,13.00,"140,100",13.00
"Mar 30, 2016",12.36,13.18,11.51,11.81,"123,100",11.81
"Mar 29, 2016",11.40,12.78,10.61,12.34,"184,900",12.34
"Mar 28, 2016",10.88,11.64,10.10,11.38,"175,000",11.38
"Mar 24, 2016",11.32,11.85,10.07,10.65,"327,100",10.65
"Mar 23, 2016",12.90,13.78,10.85,11.29,"279,000",11.29
"Mar 22, 2016",12.05,13.59,12.05,12.87,"248,700",12.87
"Mar 21, 2016",12.31,12.99,12.03,12.14,"71,700",12.14
"Mar 18, 2016",11.72,12.30,11.57,12.25,"120,700",12.25
"Mar 17, 2016",11.28,11.79,10.75,11.62,"64,900",11.62
"Mar 16, 2016",10.60,11.35,10.40,11.20,"60,100",11.20
"Mar 15, 2016",11.63,11.79,10.49,10.66,"57,800",10.66
"Mar 14, 2016",11.45,11.96,11.42,11.76,"69,200",11.76
"Mar 11, 2016",10.71,11.83,10.71,11.51,"68,100",11.51
"Mar 10, 2016",11.65,11.69,10.98,11.19,"32,500",11.19
"Mar 9, 2016",11.77,11.77,11.00,11.45,"31,700",11.45
"Mar 8, 2016",12.85,13.19,11.58,11.67,"87,400",11.67
"Mar 7, 2016",12.21,13.88,12.02,12.95,"69,600",12.95
"Mar 4, 2016",10.95,12.42,10.95,12.38,"82,900",12.38
"Mar 3, 2016",11.07,11.82,11.07,11.66,"36,600",11.66
"Mar 2, 2016",10.87,11.44,10.76,11.33,"62,200",11.33
"Mar 1, 2016",10.05,10.93,9.79,10.88,"137,700",10.88
"Feb 29, 2016",10.57,10.58,10.00,10.01,"41,800",10.01
"Feb 26, 2016",10.16,10.79,10.16,10.61,"35,200",10.61
"Feb 25, 2016",10.17,10.92,9.98,10.11,"61,900",10.11
"Feb 24, 2016",9.26,10.20,8.91,10.02,"201,800",10.02
"Feb 23, 2016",9.98,10.65,9.39,9.43,"54,300",9.43
"Feb 22, 2016",11.29,11.31,10.00,10.11,"92,100",10.11
"Feb 19, 2016",11.63,11.65,10.85,11.11,"83,600",11.11
"Feb 18, 2016",11.01,11.83,10.70,11.76,"74,000",11.76
"Feb 17, 2016",10.09,11.09,9.98,11.04,"60,900",11.04
"Feb 16, 2016",9.33,10.01,9.28,9.96,"60,900",9.96
"Feb 12, 2016",9.02,9.36,8.67,9.16,"36,500",9.16
"Feb 11, 2016",8.05,9.04,7.99,8.89,"95,700",8.89
"Feb 10, 2016",8.24,8.85,8.00,8.12,"70,600",8.12
"Feb 9, 2016",8.24,8.80,7.90,8.11,"80,500",8.11
"Feb 8, 2016",9.86,10.14,7.91,8.23,"109,700",8.23
"Feb 5, 2016",10.79,11.62,9.81,10.09,"84,700",10.09
"Feb 4, 2016",9.92,11.58,9.92,10.93,"46,900",10.93
"Feb 3, 2016",10.85,10.85,9.56,9.97,"62,400",9.97
"Feb 2, 2016",10.82,10.82,10.24,10.68,"66,000",10.68
"Feb 1, 2016",10.37,11.27,10.03,11.08,"72,900",11.08
"Jan 29, 2016",10.17,10.76,10.04,10.47,"110,300",10.47
"Jan 28, 2016",11.20,11.20,10.02,10.15,"78,600",10.15
"Jan 27, 2016",11.90,12.05,10.90,11.05,"77,300",11.05
"Jan 26, 2016",12.17,12.48,11.62,12.04,"54,200",12.04
"Jan 25, 2016",12.10,12.80,12.07,12.14,"45,200",12.14
"Jan 22, 2016",12.47,12.81,11.56,12.27,"100,300",12.27
"Jan 21, 2016",12.09,12.81,11.57,12.00,"562,900",12.00
"Jan 20, 2016",10.47,13.18,10.13,11.95,"180,600",11.95
