Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",4.91,5.02,4.82,4.95,"1,234,800",4.95
"Jun 10, 2016",5.01,5.03,4.79,4.96,"1,660,100",4.96
"Jun 9, 2016",5.34,5.36,5.06,5.07,"1,457,900",5.07
"Jun 8, 2016",5.45,5.46,5.32,5.35,"1,174,400",5.35
"Jun 7, 2016",5.59,5.69,5.40,5.45,"1,862,800",5.45
"Jun 6, 2016",5.82,5.87,5.48,5.65,"2,036,800",5.65
"Jun 3, 2016",6.16,6.21,5.76,5.78,"1,966,700",5.78
"Jun 2, 2016",5.76,6.20,5.76,6.18,"1,681,800",6.18
"Jun 1, 2016",5.64,5.87,5.58,5.75,"2,929,200",5.75
"May 31, 2016",5.62,5.78,5.56,5.64,"1,962,300",5.64
"May 27, 2016",5.66,5.70,5.57,5.66,"671,400",5.66
"May 26, 2016",5.89,5.90,5.64,5.65,"779,200",5.65
"May 25, 2016",5.81,5.92,5.67,5.88,"1,657,800",5.88
"May 24, 2016",5.64,5.86,5.62,5.72,"2,845,600",5.72
"May 23, 2016",5.53,5.75,5.47,5.56,"2,539,300",5.56
"May 20, 2016",5.48,5.60,5.35,5.57,"2,813,400",5.57
"May 19, 2016",5.55,5.73,5.44,5.44,"2,499,100",5.44
"May 18, 2016",5.51,5.78,5.46,5.50,"2,782,000",5.50
"May 17, 2016",5.63,5.81,5.52,5.53,"2,006,900",5.53
"May 16, 2016",5.69,5.83,5.56,5.65,"1,453,800",5.65
"May 13, 2016",5.50,5.76,5.50,5.64,"1,201,500",5.64
"May 12, 2016",5.70,5.73,5.43,5.52,"889,500",5.52
"May 11, 2016",5.99,6.00,5.62,5.65,"1,088,200",5.65
"May 10, 2016",6.10,6.22,5.85,6.01,"891,900",6.01
"May 9, 2016",5.80,6.16,5.79,6.06,"1,520,200",6.06
"May 6, 2016",5.84,5.94,5.67,5.80,"1,033,200",5.80
"May 5, 2016",6.21,6.30,5.68,5.89,"1,744,900",5.89
"May 4, 2016",6.12,6.23,5.94,6.17,"1,836,100",6.17
"May 3, 2016",6.54,6.68,6.05,6.11,"2,643,200",6.11
"May 2, 2016",6.74,6.84,6.27,6.61,"3,484,500",6.61
"Apr 29, 2016",7.07,7.25,6.59,6.85,"5,299,600",6.85
"Apr 28, 2016",8.42,8.79,8.34,8.45,"842,100",8.45
"Apr 27, 2016",8.42,8.60,8.25,8.50,"776,700",8.50
"Apr 26, 2016",9.15,9.16,8.37,8.52,"1,414,700",8.52
"Apr 25, 2016",9.11,9.45,9.03,9.17,"655,800",9.17
"Apr 22, 2016",9.23,9.29,8.91,9.28,"514,100",9.28
"Apr 21, 2016",8.86,9.28,8.75,9.17,"880,100",9.17
"Apr 20, 2016",9.24,9.37,8.87,8.93,"716,300",8.93
"Apr 19, 2016",9.34,9.41,9.07,9.14,"703,200",9.14
"Apr 18, 2016",9.15,9.47,9.07,9.33,"723,600",9.33
"Apr 15, 2016",9.20,9.33,9.04,9.19,"845,000",9.19
"Apr 14, 2016",9.22,9.30,9.11,9.25,"664,800",9.25
"Apr 13, 2016",8.99,9.28,8.81,9.22,"769,600",9.22
"Apr 12, 2016",9.01,9.16,8.61,8.86,"1,043,000",8.86
"Apr 11, 2016",9.14,9.33,8.92,9.01,"671,300",9.01
"Apr 8, 2016",9.63,9.68,8.91,9.10,"757,300",9.10
"Apr 7, 2016",9.65,9.75,9.26,9.45,"745,600",9.45
"Apr 6, 2016",9.04,9.78,9.03,9.76,"1,116,000",9.76
"Apr 5, 2016",9.16,9.45,9.01,9.01,"1,015,300",9.01
"Apr 4, 2016",8.94,9.63,8.94,9.29,"1,065,200",9.29
"Apr 1, 2016",8.46,8.99,8.38,8.91,"874,800",8.91
"Mar 31, 2016",8.31,8.84,8.27,8.52,"968,500",8.52
"Mar 30, 2016",8.27,8.73,8.16,8.26,"743,500",8.26
"Mar 29, 2016",7.65,8.21,7.37,8.20,"906,200",8.20
"Mar 28, 2016",7.95,8.04,7.61,7.67,"423,400",7.67
"Mar 24, 2016",7.76,8.02,7.49,7.85,"698,600",7.85
"Mar 23, 2016",8.49,8.87,7.80,7.81,"1,017,600",7.81
"Mar 22, 2016",7.87,8.51,7.86,8.50,"1,112,300",8.50
"Mar 21, 2016",7.73,8.09,7.62,7.92,"848,400",7.92
"Mar 18, 2016",7.46,7.78,7.21,7.75,"1,537,100",7.75
"Mar 17, 2016",7.31,7.53,6.79,7.41,"1,499,000",7.41
"Mar 16, 2016",7.44,7.56,7.14,7.35,"634,600",7.35
"Mar 15, 2016",8.10,8.20,7.37,7.50,"1,182,000",7.50
"Mar 14, 2016",7.84,8.34,7.81,8.24,"967,100",8.24
"Mar 11, 2016",7.78,7.94,7.36,7.87,"951,400",7.87
"Mar 10, 2016",8.20,8.36,7.62,7.68,"992,100",7.68
"Mar 9, 2016",8.55,8.65,8.02,8.24,"923,600",8.24
"Mar 8, 2016",9.50,9.71,8.48,8.54,"1,308,600",8.54
"Mar 7, 2016",8.25,8.96,8.08,8.91,"907,100",8.91
"Mar 4, 2016",8.16,8.59,8.05,8.27,"784,100",8.27
"Mar 3, 2016",8.28,8.48,8.12,8.19,"842,600",8.19
"Mar 2, 2016",7.57,8.37,7.56,8.25,"1,327,700",8.25
"Mar 1, 2016",7.34,7.58,7.09,7.56,"1,210,400",7.56
"Feb 29, 2016",7.25,7.56,7.07,7.28,"1,378,600",7.28
"Feb 26, 2016",7.16,7.30,6.97,7.21,"887,300",7.21
"Feb 25, 2016",7.31,7.48,7.04,7.12,"756,500",7.12
"Feb 24, 2016",7.07,7.33,6.83,7.30,"741,800",7.30
"Feb 23, 2016",7.51,7.61,7.14,7.15,"691,000",7.15
"Feb 22, 2016",7.69,7.80,7.41,7.54,"643,000",7.54
"Feb 19, 2016",7.25,7.65,7.10,7.58,"674,500",7.58
"Feb 18, 2016",7.86,8.03,7.30,7.32,"728,700",7.32
"Feb 17, 2016",7.68,8.08,7.61,7.80,"723,300",7.80
"Feb 16, 2016",7.42,7.60,7.30,7.57,"666,300",7.57
"Feb 12, 2016",7.24,7.35,6.77,7.28,"1,018,400",7.28
"Feb 11, 2016",6.83,7.22,6.77,7.09,"854,800",7.09
"Feb 10, 2016",7.23,7.52,6.99,7.02,"661,000",7.02
"Feb 9, 2016",6.94,7.44,6.78,7.13,"743,300",7.13
"Feb 8, 2016",7.44,7.57,6.98,7.12,"1,033,200",7.12
"Feb 5, 2016",7.92,8.19,7.59,7.64,"1,306,600",7.64
"Feb 4, 2016",7.63,8.37,7.63,7.98,"1,581,200",7.98
"Feb 3, 2016",8.06,8.11,7.38,7.62,"1,670,300",7.62
"Feb 2, 2016",7.96,8.07,7.75,8.02,"1,359,200",8.02
"Feb 1, 2016",8.24,8.37,7.55,8.08,"2,549,200",8.08
"Jan 29, 2016",8.23,8.82,7.80,8.49,"2,130,400",8.49
"Jan 28, 2016",8.82,8.89,8.25,8.58,"1,137,800",8.58
"Jan 27, 2016",9.15,9.50,8.50,8.64,"1,404,900",8.64
"Jan 26, 2016",9.76,9.80,9.04,9.18,"1,026,200",9.18
"Jan 25, 2016",9.70,10.08,9.09,9.65,"1,031,900",9.65
"Jan 22, 2016",9.74,10.22,9.35,9.80,"937,200",9.80
"Jan 21, 2016",9.57,10.13,9.38,9.49,"1,146,300",9.49
"Jan 20, 2016",8.88,9.82,8.65,9.54,"1,417,100",9.54
"Jan 19, 2016",9.68,9.95,8.96,9.10,"969,500",9.10
"Jan 15, 2016",9.42,9.56,9.07,9.51,"1,094,300",9.51
"Jan 14, 2016",9.40,10.19,8.68,9.77,"925,700",9.77
"Jan 13, 2016",10.43,10.43,9.26,9.35,"1,245,100",9.35
"Jan 12, 2016",10.03,10.41,9.80,10.37,"992,500",10.37
"Jan 11, 2016",10.86,10.86,9.46,9.85,"1,216,100",9.85
"Jan 8, 2016",11.08,11.57,10.65,10.78,"816,100",10.78
"Jan 7, 2016",11.72,11.73,10.84,10.97,"1,275,500",10.97
"Jan 6, 2016",12.62,12.96,11.87,12.02,"1,098,000",12.02
"Jan 5, 2016",12.88,13.25,12.62,12.85,"648,100",12.85
"Jan 4, 2016",13.27,13.39,12.73,12.81,"915,000",12.81
"Dec 31, 2015",13.60,13.88,13.34,13.57,"567,600",13.57
"Dec 30, 2015",13.97,14.10,13.61,13.66,"433,100",13.66
"Dec 29, 2015",13.54,13.96,13.22,13.95,"594,900",13.95
"Dec 28, 2015",13.67,13.74,13.19,13.46,"656,200",13.46
"Dec 24, 2015",13.65,13.83,13.57,13.68,"241,800",13.68
"Dec 23, 2015",13.71,13.83,13.50,13.69,"527,600",13.69
"Dec 22, 2015",13.70,13.97,13.44,13.62,"585,300",13.62
"Dec 21, 2015",13.61,13.73,13.15,13.63,"528,100",13.63
"Dec 18, 2015",13.19,13.84,13.06,13.55,"2,970,000",13.55
"Dec 17, 2015",13.68,13.81,13.17,13.27,"564,500",13.27
"Dec 16, 2015",13.28,13.73,12.95,13.68,"752,100",13.68
"Dec 15, 2015",12.82,13.66,12.65,13.13,"840,500",13.13
"Dec 14, 2015",12.30,12.75,12.30,12.60,"975,800",12.60
"Dec 11, 2015",12.52,12.79,12.28,12.29,"766,500",12.29
"Dec 10, 2015",12.59,12.85,12.50,12.83,"703,100",12.83
"Dec 9, 2015",12.98,13.04,12.50,12.64,"1,040,500",12.64
"Dec 8, 2015",12.82,13.25,12.62,13.09,"560,800",13.09
"Dec 7, 2015",13.22,13.23,12.84,12.97,"915,400",12.97
"Dec 4, 2015",12.92,13.24,12.83,13.24,"690,700",13.24
"Dec 3, 2015",13.18,13.32,12.76,12.92,"821,800",12.92
"Dec 2, 2015",13.32,13.53,13.11,13.16,"721,300",13.16
"Dec 1, 2015",13.65,13.68,12.86,13.28,"1,031,500",13.28
"Nov 30, 2015",13.59,13.89,13.42,13.57,"896,100",13.57
"Nov 27, 2015",13.84,14.10,13.42,13.59,"520,100",13.59
"Nov 25, 2015",13.17,14.22,13.14,13.76,"1,299,900",13.76
"Nov 24, 2015",12.76,13.07,12.40,12.84,"789,700",12.84
"Nov 23, 2015",12.69,13.01,12.51,12.84,"707,000",12.84
"Nov 20, 2015",12.55,12.89,12.41,12.76,"754,600",12.76
"Nov 19, 2015",12.91,13.02,12.40,12.46,"1,002,300",12.46
"Nov 18, 2015",12.22,12.92,12.16,12.88,"1,329,800",12.88
"Nov 17, 2015",11.85,13.09,11.75,12.27,"1,725,400",12.27
"Nov 16, 2015",12.35,12.35,10.84,11.70,"2,439,800",11.70
"Nov 13, 2015",12.77,13.13,12.48,12.49,"1,089,000",12.49
"Nov 12, 2015",12.55,13.04,12.50,12.81,"1,099,900",12.81
"Nov 11, 2015",13.15,13.34,12.65,12.66,"1,053,300",12.66
"Nov 10, 2015",13.26,13.26,12.95,13.07,"851,700",13.07
"Nov 9, 2015",12.75,13.70,12.70,13.21,"1,186,600",13.21
"Nov 6, 2015",12.50,12.82,12.19,12.75,"711,200",12.75
"Nov 5, 2015",12.63,12.68,12.17,12.54,"756,700",12.54
"Nov 4, 2015",12.65,12.99,12.52,12.66,"916,200",12.66
"Nov 3, 2015",12.16,12.75,11.96,12.59,"1,222,700",12.59
"Nov 2, 2015",11.65,12.35,11.56,12.17,"1,115,500",12.17
"Oct 30, 2015",11.55,11.94,11.39,11.70,"956,800",11.70
"Oct 29, 2015",11.77,12.11,11.45,11.54,"1,094,900",11.54
"Oct 28, 2015",11.15,11.83,10.60,11.78,"1,639,900",11.78
"Oct 27, 2015",11.14,11.40,10.53,11.32,"1,429,000",11.32
"Oct 26, 2015",11.20,11.42,10.78,11.14,"1,022,000",11.14
"Oct 23, 2015",10.75,11.45,10.28,11.20,"1,475,200",11.20
"Oct 22, 2015",10.45,10.84,10.13,10.56,"1,082,800",10.56
"Oct 21, 2015",10.75,10.91,10.28,10.70,"998,700",10.70
"Oct 20, 2015",10.88,11.00,10.57,10.64,"870,500",10.64
"Oct 19, 2015",10.88,11.33,10.56,10.89,"1,070,500",10.89
"Oct 16, 2015",11.07,11.42,10.65,10.89,"1,295,200",10.89
"Oct 15, 2015",10.34,11.07,10.21,11.01,"1,029,900",11.01
"Oct 14, 2015",10.37,10.79,10.34,10.43,"1,032,900",10.43
"Oct 13, 2015",10.76,11.10,10.24,10.28,"976,400",10.28
"Oct 12, 2015",11.06,11.16,10.49,10.84,"706,200",10.84
"Oct 9, 2015",10.74,11.17,10.57,10.91,"715,000",10.91
"Oct 8, 2015",10.90,10.98,10.21,10.66,"961,900",10.66
"Oct 7, 2015",10.42,11.22,10.31,10.97,"1,104,200",10.97
"Oct 6, 2015",11.05,11.10,10.19,10.69,"1,274,000",10.69
"Oct 5, 2015",11.04,11.34,10.81,11.13,"1,276,600",11.13
"Oct 2, 2015",9.83,10.96,9.65,10.89,"1,695,100",10.89
"Oct 1, 2015",9.58,10.07,9.25,10.04,"1,562,700",10.04
"Sep 30, 2015",9.78,10.07,9.33,9.60,"1,537,300",9.60
"Sep 29, 2015",10.01,10.23,9.46,9.54,"2,334,100",9.54
"Sep 28, 2015",10.41,10.41,9.69,10.10,"2,235,600",10.10
"Sep 25, 2015",11.35,11.38,10.07,10.44,"1,782,600",10.44
"Sep 24, 2015",11.34,11.43,10.86,11.20,"1,601,300",11.20
"Sep 23, 2015",11.95,11.98,11.26,11.44,"1,798,900",11.44
"Sep 22, 2015",11.72,12.27,11.25,11.98,"2,579,800",11.98
"Sep 21, 2015",13.95,14.00,12.06,12.32,"4,506,900",12.32
"Sep 18, 2015",15.98,16.30,14.30,14.65,"2,372,400",14.65
"Sep 17, 2015",14.34,16.59,14.16,16.36,"2,454,300",16.36
"Sep 16, 2015",14.03,14.44,13.71,14.41,"1,257,800",14.41
"Sep 15, 2015",13.70,14.15,13.62,14.00,"737,300",14.00
"Sep 14, 2015",13.99,14.00,13.40,13.72,"762,700",13.72
"Sep 11, 2015",13.17,13.92,13.11,13.86,"891,500",13.86
"Sep 10, 2015",12.95,13.31,12.83,13.27,"1,304,600",13.27
"Sep 9, 2015",13.65,13.97,12.95,13.03,"1,147,100",13.03
"Sep 8, 2015",13.63,13.64,13.05,13.52,"1,378,400",13.52
"Sep 4, 2015",12.73,13.67,12.70,13.28,"938,600",13.28
"Sep 3, 2015",13.42,13.61,12.86,12.92,"1,132,800",12.92
"Sep 2, 2015",13.25,13.65,13.12,13.46,"888,900",13.46
"Sep 1, 2015",13.10,13.45,12.85,12.98,"1,766,200",12.98
"Aug 31, 2015",14.08,14.44,13.33,13.46,"1,232,000",13.46
"Aug 28, 2015",14.24,14.88,14.02,14.28,"1,342,000",14.28
"Aug 27, 2015",14.09,14.34,13.70,14.28,"908,300",14.28
"Aug 26, 2015",13.45,13.80,12.91,13.78,"1,384,900",13.78
"Aug 25, 2015",13.73,13.76,13.00,13.14,"1,622,000",13.14
"Aug 24, 2015",12.08,13.89,12.01,12.79,"2,408,600",12.79
"Aug 21, 2015",12.11,13.77,12.00,13.07,"1,651,100",13.07
"Aug 20, 2015",13.46,13.47,12.46,12.47,"1,206,400",12.47
"Aug 19, 2015",13.50,13.55,12.81,13.00,"1,214,400",13.00
"Aug 18, 2015",14.09,14.40,13.52,13.54,"978,800",13.54
"Aug 17, 2015",13.39,14.57,13.31,14.56,"1,189,800",14.56
"Aug 14, 2015",13.87,14.17,13.31,13.58,"1,197,900",13.58
"Aug 13, 2015",14.30,14.63,13.94,13.94,"861,800",13.94
"Aug 12, 2015",14.60,14.64,13.92,14.38,"1,144,800",14.38
"Aug 11, 2015",15.00,15.00,14.15,14.45,"1,094,400",14.45
"Aug 10, 2015",15.06,15.52,14.86,15.04,"987,700",15.04
"Aug 7, 2015",15.42,15.47,14.56,14.98,"1,532,000",14.98
"Aug 6, 2015",16.20,16.43,15.31,15.38,"1,223,500",15.38
"Aug 5, 2015",16.21,16.67,16.21,16.32,"771,200",16.32
"Aug 4, 2015",16.72,16.76,16.11,16.33,"1,525,000",16.33
"Aug 3, 2015",17.18,17.54,16.34,16.63,"1,663,200",16.63
"Jul 31, 2015",16.97,18.78,16.80,18.02,"962,000",18.02
"Jul 30, 2015",17.84,18.11,17.32,17.90,"633,400",17.90
"Jul 29, 2015",18.17,18.39,17.53,17.86,"739,000",17.86
"Jul 28, 2015",17.54,18.29,17.46,18.10,"677,000",18.10
"Jul 27, 2015",17.45,17.61,16.78,17.42,"1,038,300",17.42
"Jul 24, 2015",17.83,18.22,17.33,17.41,"1,111,100",17.41
"Jul 23, 2015",19.00,19.09,18.09,18.15,"818,500",18.15
"Jul 22, 2015",18.35,18.98,18.15,18.92,"654,800",18.92
"Jul 21, 2015",18.72,18.92,18.36,18.65,"998,200",18.65
"Jul 20, 2015",19.36,19.40,18.51,18.88,"1,284,500",18.88
"Jul 17, 2015",18.69,19.43,18.60,19.39,"1,885,100",19.39
"Jul 16, 2015",16.99,19.13,16.89,19.04,"3,340,900",19.04
"Jul 15, 2015",17.02,17.20,16.67,16.91,"1,060,000",16.91
"Jul 14, 2015",16.60,17.24,16.26,16.90,"1,837,200",16.90
"Jul 13, 2015",14.50,16.86,14.49,16.72,"3,134,700",16.72
"Jul 10, 2015",14.30,14.48,14.12,14.44,"781,100",14.44
"Jul 9, 2015",14.21,14.42,14.06,14.19,"605,900",14.19
"Jul 8, 2015",14.42,14.70,13.95,13.99,"969,000",13.99
"Jul 7, 2015",14.45,14.57,14.16,14.53,"932,800",14.53
"Jul 6, 2015",13.94,14.54,13.80,14.40,"1,132,600",14.40
"Jul 2, 2015",14.31,14.31,14.00,14.01,"901,800",14.01
"Jul 1, 2015",14.46,14.59,13.94,14.27,"974,500",14.27
"Jun 30, 2015",13.92,14.44,13.83,14.38,"1,259,100",14.38
"Jun 29, 2015",13.94,14.08,13.65,13.80,"1,507,700",13.80
"Jun 26, 2015",14.27,14.34,13.82,14.08,"1,841,100",14.08
"Jun 25, 2015",14.42,14.60,14.05,14.22,"1,021,500",14.22
"Jun 24, 2015",15.13,15.13,14.34,14.40,"1,315,100",14.40
"Jun 23, 2015",15.09,15.22,14.72,15.13,"978,800",15.13
"Jun 22, 2015",14.60,15.12,14.41,15.04,"1,608,200",15.04
"Jun 19, 2015",14.67,14.75,14.13,14.63,"2,986,900",14.63
"Jun 18, 2015",14.04,14.76,13.95,14.64,"1,531,300",14.64
"Jun 17, 2015",14.32,14.42,13.98,14.01,"1,032,200",14.01
"Jun 16, 2015",13.93,14.48,13.87,14.31,"1,237,800",14.31
"Jun 15, 2015",14.11,14.13,13.77,13.94,"1,344,300",13.94
"Jun 12, 2015",14.11,14.33,13.89,14.19,"982,000",14.19
"Jun 11, 2015",14.09,14.20,13.84,14.19,"1,274,000",14.19
"Jun 10, 2015",14.29,14.49,14.01,14.15,"1,859,700",14.15
"Jun 9, 2015",14.84,14.86,14.00,14.27,"2,105,000",14.27
"Jun 8, 2015",14.70,14.98,14.58,14.92,"1,546,700",14.92
"Jun 5, 2015",14.64,14.85,14.24,14.70,"2,526,800",14.70
"Jun 4, 2015",13.60,14.68,13.55,14.66,"4,321,400",14.66
"Jun 3, 2015",14.05,14.45,13.53,13.75,"5,205,800",13.75
"Jun 2, 2015",14.61,14.91,13.61,14.03,"10,070,700",14.03
"Jun 1, 2015",11.48,15.88,11.45,15.44,"24,406,400",15.44
"May 29, 2015",9.01,9.17,8.93,8.98,"624,100",8.98
"May 28, 2015",9.00,9.09,8.82,9.02,"850,100",9.02
"May 27, 2015",8.94,9.06,8.72,9.03,"1,055,100",9.03
