Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",3.01,3.12,2.96,2.97,"1,611,500",2.97
"Jun 10, 2016",2.99,3.12,2.97,3.05,"3,550,300",3.05
"Jun 9, 2016",3.60,3.63,2.91,3.13,"7,929,100",3.13
"Jun 8, 2016",3.88,3.91,3.35,3.66,"3,485,100",3.66
"Jun 7, 2016",3.86,4.03,3.84,3.88,"2,417,100",3.88
"Jun 6, 2016",4.52,4.53,3.83,3.90,"8,413,400",3.90
"Jun 3, 2016",4.39,4.64,3.94,4.52,"15,082,600",4.52
"Jun 2, 2016",5.00,5.44,4.91,5.30,"5,173,600",5.30
"Jun 1, 2016",4.87,5.00,4.58,4.99,"2,908,800",4.99
"May 31, 2016",4.68,4.88,4.58,4.84,"2,237,100",4.84
"May 27, 2016",4.35,4.65,4.27,4.62,"1,606,000",4.62
"May 26, 2016",4.57,4.61,4.23,4.33,"2,278,700",4.33
"May 25, 2016",4.33,4.60,4.29,4.54,"1,777,500",4.54
"May 24, 2016",4.24,4.36,4.17,4.29,"2,336,800",4.29
"May 23, 2016",4.12,4.26,4.10,4.21,"1,139,300",4.21
"May 20, 2016",4.20,4.24,3.97,4.14,"1,860,400",4.14
"May 19, 2016",3.83,4.25,3.79,4.17,"3,093,300",4.17
"May 18, 2016",3.79,3.96,3.77,3.85,"879,400",3.85
"May 17, 2016",3.83,3.98,3.77,3.81,"867,700",3.81
"May 16, 2016",3.75,3.90,3.73,3.88,"939,000",3.88
"May 13, 2016",3.59,3.81,3.59,3.72,"832,700",3.72
"May 12, 2016",3.85,3.85,3.59,3.61,"1,273,200",3.61
"May 11, 2016",3.86,3.98,3.80,3.87,"1,034,000",3.87
"May 10, 2016",3.88,3.90,3.72,3.85,"1,582,100",3.85
"May 9, 2016",3.65,3.88,3.51,3.86,"1,357,300",3.86
"May 6, 2016",3.70,3.92,3.54,3.62,"1,947,700",3.62
"May 5, 2016",3.73,3.76,3.41,3.46,"1,468,400",3.46
"May 4, 2016",3.70,3.77,3.54,3.74,"1,519,600",3.74
"May 3, 2016",3.68,3.76,3.42,3.75,"1,441,700",3.75
"May 2, 2016",3.63,3.69,3.43,3.68,"1,715,800",3.68
"Apr 29, 2016",3.74,3.77,3.39,3.55,"2,489,300",3.55
"Apr 28, 2016",3.68,3.86,3.60,3.79,"3,008,100",3.79
"Apr 27, 2016",3.34,3.74,3.30,3.69,"2,187,900",3.69
"Apr 26, 2016",3.30,3.37,3.20,3.33,"855,600",3.33
"Apr 25, 2016",3.22,3.41,3.18,3.28,"1,638,700",3.28
"Apr 22, 2016",3.00,3.22,2.95,3.22,"1,343,300",3.22
"Apr 21, 2016",2.95,3.08,2.95,3.01,"1,849,600",3.01
"Apr 20, 2016",2.93,3.09,2.81,2.97,"1,358,400",2.97
"Apr 19, 2016",2.99,3.04,2.86,2.95,"1,129,600",2.95
"Apr 18, 2016",2.95,3.00,2.76,2.95,"825,900",2.95
"Apr 15, 2016",2.83,2.90,2.80,2.84,"271,600",2.84
"Apr 14, 2016",2.74,2.88,2.71,2.86,"452,100",2.86
"Apr 13, 2016",2.64,2.75,2.57,2.73,"325,000",2.73
"Apr 12, 2016",2.64,2.65,2.52,2.62,"215,800",2.62
"Apr 11, 2016",2.70,2.74,2.60,2.64,"240,300",2.64
"Apr 8, 2016",2.72,2.72,2.59,2.66,"404,500",2.66
"Apr 7, 2016",2.73,2.80,2.65,2.68,"676,200",2.68
"Apr 6, 2016",2.63,2.74,2.63,2.74,"504,200",2.74
"Apr 5, 2016",2.60,2.68,2.57,2.63,"352,000",2.63
"Apr 4, 2016",2.64,2.80,2.60,2.62,"373,500",2.62
"Apr 1, 2016",2.47,2.63,2.43,2.62,"576,600",2.62
"Mar 31, 2016",2.49,2.59,2.47,2.50,"668,400",2.50
"Mar 30, 2016",2.51,2.62,2.44,2.51,"575,100",2.51
"Mar 29, 2016",2.39,2.50,2.34,2.50,"739,500",2.50
"Mar 28, 2016",2.49,2.54,2.37,2.42,"464,700",2.42
"Mar 24, 2016",2.47,2.54,2.26,2.47,"541,700",2.47
"Mar 23, 2016",2.74,2.79,2.48,2.48,"716,900",2.48
"Mar 22, 2016",2.64,2.75,2.64,2.72,"646,800",2.72
"Mar 21, 2016",2.60,2.80,2.60,2.65,"988,400",2.65
"Mar 18, 2016",2.65,2.73,2.56,2.63,"1,476,700",2.63
"Mar 17, 2016",2.60,2.70,2.52,2.66,"1,012,000",2.66
"Mar 16, 2016",2.48,2.63,2.48,2.60,"964,700",2.60
