Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",41.13,41.40,39.90,40.30,"1,217,200",40.30
"Jun 10, 2016",42.78,43.11,41.10,41.23,"1,171,500",41.23
"Jun 9, 2016",43.61,43.85,42.99,43.06,"592,100",43.06
"Jun 8, 2016",44.05,44.10,43.60,43.80,"493,100",43.80
"Jun 7, 2016",43.61,44.28,43.56,44.09,"530,100",44.09
"Jun 6, 2016",44.41,44.41,42.66,43.79,"1,048,500",43.79
"Jun 3, 2016",44.42,44.85,43.98,44.23,"475,900",44.23
"Jun 2, 2016",43.46,44.66,43.46,44.66,"828,600",44.66
"Jun 1, 2016",43.55,44.45,43.13,43.73,"1,147,200",43.73
"May 31, 2016",45.24,45.89,43.23,43.51,"1,288,700",43.51
"May 27, 2016",45.31,45.85,45.03,45.21,"559,300",45.21
"May 26, 2016",44.92,45.49,44.48,45.00,"1,801,600",45.00
"May 25, 2016",45.00,45.02,44.40,44.75,"619,900",44.75
"May 24, 2016",44.22,45.02,43.70,44.82,"421,100",44.82
"May 23, 2016",44.11,44.50,42.60,44.08,"434,300",44.08
"May 20, 2016",44.37,44.67,43.79,44.23,"536,800",44.23
"May 19, 2016",44.24,45.02,43.56,43.95,"309,400",43.95
"May 18, 2016",44.06,44.75,43.64,44.37,"491,900",44.37
"May 17, 2016",44.77,45.27,44.00,44.15,"488,300",44.15
"May 16, 2016",44.22,44.99,43.53,44.81,"425,800",44.81
"May 13, 2016",44.04,44.89,43.46,44.18,"770,900",44.18
"May 12, 2016",44.75,45.09,43.45,44.05,"458,100",44.05
"May 11, 2016",45.53,46.15,44.40,44.44,"477,000",44.44
"May 10, 2016",45.41,45.98,44.72,45.46,"589,200",45.46
"May 9, 2016",44.18,45.74,44.18,45.45,"1,036,900",45.45
"May 6, 2016",43.66,44.72,43.40,44.35,"1,045,300",44.35
"May 5, 2016",42.90,44.79,42.45,43.99,"1,436,100",43.99
"May 4, 2016",44.04,44.18,42.67,42.80,"1,170,600",42.80
"May 3, 2016",44.70,44.70,42.66,43.96,"4,322,000",43.96
"May 2, 2016",48.99,48.99,45.52,47.45,"1,736,800",47.45
"Apr 29, 2016",48.54,48.83,47.67,48.13,"504,100",48.13
"Apr 28, 2016",49.02,49.82,48.51,48.69,"566,400",48.69
"Apr 27, 2016",49.13,49.98,48.72,48.99,"436,700",48.99
"Apr 26, 2016",50.65,50.99,48.75,49.59,"466,700",49.59
"Apr 25, 2016",48.85,50.44,48.47,50.34,"468,500",50.34
"Apr 22, 2016",48.87,49.44,48.15,49.06,"341,500",49.06
"Apr 21, 2016",48.38,49.10,47.58,49.04,"442,300",49.04
"Apr 20, 2016",48.01,49.00,46.83,48.30,"422,200",48.30
"Apr 19, 2016",50.34,50.91,47.89,47.99,"1,138,800",47.99
"Apr 18, 2016",49.53,57.11,48.39,49.68,"6,221,500",49.68
"Apr 15, 2016",48.09,49.62,47.70,49.31,"787,500",49.31
"Apr 14, 2016",48.69,49.60,47.36,48.53,"1,303,800",48.53
"Apr 13, 2016",47.56,48.79,46.52,48.48,"1,160,800",48.48
"Apr 12, 2016",45.26,48.36,45.08,47.37,"2,237,900",47.37
