Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",80.08,82.47,79.48,80.01,"959,200",80.01
"Jun 10, 2016",80.64,81.43,78.35,80.41,"1,037,300",80.41
"Jun 9, 2016",83.59,83.87,81.58,81.61,"864,600",81.61
"Jun 8, 2016",82.91,83.64,81.55,82.90,"938,700",82.90
"Jun 7, 2016",85.50,86.22,82.20,82.44,"1,021,000",82.44
"Jun 6, 2016",84.85,86.00,82.52,85.49,"1,085,400",85.49
"Jun 3, 2016",87.44,87.48,84.43,84.96,"1,208,400",84.96
"Jun 2, 2016",85.17,87.88,84.90,87.71,"1,188,200",87.71
"Jun 1, 2016",83.92,86.19,82.34,85.18,"1,017,400",85.18
"May 31, 2016",84.99,86.20,83.84,84.41,"1,237,500",84.41
"May 27, 2016",81.69,85.68,80.95,84.53,"1,210,400",84.53
"May 26, 2016",82.63,83.02,81.05,81.78,"1,382,700",81.78
"May 25, 2016",81.31,83.50,80.64,83.16,"1,314,700",83.16
"May 24, 2016",81.10,81.77,80.32,81.27,"1,095,900",81.27
"May 23, 2016",77.97,82.07,77.69,80.68,"1,679,700",80.68
"May 20, 2016",76.34,78.99,74.99,77.65,"1,070,800",77.65
"May 19, 2016",76.99,78.95,74.92,76.04,"927,100",76.04
"May 18, 2016",75.18,79.00,74.90,77.53,"1,076,200",77.53
"May 17, 2016",76.07,76.68,74.25,75.55,"1,348,400",75.55
"May 16, 2016",73.08,76.81,73.08,76.47,"1,333,500",76.47
"May 13, 2016",70.27,73.31,69.95,73.21,"857,100",73.21
"May 12, 2016",70.80,71.35,68.31,70.54,"1,036,000",70.54
"May 11, 2016",73.62,73.74,70.48,70.62,"808,200",70.62
"May 10, 2016",73.51,73.62,70.22,73.49,"991,400",73.49
"May 9, 2016",70.40,74.42,69.11,72.86,"2,195,500",72.86
"May 6, 2016",69.77,72.38,68.60,70.69,"1,465,000",70.69
"May 5, 2016",68.97,71.01,68.03,70.41,"1,571,400",70.41
"May 4, 2016",71.40,72.00,68.52,68.69,"1,255,200",68.69
"May 3, 2016",73.45,74.40,71.55,72.09,"877,300",72.09
"May 2, 2016",72.03,74.47,71.02,74.36,"881,100",74.36
"Apr 29, 2016",71.46,73.17,70.01,72.27,"1,351,500",72.27
"Apr 28, 2016",73.21,74.55,71.32,72.34,"1,269,800",72.34
"Apr 27, 2016",73.99,74.05,72.01,73.19,"1,242,000",73.19
"Apr 26, 2016",76.56,76.96,73.77,74.43,"769,700",74.43
"Apr 25, 2016",76.82,77.89,75.84,76.55,"690,000",76.55
"Apr 22, 2016",77.11,77.87,74.84,76.77,"791,600",76.77
"Apr 21, 2016",78.06,79.03,76.02,77.56,"1,656,400",77.56
"Apr 20, 2016",77.18,79.25,77.00,78.49,"1,027,900",78.49
"Apr 19, 2016",77.51,78.36,75.84,76.77,"1,070,600",76.77
"Apr 18, 2016",77.79,78.41,74.70,77.89,"1,579,500",77.89
"Apr 15, 2016",79.37,79.41,76.08,77.78,"1,124,500",77.78
"Apr 14, 2016",79.30,79.80,78.03,78.54,"981,500",78.54
"Apr 13, 2016",77.64,79.49,76.57,79.22,"1,046,100",79.22
"Apr 12, 2016",75.71,77.53,75.26,77.37,"808,500",77.37
"Apr 11, 2016",77.00,77.67,75.00,75.81,"969,100",75.81
"Apr 8, 2016",80.70,80.84,75.79,77.47,"1,556,300",77.47
"Apr 7, 2016",81.50,84.42,78.64,79.40,"1,487,100",79.40
"Apr 6, 2016",73.41,82.04,73.41,81.87,"2,733,400",81.87
"Apr 5, 2016",73.07,75.24,72.24,73.35,"1,446,800",73.35
"Apr 4, 2016",73.28,74.02,72.42,73.49,"1,112,600",73.49
"Apr 1, 2016",73.20,74.09,71.07,73.30,"1,519,700",73.30
"Mar 31, 2016",68.58,74.19,68.51,72.47,"2,160,500",72.47
"Mar 30, 2016",70.64,71.99,67.94,68.35,"1,295,500",68.35
"Mar 29, 2016",68.59,69.90,67.52,69.25,"1,252,100",69.25
"Mar 28, 2016",70.40,70.91,68.37,68.45,"1,078,600",68.45
"Mar 24, 2016",67.07,72.71,65.50,69.76,"1,886,400",69.76
"Mar 23, 2016",70.81,71.33,67.22,67.43,"1,470,500",67.43
"Mar 22, 2016",67.87,70.80,67.35,69.11,"1,645,900",69.11
"Mar 21, 2016",64.98,69.25,64.77,68.61,"1,797,900",68.61
"Mar 18, 2016",63.82,66.05,62.63,65.07,"2,434,500",65.07
"Mar 17, 2016",64.03,64.79,60.30,63.05,"2,625,700",63.05
"Mar 16, 2016",65.15,67.01,62.53,63.77,"1,259,600",63.77
"Mar 15, 2016",68.37,68.49,65.25,65.64,"2,661,700",65.64
"Mar 14, 2016",70.98,71.99,68.93,68.98,"1,296,800",68.98
"Mar 11, 2016",69.53,70.92,68.40,70.89,"1,507,000",70.89
"Mar 10, 2016",69.89,71.62,67.88,68.65,"1,588,300",68.65
"Mar 9, 2016",71.28,71.96,67.83,68.85,"1,569,200",68.85
"Mar 8, 2016",73.18,74.22,70.82,71.17,"1,469,300",71.17
"Mar 7, 2016",71.64,74.66,69.88,73.29,"1,055,300",73.29
"Mar 4, 2016",73.51,73.95,70.73,71.99,"1,342,500",71.99
"Mar 3, 2016",74.00,74.00,71.27,72.56,"1,659,100",72.56
"Mar 2, 2016",74.79,76.50,73.03,73.60,"2,147,600",73.60
"Mar 1, 2016",74.01,75.06,71.93,75.05,"2,701,400",75.05
"Feb 29, 2016",74.76,75.38,72.81,73.50,"1,305,600",73.50
"Feb 26, 2016",75.00,76.39,73.56,74.34,"1,334,900",74.34
"Feb 25, 2016",74.00,76.78,73.31,74.28,"1,559,900",74.28
"Feb 24, 2016",71.29,74.43,69.50,74.32,"1,438,100",74.32
"Feb 23, 2016",73.47,74.83,71.07,72.01,"1,607,800",72.01
"Feb 22, 2016",73.57,75.20,72.40,73.90,"1,257,500",73.90
"Feb 19, 2016",70.84,73.59,68.56,72.70,"1,758,800",72.70
"Feb 18, 2016",74.86,75.36,70.96,71.02,"1,588,900",71.02
"Feb 17, 2016",72.67,77.29,71.62,74.45,"2,608,900",74.45
"Feb 16, 2016",70.30,71.94,68.78,71.67,"3,366,100",71.67
"Feb 12, 2016",65.54,68.50,63.51,68.36,"4,683,500",68.36
"Feb 11, 2016",58.60,66.28,55.00,65.51,"15,389,600",65.51
"Feb 10, 2016",73.57,76.33,71.71,72.31,"3,464,100",72.31
"Feb 9, 2016",68.97,74.54,68.31,72.26,"2,976,100",72.26
"Feb 8, 2016",69.50,71.70,65.61,70.91,"3,329,000",70.91
"Feb 5, 2016",70.68,71.56,68.00,71.00,"4,457,400",71.00
"Feb 4, 2016",68.92,73.00,66.56,72.03,"2,962,400",72.03
"Feb 3, 2016",69.54,70.41,65.51,69.17,"2,807,600",69.17
"Feb 2, 2016",71.85,71.85,67.11,68.94,"4,281,000",68.94
"Feb 1, 2016",70.00,73.55,68.80,72.58,"3,310,400",72.58
"Jan 29, 2016",68.24,70.88,67.81,70.56,"2,817,500",70.56
"Jan 28, 2016",70.01,70.57,64.51,67.81,"6,975,200",67.81
"Jan 27, 2016",76.54,79.57,73.84,74.99,"2,009,800",74.99
"Jan 26, 2016",78.06,78.67,74.24,76.04,"2,102,100",76.04
"Jan 25, 2016",78.48,84.20,78.12,78.31,"2,305,100",78.31
"Jan 22, 2016",75.50,80.32,75.28,79.40,"1,888,200",79.40
"Jan 21, 2016",73.87,76.72,71.00,73.78,"2,186,100",73.78
"Jan 20, 2016",71.63,75.99,69.73,74.25,"3,760,500",74.25
"Jan 19, 2016",79.19,79.26,70.17,73.31,"2,630,600",73.31
"Jan 15, 2016",74.48,79.05,73.22,76.95,"4,172,900",76.95
"Jan 14, 2016",79.76,82.59,74.73,80.98,"2,452,700",80.98
"Jan 13, 2016",88.52,89.65,78.23,78.42,"4,064,800",78.42
"Jan 12, 2016",93.62,96.75,84.57,88.09,"3,778,800",88.09
"Jan 11, 2016",95.90,96.22,90.70,92.19,"2,069,400",92.19
"Jan 8, 2016",97.08,97.99,93.06,94.78,"1,676,300",94.78
"Jan 7, 2016",100.10,100.79,95.62,95.76,"1,791,500",95.76
"Jan 6, 2016",101.44,103.62,100.27,102.26,"2,012,700",102.26
"Jan 5, 2016",102.14,105.98,101.90,103.80,"1,173,900",103.80
"Jan 4, 2016",106.50,106.81,101.73,103.32,"1,531,600",103.32
"Dec 31, 2015",108.24,109.92,108.24,108.45,"868,500",108.45
"Dec 30, 2015",110.27,111.19,108.67,109.11,"671,200",109.11
"Dec 29, 2015",109.98,111.20,108.93,110.72,"765,900",110.72
"Dec 28, 2015",108.98,109.93,108.29,109.68,"708,000",109.68
"Dec 24, 2015",110.26,111.07,108.40,108.92,"406,600",108.92
"Dec 23, 2015",109.21,111.70,108.17,110.52,"1,090,000",110.52
"Dec 22, 2015",113.78,113.78,108.51,108.99,"1,014,100",108.99
"Dec 21, 2015",114.22,114.99,111.74,112.90,"808,000",112.90
"Dec 18, 2015",114.88,115.99,111.19,113.23,"2,797,500",113.23
"Dec 17, 2015",114.25,118.49,114.19,114.81,"1,220,600",114.81
"Dec 16, 2015",115.72,118.00,113.38,117.79,"996,400",117.79
"Dec 15, 2015",110.51,115.40,110.24,114.73,"1,462,600",114.73
"Dec 14, 2015",107.25,111.60,106.00,109.41,"1,457,800",109.41
"Dec 11, 2015",108.77,111.10,106.10,106.50,"1,305,300",106.50
"Dec 10, 2015",107.96,110.92,107.02,110.20,"822,400",110.20
"Dec 9, 2015",109.81,110.32,107.05,108.21,"972,000",108.21
"Dec 8, 2015",106.05,110.36,105.00,110.10,"1,256,400",110.10
"Dec 7, 2015",109.19,109.33,105.11,107.72,"1,429,000",107.72
"Dec 4, 2015",107.37,109.98,106.15,109.11,"2,119,000",109.11
"Dec 3, 2015",113.15,113.44,105.50,106.83,"1,609,300",106.83
"Dec 2, 2015",112.46,115.64,111.38,113.85,"1,237,400",113.85
"Dec 1, 2015",114.99,114.99,109.15,112.21,"1,449,500",112.21
"Nov 30, 2015",116.61,117.62,111.86,114.24,"1,500,700",114.24
"Nov 27, 2015",115.63,118.18,115.19,116.75,"589,900",116.75
"Nov 25, 2015",111.74,115.50,109.00,115.41,"1,439,400",115.41
"Nov 24, 2015",112.13,113.39,110.66,111.72,"855,300",111.72
"Nov 23, 2015",112.94,115.10,111.76,112.98,"1,019,700",112.98
"Nov 20, 2015",117.90,117.90,112.02,113.13,"1,480,900",113.13
"Nov 19, 2015",116.66,117.86,113.66,116.43,"896,100",116.43
"Nov 18, 2015",114.62,117.00,112.87,116.86,"1,464,400",116.86
"Nov 17, 2015",108.60,113.71,106.76,113.48,"1,404,700",113.48
"Nov 16, 2015",107.13,108.85,104.71,108.06,"1,176,100",108.06
"Nov 13, 2015",103.23,108.91,102.26,107.36,"1,293,900",107.36
"Nov 12, 2015",106.36,107.83,103.38,104.20,"1,070,700",104.20
"Nov 11, 2015",109.97,109.97,104.18,106.15,"1,218,400",106.15
"Nov 10, 2015",104.86,109.80,103.20,109.16,"1,784,900",109.16
"Nov 9, 2015",101.50,108.29,101.50,105.86,"2,389,300",105.86
"Nov 6, 2015",116.51,117.92,90.33,100.21,"9,134,900",100.21
"Nov 5, 2015",117.20,119.10,113.20,116.76,"1,502,900",116.76
"Nov 4, 2015",121.26,123.55,116.56,117.14,"1,706,600",117.14
"Nov 3, 2015",124.50,124.98,115.10,119.99,"2,977,400",119.99
"Nov 2, 2015",119.33,120.95,116.47,120.65,"1,524,300",120.65
"Oct 30, 2015",117.41,118.88,113.91,117.53,"1,333,600",117.53
"Oct 29, 2015",120.61,124.34,116.15,117.03,"1,544,100",117.03
"Oct 28, 2015",117.22,120.42,113.30,120.36,"1,491,700",120.36
"Oct 27, 2015",111.88,117.69,111.00,117.64,"1,372,800",117.64
"Oct 26, 2015",109.80,114.00,107.11,112.29,"1,298,700",112.29
"Oct 23, 2015",110.78,113.87,107.45,110.02,"1,440,600",110.02
"Oct 22, 2015",107.03,110.79,103.87,109.02,"1,466,500",109.02
"Oct 21, 2015",108.98,110.20,103.29,107.15,"1,768,000",107.15
"Oct 20, 2015",110.63,111.48,106.78,107.50,"1,295,100",107.50
"Oct 19, 2015",108.31,112.58,106.06,110.69,"1,600,900",110.69
"Oct 16, 2015",111.72,112.28,106.62,107.78,"2,503,200",107.78
"Oct 15, 2015",105.36,112.67,104.57,112.52,"2,206,600",112.52
"Oct 14, 2015",103.50,108.46,102.29,105.91,"2,437,000",105.91
"Oct 13, 2015",101.49,108.99,101.05,101.21,"2,209,600",101.21
"Oct 12, 2015",105.49,106.65,101.23,106.01,"1,125,000",106.01
"Oct 9, 2015",103.04,107.52,101.45,105.00,"1,597,300",105.00
"Oct 8, 2015",108.63,108.71,99.80,103.44,"3,118,400",103.44
"Oct 7, 2015",113.56,114.97,106.16,108.65,"2,894,000",108.65
"Oct 6, 2015",122.29,122.98,106.00,112.46,"7,249,200",112.46
"Oct 5, 2015",128.12,128.69,118.01,120.83,"2,561,900",120.83
"Oct 2, 2015",115.03,131.33,114.68,126.46,"4,442,600",126.46
"Oct 1, 2015",110.37,118.03,107.65,117.93,"2,930,900",117.93
"Sep 30, 2015",103.00,110.75,102.79,110.33,"3,168,000",110.33
"Sep 29, 2015",94.22,102.87,91.97,99.59,"3,510,000",99.59
"Sep 28, 2015",105.55,105.55,89.21,95.16,"3,518,400",95.16
"Sep 25, 2015",113.52,114.81,103.12,106.62,"1,978,800",106.62
"Sep 24, 2015",115.21,116.54,109.13,111.95,"1,542,400",111.95
"Sep 23, 2015",118.47,119.28,114.94,116.49,"799,200",116.49
"Sep 22, 2015",116.80,118.87,113.74,117.78,"1,634,700",117.78
"Sep 21, 2015",127.00,127.38,114.72,118.66,"1,874,400",118.66
"Sep 18, 2015",129.14,129.39,125.51,125.93,"1,399,100",125.93
"Sep 17, 2015",130.90,133.00,128.51,130.11,"1,383,800",130.11
"Sep 16, 2015",130.69,133.62,128.26,130.80,"852,600",130.80
"Sep 15, 2015",129.17,132.62,127.29,131.47,"1,230,200",131.47
"Sep 14, 2015",131.17,131.70,125.35,128.21,"1,255,900",128.21
"Sep 11, 2015",123.43,131.97,123.43,131.01,"2,078,000",131.01
"Sep 10, 2015",118.16,126.94,118.16,124.50,"1,789,600",124.50
"Sep 9, 2015",122.55,124.61,117.86,118.20,"1,363,800",118.20
"Sep 8, 2015",118.90,120.41,116.15,120.13,"731,700",120.13
"Sep 4, 2015",115.03,117.80,112.75,115.88,"1,056,800",115.88
"Sep 3, 2015",124.78,124.80,115.40,116.07,"1,559,600",116.07
"Sep 2, 2015",116.63,123.31,114.35,123.28,"2,218,000",123.28
"Sep 1, 2015",114.85,118.99,114.00,115.12,"1,717,500",115.12
