Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",4.76,5.00,4.38,4.41,"661,800",4.41
"Jun 10, 2016",5.00,5.01,4.79,4.81,"292,500",4.81
"Jun 9, 2016",5.62,5.64,5.02,5.04,"511,400",5.04
"Jun 8, 2016",5.57,5.68,5.39,5.67,"487,400",5.67
"Jun 7, 2016",5.60,5.79,5.49,5.51,"617,200",5.51
"Jun 6, 2016",5.67,5.73,5.51,5.66,"503,400",5.66
"Jun 3, 2016",5.75,5.75,5.48,5.66,"387,500",5.66
"Jun 2, 2016",5.30,5.77,5.30,5.75,"467,300",5.75
"Jun 1, 2016",5.25,5.42,5.25,5.32,"276,800",5.32
"May 31, 2016",5.19,5.38,5.07,5.30,"233,600",5.30
"May 27, 2016",5.16,5.23,4.97,5.19,"138,100",5.19
"May 26, 2016",5.20,5.29,5.05,5.16,"146,700",5.16
"May 25, 2016",5.18,5.33,4.97,5.20,"408,200",5.20
"May 24, 2016",4.94,5.18,4.83,5.16,"339,600",5.16
"May 23, 2016",4.82,5.03,4.77,4.88,"284,100",4.88
"May 20, 2016",4.56,4.85,4.50,4.83,"316,500",4.83
"May 19, 2016",4.62,4.74,4.53,4.56,"432,500",4.56
"May 18, 2016",4.53,4.87,4.50,4.64,"591,100",4.64
"May 17, 2016",4.74,4.75,4.51,4.55,"401,400",4.55
"May 16, 2016",4.84,4.84,4.54,4.75,"497,200",4.75
"May 13, 2016",4.67,4.93,4.64,4.79,"316,200",4.79
"May 12, 2016",4.97,5.10,4.62,4.70,"279,400",4.70
"May 11, 2016",5.18,5.31,4.92,4.93,"233,000",4.93
"May 10, 2016",5.18,5.29,5.03,5.20,"261,200",5.20
"May 9, 2016",4.78,5.39,4.75,5.18,"447,800",5.18
"May 6, 2016",5.05,5.10,4.72,4.82,"458,800",4.82
"May 5, 2016",5.04,5.43,4.88,5.11,"693,000",5.11
"May 4, 2016",5.60,5.66,5.18,5.44,"541,800",5.44
"May 3, 2016",5.78,5.97,5.61,5.64,"292,100",5.64
"May 2, 2016",5.85,5.98,5.72,5.87,"345,300",5.87
"Apr 29, 2016",5.92,6.02,5.72,5.80,"316,000",5.80
"Apr 28, 2016",5.96,6.20,5.80,5.97,"512,300",5.97
"Apr 27, 2016",6.13,6.29,5.81,5.96,"607,700",5.96
"Apr 26, 2016",6.40,6.43,6.10,6.16,"299,200",6.16
"Apr 25, 2016",6.51,6.63,6.31,6.42,"229,300",6.42
"Apr 22, 2016",6.52,6.59,6.35,6.55,"265,800",6.55
"Apr 21, 2016",6.24,6.50,6.13,6.48,"361,700",6.48
"Apr 20, 2016",6.45,6.60,6.14,6.28,"351,800",6.28
"Apr 19, 2016",6.39,6.49,6.28,6.44,"252,900",6.44
"Apr 18, 2016",6.26,6.47,6.19,6.36,"553,100",6.36
"Apr 15, 2016",6.09,6.30,6.00,6.25,"437,700",6.25
"Apr 14, 2016",6.25,6.32,6.03,6.12,"299,000",6.12
"Apr 13, 2016",5.92,6.26,5.89,6.26,"453,400",6.26
"Apr 12, 2016",5.81,5.90,5.69,5.86,"381,100",5.86
"Apr 11, 2016",6.02,6.14,5.73,5.78,"326,000",5.78
"Apr 8, 2016",6.32,6.32,5.83,5.99,"466,100",5.99
"Apr 7, 2016",6.13,6.43,5.99,6.22,"579,200",6.22
"Apr 6, 2016",5.82,6.45,5.82,6.19,"1,048,500",6.19
"Apr 5, 2016",5.46,5.81,5.35,5.74,"705,400",5.74
"Apr 4, 2016",5.46,5.71,5.43,5.49,"756,900",5.49
"Apr 1, 2016",5.24,5.49,5.16,5.41,"474,800",5.41
"Mar 31, 2016",5.13,5.47,5.09,5.27,"651,400",5.27
"Mar 30, 2016",5.30,5.47,5.14,5.15,"534,300",5.15
"Mar 29, 2016",4.90,5.36,4.75,5.26,"718,700",5.26
"Mar 28, 2016",5.06,5.17,4.89,4.95,"630,900",4.95
"Mar 24, 2016",5.24,5.44,5.04,5.06,"837,000",5.06
"Mar 23, 2016",5.66,5.79,5.25,5.28,"937,300",5.28
"Mar 22, 2016",5.70,5.80,5.30,5.62,"1,731,900",5.62
"Mar 21, 2016",6.36,6.61,6.21,6.52,"478,100",6.52
"Mar 18, 2016",6.28,6.50,6.05,6.34,"2,490,700",6.34
"Mar 17, 2016",6.00,6.28,5.71,6.18,"688,500",6.18
"Mar 16, 2016",6.19,6.31,5.85,5.98,"573,000",5.98
"Mar 15, 2016",6.55,6.56,6.13,6.19,"589,600",6.19
"Mar 14, 2016",6.25,6.84,6.09,6.62,"477,100",6.62
"Mar 11, 2016",6.35,6.39,6.09,6.25,"595,500",6.25
"Mar 10, 2016",6.21,6.50,6.05,6.26,"465,300",6.26
"Mar 9, 2016",6.39,6.43,5.93,6.18,"759,300",6.18
"Mar 8, 2016",6.88,6.94,6.31,6.34,"759,300",6.34
"Mar 7, 2016",6.52,6.97,6.50,6.94,"769,000",6.94
"Mar 4, 2016",6.65,6.94,6.45,6.59,"579,200",6.59
"Mar 3, 2016",6.66,6.84,6.30,6.61,"632,000",6.61
"Mar 2, 2016",6.33,6.71,6.11,6.68,"1,278,200",6.68
"Mar 1, 2016",5.87,6.00,5.73,5.96,"533,000",5.96
"Feb 29, 2016",6.19,6.25,5.77,5.78,"561,600",5.78
"Feb 26, 2016",6.01,6.26,5.97,6.21,"496,500",6.21
"Feb 25, 2016",6.12,6.24,5.88,5.93,"612,900",5.93
"Feb 24, 2016",5.70,6.23,5.17,6.10,"889,600",6.10
"Feb 23, 2016",6.05,6.20,5.62,5.63,"635,900",5.63
"Feb 22, 2016",6.25,6.42,5.94,6.08,"428,100",6.08
"Feb 19, 2016",5.89,6.21,5.72,6.20,"318,600",6.20
"Feb 18, 2016",6.37,6.42,5.88,5.90,"469,000",5.90
"Feb 17, 2016",6.06,6.83,6.06,6.36,"938,100",6.36
"Feb 16, 2016",6.02,6.07,5.85,5.99,"409,000",5.99
"Feb 12, 2016",5.65,5.93,5.32,5.92,"433,200",5.92
"Feb 11, 2016",5.56,5.66,5.34,5.56,"573,400",5.56
"Feb 10, 2016",5.67,6.07,5.51,5.67,"387,200",5.67
"Feb 9, 2016",5.39,5.78,5.24,5.60,"355,200",5.60
"Feb 8, 2016",5.64,5.80,5.24,5.49,"710,300",5.49
"Feb 5, 2016",5.93,6.02,5.65,5.72,"534,100",5.72
"Feb 4, 2016",5.83,6.15,5.82,5.98,"585,700",5.98
"Feb 3, 2016",5.90,6.00,5.55,5.87,"608,300",5.87
"Feb 2, 2016",6.08,6.17,5.83,5.87,"551,700",5.87
"Feb 1, 2016",6.17,6.44,5.83,6.22,"637,500",6.22
"Jan 29, 2016",6.18,6.28,5.98,6.21,"800,700",6.21
"Jan 28, 2016",6.44,6.58,5.97,6.14,"632,400",6.14
"Jan 27, 2016",6.78,6.93,6.31,6.35,"867,800",6.35
"Jan 26, 2016",6.66,6.92,6.43,6.80,"588,400",6.80
"Jan 25, 2016",6.56,7.07,6.54,6.61,"803,600",6.61
"Jan 22, 2016",6.62,6.89,6.26,6.57,"644,200",6.57
"Jan 21, 2016",6.48,6.85,6.44,6.48,"609,700",6.48
