Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",10.52,10.76,10.17,10.20,"1,278,400",10.20
"Jun 10, 2016",10.97,11.00,10.25,10.62,"1,695,700",10.62
"Jun 9, 2016",11.14,11.55,11.00,11.01,"1,629,400",11.01
"Jun 8, 2016",11.05,11.27,11.01,11.24,"1,105,700",11.24
"Jun 7, 2016",11.29,11.32,11.08,11.09,"909,400",11.09
"Jun 6, 2016",11.12,11.33,10.95,11.33,"1,100,400",11.33
"Jun 3, 2016",11.35,11.49,11.00,11.08,"1,487,200",11.08
"Jun 2, 2016",11.29,11.49,11.20,11.39,"1,227,600",11.39
"Jun 1, 2016",11.13,11.59,11.13,11.23,"2,452,500",11.23
"May 31, 2016",10.67,11.35,10.67,11.32,"2,271,800",11.32
"May 27, 2016",10.65,10.69,10.03,10.61,"1,684,200",10.61
"May 26, 2016",11.24,11.26,10.66,10.69,"1,306,500",10.69
"May 25, 2016",11.20,11.50,11.08,11.16,"1,879,500",11.16
"May 24, 2016",11.18,11.18,10.83,11.13,"2,044,200",11.13
"May 23, 2016",10.79,11.14,10.62,10.81,"2,193,100",10.81
"May 20, 2016",10.12,10.59,10.00,10.45,"1,681,500",10.45
"May 19, 2016",10.34,10.40,9.98,10.10,"944,900",10.10
"May 18, 2016",10.22,10.60,10.08,10.31,"1,676,900",10.31
"May 17, 2016",9.91,10.29,9.75,10.06,"1,153,400",10.06
"May 16, 2016",9.70,10.20,9.65,9.93,"1,552,500",9.93
"May 13, 2016",9.36,9.60,9.25,9.33,"1,107,000",9.33
"May 12, 2016",9.41,9.63,9.13,9.39,"1,297,700",9.39
"May 11, 2016",9.41,9.78,9.24,9.49,"1,018,100",9.49
"May 10, 2016",9.75,9.78,9.15,9.38,"1,094,500",9.38
"May 9, 2016",9.73,9.99,9.37,9.52,"2,197,500",9.52
"May 6, 2016",8.89,9.14,8.63,8.96,"1,196,100",8.96
"May 5, 2016",9.55,9.63,8.80,9.08,"2,386,700",9.08
"May 4, 2016",10.33,10.49,9.36,9.39,"2,707,200",9.39
"May 3, 2016",10.75,10.90,10.36,10.36,"1,315,600",10.36
"May 2, 2016",10.62,10.90,10.36,10.88,"1,314,800",10.88
"Apr 29, 2016",11.28,11.50,10.20,10.48,"3,057,800",10.48
"Apr 28, 2016",11.00,11.69,10.90,11.18,"2,162,000",11.18
"Apr 27, 2016",10.55,11.14,10.44,10.93,"1,697,700",10.93
"Apr 26, 2016",10.50,10.65,10.38,10.47,"1,133,200",10.47
"Apr 25, 2016",10.25,10.65,10.20,10.49,"1,389,900",10.49
"Apr 22, 2016",10.21,10.44,10.04,10.33,"1,416,200",10.33
"Apr 21, 2016",9.76,10.25,9.70,10.19,"1,574,400",10.19
"Apr 20, 2016",9.92,10.15,9.71,9.74,"1,450,500",9.74
"Apr 19, 2016",10.05,10.34,9.95,10.00,"1,752,000",10.00
"Apr 18, 2016",9.45,10.16,9.35,10.07,"2,004,500",10.07
"Apr 15, 2016",9.65,9.65,9.33,9.49,"1,053,200",9.49
"Apr 14, 2016",9.24,9.70,9.12,9.53,"1,852,000",9.53
"Apr 13, 2016",9.33,9.45,9.08,9.28,"1,449,100",9.28
"Apr 12, 2016",9.12,9.34,8.76,9.30,"1,780,700",9.30
"Apr 11, 2016",9.43,9.44,9.01,9.05,"1,308,000",9.05
"Apr 8, 2016",9.44,9.47,8.87,9.21,"1,312,000",9.21
"Apr 7, 2016",9.39,9.66,9.19,9.34,"1,375,300",9.34
"Apr 6, 2016",8.93,9.49,8.91,9.48,"1,971,200",9.48
