Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",10.79,10.94,10.24,10.35,"605,700",10.35
"Jun 10, 2016",10.84,11.10,10.73,10.88,"555,500",10.88
"Jun 9, 2016",10.31,11.92,9.95,11.02,"2,695,200",11.02
"Jun 8, 2016",12.00,12.09,11.71,12.01,"225,900",12.01
"Jun 7, 2016",12.51,12.51,11.95,11.97,"355,100",11.97
"Jun 6, 2016",11.97,12.75,11.57,12.67,"307,100",12.67
"Jun 3, 2016",12.30,12.33,11.72,11.93,"358,000",11.93
"Jun 2, 2016",11.89,12.69,11.89,12.35,"950,300",12.35
"Jun 1, 2016",11.77,11.99,11.62,11.89,"1,266,500",11.89
"May 31, 2016",11.64,11.98,11.55,11.80,"845,900",11.80
"May 27, 2016",11.94,11.94,11.64,11.83,"323,200",11.83
"May 26, 2016",11.99,12.01,11.76,11.88,"341,200",11.88
"May 25, 2016",11.90,12.10,11.66,11.96,"355,900",11.96
"May 24, 2016",11.49,11.87,11.26,11.81,"439,900",11.81
"May 23, 2016",11.19,11.52,11.18,11.34,"525,200",11.34
"May 20, 2016",10.90,11.28,10.69,11.20,"393,400",11.20
"May 19, 2016",10.94,11.31,10.56,10.85,"329,500",10.85
"May 18, 2016",10.79,11.36,10.61,10.99,"346,400",10.99
"May 17, 2016",10.99,11.22,10.75,10.86,"363,200",10.86
"May 16, 2016",10.91,11.28,10.91,11.02,"334,400",11.02
"May 13, 2016",10.68,11.06,10.57,10.79,"359,700",10.79
"May 12, 2016",11.25,11.25,10.48,10.72,"295,600",10.72
"May 11, 2016",11.57,11.80,11.10,11.15,"170,800",11.15
"May 10, 2016",11.83,12.32,11.24,11.60,"227,100",11.60
"May 9, 2016",11.18,11.89,11.10,11.73,"260,400",11.73
"May 6, 2016",10.89,11.21,10.79,11.11,"219,100",11.11
"May 5, 2016",11.14,11.14,10.39,10.98,"526,400",10.98
"May 4, 2016",11.72,11.75,10.97,11.07,"386,600",11.07
"May 3, 2016",12.24,12.48,11.71,11.74,"310,700",11.74
"May 2, 2016",12.27,12.50,11.81,12.45,"237,500",12.45
"Apr 29, 2016",12.38,12.50,12.02,12.15,"230,100",12.15
"Apr 28, 2016",12.62,13.08,12.32,12.46,"263,200",12.46
"Apr 27, 2016",12.84,12.84,12.21,12.61,"396,400",12.61
