Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",13.57,14.20,13.39,13.65,"722,900",13.65
"Jun 10, 2016",15.05,15.28,13.93,13.99,"1,259,900",13.99
"Jun 9, 2016",16.84,16.94,15.98,16.03,"526,600",16.03
"Jun 8, 2016",16.70,16.98,16.32,16.95,"499,900",16.95
"Jun 7, 2016",16.51,17.27,15.90,16.74,"578,600",16.74
"Jun 6, 2016",15.78,16.85,15.08,16.76,"755,200",16.76
"Jun 3, 2016",16.99,16.99,15.71,15.77,"749,800",15.77
"Jun 2, 2016",16.70,17.02,16.52,17.00,"482,800",17.00
"Jun 1, 2016",15.89,17.16,15.60,16.79,"878,900",16.79
"May 31, 2016",16.19,16.26,15.41,15.65,"440,700",15.65
"May 27, 2016",15.94,16.03,15.24,15.96,"746,600",15.96
"May 26, 2016",16.53,16.73,15.72,15.83,"1,096,500",15.83
"May 25, 2016",15.30,16.44,15.30,16.34,"1,033,800",16.34
"May 24, 2016",14.60,15.29,14.25,15.20,"1,133,200",15.20
"May 23, 2016",14.09,14.70,13.90,14.33,"830,300",14.33
"May 20, 2016",13.42,14.09,13.26,14.09,"317,500",14.09
"May 19, 2016",13.71,13.99,13.16,13.35,"382,900",13.35
"May 18, 2016",13.16,13.75,13.15,13.59,"359,700",13.59
"May 17, 2016",12.99,13.91,12.91,13.20,"526,300",13.20
"May 16, 2016",12.92,13.05,12.61,13.02,"571,600",13.02
"May 13, 2016",12.67,13.39,12.67,12.88,"531,500",12.88
"May 12, 2016",12.71,12.83,12.21,12.57,"423,200",12.57
"May 11, 2016",13.27,13.33,12.60,12.68,"471,500",12.68
"May 10, 2016",13.71,13.71,13.06,13.36,"391,700",13.36
"May 9, 2016",13.25,13.98,13.18,13.66,"306,200",13.66
"May 6, 2016",13.52,13.98,13.03,13.21,"451,400",13.21
"May 5, 2016",13.74,13.81,13.50,13.71,"517,300",13.71
"May 4, 2016",14.15,14.33,13.70,13.78,"388,900",13.78
"May 3, 2016",14.08,14.61,13.82,14.31,"379,000",14.31
"May 2, 2016",14.60,14.61,13.67,14.44,"660,000",14.44
"Apr 29, 2016",15.23,15.25,14.25,14.49,"604,700",14.49
"Apr 28, 2016",15.36,15.48,14.67,14.83,"672,700",14.83
"Apr 27, 2016",15.19,15.53,14.51,14.52,"412,400",14.52
"Apr 26, 2016",16.11,16.19,15.06,15.40,"476,700",15.40
"Apr 25, 2016",16.00,16.28,15.75,15.89,"511,800",15.89
"Apr 22, 2016",15.79,16.16,15.20,16.12,"504,000",16.12
"Apr 21, 2016",15.07,15.90,15.07,15.72,"636,500",15.72
"Apr 20, 2016",15.29,15.44,15.04,15.23,"372,900",15.23
"Apr 19, 2016",15.26,15.45,14.89,15.15,"600,300",15.15
"Apr 18, 2016",14.42,15.25,14.07,15.04,"590,000",15.04
"Apr 15, 2016",14.29,14.49,14.00,14.32,"303,400",14.32
"Apr 14, 2016",14.32,14.51,14.06,14.39,"525,500",14.39
"Apr 13, 2016",13.86,13.96,13.42,13.93,"490,600",13.93
"Apr 12, 2016",14.03,14.23,12.50,13.61,"2,225,900",13.61
"Apr 11, 2016",14.95,15.33,13.20,14.24,"3,939,500",14.24
"Apr 8, 2016",17.80,17.92,17.30,17.66,"324,200",17.66
"Apr 7, 2016",18.32,18.65,17.19,17.42,"458,400",17.42
"Apr 6, 2016",16.82,18.51,16.82,18.51,"448,000",18.51
"Apr 5, 2016",17.24,17.50,16.67,16.80,"355,400",16.80
"Apr 4, 2016",17.00,17.65,16.73,17.32,"430,700",17.32
"Apr 1, 2016",15.86,16.95,15.39,16.90,"643,500",16.90
"Mar 31, 2016",16.12,16.53,15.87,15.99,"673,300",15.99
"Mar 30, 2016",16.44,16.73,15.72,15.88,"486,800",15.88
"Mar 29, 2016",16.30,16.76,15.75,16.30,"593,000",16.30
"Mar 28, 2016",17.85,17.86,16.25,16.30,"436,900",16.30
"Mar 24, 2016",17.15,17.86,17.00,17.13,"424,700",17.13
"Mar 23, 2016",19.82,19.84,17.05,17.42,"1,005,400",17.42
"Mar 22, 2016",18.92,20.98,18.92,20.46,"761,400",20.46
"Mar 21, 2016",18.00,19.34,17.71,18.80,"600,400",18.80
"Mar 18, 2016",17.10,18.54,16.75,17.99,"1,213,300",17.99
"Mar 17, 2016",16.97,17.35,16.24,16.99,"441,700",16.99
"Mar 16, 2016",17.71,18.12,16.75,17.05,"689,400",17.05
"Mar 15, 2016",18.57,18.72,17.06,17.71,"1,183,500",17.71
"Mar 14, 2016",17.50,21.22,17.50,18.89,"2,316,600",18.89
"Mar 11, 2016",16.13,17.14,16.12,16.96,"781,500",16.96
"Mar 10, 2016",16.15,17.00,15.80,16.00,"984,600",16.00
"Mar 9, 2016",16.67,17.64,15.02,16.00,"816,800",16.00
"Mar 8, 2016",17.73,17.96,16.54,16.65,"601,000",16.65
"Mar 7, 2016",17.81,18.39,17.50,17.89,"648,600",17.89
"Mar 4, 2016",18.16,18.84,17.85,17.96,"675,100",17.96
"Mar 3, 2016",18.01,19.09,18.00,18.22,"765,600",18.22
"Mar 2, 2016",17.35,18.46,17.21,18.05,"710,600",18.05
"Mar 1, 2016",17.83,18.27,16.96,17.39,"780,800",17.39
