Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",11.27,11.53,10.89,10.93,"534,800",10.93
"Jun 10, 2016",11.44,11.51,11.17,11.35,"683,400",11.35
"Jun 9, 2016",11.35,11.74,11.33,11.56,"742,100",11.56
"Jun 8, 2016",11.35,11.59,11.03,11.47,"583,100",11.47
"Jun 7, 2016",11.41,11.50,11.28,11.35,"334,700",11.35
"Jun 6, 2016",11.26,11.50,11.10,11.44,"433,600",11.44
"Jun 3, 2016",11.54,11.58,11.23,11.24,"620,300",11.24
"Jun 2, 2016",11.22,11.56,11.22,11.53,"898,600",11.53
"Jun 1, 2016",11.28,11.34,11.03,11.26,"906,000",11.26
"May 31, 2016",11.26,11.44,11.10,11.28,"862,700",11.28
"May 27, 2016",11.31,11.42,11.06,11.15,"467,600",11.15
"May 26, 2016",11.68,11.78,11.16,11.35,"929,800",11.35
"May 25, 2016",11.52,11.77,11.39,11.62,"516,600",11.62
"May 24, 2016",11.01,11.67,10.96,11.44,"1,271,400",11.44
"May 23, 2016",11.13,11.22,10.72,10.95,"381,000",10.95
"May 20, 2016",10.83,11.29,10.75,11.09,"440,800",11.09
"May 19, 2016",10.66,10.96,10.52,10.81,"356,300",10.81
"May 18, 2016",10.47,10.99,10.47,10.81,"522,000",10.81
"May 17, 2016",10.57,10.84,10.46,10.57,"809,100",10.57
"May 16, 2016",10.75,10.96,10.46,10.66,"759,300",10.66
"May 13, 2016",10.61,10.84,10.48,10.70,"824,500",10.70
"May 12, 2016",11.12,11.20,10.69,10.75,"630,600",10.75
"May 11, 2016",11.29,11.45,11.12,11.13,"446,400",11.13
"May 10, 2016",11.77,11.93,11.30,11.31,"853,600",11.31
"May 9, 2016",11.64,11.86,11.58,11.70,"430,000",11.70
"May 6, 2016",11.54,11.85,11.41,11.82,"626,500",11.82
"May 5, 2016",11.59,11.72,11.39,11.53,"276,400",11.53
"May 4, 2016",11.70,11.84,11.45,11.61,"414,000",11.61
"May 3, 2016",11.96,12.18,11.72,11.74,"575,800",11.74
"May 2, 2016",12.40,12.41,11.39,12.01,"1,268,300",12.01
"Apr 29, 2016",12.68,13.07,11.95,12.34,"917,900",12.34
"Apr 28, 2016",12.43,12.70,12.20,12.35,"827,400",12.35
"Apr 27, 2016",13.70,13.71,12.33,12.47,"1,167,700",12.47
"Apr 26, 2016",13.89,13.94,13.56,13.64,"457,000",13.64
"Apr 25, 2016",13.76,13.85,13.55,13.73,"306,900",13.73
"Apr 22, 2016",13.70,13.99,13.53,13.75,"429,300",13.75
"Apr 21, 2016",13.73,13.94,13.66,13.75,"504,300",13.75
"Apr 20, 2016",13.70,14.15,13.59,13.76,"401,300",13.76
"Apr 19, 2016",13.59,14.08,13.54,13.77,"556,900",13.77
"Apr 18, 2016",13.33,13.79,13.21,13.73,"526,200",13.73
"Apr 15, 2016",13.36,13.47,13.13,13.40,"615,600",13.40
"Apr 14, 2016",13.20,13.42,12.88,13.30,"489,500",13.30
"Apr 13, 2016",13.13,13.39,12.98,13.16,"880,600",13.16
"Apr 12, 2016",12.89,13.18,12.55,13.09,"378,100",13.09
"Apr 11, 2016",13.25,13.48,12.82,12.92,"395,500",12.92
"Apr 8, 2016",13.52,13.52,13.07,13.18,"385,700",13.18
"Apr 7, 2016",13.46,13.69,13.32,13.43,"803,700",13.43
"Apr 6, 2016",13.24,13.76,13.16,13.50,"547,100",13.50
"Apr 5, 2016",13.12,13.47,12.79,13.27,"500,100",13.27
"Apr 4, 2016",12.90,13.45,12.88,13.21,"849,800",13.21
"Apr 1, 2016",12.48,13.00,12.30,12.83,"1,039,500",12.83
"Mar 31, 2016",12.40,12.73,12.36,12.59,"766,200",12.59
"Mar 30, 2016",12.41,12.61,12.10,12.38,"1,337,300",12.38
"Mar 29, 2016",11.55,12.30,11.42,12.29,"1,361,700",12.29
"Mar 28, 2016",11.92,12.09,11.34,11.65,"978,100",11.65
