Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",21.49,22.45,21.30,21.47,"2,275,000",21.47
"Jun 10, 2016",21.10,22.07,20.72,21.75,"2,656,700",21.75
"Jun 9, 2016",21.42,21.68,20.85,21.45,"3,029,500",21.45
"Jun 8, 2016",22.69,22.70,21.38,21.57,"3,430,200",21.57
"Jun 7, 2016",24.20,24.20,22.32,22.33,"3,403,700",22.33
"Jun 6, 2016",23.12,24.37,22.25,24.29,"3,253,400",24.29
"Jun 3, 2016",23.57,24.12,22.52,22.96,"3,535,000",22.96
"Jun 2, 2016",22.55,23.94,22.06,23.75,"3,112,500",23.75
"Jun 1, 2016",22.57,23.00,22.20,22.52,"3,426,900",22.52
"May 31, 2016",22.29,23.18,21.71,22.69,"5,898,700",22.69
"May 27, 2016",20.18,22.52,19.59,22.01,"9,159,900",22.01
"May 26, 2016",26.80,26.81,21.09,21.36,"27,104,000",21.36
"May 25, 2016",33.69,35.84,33.60,35.26,"2,051,100",35.26
"May 24, 2016",34.31,34.85,33.07,33.37,"1,962,800",33.37
"May 23, 2016",33.35,34.80,33.35,34.08,"1,366,900",34.08
"May 20, 2016",33.06,34.48,32.98,33.59,"1,209,900",33.59
"May 19, 2016",33.35,34.42,32.27,32.79,"946,000",32.79
"May 18, 2016",32.49,34.35,32.49,33.49,"1,187,900",33.49
"May 17, 2016",32.48,33.48,32.17,32.59,"1,290,300",32.59
"May 16, 2016",31.49,32.92,31.49,32.63,"1,744,900",32.63
"May 13, 2016",30.23,31.95,30.20,31.42,"1,188,800",31.42
"May 12, 2016",33.09,33.43,30.01,30.49,"2,451,000",30.49
"May 11, 2016",33.94,35.08,32.89,32.93,"1,582,100",32.93
"May 10, 2016",34.50,34.54,33.56,34.11,"1,466,300",34.11
"May 9, 2016",34.01,34.79,33.90,34.38,"1,349,300",34.38
"May 6, 2016",34.53,35.40,33.37,34.01,"1,248,900",34.01
"May 5, 2016",35.52,35.66,33.75,34.91,"2,102,400",34.91
"May 4, 2016",38.32,38.54,34.53,35.25,"2,951,100",35.25
"May 3, 2016",39.59,39.97,38.05,38.22,"1,272,400",38.22
"May 2, 2016",40.86,41.17,38.73,40.40,"1,338,500",40.40
"Apr 29, 2016",41.07,42.45,40.73,40.97,"1,172,400",40.97
"Apr 28, 2016",41.38,42.68,40.71,40.99,"862,400",40.99
"Apr 27, 2016",41.68,42.20,40.60,41.37,"991,900",41.37
"Apr 26, 2016",43.02,43.15,41.14,42.00,"1,760,000",42.00
"Apr 25, 2016",43.42,44.16,42.95,43.08,"902,200",43.08
"Apr 22, 2016",43.74,44.40,42.65,43.44,"798,700",43.44
"Apr 21, 2016",43.61,44.35,42.69,43.78,"1,538,400",43.78
"Apr 20, 2016",42.55,44.49,41.78,43.62,"1,273,900",43.62
"Apr 19, 2016",43.25,43.38,41.75,42.51,"825,400",42.51
"Apr 18, 2016",42.11,43.66,42.11,43.32,"748,100",43.32
"Apr 15, 2016",42.67,42.72,41.44,42.48,"972,700",42.48
"Apr 14, 2016",42.60,43.35,41.74,42.70,"824,000",42.70
"Apr 13, 2016",41.00,42.81,40.83,42.61,"1,473,800",42.61
"Apr 12, 2016",40.68,41.00,39.53,40.57,"1,368,200",40.57
"Apr 11, 2016",40.34,41.47,39.87,40.67,"1,333,700",40.67
"Apr 8, 2016",42.41,42.50,40.02,40.39,"1,583,000",40.39
"Apr 7, 2016",42.50,44.15,40.33,41.40,"6,461,100",41.40
"Apr 6, 2016",42.50,46.75,42.30,46.53,"2,192,100",46.53
"Apr 5, 2016",41.79,43.39,41.50,42.56,"1,824,600",42.56
"Apr 4, 2016",41.09,43.69,41.09,42.26,"1,782,500",42.26
"Apr 1, 2016",40.43,41.75,39.61,41.02,"1,730,000",41.02
"Mar 31, 2016",39.20,41.32,38.67,40.50,"1,552,900",40.50
"Mar 30, 2016",39.67,41.05,38.26,38.63,"2,220,700",38.63
"Mar 29, 2016",38.28,39.05,36.50,38.96,"2,306,100",38.96
"Mar 28, 2016",40.87,41.50,38.07,38.31,"2,407,200",38.31
"Mar 24, 2016",40.00,42.36,38.21,41.62,"2,053,600",41.62
"Mar 23, 2016",45.40,46.05,39.77,39.80,"5,173,400",39.80
"Mar 22, 2016",40.34,42.93,40.15,41.75,"1,460,000",41.75
"Mar 21, 2016",38.54,41.28,38.50,40.63,"1,709,300",40.63
"Mar 18, 2016",37.60,39.91,36.27,38.65,"2,859,200",38.65
"Mar 17, 2016",36.66,37.19,34.77,36.94,"2,146,100",36.94
"Mar 16, 2016",36.07,38.39,36.00,36.88,"1,572,300",36.88
"Mar 15, 2016",40.50,40.50,36.09,36.51,"2,039,800",36.51
"Mar 14, 2016",39.09,40.86,38.72,40.34,"1,458,600",40.34
"Mar 11, 2016",37.41,39.45,37.05,39.07,"1,140,200",39.07
"Mar 10, 2016",38.57,39.34,35.75,37.08,"1,463,400",37.08
"Mar 9, 2016",40.09,40.09,37.32,38.00,"1,597,200",38.00
"Mar 8, 2016",41.61,41.86,38.85,39.29,"1,476,300",39.29
"Mar 7, 2016",39.74,43.00,39.37,41.49,"1,402,000",41.49
"Mar 4, 2016",37.74,40.63,37.74,39.81,"1,991,000",39.81
"Mar 3, 2016",37.93,38.90,37.48,38.41,"1,695,200",38.41
"Mar 2, 2016",35.66,39.17,35.66,37.75,"2,028,400",37.75
"Mar 1, 2016",34.55,35.96,33.74,35.93,"1,710,800",35.93
"Feb 29, 2016",33.56,36.48,33.56,34.56,"1,718,100",34.56
"Feb 26, 2016",34.00,34.28,31.95,33.50,"1,981,500",33.50
"Feb 25, 2016",35.00,36.84,32.74,33.57,"2,495,900",33.57
"Feb 24, 2016",34.41,35.40,32.32,35.13,"3,885,800",35.13
"Feb 23, 2016",36.64,37.10,34.77,34.85,"1,311,700",34.85
"Feb 22, 2016",37.74,38.40,36.30,36.80,"1,199,900",36.80
"Feb 19, 2016",36.93,37.28,35.57,37.00,"1,274,300",37.00
"Feb 18, 2016",39.39,39.50,36.65,36.99,"1,670,500",36.99
"Feb 17, 2016",36.25,39.32,36.20,38.74,"2,252,000",38.74
"Feb 16, 2016",36.63,38.10,35.68,36.04,"1,903,100",36.04
"Feb 12, 2016",34.86,35.84,33.24,35.74,"2,796,400",35.74
"Feb 11, 2016",32.40,35.25,30.93,34.25,"2,885,200",34.25
"Feb 10, 2016",33.42,35.40,32.92,33.03,"1,528,900",33.03
"Feb 9, 2016",32.35,34.82,31.66,33.17,"2,363,100",33.17
"Feb 8, 2016",34.47,34.69,31.84,32.85,"1,897,300",32.85
"Feb 5, 2016",35.52,36.02,34.04,35.39,"2,382,000",35.39
"Feb 4, 2016",35.00,38.73,34.74,35.56,"2,030,500",35.56
"Feb 3, 2016",35.76,36.33,32.75,35.49,"2,262,000",35.49
"Feb 2, 2016",39.26,39.30,35.41,35.61,"2,121,300",35.61
"Feb 1, 2016",38.50,39.90,37.77,39.28,"1,797,500",39.28
"Jan 29, 2016",39.75,40.76,37.34,38.93,"2,520,600",38.93
"Jan 28, 2016",43.02,43.34,39.09,39.73,"2,181,500",39.73
"Jan 27, 2016",46.36,46.49,42.31,42.49,"1,995,000",42.49
"Jan 26, 2016",46.34,47.75,44.22,46.39,"1,507,700",46.39
"Jan 25, 2016",45.83,47.81,44.90,46.19,"1,455,900",46.19
"Jan 22, 2016",44.12,45.89,43.30,45.47,"1,461,300",45.47
"Jan 21, 2016",43.50,46.71,41.86,43.14,"1,794,800",43.14
"Jan 20, 2016",39.23,44.49,37.26,42.83,"2,615,600",42.83
"Jan 19, 2016",44.74,44.81,39.26,40.63,"2,246,300",40.63
