Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",32.29,33.19,32.20,32.43,"605,600",32.43
"Jun 10, 2016",33.15,33.50,32.03,32.45,"487,800",32.45
"Jun 9, 2016",33.44,33.84,33.01,33.56,"438,500",33.56
"Jun 8, 2016",33.87,34.05,33.28,33.66,"525,300",33.66
"Jun 7, 2016",33.68,33.97,33.03,33.88,"463,800",33.88
"Jun 6, 2016",33.36,34.19,33.02,34.15,"585,500",34.15
"Jun 3, 2016",34.92,35.17,33.54,34.37,"344,600",34.37
"Jun 2, 2016",34.68,35.24,34.27,35.01,"431,500",35.01
"Jun 1, 2016",34.18,34.95,34.06,34.74,"511,800",34.74
"May 31, 2016",33.76,34.37,33.68,34.15,"429,100",34.15
"May 27, 2016",33.14,33.89,33.06,33.53,"241,900",33.53
"May 26, 2016",33.16,33.22,32.74,32.98,"224,000",32.98
"May 25, 2016",32.66,33.53,32.66,33.04,"467,300",33.04
"May 24, 2016",32.19,32.73,32.08,32.62,"515,300",32.62
"May 23, 2016",32.08,32.43,31.53,32.12,"650,700",32.12
"May 20, 2016",31.11,32.02,30.89,32.00,"447,700",32.00
"May 19, 2016",31.12,31.64,30.25,30.89,"527,000",30.89
"May 18, 2016",30.19,31.20,30.18,31.18,"532,100",31.18
"May 17, 2016",29.95,30.91,29.74,30.33,"514,100",30.33
"May 16, 2016",29.34,30.40,28.98,30.12,"753,500",30.12
"May 13, 2016",28.62,29.80,28.47,29.18,"739,300",29.18
"May 12, 2016",29.07,29.88,27.98,28.58,"1,141,000",28.58
"May 11, 2016",29.32,30.14,28.79,28.83,"780,700",28.83
"May 10, 2016",31.39,31.39,27.62,29.49,"1,916,300",29.49
"May 9, 2016",30.05,31.17,29.90,30.39,"973,800",30.39
"May 6, 2016",31.74,31.88,28.92,29.80,"1,744,500",29.80
"May 5, 2016",32.40,32.64,31.68,32.27,"403,600",32.27
"May 4, 2016",33.50,33.50,31.81,32.27,"525,600",32.27
"May 3, 2016",32.77,34.53,32.55,33.60,"486,900",33.60
"May 2, 2016",33.53,33.76,32.80,33.13,"623,700",33.13
"Apr 29, 2016",34.16,34.38,32.59,33.35,"527,400",33.35
"Apr 28, 2016",34.76,35.09,34.02,34.17,"410,000",34.17
"Apr 27, 2016",34.91,35.52,34.09,34.85,"310,300",34.85
"Apr 26, 2016",35.42,35.68,34.09,34.99,"451,000",34.99
"Apr 25, 2016",35.90,36.33,35.14,35.24,"680,600",35.24
"Apr 22, 2016",36.40,37.20,35.95,36.25,"804,200",36.25
"Apr 21, 2016",35.11,37.00,35.03,36.40,"1,015,500",36.40
"Apr 20, 2016",35.57,35.80,35.06,35.20,"335,400",35.20
"Apr 19, 2016",35.45,35.83,34.83,35.38,"352,900",35.38
"Apr 18, 2016",35.00,35.90,34.27,35.44,"585,800",35.44
"Apr 15, 2016",35.32,35.62,34.62,35.21,"395,200",35.21
"Apr 14, 2016",35.27,35.49,34.63,35.39,"513,700",35.39
"Apr 13, 2016",34.46,35.70,34.46,35.35,"707,800",35.35
"Apr 12, 2016",34.20,34.77,33.55,34.31,"457,200",34.31
"Apr 11, 2016",34.84,35.22,33.89,34.28,"464,700",34.28
"Apr 8, 2016",35.24,35.33,34.51,34.81,"464,300",34.81
"Apr 7, 2016",34.59,35.60,33.97,34.89,"735,600",34.89
"Apr 6, 2016",32.48,34.85,32.34,34.70,"773,800",34.70
"Apr 5, 2016",32.16,32.63,31.57,32.35,"546,200",32.35
"Apr 4, 2016",33.32,33.99,32.40,32.52,"790,800",32.52
"Apr 1, 2016",31.87,33.50,31.69,33.26,"805,300",33.26
"Mar 31, 2016",32.23,32.70,31.28,32.02,"467,600",32.02
"Mar 30, 2016",32.66,33.13,32.18,32.32,"319,700",32.32
"Mar 29, 2016",31.22,32.68,30.61,32.65,"543,200",32.65
"Mar 28, 2016",32.55,32.70,31.17,31.37,"319,500",31.37
"Mar 24, 2016",31.70,32.78,30.75,32.22,"339,100",32.22
"Mar 23, 2016",33.44,34.26,31.98,32.00,"364,000",32.00
"Mar 22, 2016",32.00,33.55,32.00,33.44,"396,100",33.44
"Mar 21, 2016",31.33,32.96,30.95,32.24,"543,200",32.24
"Mar 18, 2016",32.16,32.42,30.78,31.43,"1,974,700",31.43
"Mar 17, 2016",32.79,33.34,31.46,31.96,"710,200",31.96
"Mar 16, 2016",32.76,34.47,32.57,32.99,"483,000",32.99
"Mar 15, 2016",34.92,35.20,32.89,32.99,"734,100",32.99
"Mar 14, 2016",36.29,36.29,35.01,35.18,"456,200",35.18
"Mar 11, 2016",34.79,36.75,34.61,36.32,"902,100",36.32
"Mar 10, 2016",33.62,34.75,33.24,34.53,"751,900",34.53
"Mar 9, 2016",32.25,34.17,30.72,33.59,"1,096,400",33.59
"Mar 8, 2016",34.39,34.95,32.44,32.53,"656,800",32.53
"Mar 7, 2016",34.23,35.23,33.73,34.71,"600,900",34.71
"Mar 4, 2016",34.75,35.01,34.04,34.30,"556,800",34.30
"Mar 3, 2016",34.34,34.90,34.02,34.86,"463,300",34.86
"Mar 2, 2016",34.17,34.68,33.59,34.46,"662,500",34.46
"Mar 1, 2016",32.98,34.40,32.49,34.36,"1,053,600",34.36
"Feb 29, 2016",33.50,33.99,32.64,32.69,"1,107,700",32.69
"Feb 26, 2016",32.90,33.45,32.32,33.27,"625,400",33.27
"Feb 25, 2016",32.23,33.46,31.74,32.67,"571,500",32.67
"Feb 24, 2016",32.27,33.42,31.42,32.01,"1,135,600",32.01
"Feb 23, 2016",33.02,33.74,32.71,32.83,"918,800",32.83
"Feb 22, 2016",32.99,33.80,29.66,33.14,"4,495,100",33.14
"Feb 19, 2016",34.60,34.73,32.81,33.97,"1,123,700",33.97
"Feb 18, 2016",35.90,36.43,34.70,34.99,"1,090,500",34.99
"Feb 17, 2016",33.08,37.06,33.08,35.71,"1,596,700",35.71
"Feb 16, 2016",31.26,32.21,31.00,32.16,"472,900",32.16
"Feb 12, 2016",30.98,31.13,30.18,30.89,"575,600",30.89
"Feb 11, 2016",31.41,31.60,30.34,30.73,"671,900",30.73
"Feb 10, 2016",32.63,33.81,32.00,32.18,"801,800",32.18
"Feb 9, 2016",32.25,33.63,31.87,32.44,"506,600",32.44
"Feb 8, 2016",33.33,33.81,32.10,32.70,"744,800",32.70
"Feb 5, 2016",34.79,35.13,33.52,33.76,"909,800",33.76
"Feb 4, 2016",35.98,36.35,34.67,34.90,"616,200",34.90
"Feb 3, 2016",36.93,37.75,35.21,36.00,"506,900",36.00
"Feb 2, 2016",37.19,38.43,36.56,36.73,"494,000",36.73
"Feb 1, 2016",37.15,38.30,36.38,37.56,"550,700",37.56
"Jan 29, 2016",36.89,37.60,36.09,37.47,"792,300",37.47
"Jan 28, 2016",38.71,39.40,36.49,36.79,"437,900",36.79
"Jan 27, 2016",39.84,40.40,38.11,38.42,"440,400",38.42
"Jan 26, 2016",39.83,40.74,38.91,39.93,"426,400",39.93
"Jan 25, 2016",39.81,40.57,39.54,39.73,"431,300",39.73
"Jan 22, 2016",39.25,40.23,38.29,40.06,"483,900",40.06
"Jan 21, 2016",38.76,39.62,38.20,38.59,"357,900",38.59
"Jan 20, 2016",38.34,39.49,36.77,38.72,"610,000",38.72
"Jan 19, 2016",39.65,40.00,38.48,38.83,"801,200",38.83
"Jan 15, 2016",37.02,39.31,36.50,39.02,"1,097,800",39.02
"Jan 14, 2016",36.44,38.87,35.23,38.31,"589,500",38.31
"Jan 13, 2016",37.01,38.58,35.89,36.05,"1,374,600",36.05
"Jan 12, 2016",36.79,37.49,36.10,36.96,"942,500",36.96
"Jan 11, 2016",38.40,39.17,35.31,36.10,"839,900",36.10
"Jan 8, 2016",40.32,43.16,38.16,38.29,"725,500",38.29
"Jan 7, 2016",41.29,41.87,40.48,40.49,"346,000",40.49
"Jan 6, 2016",41.87,42.80,41.67,42.00,"407,700",42.00
"Jan 5, 2016",42.53,43.13,42.29,42.65,"658,700",42.65
"Jan 4, 2016",41.93,43.04,41.53,42.27,"620,300",42.27
"Dec 31, 2015",43.49,43.93,42.66,42.76,"404,600",42.76
"Dec 30, 2015",43.88,44.26,43.13,43.60,"539,000",43.60
"Dec 29, 2015",44.42,44.74,43.52,43.96,"444,300",43.96
"Dec 28, 2015",43.33,44.42,43.00,44.12,"510,500",44.12
"Dec 24, 2015",43.56,43.99,43.12,43.43,"132,400",43.43
"Dec 23, 2015",42.74,44.86,42.68,43.33,"368,800",43.33
"Dec 22, 2015",42.83,43.09,41.84,42.62,"317,900",42.62
"Dec 21, 2015",42.10,43.15,40.14,42.59,"501,500",42.59
"Dec 18, 2015",41.78,42.65,40.73,41.70,"1,202,800",41.70
"Dec 17, 2015",42.23,42.83,41.70,42.03,"678,300",42.03
"Dec 16, 2015",42.34,43.01,41.17,41.99,"633,400",41.99
"Dec 15, 2015",41.36,42.11,40.85,41.82,"643,100",41.82
"Dec 14, 2015",41.39,41.77,40.50,41.10,"503,000",41.10
"Dec 11, 2015",40.98,41.96,40.98,41.52,"686,800",41.52
"Dec 10, 2015",41.85,42.69,41.03,41.76,"663,400",41.76
