Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",12.77,13.06,12.72,12.75,"871,200",12.75
"Jun 10, 2016",12.79,13.06,12.76,12.87,"649,800",12.87
"Jun 9, 2016",13.03,13.27,12.82,13.00,"739,900",13.00
"Jun 8, 2016",12.97,13.21,12.87,13.16,"676,700",13.16
"Jun 7, 2016",13.15,13.15,12.93,12.96,"912,100",12.96
"Jun 6, 2016",12.99,13.25,12.80,13.25,"917,900",13.25
"Jun 3, 2016",13.15,13.18,12.72,12.95,"1,268,700",12.95
"Jun 2, 2016",12.69,13.21,12.69,13.21,"2,054,900",13.21
"Jun 1, 2016",12.46,12.98,12.46,12.69,"1,450,500",12.69
"May 31, 2016",12.43,12.59,12.36,12.49,"1,055,800",12.49
"May 27, 2016",12.30,12.40,12.22,12.38,"788,600",12.38
"May 26, 2016",12.25,12.37,12.15,12.23,"1,148,800",12.23
"May 25, 2016",12.10,12.40,12.00,12.27,"1,727,900",12.27
"May 24, 2016",11.52,12.08,11.47,12.06,"1,232,600",12.06
"May 23, 2016",11.47,11.67,11.42,11.44,"1,187,400",11.44
"May 20, 2016",11.26,11.43,11.10,11.42,"1,996,200",11.42
"May 19, 2016",10.96,11.29,10.91,11.22,"2,063,500",11.22
"May 18, 2016",10.77,11.11,10.71,11.01,"936,500",11.01
"May 17, 2016",10.73,10.92,10.64,10.80,"1,196,100",10.80
"May 16, 2016",10.52,10.88,10.24,10.75,"1,077,200",10.75
"May 13, 2016",10.26,10.64,10.26,10.44,"961,600",10.44
"May 12, 2016",10.69,10.69,10.22,10.31,"1,277,900",10.31
"May 11, 2016",10.91,11.16,10.62,10.64,"1,572,400",10.64
"May 10, 2016",11.17,11.18,10.74,10.95,"3,121,700",10.95
"May 9, 2016",10.01,10.38,9.79,10.22,"971,500",10.22
"May 6, 2016",10.09,10.22,9.78,10.02,"1,227,400",10.02
"May 5, 2016",10.26,10.27,10.00,10.15,"1,349,700",10.15
"May 4, 2016",10.38,10.68,10.13,10.22,"2,225,200",10.22
"May 3, 2016",10.67,10.80,10.42,10.44,"1,283,800",10.44
"May 2, 2016",10.47,10.77,10.31,10.76,"976,000",10.76
"Apr 29, 2016",10.80,10.85,10.43,10.45,"1,395,300",10.45
"Apr 28, 2016",10.49,11.07,10.28,10.83,"3,043,800",10.83
"Apr 27, 2016",10.12,10.74,10.10,10.49,"3,727,900",10.49
"Apr 26, 2016",10.40,10.90,9.06,10.25,"10,081,400",10.25
"Apr 25, 2016",10.83,10.96,10.66,10.85,"827,800",10.85
"Apr 22, 2016",10.85,11.00,10.38,10.84,"959,500",10.84
"Apr 21, 2016",10.60,10.81,10.13,10.81,"1,057,300",10.81
"Apr 20, 2016",11.05,11.18,10.30,10.71,"1,533,400",10.71
