Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",7.99,8.25,7.70,7.73,"150,300",7.73
"Jun 10, 2016",8.40,8.66,8.08,8.12,"91,500",8.12
"Jun 9, 2016",8.83,8.92,8.40,8.44,"147,600",8.44
"Jun 8, 2016",9.12,9.12,8.85,8.92,"125,400",8.92
"Jun 7, 2016",9.26,9.41,9.00,9.09,"166,000",9.09
"Jun 6, 2016",8.98,9.49,8.95,9.34,"235,800",9.34
"Jun 3, 2016",9.00,9.23,8.80,8.97,"134,200",8.97
"Jun 2, 2016",8.93,9.23,8.87,8.99,"300,600",8.99
"Jun 1, 2016",9.17,9.34,8.90,9.04,"133,900",9.04
"May 31, 2016",9.10,9.34,8.98,9.20,"154,800",9.20
"May 27, 2016",8.99,9.02,8.82,9.00,"133,800",9.00
"May 26, 2016",9.18,9.18,8.82,8.99,"90,200",8.99
"May 25, 2016",9.12,9.27,9.00,9.09,"260,100",9.09
"May 24, 2016",9.35,9.44,8.99,9.09,"201,700",9.09
"May 23, 2016",9.08,9.49,8.99,9.30,"158,900",9.30
"May 20, 2016",9.01,9.18,8.94,9.05,"144,200",9.05
"May 19, 2016",9.03,9.36,8.82,9.00,"74,300",9.00
"May 18, 2016",9.07,9.50,8.93,9.05,"181,800",9.05
"May 17, 2016",9.02,9.27,8.73,8.96,"96,600",8.96
"May 16, 2016",9.00,9.17,8.85,9.06,"111,500",9.06
"May 13, 2016",8.70,9.34,8.68,9.04,"144,000",9.04
"May 12, 2016",9.05,9.05,8.24,8.76,"145,900",8.76
"May 11, 2016",10.44,10.65,8.84,8.87,"253,000",8.87
"May 10, 2016",10.58,10.78,10.42,10.64,"124,300",10.64
"May 9, 2016",10.44,10.90,10.08,10.60,"163,400",10.60
"May 6, 2016",10.23,10.56,10.23,10.42,"126,100",10.42
"May 5, 2016",10.41,10.64,10.04,10.37,"144,000",10.37
"May 4, 2016",10.22,10.73,9.91,10.34,"176,800",10.34
"May 3, 2016",10.13,10.56,10.03,10.45,"125,600",10.45
"May 2, 2016",9.80,10.35,9.76,10.35,"148,300",10.35
"Apr 29, 2016",9.41,9.84,9.12,9.80,"86,200",9.80
"Apr 28, 2016",9.26,9.75,9.26,9.40,"47,300",9.40
"Apr 27, 2016",9.43,9.52,9.15,9.39,"45,000",9.39
