Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",149.54,152.27,148.47,148.57,"717,700",148.57
"Jun 10, 2016",154.11,154.71,149.73,150.76,"549,900",150.76
"Jun 9, 2016",154.35,157.29,154.35,156.02,"766,500",156.02
"Jun 8, 2016",154.90,155.39,152.85,154.96,"400,600",154.96
"Jun 7, 2016",153.97,155.76,151.64,154.91,"673,000",154.91
"Jun 6, 2016",155.77,156.50,152.10,155.63,"497,900",155.63
"Jun 3, 2016",154.72,154.72,150.30,152.75,"527,300",152.75
"Jun 2, 2016",154.67,156.92,154.07,155.99,"571,200",155.99
"Jun 1, 2016",151.32,155.51,150.66,154.72,"775,500",154.72
"May 31, 2016",151.94,154.78,149.28,151.56,"1,345,800",151.56
"May 27, 2016",152.70,153.87,151.30,152.09,"430,100",152.09
"May 26, 2016",153.38,154.09,151.03,152.77,"524,500",152.77
"May 25, 2016",151.50,154.30,150.69,152.77,"458,100",152.77
"May 24, 2016",149.89,151.83,148.18,151.69,"845,900",151.69
"May 23, 2016",150.31,150.92,147.74,148.25,"878,000",148.25
"May 20, 2016",147.74,150.73,147.34,149.64,"1,308,600",149.64
"May 19, 2016",150.64,151.78,145.32,147.31,"923,400",147.31
"May 18, 2016",149.35,153.53,149.28,150.79,"803,700",150.79
"May 17, 2016",148.98,151.63,147.89,149.46,"1,007,400",149.46
"May 16, 2016",145.20,149.34,144.94,148.96,"1,085,100",148.96
"May 13, 2016",145.26,147.80,144.50,145.66,"1,043,800",145.66
"May 12, 2016",149.49,150.36,142.28,145.23,"1,148,600",145.23
"May 11, 2016",154.55,155.95,148.53,148.76,"1,890,300",148.76
"May 10, 2016",148.78,148.99,145.02,147.82,"955,400",147.82
"May 9, 2016",145.13,149.09,145.13,147.69,"767,800",147.69
"May 6, 2016",144.96,148.28,139.75,144.35,"733,400",144.35
"May 5, 2016",149.01,149.01,145.47,145.75,"1,174,400",145.75
"May 4, 2016",150.02,150.49,146.09,148.58,"494,500",148.58
"May 3, 2016",152.23,153.98,149.36,152.47,"468,600",152.47
"May 2, 2016",151.25,152.68,149.34,152.57,"396,900",152.57
"Apr 29, 2016",152.24,152.68,146.73,150.70,"507,900",150.70
"Apr 28, 2016",151.58,153.94,150.98,152.00,"398,200",152.00
"Apr 27, 2016",154.05,154.29,151.02,152.97,"434,800",152.97
"Apr 26, 2016",153.89,155.07,150.46,154.66,"618,300",154.66
"Apr 25, 2016",160.00,160.00,153.02,154.55,"672,600",154.55
"Apr 22, 2016",155.51,157.43,153.62,157.16,"625,900",157.16
"Apr 21, 2016",151.77,156.51,151.30,156.12,"791,500",156.12
"Apr 20, 2016",150.52,152.75,146.81,151.02,"783,600",151.02
"Apr 19, 2016",149.00,151.19,146.70,149.52,"905,500",149.52
"Apr 18, 2016",144.69,148.48,144.51,147.77,"760,300",147.77
"Apr 15, 2016",145.79,146.35,143.42,144.79,"625,000",144.79
"Apr 14, 2016",147.35,147.43,144.43,146.29,"883,400",146.29
"Apr 13, 2016",146.98,153.00,144.12,147.34,"1,968,800",147.34
"Apr 12, 2016",136.98,139.76,135.50,139.67,"996,900",139.67
"Apr 11, 2016",140.25,141.14,137.05,138.19,"619,900",138.19
"Apr 8, 2016",141.15,142.07,138.29,140.01,"560,600",140.01
"Apr 7, 2016",140.90,142.94,138.79,140.07,"957,300",140.07
"Apr 6, 2016",134.25,141.22,133.79,140.99,"902,600",140.99
"Apr 5, 2016",133.47,135.14,131.99,133.74,"564,200",133.74
"Apr 4, 2016",133.72,138.25,132.13,135.55,"560,300",135.55
"Apr 1, 2016",130.00,136.67,129.00,133.82,"713,700",133.82
"Mar 31, 2016",123.60,132.05,123.60,130.55,"932,400",130.55
"Mar 30, 2016",121.54,128.28,121.38,124.03,"1,292,100",124.03
"Mar 29, 2016",117.60,121.52,115.51,120.95,"472,300",120.95
"Mar 28, 2016",119.69,120.26,115.66,118.13,"424,300",118.13
"Mar 24, 2016",120.11,121.86,116.92,118.59,"680,600",118.59
"Mar 23, 2016",122.14,123.14,120.16,121.11,"521,400",121.11
"Mar 22, 2016",118.17,123.15,117.75,122.36,"668,200",122.36
"Mar 21, 2016",118.07,120.29,117.86,119.21,"693,100",119.21
"Mar 18, 2016",118.65,120.05,117.25,118.30,"1,023,400",118.30
"Mar 17, 2016",121.19,121.91,116.36,118.65,"869,200",118.65
"Mar 16, 2016",121.37,123.42,118.86,120.97,"649,600",120.97
"Mar 15, 2016",129.17,130.00,120.02,120.85,"876,400",120.85
"Mar 14, 2016",133.43,134.42,130.01,130.09,"605,400",130.09
"Mar 11, 2016",128.70,133.82,128.12,133.80,"627,600",133.80
"Mar 10, 2016",127.73,129.00,126.77,127.78,"505,600",127.78
"Mar 9, 2016",126.28,127.96,125.15,126.56,"422,400",126.56
