Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",42.51,43.32,40.61,41.27,"1,851,400",41.27
"Jun 10, 2016",44.57,45.00,42.17,42.98,"1,759,700",42.98
"Jun 9, 2016",48.60,49.04,45.41,45.53,"1,586,000",45.53
"Jun 8, 2016",47.89,49.40,47.00,48.47,"1,028,200",48.47
"Jun 7, 2016",48.55,49.04,47.00,47.65,"1,208,000",47.65
"Jun 6, 2016",46.00,49.72,45.13,48.50,"3,207,000",48.50
"Jun 3, 2016",44.83,45.31,42.65,43.90,"1,205,000",43.90
"Jun 2, 2016",42.77,45.00,41.83,45.00,"1,111,300",45.00
"Jun 1, 2016",43.00,43.83,42.13,42.39,"941,500",42.39
"May 31, 2016",41.98,44.49,41.46,43.43,"934,700",43.43
"May 27, 2016",40.88,42.19,40.11,42.04,"696,500",42.04
"May 26, 2016",40.38,41.99,40.01,41.52,"620,600",41.52
"May 25, 2016",40.59,40.88,39.38,40.28,"962,100",40.28
"May 24, 2016",40.63,40.75,39.82,40.38,"756,000",40.38
"May 23, 2016",40.64,41.29,39.30,40.19,"926,700",40.19
"May 20, 2016",39.25,40.84,39.20,40.76,"814,700",40.76
"May 19, 2016",39.31,40.53,38.22,39.30,"864,100",39.30
"May 18, 2016",38.19,40.37,37.80,39.68,"947,800",39.68
"May 17, 2016",38.09,39.09,37.87,38.34,"775,100",38.34
"May 16, 2016",36.85,38.35,36.66,38.16,"635,800",38.16
"May 13, 2016",36.26,37.25,36.13,36.55,"416,400",36.55
"May 12, 2016",37.64,38.15,35.92,36.51,"700,800",36.51
"May 11, 2016",38.54,39.25,37.26,37.31,"736,100",37.31
"May 10, 2016",37.58,39.24,36.53,38.46,"1,132,300",38.46
"May 9, 2016",37.16,39.34,37.11,38.49,"880,300",38.49
"May 6, 2016",37.79,39.45,36.81,37.17,"971,700",37.17
"May 5, 2016",38.59,38.99,37.43,37.77,"654,600",37.77
"May 4, 2016",39.20,39.98,37.48,38.30,"960,200",38.30
"May 3, 2016",41.78,42.26,39.53,39.60,"911,600",39.60
"May 2, 2016",41.79,42.30,40.13,42.29,"890,200",42.29
"Apr 29, 2016",41.85,43.07,41.50,42.09,"733,200",42.09
"Apr 28, 2016",42.29,43.60,41.76,42.04,"644,000",42.04
"Apr 27, 2016",42.84,43.34,41.61,42.57,"446,000",42.57
