Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",50.57,53.03,50.57,50.94,"646,100",50.94
"Jun 10, 2016",52.42,52.43,50.63,51.30,"802,600",51.30
"Jun 9, 2016",55.86,56.77,53.31,53.42,"727,000",53.42
"Jun 8, 2016",56.16,57.12,55.45,56.18,"1,175,100",56.18
"Jun 7, 2016",57.41,57.91,55.45,56.06,"881,200",56.06
"Jun 6, 2016",53.72,59.79,51.76,57.42,"2,279,100",57.42
"Jun 3, 2016",54.43,54.66,51.39,52.08,"960,200",52.08
"Jun 2, 2016",51.57,54.95,50.73,54.87,"1,087,600",54.87
"Jun 1, 2016",51.24,52.30,50.64,50.87,"541,400",50.87
"May 31, 2016",48.11,51.52,48.06,51.25,"880,800",51.25
"May 27, 2016",48.13,48.23,47.13,47.79,"601,800",47.79
"May 26, 2016",47.72,49.00,47.41,47.81,"743,600",47.81
"May 25, 2016",48.46,49.00,47.41,48.01,"578,000",48.01
"May 24, 2016",48.92,50.00,47.85,48.20,"945,600",48.20
"May 23, 2016",47.03,48.91,46.69,48.18,"415,400",48.18
"May 20, 2016",45.62,47.15,45.06,47.00,"449,600",47.00
"May 19, 2016",45.33,46.50,44.57,45.48,"308,600",45.48
"May 18, 2016",43.47,45.86,43.47,45.56,"458,000",45.56
"May 17, 2016",44.95,45.21,43.40,43.71,"512,200",43.71
"May 16, 2016",43.08,45.25,42.51,45.04,"728,100",45.04
"May 13, 2016",41.85,43.23,41.83,42.64,"478,800",42.64
"May 12, 2016",43.35,43.80,41.49,42.07,"617,400",42.07
"May 11, 2016",44.97,45.16,43.11,43.17,"910,700",43.17
"May 10, 2016",46.28,47.30,43.90,45.78,"801,400",45.78
"May 9, 2016",44.59,46.40,43.61,45.80,"819,400",45.80
"May 6, 2016",43.54,45.06,43.01,44.65,"698,000",44.65
"May 5, 2016",43.55,44.36,43.04,43.79,"494,600",43.79
"May 4, 2016",44.64,45.27,42.99,43.71,"732,400",43.71
"May 3, 2016",47.15,47.55,44.89,45.05,"721,200",45.05
