Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",6.75,6.75,6.10,6.29,"186,200",6.29
"Jun 10, 2016",6.90,7.02,6.42,6.65,"213,100",6.65
"Jun 9, 2016",6.59,7.41,5.91,7.15,"463,300",7.15
"Jun 8, 2016",7.29,7.45,6.91,7.23,"263,400",7.23
"Jun 7, 2016",7.59,7.84,7.25,7.29,"209,100",7.29
"Jun 6, 2016",7.11,7.67,6.98,7.58,"221,000",7.58
"Jun 3, 2016",7.20,7.21,6.89,7.03,"187,400",7.03
"Jun 2, 2016",7.26,7.41,7.05,7.18,"162,100",7.18
"Jun 1, 2016",7.32,7.51,7.15,7.21,"326,400",7.21
"May 31, 2016",6.18,7.20,6.17,7.09,"364,400",7.09
"May 27, 2016",6.05,6.18,6.00,6.13,"107,500",6.13
"May 26, 2016",6.04,6.14,5.99,6.02,"69,800",6.02
"May 25, 2016",6.06,6.06,5.95,6.03,"146,600",6.03
"May 24, 2016",6.12,6.22,5.94,6.05,"191,800",6.05
"May 23, 2016",6.03,6.34,5.94,6.12,"119,000",6.12
"May 20, 2016",6.05,6.15,5.90,6.03,"98,600",6.03
"May 19, 2016",6.07,6.31,5.95,5.97,"237,300",5.97
"May 18, 2016",5.87,6.15,5.87,6.07,"224,700",6.07
"May 17, 2016",5.83,5.98,5.60,5.87,"226,500",5.87
"May 16, 2016",6.01,6.39,5.61,5.87,"352,500",5.87
"May 13, 2016",6.88,6.96,5.89,6.02,"629,000",6.02
"May 12, 2016",7.26,7.50,6.41,6.61,"320,000",6.61
"May 11, 2016",7.70,7.70,7.11,7.14,"287,000",7.14
"May 10, 2016",7.95,8.50,7.30,7.75,"878,100",7.75
"May 9, 2016",7.20,8.25,7.12,7.55,"1,236,500",7.55
"May 6, 2016",8.57,8.75,6.88,6.91,"2,190,300",6.91
"May 5, 2016",15.67,15.67,15.67,15.67,0,15.67
"May 4, 2016",16.50,16.65,15.62,15.67,"111,700",15.67
"May 3, 2016",17.07,17.07,16.43,16.59,"102,700",16.59
"May 2, 2016",16.57,17.14,16.27,17.04,"38,200",17.04
"Apr 29, 2016",16.45,16.65,16.08,16.56,"40,900",16.56
"Apr 28, 2016",16.49,17.03,16.18,16.56,"71,300",16.56
"Apr 27, 2016",17.53,17.53,16.43,16.51,"122,800",16.51
"Apr 26, 2016",18.50,18.50,17.50,17.50,"85,900",17.50
"Apr 25, 2016",18.49,18.75,18.35,18.47,"139,300",18.47
"Apr 22, 2016",18.65,18.70,18.31,18.50,"92,200",18.50
"Apr 21, 2016",18.15,18.92,17.78,18.53,"122,000",18.53
"Apr 20, 2016",17.99,18.50,17.76,17.99,"60,800",17.99
"Apr 19, 2016",18.25,18.39,17.61,17.85,"86,800",17.85
"Apr 18, 2016",18.60,18.60,17.75,18.18,"58,200",18.18
"Apr 15, 2016",18.18,18.55,17.84,18.46,"63,700",18.46
"Apr 14, 2016",18.26,18.26,17.81,18.03,"43,200",18.03
"Apr 13, 2016",18.32,18.89,17.67,18.10,"88,800",18.10
"Apr 12, 2016",18.53,19.48,17.74,18.18,"207,000",18.18
"Apr 11, 2016",17.87,18.88,17.59,18.38,"56,200",18.38
"Apr 8, 2016",18.92,18.92,17.53,17.93,"105,500",17.93
"Apr 7, 2016",19.24,19.24,18.28,18.48,"171,300",18.48
"Apr 6, 2016",16.34,19.75,16.20,18.68,"407,500",18.68
"Apr 5, 2016",16.00,16.39,15.62,16.27,"36,300",16.27
"Apr 4, 2016",15.68,16.67,15.19,16.06,"83,700",16.06
"Apr 1, 2016",14.43,15.84,14.28,15.31,"125,500",15.31
"Mar 31, 2016",15.15,15.71,14.26,14.50,"109,600",14.50
"Mar 30, 2016",14.70,15.40,14.53,14.99,"168,600",14.99
"Mar 29, 2016",14.75,14.99,14.26,14.81,"71,200",14.81
"Mar 28, 2016",16.33,16.34,14.64,14.67,"59,300",14.67
"Mar 24, 2016",14.63,15.60,14.32,15.25,"85,700",15.25
"Mar 23, 2016",15.50,15.50,14.33,14.63,"41,600",14.63
"Mar 22, 2016",14.12,15.32,14.12,15.09,"46,900",15.09
"Mar 21, 2016",14.41,14.95,14.36,14.63,"37,600",14.63
