Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",8.43,8.68,8.32,8.36,"120,100",8.36
"Jun 10, 2016",8.96,8.99,8.50,8.53,"170,200",8.53
"Jun 9, 2016",9.17,9.36,9.02,9.13,"271,300",9.13
"Jun 8, 2016",9.62,9.62,9.16,9.29,"242,100",9.29
"Jun 7, 2016",9.16,9.75,8.82,9.56,"303,400",9.56
"Jun 6, 2016",9.27,9.64,8.66,9.32,"257,200",9.32
"Jun 3, 2016",9.68,9.81,9.21,9.25,"169,700",9.25
"Jun 2, 2016",9.54,9.92,9.31,9.70,"206,200",9.70
"Jun 1, 2016",9.52,9.84,9.48,9.58,"180,100",9.58
"May 31, 2016",9.72,9.96,9.31,9.57,"189,700",9.57
"May 27, 2016",9.71,9.83,9.26,9.62,"333,700",9.62
"May 26, 2016",9.69,10.05,9.43,9.53,"107,600",9.53
"May 25, 2016",9.51,10.12,9.50,9.69,"290,200",9.69
"May 24, 2016",8.80,9.55,8.68,9.43,"166,500",9.43
"May 23, 2016",8.52,8.93,8.52,8.70,"131,100",8.70
"May 20, 2016",8.18,8.69,8.17,8.59,"219,000",8.59
"May 19, 2016",8.11,8.36,7.53,8.21,"124,700",8.21
"May 18, 2016",7.95,8.33,7.79,8.18,"110,400",8.18
"May 17, 2016",7.98,8.48,7.93,8.03,"184,100",8.03
"May 16, 2016",7.74,8.09,7.74,8.00,"157,100",8.00
"May 13, 2016",7.96,8.12,7.60,7.63,"149,700",7.63
"May 12, 2016",8.13,8.13,7.77,7.98,"135,000",7.98
"May 11, 2016",8.14,8.62,8.00,8.05,"266,800",8.05
"May 10, 2016",8.28,8.39,7.86,8.18,"178,200",8.18
"May 9, 2016",7.43,8.51,7.11,8.26,"151,300",8.26
"May 6, 2016",7.91,8.23,7.73,7.89,"103,300",7.89
"May 5, 2016",8.17,8.46,7.89,8.00,"135,700",8.00
"May 4, 2016",8.63,8.67,7.97,8.04,"215,900",8.04
"May 3, 2016",9.36,9.70,8.59,8.63,"161,400",8.63
"May 2, 2016",9.36,9.57,9.12,9.52,"139,400",9.52
"Apr 29, 2016",9.44,9.57,9.02,9.30,"152,300",9.30
"Apr 28, 2016",9.48,9.96,9.20,9.40,"108,800",9.40
"Apr 27, 2016",9.62,9.72,9.29,9.44,"119,600",9.44
"Apr 26, 2016",10.14,10.14,9.39,9.59,"196,800",9.59
"Apr 25, 2016",10.19,10.45,9.98,10.07,"168,900",10.07
"Apr 22, 2016",9.92,10.36,9.78,10.25,"153,800",10.25
"Apr 21, 2016",8.98,10.26,8.81,9.92,"291,500",9.92
"Apr 20, 2016",9.31,9.56,8.77,9.03,"289,000",9.03
"Apr 19, 2016",9.05,9.24,8.90,9.04,"210,300",9.04
"Apr 18, 2016",8.89,9.24,8.89,9.04,"260,600",9.04
"Apr 15, 2016",8.96,9.18,8.84,8.98,"192,000",8.98
"Apr 14, 2016",9.00,9.20,8.88,9.00,"236,000",9.00
"Apr 13, 2016",9.03,9.22,8.76,9.00,"283,800",9.00
"Apr 12, 2016",8.87,9.06,8.45,8.97,"129,300",8.97
"Apr 11, 2016",9.00,9.39,8.79,8.84,"152,300",8.84
"Apr 8, 2016",9.10,9.13,8.74,8.94,"175,100",8.94
"Apr 7, 2016",9.00,9.27,8.65,9.08,"300,000",9.08
"Apr 6, 2016",9.13,9.26,8.70,9.06,"372,700",9.06
"Apr 5, 2016",9.26,9.44,8.99,8.99,"258,500",8.99
"Apr 4, 2016",8.97,9.63,8.90,9.29,"294,400",9.29
"Apr 1, 2016",8.92,9.28,8.70,8.97,"491,000",8.97
"Mar 31, 2016",8.59,9.28,8.31,8.92,"281,900",8.92
"Mar 30, 2016",8.86,9.45,8.50,8.64,"230,400",8.64
"Mar 29, 2016",8.13,8.80,7.86,8.69,"201,400",8.69
"Mar 28, 2016",8.50,8.59,8.08,8.24,"114,500",8.24
"Mar 24, 2016",8.22,8.94,7.80,8.42,"169,600",8.42
"Mar 23, 2016",9.09,9.26,8.15,8.37,"411,100",8.37
"Mar 22, 2016",8.75,10.00,8.75,9.26,"338,800",9.26
"Mar 21, 2016",8.28,9.18,8.02,8.90,"297,200",8.90
"Mar 18, 2016",7.83,8.38,7.74,8.32,"471,900",8.32
"Mar 17, 2016",7.70,7.95,7.37,7.76,"382,300",7.76
"Mar 16, 2016",7.71,8.33,7.56,7.69,"348,000",7.69
"Mar 15, 2016",8.28,8.42,7.11,7.67,"658,600",7.67
"Mar 14, 2016",8.08,9.22,8.08,8.87,"362,600",8.87
"Mar 11, 2016",7.53,8.17,7.26,7.90,"237,300",7.90
"Mar 10, 2016",7.61,7.76,7.15,7.35,"174,900",7.35
"Mar 9, 2016",7.84,7.90,7.28,7.62,"193,600",7.62
"Mar 8, 2016",8.35,8.45,7.43,7.84,"350,700",7.84
"Mar 7, 2016",7.80,8.45,7.25,8.42,"301,800",8.42
"Mar 4, 2016",7.46,8.18,7.22,7.88,"325,600",7.88
"Mar 3, 2016",6.90,7.63,6.90,7.33,"275,900",7.33
"Mar 2, 2016",6.42,7.10,6.34,6.93,"342,200",6.93
"Mar 1, 2016",5.94,6.40,5.90,6.37,"225,600",6.37
"Feb 29, 2016",6.10,6.28,5.89,5.90,"139,200",5.90
"Feb 26, 2016",5.85,6.17,5.85,6.09,"190,400",6.09
"Feb 25, 2016",5.90,5.97,5.54,5.80,"123,700",5.80
"Feb 24, 2016",5.72,5.97,5.50,5.91,"163,800",5.91
"Feb 23, 2016",6.16,6.20,5.81,5.82,"147,200",5.82
"Feb 22, 2016",6.20,6.36,6.16,6.24,"196,000",6.24
"Feb 19, 2016",6.03,6.31,5.78,6.13,"207,400",6.13
"Feb 18, 2016",6.51,6.53,6.07,6.10,"322,300",6.10
"Feb 17, 2016",5.89,6.70,5.89,6.46,"428,200",6.46
"Feb 16, 2016",5.64,5.87,5.59,5.83,"291,400",5.83
"Feb 12, 2016",5.39,5.72,5.39,5.55,"297,800",5.55
"Feb 11, 2016",5.18,5.49,5.04,5.33,"255,300",5.33
"Feb 10, 2016",5.83,6.08,5.33,5.34,"293,100",5.34
"Feb 9, 2016",5.35,5.91,4.83,5.80,"260,200",5.80
"Feb 8, 2016",5.65,5.76,5.25,5.45,"360,700",5.45
"Feb 5, 2016",5.98,6.30,5.43,5.76,"540,700",5.76
"Feb 4, 2016",5.88,6.64,5.81,5.96,"357,200",5.96
"Feb 3, 2016",5.84,5.95,5.43,5.88,"309,200",5.88
"Feb 2, 2016",5.99,6.00,5.58,5.84,"318,400",5.84
"Feb 1, 2016",6.15,6.29,5.90,6.07,"277,100",6.07
"Jan 29, 2016",5.94,6.33,5.83,6.22,"284,700",6.22
"Jan 28, 2016",6.36,6.41,5.69,5.94,"377,800",5.94
"Jan 27, 2016",6.61,6.78,6.30,6.33,"178,400",6.33
"Jan 26, 2016",6.83,6.96,6.18,6.68,"292,500",6.68
"Jan 25, 2016",6.98,7.24,6.73,6.77,"193,400",6.77
"Jan 22, 2016",7.47,7.47,6.74,7.00,"396,500",7.00
"Jan 21, 2016",6.81,7.83,6.52,7.29,"430,200",7.29
"Jan 20, 2016",5.76,7.08,5.76,6.82,"737,300",6.82
"Jan 19, 2016",6.66,6.75,5.97,6.39,"442,600",6.39
"Jan 15, 2016",6.58,6.70,6.37,6.54,"484,100",6.54
"Jan 14, 2016",7.02,7.29,6.08,6.84,"574,400",6.84
"Jan 13, 2016",8.32,8.87,6.82,6.94,"359,600",6.94
"Jan 12, 2016",8.15,8.84,7.78,8.16,"297,800",8.16
