Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",7.60,7.91,7.33,7.37,"625,700",7.37
"Jun 10, 2016",7.89,8.00,7.55,7.61,"526,900",7.61
"Jun 9, 2016",8.00,8.15,7.80,7.92,"469,700",7.92
"Jun 8, 2016",8.12,8.17,7.81,8.01,"571,500",8.01
"Jun 7, 2016",8.18,8.25,7.82,8.02,"1,070,100",8.02
"Jun 6, 2016",8.25,8.65,7.96,8.24,"3,031,700",8.24
"Jun 3, 2016",6.02,9.07,5.72,8.65,"10,480,600",8.65
"Jun 2, 2016",5.86,6.06,5.82,6.03,"144,900",6.03
"Jun 1, 2016",5.89,5.96,5.78,5.87,"136,300",5.87
"May 31, 2016",5.85,6.04,5.82,5.90,"130,500",5.90
"May 27, 2016",5.94,6.04,5.77,5.82,"58,100",5.82
"May 26, 2016",5.92,6.05,5.79,5.94,"120,500",5.94
"May 25, 2016",5.74,5.97,5.71,5.93,"106,500",5.93
"May 24, 2016",5.66,5.76,5.54,5.73,"113,000",5.73
"May 23, 2016",5.48,5.80,5.48,5.64,"162,600",5.64
"May 20, 2016",5.17,5.49,5.12,5.46,"170,900",5.46
"May 19, 2016",5.08,5.28,4.94,5.12,"147,700",5.12
"May 18, 2016",4.97,5.17,4.90,5.13,"121,700",5.13
"May 17, 2016",5.28,5.37,4.97,5.00,"205,000",5.00
"May 16, 2016",4.99,5.32,4.95,5.28,"240,500",5.28
"May 13, 2016",4.89,5.03,4.83,4.95,"150,900",4.95
"May 12, 2016",5.19,5.19,4.81,4.90,"208,000",4.90
"May 11, 2016",5.34,5.49,5.16,5.17,"125,000",5.17
"May 10, 2016",5.44,5.48,5.23,5.44,"163,500",5.44
"May 9, 2016",5.17,5.50,5.10,5.40,"217,800",5.40
"May 6, 2016",5.26,5.42,5.10,5.21,"122,100",5.21
"May 5, 2016",5.43,5.43,5.16,5.27,"356,900",5.27
"May 4, 2016",5.40,5.57,5.15,5.39,"242,500",5.39
"May 3, 2016",5.60,5.82,5.42,5.44,"178,200",5.44
"May 2, 2016",5.67,5.73,5.44,5.67,"203,600",5.67
"Apr 29, 2016",5.69,5.79,5.51,5.67,"224,300",5.67
"Apr 28, 2016",5.68,5.84,5.48,5.69,"147,600",5.69
"Apr 27, 2016",5.83,5.92,5.30,5.69,"256,100",5.69
"Apr 26, 2016",5.93,5.95,5.77,5.85,"160,400",5.85
"Apr 25, 2016",6.00,6.06,5.93,5.96,"155,100",5.96
"Apr 22, 2016",6.01,6.08,5.84,6.00,"161,300",6.00
"Apr 21, 2016",5.75,6.16,5.75,6.00,"332,400",6.00
"Apr 20, 2016",5.68,5.95,5.57,5.74,"142,600",5.74
"Apr 19, 2016",5.65,5.73,5.33,5.66,"306,000",5.66
"Apr 18, 2016",5.69,5.73,5.58,5.60,"428,900",5.60
"Apr 15, 2016",5.71,5.85,5.62,5.78,"174,100",5.78
"Apr 14, 2016",5.82,5.86,5.66,5.76,"138,500",5.76
"Apr 13, 2016",5.56,5.81,5.41,5.70,"214,700",5.70
"Apr 12, 2016",5.44,5.63,5.28,5.53,"165,200",5.53
"Apr 11, 2016",5.50,5.52,5.33,5.45,"190,200",5.45
"Apr 8, 2016",5.57,5.69,5.38,5.49,"162,200",5.49
"Apr 7, 2016",5.64,5.67,5.42,5.49,"524,700",5.49
"Apr 6, 2016",5.42,5.69,5.41,5.68,"325,500",5.68
"Apr 5, 2016",5.40,5.43,5.20,5.40,"463,000",5.40
"Apr 4, 2016",5.19,5.63,5.10,5.44,"660,000",5.44
"Apr 1, 2016",5.02,5.24,4.95,5.21,"470,400",5.21
"Mar 31, 2016",4.80,5.19,4.79,5.08,"800,100",5.08
"Mar 30, 2016",4.91,5.00,4.68,4.82,"325,500",4.82
"Mar 29, 2016",4.50,4.89,4.24,4.84,"347,300",4.84
"Mar 28, 2016",4.64,4.66,4.44,4.54,"125,500",4.54
"Mar 24, 2016",4.59,4.82,4.50,4.59,"245,000",4.59
"Mar 23, 2016",5.02,5.05,4.61,4.66,"269,800",4.66
"Mar 22, 2016",5.06,5.20,5.00,5.05,"239,600",5.05
"Mar 21, 2016",4.98,5.20,4.93,5.11,"323,300",5.11
"Mar 18, 2016",4.97,5.03,4.87,5.00,"587,100",5.00
"Mar 17, 2016",4.79,4.97,4.59,4.89,"216,600",4.89
"Mar 16, 2016",4.84,4.90,4.61,4.79,"286,000",4.79
"Mar 15, 2016",4.97,5.08,4.83,4.84,"479,800",4.84
"Mar 14, 2016",5.05,5.13,4.97,4.99,"409,800",4.99
"Mar 11, 2016",5.02,5.17,4.95,5.05,"817,800",5.05
"Mar 10, 2016",5.34,5.37,4.87,4.96,"657,800",4.96
"Mar 9, 2016",5.17,5.48,5.15,5.34,"354,300",5.34
"Mar 8, 2016",5.89,5.97,5.05,5.13,"568,900",5.13
"Mar 7, 2016",5.64,5.96,5.36,5.91,"326,000",5.91
