Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",113.01,115.17,112.76,113.06,"218,200",113.06
"Jun 10, 2016",113.85,114.57,112.68,113.74,"353,900",113.74
"Jun 9, 2016",118.10,119.08,114.92,115.08,"165,400",115.08
"Jun 8, 2016",115.81,118.90,115.04,118.34,"288,700",118.34
"Jun 7, 2016",116.13,116.24,113.25,115.27,"398,300",115.27
"Jun 6, 2016",118.19,118.23,112.95,116.71,"315,400",116.71
"Jun 3, 2016",118.76,119.08,115.56,118.07,"251,100",118.07
"Jun 2, 2016",117.22,120.66,117.08,119.16,"305,100",119.16
"Jun 1, 2016",119.00,119.27,116.05,117.80,"446,100",117.80
"May 31, 2016",123.59,124.90,118.89,119.59,"398,100",119.59
"May 27, 2016",121.52,122.92,120.48,122.81,"238,600",122.81
"May 26, 2016",122.68,123.36,121.02,121.96,"223,900",121.96
"May 25, 2016",121.29,124.07,120.45,122.56,"373,100",122.56
"May 24, 2016",119.84,121.29,119.08,120.75,"323,900",120.75
"May 23, 2016",118.28,120.43,118.02,119.30,"361,700",119.30
"May 20, 2016",117.78,119.42,115.95,118.00,"280,200",118.00
"May 19, 2016",119.59,121.30,114.77,117.17,"288,800",117.17
"May 18, 2016",117.85,121.42,117.85,120.33,"298,100",120.33
"May 17, 2016",119.48,120.00,117.42,118.60,"304,900",118.60
"May 16, 2016",117.80,120.88,117.36,119.66,"393,800",119.66
"May 13, 2016",116.13,118.46,115.84,117.39,"246,200",117.39
"May 12, 2016",116.92,117.72,114.54,116.62,"497,100",116.62
"May 11, 2016",119.21,119.73,116.15,116.37,"256,200",116.37
"May 10, 2016",121.80,122.56,118.00,119.23,"304,800",119.23
"May 9, 2016",119.91,122.95,119.38,121.55,"409,800",121.55
"May 6, 2016",117.41,119.23,114.53,119.17,"398,700",119.17
"May 5, 2016",120.49,120.85,116.63,118.24,"439,200",118.24
"May 4, 2016",124.49,124.56,117.96,120.39,"629,500",120.39
"May 3, 2016",122.02,122.37,119.25,119.90,"492,000",119.90
"May 2, 2016",121.88,123.26,119.70,123.02,"380,400",123.02
"Apr 29, 2016",123.14,123.65,119.29,120.87,"418,500",120.87
"Apr 28, 2016",123.78,126.38,122.60,123.12,"510,400",123.12
"Apr 27, 2016",125.67,125.67,122.64,123.97,"596,800",123.97
"Apr 26, 2016",130.08,130.44,125.60,126.06,"466,200",126.06
"Apr 25, 2016",130.01,130.89,128.00,130.11,"443,800",130.11
"Apr 22, 2016",130.08,131.84,127.24,130.19,"330,700",130.19
"Apr 21, 2016",128.70,130.89,126.87,130.37,"446,700",130.37
"Apr 20, 2016",128.73,129.15,127.21,128.10,"434,300",128.10
"Apr 19, 2016",127.20,128.00,125.18,127.95,"426,200",127.95
"Apr 18, 2016",124.34,126.56,123.50,126.34,"467,100",126.34
"Apr 15, 2016",124.24,125.35,122.56,124.59,"387,300",124.59
"Apr 14, 2016",122.34,124.16,120.30,124.01,"557,300",124.01
"Apr 13, 2016",119.86,123.00,118.85,121.42,"759,200",121.42
"Apr 12, 2016",114.98,117.97,114.17,117.81,"577,500",117.81
"Apr 11, 2016",117.00,117.01,113.95,115.21,"261,900",115.21
"Apr 8, 2016",117.29,117.51,113.11,116.28,"378,000",116.28
"Apr 7, 2016",116.52,118.54,114.60,116.29,"395,500",116.29
"Apr 6, 2016",111.33,117.37,111.33,117.28,"444,700",117.28
"Apr 5, 2016",110.94,112.48,110.06,110.94,"276,800",110.94
"Apr 4, 2016",111.01,113.94,110.56,111.65,"305,400",111.65
"Apr 1, 2016",106.27,111.46,105.92,110.88,"332,800",110.88
"Mar 31, 2016",105.48,108.79,105.15,107.09,"402,200",107.09
"Mar 30, 2016",105.00,107.49,103.20,104.96,"306,200",104.96
"Mar 29, 2016",102.07,104.98,101.15,104.85,"359,200",104.85
"Mar 28, 2016",103.39,104.21,100.81,102.52,"264,700",102.52
"Mar 24, 2016",100.37,103.96,98.61,102.51,"353,600",102.51
"Mar 23, 2016",103.59,105.29,100.80,101.17,"364,700",101.17
"Mar 22, 2016",99.70,104.53,99.70,104.28,"422,500",104.28
"Mar 21, 2016",98.08,102.25,97.56,100.46,"248,500",100.46
"Mar 18, 2016",97.26,99.64,95.05,98.97,"489,300",98.97
"Mar 17, 2016",96.70,98.48,94.30,97.22,"464,700",97.22
"Mar 16, 2016",97.50,98.88,95.05,97.47,"344,800",97.47
"Mar 15, 2016",99.83,101.12,97.67,97.75,"420,500",97.75
"Mar 14, 2016",101.91,102.83,100.63,101.07,"274,800",101.07
"Mar 11, 2016",99.39,102.81,98.12,101.83,"543,500",101.83
"Mar 10, 2016",100.18,101.98,95.91,97.09,"258,900",97.09
"Mar 9, 2016",99.51,100.34,95.50,99.40,"380,000",99.40
"Mar 8, 2016",102.00,102.49,98.85,99.25,"338,500",99.25
"Mar 7, 2016",99.02,102.98,96.92,102.29,"342,700",102.29
"Mar 4, 2016",97.49,101.25,96.53,99.95,"338,700",99.95
"Mar 3, 2016",99.00,99.69,95.80,97.56,"297,400",97.56
"Mar 2, 2016",94.91,98.10,94.86,97.54,"461,800",97.54
"Mar 1, 2016",92.79,95.39,91.72,95.29,"401,600",95.29
"Feb 29, 2016",97.52,98.21,91.64,92.28,"557,700",92.28
"Feb 26, 2016",94.51,100.34,94.51,97.28,"621,400",97.28
"Feb 25, 2016",92.97,94.89,91.63,94.23,"348,700",94.23
"Feb 24, 2016",90.85,93.17,88.52,92.36,"200,100",92.36
"Feb 23, 2016",92.22,94.30,91.76,91.91,"304,000",91.91
"Feb 22, 2016",91.73,93.97,89.55,92.83,"383,400",92.83
"Feb 19, 2016",88.81,89.94,87.11,89.84,"698,500",89.84
"Feb 18, 2016",91.14,92.87,88.86,89.47,"452,600",89.47
"Feb 17, 2016",89.70,91.18,88.51,90.36,"501,700",90.36
"Feb 16, 2016",86.90,90.46,86.90,89.08,"547,200",89.08
"Feb 12, 2016",86.79,87.06,84.54,85.97,"559,000",85.97
"Feb 11, 2016",89.77,90.47,82.06,85.79,"656,600",85.79
"Feb 10, 2016",90.48,92.87,86.21,88.26,"475,300",88.26
"Feb 9, 2016",87.61,93.71,86.89,89.58,"450,700",89.58
"Feb 8, 2016",91.09,93.32,87.27,88.79,"562,800",88.79
"Feb 5, 2016",98.70,100.50,92.06,92.50,"535,000",92.50
"Feb 4, 2016",101.14,104.49,97.71,98.94,"425,100",98.94
"Feb 3, 2016",99.06,101.60,93.78,101.27,"558,300",101.27
"Feb 2, 2016",100.15,100.20,97.20,98.50,"336,500",98.50
"Feb 1, 2016",99.51,101.82,97.04,101.15,"503,200",101.15
"Jan 29, 2016",97.74,100.05,96.17,99.97,"423,700",99.97
"Jan 28, 2016",100.28,100.90,95.76,98.02,"386,900",98.02
"Jan 27, 2016",104.18,105.76,98.39,99.37,"418,200",99.37
"Jan 26, 2016",101.97,105.28,99.59,104.34,"479,800",104.34
"Jan 25, 2016",102.57,105.98,101.21,101.60,"433,100",101.60
"Jan 22, 2016",99.99,103.77,99.73,102.57,"572,700",102.57
"Jan 21, 2016",99.37,101.35,96.61,97.70,"376,600",97.70
"Jan 20, 2016",92.63,100.81,91.99,99.33,"591,800",99.33
"Jan 19, 2016",98.42,99.19,91.79,94.74,"546,600",94.74
"Jan 15, 2016",95.67,98.36,94.02,97.10,"625,700",97.10
"Jan 14, 2016",95.96,99.18,93.87,98.72,"760,800",98.72
"Jan 13, 2016",98.18,98.24,94.50,95.55,"744,200",95.55
"Jan 12, 2016",94.91,98.00,94.13,97.84,"491,800",97.84
"Jan 11, 2016",98.57,99.01,91.55,93.40,"462,100",93.40
"Jan 8, 2016",99.43,101.23,97.35,97.92,"437,000",97.92
"Jan 7, 2016",99.44,103.75,98.50,98.62,"453,300",98.62
"Jan 6, 2016",99.17,103.51,98.27,102.02,"355,400",102.02
"Jan 5, 2016",102.70,103.56,100.10,100.65,"320,400",100.65
"Jan 4, 2016",106.06,107.26,101.92,102.47,"377,900",102.47
"Dec 31, 2015",107.77,109.74,106.50,108.42,"281,200",108.42
"Dec 30, 2015",110.52,111.77,108.02,108.17,"214,000",108.17
"Dec 29, 2015",107.33,113.00,106.82,110.84,"294,500",110.84
"Dec 28, 2015",107.50,107.94,105.33,106.59,"153,100",106.59
"Dec 24, 2015",107.15,109.14,107.09,108.36,"72,200",108.36
"Dec 23, 2015",108.40,108.56,106.70,107.38,"156,700",107.38
"Dec 22, 2015",108.82,109.03,105.50,107.33,"144,800",107.33
"Dec 21, 2015",110.34,111.47,106.80,107.88,"264,500",107.88
"Dec 18, 2015",111.65,111.65,107.28,110.04,"682,700",110.04
"Dec 17, 2015",111.89,114.00,110.48,111.85,"399,100",111.85
"Dec 16, 2015",107.36,111.82,106.44,111.38,"369,800",111.38
"Dec 15, 2015",105.71,108.00,104.40,106.17,"318,400",106.17
"Dec 14, 2015",103.21,104.74,100.50,104.24,"226,200",104.24
"Dec 11, 2015",107.48,109.02,102.70,103.05,"322,700",103.05
"Dec 10, 2015",107.11,110.00,107.11,108.99,"223,300",108.99
"Dec 9, 2015",109.08,109.08,106.52,107.22,"307,200",107.22
"Dec 8, 2015",104.13,109.99,103.72,109.34,"293,300",109.34
"Dec 7, 2015",106.86,107.95,104.26,105.58,"243,700",105.58
"Dec 4, 2015",105.49,107.85,104.38,107.19,"201,200",107.19
"Dec 3, 2015",108.07,108.25,102.97,104.79,"237,400",104.79
"Dec 2, 2015",108.66,109.94,106.85,107.22,"273,100",107.22
"Dec 1, 2015",108.00,108.95,104.92,108.51,"494,000",108.51
"Nov 30, 2015",105.45,107.78,104.48,107.08,"353,500",107.08
"Nov 27, 2015",105.12,106.58,104.13,105.97,"80,300",105.97
"Nov 25, 2015",102.24,106.05,102.24,104.62,"339,700",104.62
"Nov 24, 2015",102.70,103.77,100.21,102.30,"303,800",102.30
"Nov 23, 2015",102.99,106.04,101.72,103.26,"401,000",103.26
"Nov 20, 2015",102.00,104.99,101.91,103.00,"254,300",103.00
"Nov 19, 2015",106.80,106.80,100.02,102.15,"408,800",102.15
"Nov 18, 2015",101.56,106.58,101.21,106.28,"478,300",106.28
"Nov 17, 2015",100.59,102.49,98.95,100.83,"263,100",100.83
"Nov 16, 2015",98.17,100.48,96.79,99.80,"401,300",99.80
"Nov 13, 2015",94.03,99.82,93.37,98.55,"388,800",98.55
"Nov 12, 2015",97.07,97.99,94.00,94.33,"337,500",94.33
"Nov 11, 2015",99.71,102.49,97.38,97.70,"424,400",97.70
"Nov 10, 2015",91.14,102.76,90.66,99.10,"852,600",99.10
"Nov 9, 2015",95.95,96.58,93.45,96.03,"311,100",96.03
"Nov 6, 2015",95.21,95.85,91.86,94.26,"221,300",94.26
"Nov 5, 2015",95.87,97.77,92.66,95.00,"199,100",95.00
"Nov 4, 2015",94.76,97.56,93.37,96.10,"348,100",96.10
"Nov 3, 2015",94.29,96.83,92.50,94.57,"251,200",94.57
"Nov 2, 2015",90.85,96.00,90.55,95.07,"479,600",95.07
"Oct 30, 2015",91.38,92.61,90.05,90.35,"307,900",90.35
"Oct 29, 2015",92.57,94.41,90.09,91.45,"310,800",91.45
"Oct 28, 2015",91.78,93.29,89.53,92.04,"372,100",92.04
"Oct 27, 2015",90.45,92.99,89.60,91.02,"281,400",91.02
"Oct 26, 2015",89.02,91.64,87.73,90.59,"236,000",90.59
"Oct 23, 2015",86.98,89.92,85.50,89.30,"417,000",89.30
"Oct 22, 2015",89.86,90.10,84.95,87.10,"326,400",87.10
"Oct 21, 2015",87.11,90.44,84.49,89.03,"415,500",89.03
"Oct 20, 2015",93.57,93.57,85.71,86.25,"503,600",86.25
"Oct 19, 2015",92.70,95.58,90.47,93.33,"276,200",93.33
"Oct 16, 2015",95.18,97.21,91.73,93.08,"291,500",93.08
"Oct 15, 2015",88.60,95.48,87.51,95.22,"325,200",95.22
"Oct 14, 2015",88.19,90.81,87.08,88.83,"269,800",88.83
"Oct 13, 2015",89.36,92.69,87.12,87.20,"219,300",87.20
"Oct 12, 2015",89.53,91.37,88.02,90.27,"183,000",90.27
