Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",3.03,3.18,3.00,3.10,"198,100",3.10
"Jun 10, 2016",3.13,3.18,3.03,3.07,"148,000",3.07
"Jun 9, 2016",3.21,3.31,3.09,3.13,"247,900",3.13
"Jun 8, 2016",3.33,3.34,3.15,3.22,"176,500",3.22
"Jun 7, 2016",3.54,3.55,3.27,3.28,"306,000",3.28
"Jun 6, 2016",3.45,3.55,3.35,3.49,"260,500",3.49
"Jun 3, 2016",3.55,3.57,3.36,3.47,"97,600",3.47
"Jun 2, 2016",3.48,3.56,3.43,3.56,"106,700",3.56
"Jun 1, 2016",3.31,3.48,3.25,3.48,"219,300",3.48
"May 31, 2016",3.27,3.36,3.25,3.31,"184,400",3.31
"May 27, 2016",3.22,3.36,3.17,3.23,"99,900",3.23
"May 26, 2016",3.32,3.35,3.16,3.21,"116,700",3.21
"May 25, 2016",3.35,3.39,3.16,3.30,"255,700",3.30
"May 24, 2016",3.24,3.36,3.18,3.33,"176,900",3.33
"May 23, 2016",3.16,3.29,3.10,3.22,"150,600",3.22
"May 20, 2016",3.02,3.18,3.00,3.15,"137,700",3.15
"May 19, 2016",3.07,3.14,2.91,3.01,"139,300",3.01
"May 18, 2016",3.13,3.19,3.10,3.10,"98,500",3.10
"May 17, 2016",3.05,3.17,3.05,3.15,"241,800",3.15
"May 16, 2016",2.96,3.10,2.89,3.06,"200,100",3.06
"May 13, 2016",2.86,2.99,2.81,2.91,"93,400",2.91
"May 12, 2016",3.14,3.14,2.81,2.86,"297,100",2.86
"May 11, 2016",3.14,3.14,2.98,3.01,"216,900",3.01
"May 10, 2016",3.28,3.28,3.07,3.14,"152,900",3.14
"May 9, 2016",3.12,3.28,3.08,3.23,"194,400",3.23
"May 6, 2016",3.24,3.24,3.06,3.10,"210,600",3.10
"May 5, 2016",3.37,3.37,3.15,3.22,"233,300",3.22
"May 4, 2016",3.44,3.53,3.27,3.34,"340,300",3.34
"May 3, 2016",3.60,3.66,3.45,3.48,"235,400",3.48
"May 2, 2016",3.60,3.71,3.46,3.67,"418,900",3.67
"Apr 29, 2016",3.74,3.74,3.43,3.56,"372,700",3.56
"Apr 28, 2016",3.83,3.88,3.73,3.76,"316,800",3.76
"Apr 27, 2016",3.87,3.93,3.78,3.82,"221,800",3.82
"Apr 26, 2016",4.00,4.00,3.74,3.87,"260,600",3.87
"Apr 25, 2016",4.19,4.20,3.92,3.96,"368,100",3.96
"Apr 22, 2016",4.01,4.20,3.94,4.18,"282,500",4.18
"Apr 21, 2016",3.92,4.05,3.86,4.01,"394,300",4.01
"Apr 20, 2016",3.86,4.06,3.82,3.91,"388,000",3.91
"Apr 19, 2016",4.03,4.12,3.79,3.82,"525,800",3.82
"Apr 18, 2016",4.23,4.30,3.98,3.99,"727,000",3.99
"Apr 15, 2016",4.25,4.30,3.93,4.19,"824,100",4.19
"Apr 14, 2016",4.00,4.36,3.86,4.22,"1,611,700",4.22
"Apr 13, 2016",3.91,4.02,3.72,3.99,"969,900",3.99
