Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",20.34,20.52,20.17,20.22,"158,400",20.22
"Jun 10, 2016",20.58,20.95,20.18,20.38,"171,300",20.38
"Jun 9, 2016",20.80,20.99,20.74,20.80,"187,500",20.80
"Jun 8, 2016",20.52,20.90,20.25,20.86,"180,000",20.86
"Jun 7, 2016",20.69,20.69,20.43,20.55,"116,900",20.55
"Jun 6, 2016",20.47,20.72,20.26,20.69,"147,200",20.69
"Jun 3, 2016",20.70,20.70,20.27,20.38,"135,700",20.38
"Jun 2, 2016",20.57,20.79,20.50,20.74,"149,800",20.74
"Jun 1, 2016",20.34,20.74,20.34,20.62,"190,500",20.62
"May 31, 2016",20.41,20.77,20.41,20.59,"179,500",20.59
"May 27, 2016",20.20,20.47,19.97,20.40,"112,800",20.40
"May 26, 2016",20.44,20.50,20.13,20.18,"143,200",20.18
"May 25, 2016",20.56,20.65,20.30,20.37,"107,400",20.37
"May 24, 2016",19.96,20.62,19.92,20.57,"197,200",20.57
"May 23, 2016",19.81,20.26,19.60,19.81,"168,000",19.81
"May 20, 2016",19.58,20.35,19.33,19.87,"382,600",19.87
"May 19, 2016",19.48,20.00,19.18,19.48,"167,700",19.48
"May 18, 2016",19.24,19.80,19.11,19.67,"214,600",19.67
"May 17, 2016",19.91,19.97,19.18,19.28,"406,800",19.28
"May 16, 2016",19.75,20.43,19.47,19.93,"353,600",19.93
"May 13, 2016",19.74,19.89,19.59,19.63,"183,500",19.63
"May 12, 2016",20.02,20.18,19.53,19.74,"137,900",19.74
"May 11, 2016",20.44,20.60,19.97,19.99,"90,500",19.99
"May 10, 2016",20.45,20.59,20.17,20.43,"117,300",20.43
"May 9, 2016",19.93,20.54,19.50,20.34,"218,800",20.34
"May 6, 2016",20.18,20.40,19.86,19.98,"318,300",19.98
"May 5, 2016",19.69,20.47,19.63,20.34,"285,100",20.34
"May 4, 2016",19.28,19.99,19.14,19.63,"411,800",19.63
"May 3, 2016",21.00,21.00,18.90,19.34,"500,400",19.34
"May 2, 2016",20.10,20.59,20.02,20.57,"273,200",20.57
"Apr 29, 2016",20.02,20.13,19.75,20.10,"277,300",20.10
