Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",14.43,14.91,14.38,14.66,"491,800",14.66
"Jun 10, 2016",14.43,14.72,13.96,14.55,"713,000",14.55
"Jun 9, 2016",14.60,14.84,14.35,14.45,"469,600",14.45
"Jun 8, 2016",14.74,14.80,14.46,14.73,"324,300",14.73
"Jun 7, 2016",14.89,15.07,14.55,14.64,"456,300",14.64
"Jun 6, 2016",14.68,15.17,14.35,15.11,"495,500",15.11
"Jun 3, 2016",14.89,14.89,14.31,14.62,"478,800",14.62
"Jun 2, 2016",14.55,14.90,14.44,14.90,"755,800",14.90
"Jun 1, 2016",14.16,14.75,14.08,14.54,"960,500",14.54
"May 31, 2016",13.61,14.23,13.53,14.21,"865,500",14.21
"May 27, 2016",13.42,13.68,13.28,13.68,"437,400",13.68
"May 26, 2016",13.38,13.65,13.23,13.46,"430,000",13.46
"May 25, 2016",12.95,13.46,12.94,13.37,"625,100",13.37
"May 24, 2016",13.32,13.74,12.61,12.93,"996,200",12.93
"May 23, 2016",12.44,13.47,12.38,13.37,"3,530,100",13.37
"May 20, 2016",12.34,12.53,12.19,12.44,"850,700",12.44
"May 19, 2016",12.52,12.72,12.13,12.29,"529,400",12.29
"May 18, 2016",12.31,12.71,12.31,12.55,"437,200",12.55
"May 17, 2016",12.71,12.97,12.36,12.42,"540,900",12.42
"May 16, 2016",12.24,12.77,12.03,12.69,"571,000",12.69
"May 13, 2016",11.82,12.43,11.82,12.24,"330,800",12.24
"May 12, 2016",12.43,12.63,11.52,11.80,"613,500",11.80
"May 11, 2016",12.55,12.85,12.30,12.32,"1,455,300",12.32
"May 10, 2016",12.57,12.68,12.37,12.64,"500,300",12.64
"May 9, 2016",12.29,12.69,12.26,12.60,"340,000",12.60
"May 6, 2016",12.06,12.44,11.89,12.22,"691,400",12.22
"May 5, 2016",12.16,12.37,11.74,12.26,"545,800",12.26
"May 4, 2016",12.94,12.97,12.00,12.02,"966,900",12.02
"May 3, 2016",13.55,14.01,12.75,13.02,"906,200",13.02
"May 2, 2016",13.86,14.31,13.54,14.25,"598,000",14.25
"Apr 29, 2016",14.10,14.39,13.69,13.81,"566,500",13.81
"Apr 28, 2016",13.75,14.36,13.55,13.96,"506,500",13.96
"Apr 27, 2016",13.88,14.10,13.64,13.94,"345,100",13.94
"Apr 26, 2016",14.31,14.40,13.91,14.16,"505,700",14.16
"Apr 25, 2016",14.14,14.48,14.07,14.33,"337,200",14.33
"Apr 22, 2016",14.23,14.30,13.90,14.18,"333,500",14.18
"Apr 21, 2016",13.66,14.29,13.60,14.22,"640,100",14.22
"Apr 20, 2016",13.99,13.99,13.37,13.69,"1,033,100",13.69
"Apr 19, 2016",14.29,14.31,13.84,13.98,"309,300",13.98
"Apr 18, 2016",14.25,14.54,14.08,14.24,"446,200",14.24
"Apr 15, 2016",14.18,14.29,13.95,14.26,"475,900",14.26
"Apr 14, 2016",14.20,14.46,13.96,14.15,"401,100",14.15
"Apr 13, 2016",13.65,14.25,13.48,14.19,"491,800",14.19
"Apr 12, 2016",13.28,13.82,13.19,13.72,"569,700",13.72
"Apr 11, 2016",13.17,13.41,12.98,13.26,"391,300",13.26
"Apr 8, 2016",14.22,14.22,12.99,13.11,"911,600",13.11
"Apr 7, 2016",13.60,14.18,13.40,14.03,"1,003,600",14.03
"Apr 6, 2016",12.86,13.71,12.77,13.69,"871,900",13.69
"Apr 5, 2016",12.68,12.99,12.60,12.76,"528,400",12.76
"Apr 4, 2016",12.61,13.26,12.20,12.81,"853,400",12.81
"Apr 1, 2016",11.96,12.53,11.71,12.49,"972,800",12.49
"Mar 31, 2016",12.49,12.50,11.91,11.95,"824,700",11.95
"Mar 30, 2016",12.07,12.43,11.88,12.30,"904,300",12.30
"Mar 29, 2016",11.54,11.95,11.28,11.85,"734,900",11.85
"Mar 28, 2016",11.61,11.78,11.29,11.59,"672,700",11.59
"Mar 24, 2016",11.65,12.17,11.25,11.61,"1,054,000",11.61
"Mar 23, 2016",12.25,12.42,11.69,11.75,"1,203,400",11.75
"Mar 22, 2016",11.90,12.39,11.83,12.24,"604,000",12.24
"Mar 21, 2016",12.33,12.55,11.97,12.03,"832,600",12.03
"Mar 18, 2016",11.76,12.37,11.47,12.18,"1,593,200",12.18
"Mar 17, 2016",11.13,12.09,11.03,11.68,"967,600",11.68
"Mar 16, 2016",11.16,11.46,10.77,11.14,"646,500",11.14
"Mar 15, 2016",11.03,11.52,10.97,11.19,"808,700",11.19
"Mar 14, 2016",11.15,11.51,11.08,11.17,"740,200",11.17
"Mar 11, 2016",11.03,11.26,10.87,11.24,"376,100",11.24
"Mar 10, 2016",11.32,11.36,10.63,10.90,"390,400",10.90
"Mar 9, 2016",11.05,11.43,10.45,11.21,"651,300",11.21
"Mar 8, 2016",11.67,11.74,10.98,10.99,"780,600",10.99
"Mar 7, 2016",11.06,11.80,10.78,11.71,"989,400",11.71
"Mar 4, 2016",11.26,11.62,10.96,11.00,"1,265,600",11.00
"Mar 3, 2016",11.70,11.70,11.14,11.25,"778,900",11.25
"Mar 2, 2016",10.92,11.71,10.88,11.62,"1,438,000",11.62
"Mar 1, 2016",9.84,11.07,9.55,10.85,"2,484,000",10.85
"Feb 29, 2016",9.30,9.76,9.30,9.34,"1,134,000",9.34
"Feb 26, 2016",9.03,9.20,8.81,9.07,"345,700",9.07
"Feb 25, 2016",9.15,9.36,8.88,8.92,"377,300",8.92
"Feb 24, 2016",8.62,9.08,8.37,9.03,"451,800",9.03
"Feb 23, 2016",9.16,9.45,8.69,8.70,"442,400",8.70
"Feb 22, 2016",9.39,9.53,9.21,9.27,"375,600",9.27
"Feb 19, 2016",8.72,9.24,8.57,9.20,"413,600",9.20
"Feb 18, 2016",9.25,9.45,8.73,8.75,"535,200",8.75
"Feb 17, 2016",9.50,9.91,9.27,9.33,"774,900",9.33
"Feb 16, 2016",8.99,9.48,8.95,9.43,"698,900",9.43
"Feb 12, 2016",8.44,8.88,8.21,8.84,"606,300",8.84
"Feb 11, 2016",7.96,8.48,7.65,8.38,"599,500",8.38
"Feb 10, 2016",8.05,8.50,8.02,8.20,"539,900",8.20
"Feb 9, 2016",7.99,8.27,7.70,8.02,"935,200",8.02
"Feb 8, 2016",8.60,8.63,8.08,8.14,"893,400",8.14
"Feb 5, 2016",9.37,9.40,8.62,8.73,"781,300",8.73
"Feb 4, 2016",9.29,10.05,9.29,9.47,"732,600",9.47
"Feb 3, 2016",9.68,9.68,8.89,9.29,"673,100",9.29
"Feb 2, 2016",10.13,10.27,9.31,9.54,"632,700",9.54
"Feb 1, 2016",10.14,10.39,9.84,10.27,"668,800",10.27
"Jan 29, 2016",9.77,10.21,9.68,10.19,"513,600",10.19
"Jan 28, 2016",10.45,10.45,9.65,9.70,"524,400",9.70
"Jan 27, 2016",10.36,11.00,10.03,10.29,"689,900",10.29
"Jan 26, 2016",10.52,10.52,9.57,10.36,"697,500",10.36
"Jan 25, 2016",10.52,11.10,10.31,10.36,"543,100",10.36
"Jan 22, 2016",10.38,10.55,9.91,10.52,"446,700",10.52
"Jan 21, 2016",10.19,10.56,9.93,10.06,"594,700",10.06
"Jan 20, 2016",9.49,10.40,9.30,10.23,"454,700",10.23
"Jan 19, 2016",10.46,10.52,9.47,9.72,"380,500",9.72
"Jan 15, 2016",10.13,10.46,9.81,10.28,"465,900",10.28
"Jan 14, 2016",10.36,10.82,9.82,10.58,"673,600",10.58
"Jan 13, 2016",11.13,11.29,10.24,10.33,"555,900",10.33
"Jan 12, 2016",10.83,11.25,10.33,11.06,"761,900",11.06
"Jan 11, 2016",11.25,11.41,10.44,10.67,"546,400",10.67
"Jan 8, 2016",11.75,12.06,11.21,11.24,"600,900",11.24
"Jan 7, 2016",12.05,12.13,11.60,11.75,"532,300",11.75
"Jan 6, 2016",13.09,13.23,12.24,12.34,"540,100",12.34
"Jan 5, 2016",13.16,13.45,13.03,13.33,"374,200",13.33
