Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",6.29,6.64,6.26,6.27,"1,335,600",6.27
"Jun 10, 2016",6.48,6.55,6.26,6.32,"1,117,800",6.32
"Jun 9, 2016",6.90,6.97,6.56,6.56,"1,193,400",6.56
"Jun 8, 2016",7.06,7.10,6.89,6.92,"934,800",6.92
"Jun 7, 2016",7.00,7.14,6.79,7.01,"2,192,300",7.01
"Jun 6, 2016",6.95,7.08,6.81,7.04,"1,209,600",7.04
"Jun 3, 2016",7.00,7.00,6.65,6.78,"1,430,700",6.78
"Jun 2, 2016",6.70,7.00,6.70,7.00,"1,245,300",7.00
"Jun 1, 2016",6.61,6.80,6.56,6.73,"941,700",6.73
"May 31, 2016",6.35,6.71,6.29,6.67,"3,104,000",6.67
"May 27, 2016",6.45,6.46,6.08,6.31,"2,475,800",6.31
"May 26, 2016",6.70,6.73,6.43,6.54,"3,118,200",6.54
"May 25, 2016",6.99,7.00,6.68,6.71,"1,567,400",6.71
"May 24, 2016",6.70,7.03,6.68,6.92,"1,849,700",6.92
"May 23, 2016",6.54,6.87,6.52,6.67,"1,245,400",6.67
"May 20, 2016",6.37,6.55,6.27,6.54,"2,056,100",6.54
"May 19, 2016",6.41,6.46,6.12,6.32,"1,687,300",6.32
"May 18, 2016",6.43,6.57,6.27,6.49,"730,900",6.49
"May 17, 2016",6.46,6.65,6.42,6.46,"887,800",6.46
"May 16, 2016",6.19,6.52,6.09,6.51,"1,530,000",6.51
"May 13, 2016",6.18,6.24,5.84,6.16,"2,849,700",6.16
"May 12, 2016",6.60,6.69,6.19,6.21,"1,859,400",6.21
"May 11, 2016",6.65,6.73,6.54,6.54,"1,199,900",6.54
"May 10, 2016",6.81,6.89,6.39,6.67,"2,266,100",6.67
"May 9, 2016",6.53,6.78,6.53,6.76,"2,187,200",6.76
"May 6, 2016",6.58,6.71,6.44,6.51,"2,353,400",6.51
"May 5, 2016",6.47,6.66,6.31,6.63,"1,651,800",6.63
"May 4, 2016",6.57,6.68,6.36,6.39,"1,582,700",6.39
"May 3, 2016",6.87,7.06,6.42,6.67,"3,427,200",6.67
"May 2, 2016",7.08,7.28,6.96,7.28,"982,200",7.28
"Apr 29, 2016",7.10,7.40,7.06,7.08,"1,185,900",7.08
"Apr 28, 2016",7.15,7.51,7.05,7.29,"1,352,300",7.29
"Apr 27, 2016",7.29,7.33,7.08,7.21,"1,859,700",7.21
"Apr 26, 2016",7.54,7.57,7.30,7.34,"1,406,300",7.34
"Apr 25, 2016",7.56,7.74,7.47,7.52,"1,289,000",7.52
"Apr 22, 2016",7.70,7.72,7.40,7.57,"1,483,100",7.57
"Apr 21, 2016",7.25,7.70,7.25,7.70,"1,703,900",7.70
"Apr 20, 2016",7.50,7.62,7.32,7.44,"1,690,600",7.44
"Apr 19, 2016",7.95,8.00,7.60,7.61,"1,851,400",7.61
"Apr 18, 2016",7.92,8.02,7.76,7.94,"1,678,500",7.94
"Apr 15, 2016",7.90,8.05,7.71,7.97,"1,586,800",7.97
"Apr 14, 2016",8.35,8.35,7.92,7.96,"2,841,200",7.96
"Apr 13, 2016",8.52,8.52,8.11,8.39,"1,528,700",8.39
"Apr 12, 2016",8.50,8.50,8.00,8.25,"1,936,100",8.25
"Apr 11, 2016",8.61,8.69,8.33,8.49,"1,155,000",8.49
"Apr 8, 2016",8.86,8.86,8.44,8.65,"968,000",8.65
"Apr 7, 2016",8.44,9.02,8.44,8.65,"2,389,100",8.65
"Apr 6, 2016",8.38,8.68,8.25,8.68,"1,465,700",8.68
"Apr 5, 2016",8.23,8.41,8.13,8.28,"1,441,200",8.28
"Apr 4, 2016",8.66,8.74,8.22,8.30,"1,335,000",8.30
"Apr 1, 2016",8.29,8.66,8.16,8.66,"1,747,900",8.66
"Mar 31, 2016",8.24,8.67,8.17,8.37,"2,494,100",8.37
"Mar 30, 2016",8.24,8.45,8.01,8.15,"1,159,700",8.15
"Mar 29, 2016",7.65,8.16,7.55,8.16,"1,621,000",8.16
