Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",33.34,34.99,33.34,34.50,"333,800",34.50
"Jun 10, 2016",31.90,33.75,31.25,33.53,"261,400",33.53
"Jun 9, 2016",34.03,34.46,32.48,32.67,"203,700",32.67
"Jun 8, 2016",32.82,34.76,32.60,34.30,"353,300",34.30
"Jun 7, 2016",31.82,33.05,31.05,32.79,"289,500",32.79
"Jun 6, 2016",30.58,32.60,29.75,32.10,"345,700",32.10
"Jun 3, 2016",31.97,31.97,29.50,29.92,"258,900",29.92
"Jun 2, 2016",30.92,33.78,30.88,32.10,"635,900",32.10
"Jun 1, 2016",29.43,30.96,29.41,30.90,"357,200",30.90
"May 31, 2016",29.66,30.72,29.36,30.43,"267,100",30.43
"May 27, 2016",29.18,29.65,28.31,29.46,"182,100",29.46
"May 26, 2016",28.69,29.61,27.88,29.28,"189,200",29.28
"May 25, 2016",30.00,30.00,28.13,28.98,"263,300",28.98
"May 24, 2016",29.03,30.20,28.52,30.01,"294,600",30.01
"May 23, 2016",29.04,29.84,28.47,28.77,"188,500",28.77
"May 20, 2016",27.69,28.98,27.69,28.90,"249,700",28.90
"May 19, 2016",27.00,27.89,26.73,27.53,"197,000",27.53
"May 18, 2016",25.09,27.41,25.04,27.10,"379,100",27.10
"May 17, 2016",24.82,25.83,24.26,25.43,"246,400",25.43
"May 16, 2016",23.99,25.00,23.55,24.95,"223,600",24.95
"May 13, 2016",23.19,24.00,23.00,23.87,"146,100",23.87
"May 12, 2016",25.50,25.61,22.88,23.37,"314,200",23.37
"May 11, 2016",26.10,26.20,25.18,25.33,"268,000",25.33
"May 10, 2016",25.78,26.57,24.45,26.15,"171,200",26.15
"May 9, 2016",24.22,25.98,24.00,25.79,"200,900",25.79
"May 6, 2016",25.11,25.17,23.89,24.07,"219,500",24.07
"May 5, 2016",26.64,26.64,25.05,25.10,"213,400",25.10
"May 4, 2016",27.49,27.49,26.13,26.53,"204,900",26.53
