Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",36.76,37.46,36.26,36.57,"1,009,600",36.57
"Jun 10, 2016",38.03,38.43,36.70,37.26,"1,113,000",37.26
"Jun 9, 2016",39.08,39.08,37.92,38.48,"2,387,500",38.48
"Jun 8, 2016",37.99,39.00,37.53,38.32,"2,310,300",38.32
"Jun 7, 2016",37.04,38.45,36.43,38.07,"5,674,100",38.07
"Jun 6, 2016",36.31,38.49,36.10,36.96,"3,167,600",36.96
"Jun 3, 2016",37.53,37.56,36.13,37.19,"643,000",37.19
"Jun 2, 2016",37.76,38.02,37.09,37.79,"1,215,200",37.79
"Jun 1, 2016",37.58,38.33,37.30,37.53,"1,083,500",37.53
"May 31, 2016",37.99,38.04,37.30,37.61,"853,500",37.61
"May 27, 2016",37.42,37.75,37.13,37.67,"396,800",37.67
"May 26, 2016",37.08,37.63,36.70,37.22,"551,400",37.22
"May 25, 2016",37.42,37.90,37.01,37.17,"486,600",37.17
"May 24, 2016",36.88,37.44,36.51,37.29,"801,700",37.29
"May 23, 2016",36.67,36.74,36.03,36.51,"453,800",36.51
"May 20, 2016",36.73,36.97,36.18,36.51,"1,042,200",36.51
"May 19, 2016",36.51,37.21,35.77,36.47,"490,500",36.47
"May 18, 2016",35.54,36.86,35.38,36.59,"1,125,200",36.59
"May 17, 2016",35.43,36.42,35.26,35.50,"986,300",35.50
"May 16, 2016",34.15,35.89,34.15,35.65,"908,100",35.65
"May 13, 2016",32.91,34.52,32.91,33.96,"585,400",33.96
"May 12, 2016",33.54,33.94,32.59,33.87,"1,658,300",33.87
"May 11, 2016",34.39,34.85,33.23,33.35,"688,100",33.35
"May 10, 2016",35.47,35.55,33.45,34.46,"1,590,500",34.46
"May 9, 2016",36.20,37.50,34.75,35.90,"1,864,900",35.90
"May 6, 2016",35.24,36.35,34.87,36.20,"1,343,000",36.20
"May 5, 2016",34.30,35.57,33.75,34.99,"899,100",34.99
"May 4, 2016",35.65,35.65,34.19,34.24,"747,900",34.24
"May 3, 2016",35.52,36.50,35.35,36.02,"712,300",36.02
"May 2, 2016",35.64,35.95,34.74,35.62,"422,800",35.62
"Apr 29, 2016",35.50,35.76,34.92,35.59,"511,100",35.59
"Apr 28, 2016",35.35,36.53,35.10,35.83,"530,100",35.83
"Apr 27, 2016",35.62,36.21,34.89,35.64,"1,000,900",35.64
"Apr 26, 2016",35.26,35.83,34.69,35.68,"570,700",35.68
"Apr 25, 2016",35.83,35.98,35.09,35.22,"320,000",35.22
"Apr 22, 2016",36.26,36.71,35.61,35.83,"423,600",35.83
"Apr 21, 2016",35.12,36.73,34.85,36.29,"917,600",36.29
"Apr 20, 2016",35.33,35.77,34.67,35.12,"783,700",35.12
"Apr 19, 2016",34.46,35.53,33.97,35.20,"1,097,100",35.20
"Apr 18, 2016",33.57,34.57,33.31,34.17,"428,400",34.17
"Apr 15, 2016",33.66,34.37,33.22,33.80,"525,200",33.80
"Apr 14, 2016",33.92,34.46,33.53,33.83,"453,100",33.83
"Apr 13, 2016",32.39,34.28,32.28,33.83,"822,700",33.83
"Apr 12, 2016",32.49,32.66,31.75,32.22,"482,000",32.22
"Apr 11, 2016",33.79,34.31,31.95,32.30,"545,500",32.30
"Apr 8, 2016",34.72,34.79,32.49,33.47,"658,100",33.47
"Apr 7, 2016",32.78,34.59,32.72,34.36,"1,337,000",34.36
"Apr 6, 2016",32.46,33.53,32.25,32.77,"1,163,500",32.77
"Apr 5, 2016",31.85,32.73,31.71,32.36,"850,000",32.36
"Apr 4, 2016",31.90,32.36,31.62,32.11,"591,200",32.11
"Apr 1, 2016",31.47,32.10,31.15,31.95,"594,700",31.95
"Mar 31, 2016",31.08,32.28,30.73,31.77,"582,200",31.77
"Mar 30, 2016",32.29,32.51,30.97,30.99,"549,000",30.99
"Mar 29, 2016",30.02,31.90,29.48,31.86,"896,200",31.86
"Mar 28, 2016",31.42,32.53,30.20,30.21,"605,000",30.21
"Mar 24, 2016",31.16,31.84,30.71,31.31,"646,800",31.31
"Mar 23, 2016",32.41,32.67,31.46,31.48,"447,100",31.48
"Mar 22, 2016",30.40,32.75,30.35,32.38,"719,600",32.38
"Mar 21, 2016",31.22,31.49,30.17,30.69,"799,900",30.69
"Mar 18, 2016",31.41,32.23,29.93,30.55,"1,293,300",30.55
"Mar 17, 2016",31.43,31.43,29.85,30.27,"876,200",30.27
"Mar 16, 2016",30.31,31.72,30.31,31.42,"946,800",31.42
"Mar 15, 2016",32.58,32.87,30.55,30.59,"892,400",30.59
"Mar 14, 2016",32.93,33.35,32.25,32.84,"326,900",32.84
"Mar 11, 2016",32.18,33.01,31.62,32.94,"582,800",32.94
"Mar 10, 2016",32.56,33.10,31.35,31.79,"865,600",31.79
"Mar 9, 2016",34.00,34.24,32.19,32.52,"1,108,600",32.52
"Mar 8, 2016",34.07,34.73,33.74,33.88,"761,700",33.88
"Mar 7, 2016",34.00,34.97,33.60,34.24,"661,700",34.24
"Mar 4, 2016",33.81,35.00,33.66,34.06,"693,800",34.06
"Mar 3, 2016",34.22,34.42,33.60,33.85,"794,000",33.85
"Mar 2, 2016",33.13,34.47,31.66,34.35,"825,000",34.35
"Mar 1, 2016",32.52,33.21,31.96,33.04,"1,065,800",33.04
"Feb 29, 2016",32.23,32.73,31.01,32.16,"798,000",32.16
"Feb 26, 2016",32.70,33.02,31.86,32.30,"372,700",32.30
"Feb 25, 2016",32.77,33.14,32.09,32.49,"379,800",32.49
"Feb 24, 2016",32.90,32.97,31.84,32.74,"663,100",32.74
"Feb 23, 2016",33.48,34.23,32.84,33.29,"778,300",33.29
"Feb 22, 2016",33.28,34.34,33.03,33.73,"820,100",33.73
"Feb 19, 2016",32.35,33.35,30.05,33.28,"821,800",33.28
"Feb 18, 2016",32.83,33.54,32.10,32.71,"907,100",32.71
"Feb 17, 2016",30.56,34.10,30.50,32.94,"2,440,700",32.94
"Feb 16, 2016",29.53,30.14,28.51,30.00,"1,321,600",30.00
"Feb 12, 2016",29.55,29.92,28.45,29.06,"810,700",29.06
"Feb 11, 2016",28.44,29.45,27.50,29.15,"921,300",29.15
"Feb 10, 2016",29.65,30.26,28.99,29.03,"921,500",29.03
"Feb 9, 2016",28.78,30.47,28.02,29.56,"656,200",29.56
"Feb 8, 2016",30.53,30.84,28.19,29.11,"1,574,000",29.11
"Feb 5, 2016",32.75,33.62,30.60,31.00,"1,202,500",31.00
"Feb 4, 2016",33.48,34.36,32.61,32.86,"828,900",32.86
"Feb 3, 2016",33.06,34.31,32.13,33.62,"1,071,500",33.62
"Feb 2, 2016",33.55,33.93,32.07,32.86,"827,900",32.86
"Feb 1, 2016",34.26,35.06,33.17,33.84,"717,300",33.84
"Jan 29, 2016",33.12,34.61,32.92,34.56,"1,138,300",34.56
"Jan 28, 2016",33.88,34.36,32.43,33.29,"1,092,700",33.29
"Jan 27, 2016",36.00,36.35,33.42,33.66,"875,800",33.66
"Jan 26, 2016",36.22,37.10,34.83,35.96,"1,268,100",35.96
"Jan 25, 2016",36.01,37.25,35.00,35.93,"820,400",35.93
"Jan 22, 2016",36.55,37.48,35.76,36.37,"1,683,600",36.37
"Jan 21, 2016",36.25,36.93,34.58,35.56,"1,710,400",35.56
"Jan 20, 2016",31.03,36.24,30.50,36.06,"7,248,900",36.06
"Jan 19, 2016",32.22,32.72,30.67,31.51,"1,361,300",31.51
"Jan 15, 2016",31.96,32.27,30.05,31.75,"1,542,800",31.75
"Jan 14, 2016",32.70,33.77,31.09,32.93,"1,373,300",32.93
"Jan 13, 2016",33.63,34.28,32.45,32.60,"1,223,900",32.60
"Jan 12, 2016",33.18,33.76,32.70,33.50,"1,389,800",33.50
"Jan 11, 2016",33.48,33.48,32.15,33.08,"1,154,700",33.08
"Jan 8, 2016",33.90,34.67,33.15,33.28,"833,700",33.28
"Jan 7, 2016",34.61,34.89,33.13,33.69,"1,081,300",33.69
"Jan 6, 2016",34.77,35.54,34.34,35.24,"796,700",35.24
"Jan 5, 2016",35.34,35.72,34.76,35.17,"641,000",35.17
"Jan 4, 2016",36.83,37.12,34.88,35.30,"1,272,900",35.30
"Dec 31, 2015",37.16,38.00,36.93,37.34,"503,900",37.34
"Dec 30, 2015",37.25,37.61,37.02,37.41,"454,400",37.41
"Dec 29, 2015",36.28,37.36,36.24,37.15,"565,900",37.15
"Dec 28, 2015",36.09,36.70,35.93,36.15,"696,500",36.15
"Dec 24, 2015",36.70,37.00,35.76,36.41,"369,200",36.41
"Dec 23, 2015",36.67,37.10,35.76,36.66,"691,600",36.66
"Dec 22, 2015",36.10,37.80,35.97,36.38,"1,418,500",36.38
"Dec 21, 2015",39.78,39.78,35.51,35.97,"2,656,400",35.97
"Dec 18, 2015",38.49,39.93,38.15,39.58,"2,072,300",39.58
"Dec 17, 2015",39.68,39.97,38.10,38.52,"1,080,700",38.52
"Dec 16, 2015",39.25,39.85,38.87,39.66,"1,015,200",39.66
