Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",59.66,60.28,59.47,60.03,"2,515,100",60.03
"Jun 10, 2016",59.71,60.30,59.38,60.01,"1,471,000",60.01
"Jun 9, 2016",59.43,60.33,59.20,60.10,"1,342,800",60.10
"Jun 8, 2016",59.50,60.43,59.18,60.07,"1,351,800",60.07
"Jun 7, 2016",59.34,60.34,59.18,59.68,"1,617,600",59.68
"Jun 6, 2016",60.34,60.70,58.52,59.63,"2,845,300",59.63
"Jun 3, 2016",60.60,61.08,60.27,60.80,"1,649,100",60.80
"Jun 2, 2016",61.20,61.38,60.50,60.97,"2,335,800",60.97
"Jun 1, 2016",60.01,61.27,60.00,61.14,"1,664,800",61.14
"May 31, 2016",60.34,61.39,59.94,60.46,"2,234,700",60.46
"May 27, 2016",60.46,60.95,59.58,60.63,"3,009,000",60.63
"May 26, 2016",61.75,61.82,60.25,60.31,"2,872,200",60.31
"May 25, 2016",62.35,62.39,61.09,61.48,"4,746,300",61.48
"May 24, 2016",60.67,62.19,60.55,61.91,"3,524,600",61.91
"May 23, 2016",60.50,61.59,60.42,60.75,"2,101,700",60.75
"May 20, 2016",60.73,61.43,60.15,60.56,"1,904,100",60.56
"May 19, 2016",61.12,61.28,60.31,60.73,"1,233,300",60.73
"May 18, 2016",60.67,61.32,60.28,61.00,"1,733,200",61.00
"May 17, 2016",61.38,62.07,60.50,60.71,"2,237,700",60.71
"May 16, 2016",60.81,62.08,60.76,61.72,"2,041,600",61.72
"May 13, 2016",60.71,61.75,60.71,61.17,"2,003,700",61.17
"May 12, 2016",61.15,61.72,60.58,60.79,"2,278,900",60.79
"May 11, 2016",61.62,62.33,60.86,61.01,"3,459,900",61.01
"May 10, 2016",62.56,62.94,61.55,62.00,"3,632,900",62.00
"May 9, 2016",60.10,62.87,59.70,62.54,"6,268,600",62.54
"May 6, 2016",60.00,60.99,59.53,60.00,"3,837,800",60.00
"May 5, 2016",59.12,60.40,58.88,59.22,"5,742,400",59.22
"May 4, 2016",59.50,59.95,58.27,59.06,"5,185,000",59.06
"May 3, 2016",58.00,58.85,57.50,57.52,"3,658,500",57.52
"May 2, 2016",57.48,58.25,56.86,58.01,"3,509,500",58.01
"Apr 29, 2016",56.17,59.92,55.50,57.80,"8,966,600",57.80
"Apr 28, 2016",55.90,56.95,55.00,56.17,"13,731,900",56.17
"Apr 27, 2016",51.60,52.42,50.83,52.05,"2,225,800",52.05
"Apr 26, 2016",52.39,52.49,50.92,51.82,"1,695,300",51.82
"Apr 25, 2016",52.50,52.94,51.80,52.07,"1,651,700",52.07
"Apr 22, 2016",53.03,53.35,51.80,52.64,"2,422,100",52.64
"Apr 21, 2016",51.54,53.35,50.82,53.32,"2,503,200",53.32
"Apr 20, 2016",52.50,52.84,50.91,51.38,"2,815,000",51.38
"Apr 19, 2016",54.25,54.35,51.04,52.15,"4,023,200",52.15
"Apr 18, 2016",52.57,54.55,51.73,53.36,"6,015,300",53.36
"Apr 15, 2016",49.54,52.25,49.41,51.17,"6,170,300",51.17
"Apr 14, 2016",49.10,50.41,48.51,49.22,"3,221,700",49.22
"Apr 13, 2016",49.05,50.40,48.25,49.37,"6,151,400",49.37
"Apr 12, 2016",45.28,45.79,43.90,45.73,"2,680,400",45.73
"Apr 11, 2016",46.48,46.58,45.03,45.24,"2,404,800",45.24
"Apr 8, 2016",46.95,47.04,45.23,46.45,"2,894,400",46.45
"Apr 7, 2016",46.70,49.86,45.76,45.99,"4,253,300",45.99
"Apr 6, 2016",44.76,47.12,44.47,47.09,"4,569,000",47.09
"Apr 5, 2016",43.85,45.25,43.75,43.92,"3,385,400",43.92
"Apr 4, 2016",46.32,46.48,43.82,44.18,"3,658,800",44.18
"Apr 1, 2016",45.15,46.54,43.76,46.19,"4,908,800",46.19
"Mar 31, 2016",43.10,46.88,41.70,45.98,"17,011,600",45.98
"Mar 30, 2016",38.85,40.58,37.00,37.39,"5,476,900",37.39
"Mar 29, 2016",38.30,38.89,35.55,38.75,"8,528,400",38.75
"Mar 28, 2016",41.95,42.49,40.38,41.25,"2,669,100",41.25
"Mar 24, 2016",38.83,42.97,38.12,42.57,"5,025,900",42.57
"Mar 23, 2016",38.72,40.80,37.81,39.39,"4,689,700",39.39
"Mar 22, 2016",37.22,39.31,36.59,39.03,"3,335,400",39.03
"Mar 21, 2016",35.67,37.90,35.47,36.95,"2,399,200",36.95
"Mar 18, 2016",35.53,36.27,34.65,35.82,"3,356,400",35.82
"Mar 17, 2016",36.77,37.30,33.80,35.42,"3,912,800",35.42
