Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",25.84,26.83,25.67,26.36,"365,600",26.36
"Jun 10, 2016",26.83,26.93,25.99,26.16,"222,700",26.16
"Jun 9, 2016",27.18,27.51,26.86,27.28,"291,400",27.28
"Jun 8, 2016",27.95,28.09,27.17,27.50,"223,300",27.50
"Jun 7, 2016",27.91,28.33,27.43,27.85,"270,600",27.85
"Jun 6, 2016",26.47,28.37,25.96,28.20,"285,200",28.20
"Jun 3, 2016",27.30,27.30,26.16,26.38,"293,100",26.38
"Jun 2, 2016",25.88,27.47,25.73,27.44,"261,500",27.44
"Jun 1, 2016",25.44,26.39,25.12,25.94,"241,200",25.94
"May 31, 2016",24.75,25.90,24.61,25.56,"278,600",25.56
"May 27, 2016",23.97,25.30,23.81,24.50,"233,200",24.50
"May 26, 2016",24.30,24.37,23.88,23.95,"247,900",23.95
"May 25, 2016",23.80,24.73,23.55,24.36,"348,600",24.36
"May 24, 2016",22.96,23.58,22.67,23.46,"255,800",23.46
"May 23, 2016",22.49,23.26,22.36,22.65,"265,600",22.65
"May 20, 2016",21.47,22.66,21.47,22.61,"297,400",22.61
"May 19, 2016",20.88,21.59,20.55,21.32,"483,300",21.32
"May 18, 2016",19.99,22.35,19.84,21.06,"1,185,500",21.06
"May 17, 2016",18.18,18.62,17.78,18.04,"225,900",18.04
"May 16, 2016",17.56,18.36,17.00,18.24,"262,600",18.24
"May 13, 2016",16.76,17.63,16.28,17.39,"156,100",17.39
"May 12, 2016",17.80,17.80,16.50,16.81,"373,000",16.81
"May 11, 2016",18.58,18.83,17.52,17.62,"158,800",17.62
"May 10, 2016",18.79,18.86,17.87,18.60,"234,800",18.60
"May 9, 2016",18.18,18.94,18.16,18.79,"466,300",18.79
"May 6, 2016",18.62,19.06,18.08,18.15,"216,300",18.15
"May 5, 2016",18.46,19.45,16.77,18.85,"595,100",18.85
"May 4, 2016",19.78,20.08,19.42,19.46,"355,900",19.46
"May 3, 2016",20.49,20.91,19.84,20.01,"275,600",20.01
"May 2, 2016",20.53,20.97,19.70,20.81,"297,900",20.81
"Apr 29, 2016",20.67,21.07,20.18,20.56,"241,200",20.56
"Apr 28, 2016",20.92,21.61,20.44,20.84,"224,600",20.84
"Apr 27, 2016",21.26,21.48,20.68,21.08,"155,600",21.08
"Apr 26, 2016",21.97,21.97,21.04,21.38,"285,600",21.38
"Apr 25, 2016",22.21,22.88,21.89,22.00,"184,100",22.00
"Apr 22, 2016",21.77,22.54,21.23,22.36,"182,200",22.36
