Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",1.05,1.05,0.97,1.03,"7,349,800",1.03
"Jun 10, 2016",1.05,1.07,1.01,1.01,"4,514,000",1.01
"Jun 9, 2016",1.03,1.04,1.01,1.03,"5,689,900",1.03
"Jun 8, 2016",1.03,1.04,1.01,1.03,"2,915,300",1.03
"Jun 7, 2016",1.03,1.03,1.00,1.02,"4,898,200",1.02
"Jun 6, 2016",1.03,1.03,1.00,1.03,"2,550,500",1.03
"Jun 3, 2016",1.05,1.05,1.00,1.03,"3,383,600",1.03
"Jun 2, 2016",1.00,1.04,0.99,1.04,"5,162,500",1.04
"Jun 1, 2016",0.95,1.00,0.95,0.99,"3,954,500",0.99
"May 31, 2016",0.98,0.99,0.95,0.95,"5,460,700",0.95
"May 27, 2016",0.99,1.01,0.96,0.97,"3,207,400",0.97
"May 26, 2016",1.02,1.04,0.99,0.99,"4,313,000",0.99
"May 25, 2016",0.98,1.03,0.96,1.02,"8,395,000",1.02
"May 24, 2016",0.95,0.97,0.93,0.97,"5,638,100",0.97
"May 23, 2016",0.93,0.94,0.91,0.93,"5,130,400",0.93
"May 20, 2016",0.93,0.94,0.91,0.91,"7,346,500",0.91
"May 19, 2016",0.92,0.93,0.91,0.91,"3,255,300",0.91
"May 18, 2016",0.93,0.94,0.91,0.92,"7,318,800",0.92
"May 17, 2016",0.94,0.94,0.91,0.92,"8,430,600",0.92
"May 16, 2016",0.91,0.94,0.91,0.94,"4,467,700",0.94
"May 13, 2016",0.92,0.94,0.89,0.94,"4,391,100",0.94
"May 12, 2016",0.93,0.93,0.85,0.92,"4,661,000",0.92
"May 11, 2016",0.97,0.97,0.90,0.90,"7,688,200",0.90
"May 10, 2016",1.07,1.08,0.94,0.95,"31,454,500",0.95
"May 9, 2016",1.35,1.36,1.28,1.32,"3,600,700",1.32
"May 6, 2016",1.36,1.40,1.31,1.33,"1,948,900",1.33
"May 5, 2016",1.42,1.42,1.33,1.35,"2,234,200",1.35
"May 4, 2016",1.43,1.45,1.37,1.41,"2,147,800",1.41
"May 3, 2016",1.43,1.50,1.38,1.48,"2,240,700",1.48
"May 2, 2016",1.39,1.48,1.36,1.45,"2,841,400",1.45
"Apr 29, 2016",1.38,1.41,1.33,1.35,"2,910,900",1.35
"Apr 28, 2016",1.46,1.48,1.35,1.44,"4,045,600",1.44
"Apr 27, 2016",1.48,1.55,1.45,1.53,"3,395,900",1.53
"Apr 26, 2016",1.63,1.64,1.50,1.62,"3,327,200",1.62
"Apr 25, 2016",1.64,1.70,1.57,1.57,"2,695,300",1.57
"Apr 22, 2016",1.56,1.61,1.51,1.61,"1,756,500",1.61
"Apr 21, 2016",1.55,1.58,1.52,1.58,"1,811,000",1.58
"Apr 20, 2016",1.61,1.63,1.52,1.55,"4,262,200",1.55
"Apr 19, 2016",1.70,1.75,1.60,1.61,"4,507,500",1.61
"Apr 18, 2016",1.62,1.75,1.56,1.70,"4,592,600",1.70
"Apr 15, 2016",1.65,1.68,1.59,1.64,"3,405,900",1.64
"Apr 14, 2016",1.75,1.80,1.68,1.69,"3,580,600",1.69
"Apr 13, 2016",2.02,2.03,1.62,1.73,"12,719,200",1.73
"Apr 12, 2016",1.60,1.89,1.60,1.85,"13,099,100",1.85
"Apr 11, 2016",1.27,1.56,1.27,1.52,"10,736,800",1.52
"Apr 8, 2016",1.35,1.39,1.12,1.22,"7,535,900",1.22
"Apr 7, 2016",1.46,1.47,1.36,1.37,"3,392,400",1.37
"Apr 6, 2016",1.57,1.60,1.32,1.47,"7,896,800",1.47
"Apr 5, 2016",1.70,1.70,1.55,1.57,"4,242,600",1.57
"Apr 4, 2016",1.53,1.71,1.53,1.69,"4,720,000",1.69
"Apr 1, 2016",1.59,1.67,1.51,1.59,"3,805,400",1.59
"Mar 31, 2016",1.72,1.72,1.60,1.61,"4,613,400",1.61
"Mar 30, 2016",1.69,1.75,1.60,1.68,"5,493,100",1.68
"Mar 29, 2016",1.59,1.90,1.59,1.73,"9,930,400",1.73
"Mar 28, 2016",2.11,2.12,1.59,1.63,"12,762,900",1.63
"Mar 24, 2016",2.16,2.17,2.03,2.11,"8,708,500",2.11
"Mar 23, 2016",2.18,2.24,2.12,2.16,"7,505,100",2.16
"Mar 22, 2016",2.07,2.17,2.01,2.14,"8,274,900",2.14
"Mar 21, 2016",2.14,2.20,2.00,2.11,"14,522,100",2.11
"Mar 18, 2016",1.95,2.18,1.80,2.00,"32,794,200",2.00
