Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",11.57,11.89,11.23,11.28,"401,400",11.28
"Jun 10, 2016",11.64,11.89,11.39,11.67,"406,500",11.67
"Jun 9, 2016",12.03,12.32,11.76,11.80,"360,300",11.80
"Jun 8, 2016",12.18,12.21,11.91,12.12,"298,900",12.12
"Jun 7, 2016",12.11,12.33,11.88,12.13,"416,800",12.13
"Jun 6, 2016",11.90,12.27,11.57,12.24,"407,000",12.24
"Jun 3, 2016",12.21,12.21,11.74,11.89,"439,900",11.89
"Jun 2, 2016",11.93,12.21,11.88,12.20,"583,300",12.20
"Jun 1, 2016",11.73,13.30,11.32,11.99,"1,637,800",11.99
"May 31, 2016",11.37,11.89,11.22,11.78,"943,400",11.78
"May 27, 2016",10.93,11.15,10.81,11.14,"259,300",11.14
"May 26, 2016",11.11,11.20,10.88,10.90,"350,600",10.90
"May 25, 2016",11.02,11.38,10.98,11.10,"436,900",11.10
"May 24, 2016",10.64,11.00,10.56,10.97,"434,200",10.97
"May 23, 2016",10.42,10.95,10.42,10.55,"391,000",10.55
"May 20, 2016",10.11,10.44,10.11,10.41,"451,600",10.41
"May 19, 2016",10.20,10.38,9.95,10.07,"331,300",10.07
"May 18, 2016",9.87,10.40,9.86,10.25,"458,900",10.25
"May 17, 2016",9.93,10.26,9.84,9.95,"592,100",9.95
"May 16, 2016",9.91,10.18,9.78,9.99,"618,800",9.99
"May 13, 2016",9.53,10.06,9.53,9.83,"513,800",9.83
"May 12, 2016",9.84,9.95,9.39,9.55,"623,400",9.55
"May 11, 2016",10.19,10.30,9.72,9.77,"474,700",9.77
"May 10, 2016",10.13,10.29,9.93,10.22,"545,000",10.22
"May 9, 2016",9.41,10.30,9.37,10.04,"694,600",10.04
"May 6, 2016",9.30,9.46,9.20,9.37,"698,600",9.37
"May 5, 2016",9.53,9.57,9.14,9.40,"575,500",9.40
"May 4, 2016",9.08,9.70,8.97,9.48,"818,200",9.48
"May 3, 2016",9.48,9.62,8.82,9.19,"1,042,100",9.19
"May 2, 2016",9.58,9.78,9.26,9.76,"645,200",9.76
"Apr 29, 2016",9.25,9.64,9.22,9.51,"606,400",9.51
"Apr 28, 2016",9.22,9.46,9.00,9.32,"492,000",9.32
"Apr 27, 2016",9.27,9.40,9.12,9.30,"297,600",9.30
"Apr 26, 2016",9.76,9.76,9.02,9.31,"604,200",9.31
"Apr 25, 2016",9.83,10.08,9.75,9.78,"483,200",9.78
