Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",31.04,31.13,30.57,30.58,"1,721,900",30.58
"Jun 10, 2016",33.65,34.95,30.76,30.95,"2,272,200",30.95
"Jun 9, 2016",34.54,34.85,34.02,34.02,"524,000",34.02
"Jun 8, 2016",34.68,35.09,34.22,34.79,"350,100",34.79
"Jun 7, 2016",34.97,35.35,34.72,34.76,"663,900",34.76
"Jun 6, 2016",33.92,34.55,33.36,34.48,"790,200",34.48
"Jun 3, 2016",34.99,34.99,33.91,33.97,"681,000",33.97
"Jun 2, 2016",34.39,35.32,34.27,35.16,"1,528,700",35.16
"Jun 1, 2016",33.40,34.49,33.23,34.33,"1,365,800",34.33
"May 31, 2016",34.00,34.23,33.85,33.89,"844,200",33.89
"May 27, 2016",33.50,34.45,33.45,34.09,"855,300",34.09
"May 26, 2016",34.98,35.13,33.34,33.43,"1,367,600",33.43
"May 25, 2016",34.85,35.18,34.75,34.99,"833,300",34.99
"May 24, 2016",34.41,35.03,34.30,34.84,"1,143,500",34.84
"May 23, 2016",34.16,34.73,34.01,34.33,"582,300",34.33
"May 20, 2016",33.95,35.00,33.76,34.17,"804,700",34.17
"May 19, 2016",34.22,34.48,33.50,33.71,"732,300",33.71
"May 18, 2016",34.75,35.05,34.37,34.48,"954,800",34.48
"May 17, 2016",35.09,35.43,34.57,34.78,"577,600",34.78
"May 16, 2016",34.99,35.51,34.81,35.09,"757,400",35.09
"May 13, 2016",34.35,35.02,34.23,34.94,"600,900",34.94
"May 12, 2016",34.69,34.97,33.78,34.37,"735,500",34.37
"May 11, 2016",35.37,35.37,34.52,34.55,"371,600",34.55
"May 10, 2016",35.47,35.59,34.96,35.31,"408,500",35.31
"May 9, 2016",34.53,35.65,34.35,35.48,"943,900",35.48
"May 6, 2016",34.19,34.77,33.64,34.34,"699,100",34.34
"May 5, 2016",33.98,34.82,33.85,34.19,"1,106,000",34.19
"May 4, 2016",35.40,35.76,33.64,33.94,"2,830,500",33.94
"May 3, 2016",36.32,36.54,35.77,36.19,"1,018,300",36.19
"May 2, 2016",36.07,36.71,36.00,36.66,"735,700",36.66
"Apr 29, 2016",36.89,37.06,35.63,36.00,"600,900",36.00
"Apr 28, 2016",37.46,37.83,36.84,37.15,"409,200",37.15
"Apr 27, 2016",36.94,37.64,36.64,37.44,"572,100",37.44
"Apr 26, 2016",37.22,37.41,36.77,37.07,"589,900",37.07
"Apr 25, 2016",37.19,37.43,36.61,37.05,"694,100",37.05
