Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",44.15,45.37,44.05,44.77,"4,870,400",44.77
"Jun 10, 2016",44.39,44.58,43.00,44.53,"7,175,700",44.53
"Jun 9, 2016",46.29,46.71,45.71,45.76,"3,915,800",45.76
"Jun 8, 2016",46.67,47.00,46.18,46.51,"4,764,000",46.51
"Jun 7, 2016",46.28,46.68,45.42,46.61,"4,569,600",46.61
"Jun 6, 2016",45.12,46.55,44.80,46.52,"4,954,700",46.52
"Jun 3, 2016",44.95,45.29,43.53,44.52,"2,791,300",44.52
"Jun 2, 2016",44.75,45.68,44.55,44.96,"6,484,900",44.96
"Jun 1, 2016",43.24,44.86,42.97,44.46,"5,554,800",44.46
"May 31, 2016",43.21,43.59,42.97,43.34,"3,438,500",43.34
"May 27, 2016",43.06,43.84,42.89,43.06,"3,054,000",43.06
"May 26, 2016",42.66,43.00,42.41,42.86,"1,951,400",42.86
"May 25, 2016",42.47,42.97,42.14,42.68,"3,340,100",42.68
"May 24, 2016",41.55,42.60,41.50,42.44,"3,702,800",42.44
"May 23, 2016",41.56,41.66,40.95,41.21,"3,704,500",41.21
"May 20, 2016",41.17,42.09,41.09,41.51,"3,550,100",41.51
"May 19, 2016",41.83,42.42,40.50,41.12,"3,694,900",41.12
"May 18, 2016",41.18,42.76,41.15,42.04,"5,284,500",42.04
"May 17, 2016",40.40,41.72,40.21,41.02,"6,066,900",41.02
"May 16, 2016",39.47,40.53,39.20,40.45,"4,879,400",40.45
"May 13, 2016",38.38,39.32,38.05,39.16,"5,615,200",39.16
"May 12, 2016",39.65,39.89,38.01,38.62,"7,380,300",38.62
"May 11, 2016",40.71,40.75,39.57,39.64,"3,850,000",39.64
"May 10, 2016",40.88,41.37,40.56,40.81,"4,589,800",40.81
"May 9, 2016",40.52,41.10,40.16,40.77,"5,440,000",40.77
"May 6, 2016",40.31,41.22,38.46,39.65,"11,471,900",39.65
"May 5, 2016",41.84,42.03,40.76,41.40,"9,056,200",41.40
"May 4, 2016",43.40,43.50,41.58,41.94,"5,543,000",41.94
"May 3, 2016",43.37,44.56,41.85,43.69,"11,900,900",43.69
