Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 14, 2016","2,751.85","2,779.15","2,716.77","2,747.59",0,"2,747.59"
"Jun 13, 2016","2,788.56","2,820.81","2,761.48","2,763.81",0,"2,763.81"
"Jun 10, 2016","2,831.00","2,831.04","2,785.28","2,798.65",0,"2,798.65"
"Jun 9, 2016","2,900.19","2,921.47","2,860.34","2,860.63",0,"2,860.63"
"Jun 8, 2016","2,920.63","2,923.52","2,894.71","2,913.44",0,"2,913.44"
"Jun 7, 2016","2,947.57","2,948.05","2,899.78","2,915.66",0,"2,915.66"
"Jun 6, 2016","2,954.40","2,998.12","2,918.67","2,991.36",0,"2,991.36"
"Jun 3, 2016","2,984.37","2,984.37","2,908.65","2,947.03",0,"2,947.03"
"Jun 2, 2016","2,939.94","2,993.19","2,939.83","2,993.15",0,"2,993.15"
"Jun 1, 2016","2,912.97","2,949.01","2,904.30","2,938.92",0,"2,938.92"
"May 31, 2016","2,901.20","2,938.65","2,901.08","2,923.78",0,"2,923.78"
"May 27, 2016","2,867.66","2,887.57","2,851.63","2,887.15",0,"2,887.15"
"May 26, 2016","2,870.66","2,873.06","2,844.87","2,859.75",0,"2,859.75"
"May 25, 2016","2,863.02","2,884.61","2,854.56","2,877.13",0,"2,877.13"
"May 24, 2016","2,800.88","2,849.80","2,795.93","2,844.50",0,"2,844.50"
"May 23, 2016","2,765.93","2,803.41","2,760.89","2,780.98",0,"2,780.98"
"May 20, 2016","2,718.34","2,771.77","2,716.82","2,763.98",0,"2,763.98"
"May 19, 2016","2,730.84","2,760.14","2,686.15","2,707.99",0,"2,707.99"
"May 18, 2016","2,702.27","2,756.68","2,701.88","2,747.61",0,"2,747.61"
"May 17, 2016","2,728.53","2,746.96","2,700.47","2,710.90",0,"2,710.90"
"May 16, 2016","2,675.54","2,740.44","2,674.43","2,735.57",0,"2,735.57"
"May 13, 2016","2,628.72","2,680.02","2,627.66","2,655.89",0,"2,655.89"
"May 12, 2016","2,693.83","2,695.02","2,606.23","2,633.99",0,"2,633.99"
"May 11, 2016","2,762.32","2,762.62","2,676.87","2,679.00",0,"2,679.00"
"May 10, 2016","2,755.88","2,765.68","2,710.14","2,764.25",0,"2,764.25"
"May 9, 2016","2,684.83","2,761.06","2,684.73","2,739.12",0,"2,739.12"
"May 6, 2016","2,679.41","2,710.77","2,638.64","2,673.64",0,"2,673.64"
"May 5, 2016","2,719.42","2,722.81","2,682.25","2,710.00",0,"2,710.00"
"May 4, 2016","2,758.66","2,761.99","2,695.18","2,700.11",0,"2,700.11"
"May 3, 2016","2,809.18","2,829.97","2,777.71","2,781.55",0,"2,781.55"
"May 2, 2016","2,815.36","2,837.09","2,770.75","2,835.99",0,"2,835.99"
"Apr 29, 2016","2,851.01","2,869.48","2,782.12","2,805.35",0,"2,805.35"
"Apr 28, 2016","2,877.76","2,945.82","2,852.00","2,880.23",0,"2,880.23"
"Apr 27, 2016","2,941.69","2,941.69","2,890.42","2,906.29",0,"2,906.29"
"Apr 26, 2016","2,989.19","2,990.69","2,920.85","2,944.35",0,"2,944.35"
"Apr 25, 2016","3,006.54","3,025.41","2,981.41","2,989.28",0,"2,989.28"
"Apr 22, 2016","3,010.51","3,029.57","2,966.17","3,015.92",0,"3,015.92"
"Apr 21, 2016","2,926.61","3,009.14","2,923.93","3,007.27",0,"3,007.27"
"Apr 20, 2016","2,933.69","2,945.14","2,907.81","2,924.12",0,"2,924.12"
"Apr 19, 2016","2,965.06","2,965.42","2,906.71","2,922.65",0,"2,922.65"
"Apr 18, 2016","2,928.83","2,992.11","2,919.80","2,980.57",0,"2,980.57"
"Apr 15, 2016","2,942.54","2,945.44","2,905.93","2,936.29",0,"2,936.29"
"Apr 14, 2016","2,946.01","2,958.64","2,923.81","2,945.83",0,"2,945.83"
"Apr 13, 2016","2,912.46","2,946.78","2,894.02","2,941.71",0,"2,941.71"
"Apr 12, 2016","2,852.58","2,892.80","2,826.95","2,885.92",0,"2,885.92"
"Apr 11, 2016","2,916.63","2,918.04","2,844.91","2,853.79",0,"2,853.79"
"Apr 8, 2016","2,966.34","2,967.34","2,877.46","2,901.53",0,"2,901.53"
"Apr 7, 2016","2,969.81","3,008.18","2,920.43","2,932.39",0,"2,932.39"
"Apr 6, 2016","2,833.03","2,989.66","2,833.03","2,988.72",0,"2,988.72"
"Apr 5, 2016","2,807.94","2,853.47","2,799.85","2,820.76",0,"2,820.76"
