Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 14, 2016","4,836.67","4,863.01","4,811.93","4,843.55","1,919,710,000","4,843.55"
"Jun 13, 2016","4,868.51","4,894.85","4,844.94","4,848.44","1,888,300,000","4,848.44"
"Jun 10, 2016","4,915.15","4,917.92","4,880.61","4,894.55","1,822,200,000","4,894.55"
"Jun 9, 2016","4,954.15","4,965.49","4,940.55","4,958.62","1,632,340,000","4,958.62"
"Jun 8, 2016","4,970.01","4,979.66","4,956.79","4,974.64","1,692,640,000","4,974.64"
"Jun 7, 2016","4,972.13","4,979.38","4,960.28","4,961.75","1,747,760,000","4,961.75"
"Jun 6, 2016","4,950.46","4,980.14","4,944.87","4,968.71","1,663,840,000","4,968.71"
"Jun 3, 2016","4,958.10","4,958.65","4,909.21","4,942.52","1,697,840,000","4,942.52"
"Jun 2, 2016","4,941.25","4,971.36","4,924.23","4,971.36","1,729,050,000","4,971.36"
"Jun 1, 2016","4,928.97","4,958.98","4,923.20","4,952.25","1,797,090,000","4,952.25"
"May 31, 2016","4,938.48","4,951.45","4,923.03","4,948.05","2,285,350,000","4,948.05"
"May 27, 2016","4,904.05","4,933.50","4,902.50","4,933.50","1,505,020,000","4,933.50"
"May 26, 2016","4,897.78","4,909.38","4,887.27","4,901.77","1,606,250,000","4,901.77"
"May 25, 2016","4,877.18","4,905.45","4,872.42","4,894.89","1,784,420,000","4,894.89"
"May 24, 2016","4,792.85","4,865.99","4,792.63","4,861.06","1,942,280,000","4,861.06"
"May 23, 2016","4,771.57","4,792.64","4,763.91","4,765.78","1,865,110,000","4,765.78"
"May 20, 2016","4,729.44","4,781.70","4,729.00","4,769.56","1,970,520,000","4,769.56"
"May 19, 2016","4,717.36","4,735.27","4,678.38","4,712.53","1,805,890,000","4,712.53"
"May 18, 2016","4,705.78","4,762.28","4,704.49","4,739.12","1,934,100,000","4,739.12"
"May 17, 2016","4,768.85","4,776.15","4,703.39","4,715.73","1,925,230,000","4,715.73"
"May 16, 2016","4,728.86","4,791.25","4,724.73","4,775.46","1,741,510,000","4,775.46"
"May 13, 2016","4,731.07","4,759.29","4,708.26","4,717.68","1,698,030,000","4,717.68"
"May 12, 2016","4,778.19","4,779.46","4,710.17","4,737.33","1,930,450,000","4,737.33"
"May 11, 2016","4,799.30","4,812.19","4,760.36","4,760.69","1,859,110,000","4,760.69"
"May 10, 2016","4,768.91","4,811.30","4,758.20","4,809.88","1,760,120,000","4,809.88"
"May 9, 2016","4,736.35","4,771.94","4,735.06","4,750.21","1,625,100,000","4,750.21"
"May 6, 2016","4,695.90","4,736.16","4,684.28","4,736.16","1,860,800,000","4,736.16"
"May 5, 2016","4,742.42","4,744.55","4,709.75","4,717.09","1,888,350,000","4,717.09"
"May 4, 2016","4,735.28","4,751.64","4,713.91","4,725.64","1,950,800,000","4,725.64"
"May 3, 2016","4,780.88","4,791.43","4,749.71","4,763.22","1,984,340,000","4,763.22"
"May 2, 2016","4,786.55","4,821.57","4,768.28","4,817.59","1,880,460,000","4,817.59"
"Apr 29, 2016","4,805.79","4,807.89","4,740.84","4,775.36","2,376,460,000","4,775.36"
"Apr 28, 2016","4,857.60","4,889.16","4,796.32","4,805.29","2,161,400,000","4,805.29"
"Apr 27, 2016","4,855.38","4,872.91","4,826.38","4,863.14","1,938,780,000","4,863.14"
"Apr 26, 2016","4,903.81","4,915.00","4,875.42","4,888.28","1,825,020,000","4,888.28"
"Apr 25, 2016","4,891.48","4,904.87","4,878.37","4,895.79","1,582,270,000","4,895.79"
"Apr 22, 2016","4,898.24","4,921.66","4,872.02","4,906.23","2,018,930,000","4,906.23"
"Apr 21, 2016","4,949.12","4,966.61","4,932.64","4,945.89","1,758,190,000","4,945.89"
"Apr 20, 2016","4,941.99","4,969.32","4,928.29","4,948.13","1,781,340,000","4,948.13"
"Apr 19, 2016","4,968.30","4,968.67","4,915.52","4,940.33","1,824,250,000","4,940.33"
"Apr 18, 2016","4,919.36","4,960.79","4,915.63","4,960.02","1,672,260,000","4,960.02"
"Apr 15, 2016","4,938.83","4,950.43","4,925.46","4,938.22","1,684,790,000","4,938.22"
"Apr 14, 2016","4,947.62","4,961.30","4,931.81","4,945.89","1,645,810,000","4,945.89"
"Apr 13, 2016","4,904.79","4,951.91","4,903.60","4,947.42","1,936,450,000","4,947.42"
"Apr 12, 2016","4,838.82","4,879.60","4,808.91","4,872.09","1,759,280,000","4,872.09"
"Apr 11, 2016","4,873.39","4,897.55","4,833.40","4,833.40","1,545,540,000","4,833.40"
"Apr 8, 2016","4,883.99","4,892.60","4,835.36","4,850.69","1,588,830,000","4,850.69"
"Apr 7, 2016","4,893.57","4,901.49","4,831.49","4,848.37","1,908,940,000","4,848.37"
"Apr 6, 2016","4,849.58","4,921.51","4,849.28","4,920.72","1,761,770,000","4,920.72"
"Apr 5, 2016","4,855.90","4,872.70","4,838.62","4,843.93","1,726,010,000","4,843.93"
"Apr 4, 2016","4,911.22","4,917.75","4,885.17","4,891.80","1,705,730,000","4,891.80"
"Apr 1, 2016","4,842.55","4,917.09","4,832.06","4,914.54","1,812,250,000","4,914.54"
"Mar 31, 2016","4,869.57","4,891.30","4,864.41","4,869.85","1,774,270,000","4,869.85"
"Mar 30, 2016","4,875.46","4,899.14","4,859.35","4,869.29","1,717,820,000","4,869.29"
"Mar 29, 2016","4,756.55","4,849.31","4,749.78","4,846.62","1,806,490,000","4,846.62"
"Mar 28, 2016","4,785.25","4,787.39","4,760.01","4,766.79","1,381,000,000","4,766.79"
"Mar 24, 2016","4,743.36","4,773.50","4,734.77","4,773.50","1,590,990,000","4,773.50"
"Mar 23, 2016","4,813.87","4,816.67","4,765.37","4,768.86","1,732,630,000","4,768.86"
"Mar 22, 2016","4,783.60","4,835.60","4,781.71","4,821.66","1,596,200,000","4,821.66"
"Mar 21, 2016","4,787.31","4,814.85","4,785.38","4,808.87","1,609,230,000","4,808.87"
"Mar 18, 2016","4,784.63","4,804.58","4,772.41","4,795.65","2,829,040,000","4,795.65"
"Mar 17, 2016","4,752.62","4,788.09","4,737.97","4,774.99","1,907,190,000","4,774.99"
"Mar 16, 2016","4,717.88","4,774.78","4,716.45","4,763.97","1,781,060,000","4,763.97"
"Mar 15, 2016","4,731.14","4,735.27","4,712.07","4,728.67","1,692,420,000","4,728.67"
"Mar 14, 2016","4,733.39","4,762.27","4,731.51","4,750.28","1,615,100,000","4,750.28"
"Mar 11, 2016","4,712.38","4,748.79","4,700.91","4,748.47","1,801,790,000","4,748.47"
"Mar 10, 2016","4,691.20","4,716.14","4,607.99","4,662.16","1,936,470,000","4,662.16"
"Mar 9, 2016","4,666.42","4,676.47","4,642.42","4,674.38","1,789,550,000","4,674.38"
"Mar 8, 2016","4,676.22","4,695.04","4,642.86","4,648.82","1,993,060,000","4,648.82"
"Mar 7, 2016","4,690.88","4,731.19","4,674.82","4,708.25","2,084,390,000","4,708.25"
"Mar 4, 2016","4,715.76","4,746.65","4,687.94","4,717.02","2,171,230,000","4,717.02"
"Mar 3, 2016","4,698.38","4,707.72","4,674.46","4,707.42","1,936,290,000","4,707.42"
"Mar 2, 2016","4,683.80","4,703.58","4,665.93","4,703.42","1,912,510,000","4,703.42"
"Mar 1, 2016","4,596.01","4,689.60","4,581.75","4,689.60","2,080,150,000","4,689.60"
"Feb 29, 2016","4,585.30","4,619.90","4,557.46","4,557.95","2,065,260,000","4,557.95"
"Feb 26, 2016","4,615.14","4,618.85","4,580.78","4,590.47","1,814,920,000","4,590.47"
"Feb 25, 2016","4,554.73","4,582.20","4,516.89","4,582.20","1,667,840,000","4,582.20"
"Feb 24, 2016","4,453.93","4,547.64","4,425.72","4,542.61","1,978,180,000","4,542.61"
"Feb 23, 2016","4,550.05","4,558.06","4,500.94","4,503.58","1,777,750,000","4,503.58"
"Feb 22, 2016","4,548.31","4,576.47","4,546.55","4,570.61","1,794,020,000","4,570.61"
"Feb 19, 2016","4,464.67","4,513.15","4,455.10","4,504.43","1,903,770,000","4,504.43"
