Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",47.88,48.71,46.30,46.67,"1,020,000",46.67
"Jun 10, 2016",49.16,49.30,47.20,48.38,"1,038,800",48.38
"Jun 9, 2016",51.54,53.00,49.83,49.87,"935,100",49.87
"Jun 8, 2016",51.27,52.13,50.00,51.97,"637,000",51.97
"Jun 7, 2016",51.61,51.93,50.33,51.19,"766,400",51.19
"Jun 6, 2016",49.65,52.16,49.00,51.96,"1,204,000",51.96
"Jun 3, 2016",50.75,50.99,48.34,49.52,"1,186,000",49.52
"Jun 2, 2016",49.51,50.84,49.02,50.75,"1,184,400",50.75
"Jun 1, 2016",49.29,49.98,48.52,49.60,"947,500",49.60
"May 31, 2016",48.56,50.87,48.49,49.65,"2,224,700",49.65
"May 27, 2016",46.14,46.31,45.06,46.19,"653,600",46.19
"May 26, 2016",46.47,46.47,44.41,45.83,"1,145,200",45.83
"May 25, 2016",49.06,49.44,46.01,46.56,"1,141,000",46.56
"May 24, 2016",48.57,49.21,48.28,48.77,"971,600",48.77
"May 23, 2016",48.45,48.49,47.43,48.07,"1,341,500",48.07
"May 20, 2016",46.88,48.25,46.41,47.89,"1,108,300",47.89
"May 19, 2016",45.48,47.30,45.00,46.92,"1,173,300",46.92
"May 18, 2016",43.15,46.66,43.11,45.64,"1,575,200",45.64
"May 17, 2016",45.59,45.90,43.19,43.39,"1,225,800",43.39
"May 16, 2016",43.90,46.11,43.79,45.64,"980,800",45.64
"May 13, 2016",42.87,44.55,42.44,43.65,"762,800",43.65
"May 12, 2016",42.98,43.28,41.67,42.94,"740,800",42.94
"May 11, 2016",44.58,44.60,42.51,42.65,"637,000",42.65
"May 10, 2016",45.50,45.50,43.60,44.69,"566,400",44.69
"May 9, 2016",43.16,45.51,42.92,44.89,"768,700",44.89
"May 6, 2016",41.69,44.07,40.86,42.87,"1,126,100",42.87
"May 5, 2016",42.96,43.39,41.52,42.65,"951,700",42.65
"May 4, 2016",44.70,45.00,42.67,42.91,"959,100",42.91
"May 3, 2016",46.36,47.22,44.81,45.05,"782,900",45.05
"May 2, 2016",45.83,46.81,44.50,46.71,"789,400",46.71
"Apr 29, 2016",46.73,47.48,45.09,45.58,"701,500",45.58
"Apr 28, 2016",46.48,48.75,45.78,46.90,"1,249,200",46.90
"Apr 27, 2016",47.32,47.48,45.62,46.24,"724,600",46.24
"Apr 26, 2016",48.35,48.68,46.43,47.55,"734,600",47.55
"Apr 25, 2016",48.59,49.35,48.10,48.61,"510,000",48.61
"Apr 22, 2016",49.23,49.69,47.53,48.66,"948,000",48.66
"Apr 21, 2016",47.06,49.63,46.51,49.19,"885,200",49.19
"Apr 20, 2016",46.77,47.79,45.96,46.93,"831,100",46.93
"Apr 19, 2016",46.58,47.16,45.80,46.34,"781,400",46.34
"Apr 18, 2016",46.18,47.19,46.02,46.67,"1,109,700",46.67
"Apr 15, 2016",46.62,47.45,45.32,46.54,"1,035,400",46.54
"Apr 14, 2016",46.26,47.32,45.51,46.86,"1,206,700",46.86
"Apr 13, 2016",44.91,46.28,44.37,46.13,"692,600",46.13
"Apr 12, 2016",44.06,44.80,42.45,44.72,"972,100",44.72
"Apr 11, 2016",45.69,45.80,43.36,43.78,"956,500",43.78
"Apr 8, 2016",46.05,46.41,43.92,45.57,"908,900",45.57
"Apr 7, 2016",46.72,47.99,44.27,45.26,"1,362,800",45.26
"Apr 6, 2016",43.11,46.57,42.76,46.49,"1,349,600",46.49
"Apr 5, 2016",42.41,43.99,42.10,42.96,"902,800",42.96
"Apr 4, 2016",42.00,44.48,42.00,42.93,"1,877,600",42.93
"Apr 1, 2016",39.57,41.68,39.01,41.54,"1,180,100",41.54
"Mar 31, 2016",37.50,40.09,37.50,39.55,"2,104,500",39.55
"Mar 30, 2016",37.30,38.81,36.95,37.15,"1,096,200",37.15
"Mar 29, 2016",35.25,37.23,34.68,37.17,"1,070,500",37.17
"Mar 28, 2016",35.47,35.74,33.56,35.41,"984,400",35.41
"Mar 24, 2016",35.37,35.87,34.17,35.33,"1,209,500",35.33
"Mar 23, 2016",38.10,38.65,35.46,35.54,"1,181,000",35.54
"Mar 22, 2016",35.75,39.14,35.26,38.35,"1,099,600",38.35
"Mar 21, 2016",34.84,37.20,34.44,35.90,"1,002,400",35.90
"Mar 18, 2016",33.98,35.28,32.91,35.06,"1,786,600",35.06
"Mar 17, 2016",33.68,34.26,32.35,33.81,"1,392,900",33.81
"Mar 16, 2016",33.89,34.97,33.42,34.06,"783,100",34.06
"Mar 15, 2016",35.29,35.38,33.89,34.07,"1,104,100",34.07
"Mar 14, 2016",35.22,36.15,34.59,35.68,"698,100",35.68
"Mar 11, 2016",34.00,35.48,33.67,35.44,"848,100",35.44
"Mar 10, 2016",34.29,35.08,32.85,33.63,"872,800",33.63
"Mar 9, 2016",34.34,34.78,32.18,33.67,"1,072,300",33.67
"Mar 8, 2016",35.87,36.15,33.68,33.80,"1,113,400",33.80
"Mar 7, 2016",34.99,36.39,33.52,35.98,"1,749,200",35.98
"Mar 4, 2016",36.49,36.70,35.00,35.35,"1,504,100",35.35
"Mar 3, 2016",38.55,38.95,36.20,36.36,"1,506,500",36.36
"Mar 2, 2016",37.69,39.03,37.16,38.65,"1,225,200",38.65
"Mar 1, 2016",37.17,37.85,35.82,37.48,"1,743,700",37.48
"Feb 29, 2016",37.88,38.97,36.44,36.78,"1,148,000",36.78
"Feb 26, 2016",37.50,38.49,36.41,38.02,"769,500",38.02
"Feb 25, 2016",37.43,38.72,36.32,37.28,"636,400",37.28
"Feb 24, 2016",35.47,37.57,35.12,37.05,"832,000",37.05
"Feb 23, 2016",37.44,38.00,35.88,35.96,"744,900",35.96
"Feb 22, 2016",37.91,39.13,37.25,37.52,"902,700",37.52
"Feb 19, 2016",36.40,37.87,36.08,37.58,"717,600",37.58
"Feb 18, 2016",37.89,38.99,36.27,36.42,"868,100",36.42
"Feb 17, 2016",37.03,38.94,36.45,38.14,"1,027,700",38.14
"Feb 16, 2016",36.56,37.47,36.23,37.01,"1,274,000",37.01
"Feb 12, 2016",35.95,36.48,33.65,36.04,"1,845,200",36.04
"Feb 11, 2016",32.92,36.56,31.55,35.37,"2,335,200",35.37
"Feb 10, 2016",33.35,36.27,33.35,33.70,"2,149,400",33.70
"Feb 9, 2016",31.87,33.86,31.25,32.19,"1,205,300",32.19
"Feb 8, 2016",35.13,36.06,31.79,32.51,"2,087,100",32.51
"Feb 5, 2016",36.70,37.10,34.90,35.99,"2,307,900",35.99
"Feb 4, 2016",38.46,39.61,36.12,37.07,"2,275,300",37.07
"Feb 3, 2016",39.53,40.85,36.65,39.46,"1,716,800",39.46
"Feb 2, 2016",42.20,43.80,38.96,39.26,"1,487,100",39.26
"Feb 1, 2016",42.33,43.48,40.60,42.89,"1,247,700",42.89
"Jan 29, 2016",42.15,43.80,41.18,42.55,"1,411,200",42.55
"Jan 28, 2016",45.27,46.24,42.08,42.36,"1,215,600",42.36
"Jan 27, 2016",47.10,47.54,44.02,44.31,"871,000",44.31
"Jan 26, 2016",48.76,48.76,45.36,46.82,"976,600",46.82
"Jan 25, 2016",49.97,51.93,48.45,48.59,"913,600",48.59
"Jan 22, 2016",50.85,53.68,49.90,50.37,"1,171,900",50.37
"Jan 21, 2016",49.69,50.88,48.03,49.30,"1,059,000",49.30
"Jan 20, 2016",45.24,50.97,43.67,49.67,"1,457,400",49.67
"Jan 19, 2016",48.41,48.91,45.22,46.06,"1,635,700",46.06
"Jan 15, 2016",45.20,47.65,44.36,47.60,"7,827,900",47.60
"Jan 14, 2016",43.51,49.41,41.39,47.75,"2,575,500",47.75
"Jan 13, 2016",46.11,46.53,41.57,41.86,"1,227,200",41.86
"Jan 12, 2016",45.60,47.66,44.04,46.02,"1,119,700",46.02
"Jan 11, 2016",47.05,47.05,42.58,44.60,"1,118,800",44.60
"Jan 8, 2016",47.95,48.75,46.24,46.41,"754,600",46.41
"Jan 7, 2016",48.69,49.82,47.72,47.74,"851,100",47.74
"Jan 6, 2016",51.54,51.64,49.44,50.12,"649,800",50.12
"Jan 5, 2016",52.60,54.48,52.05,52.43,"456,200",52.43
"Jan 4, 2016",55.30,55.94,51.32,52.35,"1,352,800",52.35
"Dec 31, 2015",55.79,57.49,55.32,56.57,"1,593,300",56.57
"Dec 30, 2015",56.57,57.76,56.42,56.49,"551,500",56.49
"Dec 29, 2015",53.44,56.73,53.44,56.49,"676,300",56.49
"Dec 28, 2015",52.99,53.71,52.49,53.01,"472,800",53.01
"Dec 24, 2015",51.40,53.42,51.10,53.25,"732,400",53.25
"Dec 23, 2015",51.47,52.08,50.72,51.03,"551,000",51.03
"Dec 22, 2015",51.79,51.79,50.02,51.15,"306,000",51.15
"Dec 21, 2015",52.44,53.30,50.86,51.39,"516,800",51.39
"Dec 18, 2015",52.28,53.66,51.85,51.87,"1,474,400",51.87
"Dec 17, 2015",56.11,57.82,52.14,52.59,"1,316,500",52.59
"Dec 16, 2015",53.35,55.65,53.25,55.43,"649,900",55.43
"Dec 15, 2015",51.79,53.28,51.46,52.97,"748,000",52.97
"Dec 14, 2015",51.48,51.82,50.24,51.21,"753,700",51.21
"Dec 11, 2015",51.77,52.97,51.39,51.60,"545,400",51.60
"Dec 10, 2015",51.77,53.16,51.42,53.11,"443,900",53.11
"Dec 9, 2015",52.89,53.24,51.13,51.58,"431,100",51.58
"Dec 8, 2015",51.03,53.80,50.36,53.28,"619,000",53.28
"Dec 7, 2015",53.09,53.46,51.13,51.42,"617,000",51.42
"Dec 4, 2015",51.28,53.56,50.49,53.48,"565,900",53.48
"Dec 3, 2015",52.57,52.83,50.12,50.98,"761,000",50.98
"Dec 2, 2015",53.38,54.36,52.59,52.65,"599,300",52.65
"Dec 1, 2015",54.57,54.90,52.68,53.25,"1,100,600",53.25
"Nov 30, 2015",57.12,57.39,52.87,54.37,"1,331,900",54.37
"Nov 27, 2015",55.90,58.46,55.89,57.63,"393,000",57.63
"Nov 25, 2015",54.98,56.48,54.84,55.90,"610,400",55.90
"Nov 24, 2015",54.27,55.04,53.84,54.77,"371,200",54.77
"Nov 23, 2015",54.32,55.92,54.17,54.84,"578,100",54.84
"Nov 20, 2015",54.02,55.27,53.68,54.10,"586,200",54.10
"Nov 19, 2015",56.51,57.00,53.53,53.67,"559,100",53.67
"Nov 18, 2015",54.27,56.50,54.04,56.49,"871,400",56.49
"Nov 17, 2015",52.29,55.00,51.69,54.27,"659,600",54.27
"Nov 16, 2015",52.25,52.80,49.79,51.92,"595,900",51.92
"Nov 13, 2015",51.04,53.59,50.83,52.13,"509,700",52.13
"Nov 12, 2015",51.24,52.66,50.36,51.53,"751,000",51.53
"Nov 11, 2015",52.35,52.57,51.43,51.49,"580,600",51.49
"Nov 10, 2015",52.55,53.10,51.53,52.47,"619,800",52.47
"Nov 9, 2015",53.55,54.27,51.89,52.52,"788,500",52.52
"Nov 6, 2015",53.49,54.60,52.11,53.49,"739,000",53.49
"Nov 5, 2015",53.93,54.33,53.04,53.59,"737,900",53.59
"Nov 4, 2015",53.50,54.38,52.07,54.04,"755,700",54.04
"Nov 3, 2015",51.96,54.15,51.41,53.17,"981,500",53.17
"Nov 2, 2015",49.66,52.45,48.67,52.42,"946,300",52.42
"Oct 30, 2015",47.50,50.43,47.50,49.09,"1,209,400",49.09
"Oct 29, 2015",51.65,52.09,49.21,49.97,"951,200",49.97
"Oct 28, 2015",48.66,51.67,47.33,51.43,"1,143,700",51.43
"Oct 27, 2015",46.81,48.81,46.48,48.76,"790,900",48.76
"Oct 26, 2015",47.56,48.70,46.30,46.61,"1,243,300",46.61
"Oct 23, 2015",48.33,51.70,47.05,48.00,"1,675,500",48.00
"Oct 22, 2015",47.00,48.87,45.91,47.47,"976,500",47.47
"Oct 21, 2015",47.39,48.40,45.60,46.96,"868,900",46.96
"Oct 20, 2015",48.76,49.16,46.36,46.88,"1,179,600",46.88
"Oct 19, 2015",47.98,50.27,46.40,48.98,"843,400",48.98
"Oct 16, 2015",48.69,50.29,46.55,47.93,"1,134,000",47.93
"Oct 15, 2015",44.29,48.70,44.01,48.56,"1,417,100",48.56
"Oct 14, 2015",46.09,47.48,44.03,44.61,"1,213,300",44.61
"Oct 13, 2015",46.00,48.59,45.46,45.75,"2,218,800",45.75
"Oct 12, 2015",46.42,47.00,45.23,45.82,"1,331,200",45.82
"Oct 9, 2015",42.51,46.57,41.87,46.10,"2,322,800",46.10
"Oct 8, 2015",46.25,47.25,40.24,43.60,"7,680,200",43.60
"Oct 7, 2015",39.54,40.39,38.13,38.93,"1,409,700",38.93
"Oct 6, 2015",42.37,42.86,37.76,40.00,"1,673,300",40.00
"Oct 5, 2015",44.62,45.60,41.81,42.72,"1,005,300",42.72
"Oct 2, 2015",40.44,44.42,39.49,44.07,"1,326,500",44.07
"Oct 1, 2015",39.33,41.19,38.01,40.95,"1,200,500",40.95
"Sep 30, 2015",36.37,40.54,36.05,39.79,"1,926,000",39.79
"Sep 29, 2015",35.76,37.95,33.79,35.80,"1,682,500",35.80
"Sep 28, 2015",39.27,40.60,33.61,35.34,"2,380,000",35.34
"Sep 25, 2015",46.98,47.00,40.30,40.76,"1,454,600",40.76
"Sep 24, 2015",47.10,47.38,44.92,46.06,"879,900",46.06
"Sep 23, 2015",48.41,49.29,47.16,47.28,"898,900",47.28
"Sep 22, 2015",49.18,50.18,47.71,48.54,"1,467,500",48.54
"Sep 21, 2015",55.94,55.94,49.29,50.18,"1,224,800",50.18
"Sep 18, 2015",54.35,55.16,54.01,54.90,"1,294,500",54.90
"Sep 17, 2015",53.80,55.36,53.00,54.93,"910,700",54.93
"Sep 16, 2015",55.29,56.97,52.97,54.29,"1,717,300",54.29
"Sep 15, 2015",53.50,53.74,52.60,53.42,"634,300",53.42
"Sep 14, 2015",54.69,54.88,52.45,53.16,"780,400",53.16
"Sep 11, 2015",52.90,54.15,52.86,54.09,"865,900",54.09
"Sep 10, 2015",49.56,54.19,49.56,53.56,"1,830,100",53.56
"Sep 9, 2015",51.31,51.50,49.52,50.50,"742,500",50.50
"Sep 8, 2015",49.50,50.94,48.74,50.81,"759,600",50.81
"Sep 4, 2015",47.47,49.16,47.18,48.55,"680,400",48.55
"Sep 3, 2015",50.07,50.65,47.84,48.09,"715,300",48.09
"Sep 2, 2015",47.66,49.83,46.50,49.63,"934,800",49.63
"Sep 1, 2015",45.27,48.02,45.06,47.05,"930,100",47.05
"Aug 31, 2015",46.71,48.14,46.24,46.38,"913,400",46.38
"Aug 28, 2015",46.21,47.74,45.78,46.67,"752,800",46.67
"Aug 27, 2015",44.46,46.28,44.06,46.26,"984,000",46.26
"Aug 26, 2015",42.27,44.17,40.63,43.97,"984,700",43.97
"Aug 25, 2015",43.28,43.28,40.80,41.03,"1,011,600",41.03
"Aug 24, 2015",38.57,43.62,37.62,41.14,"1,025,100",41.14
"Aug 21, 2015",43.11,45.37,42.72,43.75,"984,500",43.75
"Aug 20, 2015",46.04,46.49,44.32,44.49,"822,800",44.49
"Aug 19, 2015",46.58,47.49,46.06,46.75,"353,000",46.75
"Aug 18, 2015",48.28,48.28,46.81,47.04,"586,600",47.04
"Aug 17, 2015",45.50,48.04,45.19,47.96,"485,400",47.96
"Aug 14, 2015",46.65,47.38,44.21,45.87,"705,500",45.87
"Aug 13, 2015",46.25,47.68,45.65,46.90,"667,700",46.90
"Aug 12, 2015",44.83,46.50,44.02,46.02,"621,000",46.02
"Aug 11, 2015",45.44,46.99,44.93,45.64,"407,300",45.64
