Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",17.30,17.34,16.76,17.00,"49,300",17.00
"Jun 10, 2016",17.62,17.69,17.25,17.48,"43,500",17.48
"Jun 9, 2016",17.93,18.23,17.54,17.76,"53,400",17.76
"Jun 8, 2016",18.22,18.36,17.92,18.00,"67,600",18.00
"Jun 7, 2016",18.95,19.10,18.20,18.33,"68,200",18.33
"Jun 6, 2016",18.07,18.83,17.49,18.83,"220,200",18.83
"Jun 3, 2016",18.56,18.72,17.91,17.92,"83,500",17.92
"Jun 2, 2016",18.52,18.72,18.22,18.50,"142,600",18.50
"Jun 1, 2016",18.53,18.90,18.25,18.49,"100,700",18.49
"May 31, 2016",18.18,18.90,18.18,18.65,"417,300",18.65
"May 27, 2016",18.25,18.64,18.03,18.52,"73,100",18.52
"May 26, 2016",17.87,18.35,17.65,18.12,"69,800",18.12
"May 25, 2016",17.76,17.87,17.68,17.87,"53,600",17.87
"May 24, 2016",16.97,17.55,16.97,17.55,"161,200",17.55
"May 23, 2016",17.07,17.55,16.86,17.20,"249,900",17.20
"May 20, 2016",17.05,17.06,16.69,17.01,"34,900",17.01
"May 19, 2016",16.70,16.89,16.34,16.83,"38,600",16.83
"May 18, 2016",17.33,17.73,16.61,16.91,"94,300",16.91
"May 17, 2016",17.40,17.54,17.25,17.40,"52,600",17.40
"May 16, 2016",17.09,17.44,16.99,17.32,"38,500",17.32
"May 13, 2016",16.67,17.03,16.67,16.92,"47,700",16.92
"May 12, 2016",17.06,17.06,16.25,16.67,"44,300",16.67
"May 11, 2016",16.99,17.13,16.56,16.77,"37,200",16.77
"May 10, 2016",17.21,17.21,16.87,16.94,"84,000",16.94
"May 9, 2016",16.34,17.48,16.34,17.13,"82,800",17.13
"May 6, 2016",16.38,16.95,16.21,16.34,"42,800",16.34
"May 5, 2016",16.75,16.97,16.48,16.52,"51,200",16.52
"May 4, 2016",16.67,17.04,16.33,16.64,"39,300",16.64
"May 3, 2016",16.87,17.35,16.71,16.92,"94,700",16.92
"May 2, 2016",17.18,17.23,16.79,17.06,"65,700",17.06
"Apr 29, 2016",16.79,17.16,16.45,17.11,"93,800",17.11
"Apr 28, 2016",17.16,17.69,16.59,16.69,"47,600",16.69
"Apr 27, 2016",17.61,17.73,16.78,17.12,"61,600",17.12
"Apr 26, 2016",17.93,18.03,17.61,17.71,"62,300",17.71
"Apr 25, 2016",18.20,18.65,17.66,17.76,"71,700",17.76
"Apr 22, 2016",18.07,18.58,17.52,18.31,"90,200",18.31
