Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",9.85,10.11,9.63,9.83,"190,700",9.83
"Jun 10, 2016",9.49,10.01,9.49,9.83,"94,900",9.83
"Jun 9, 2016",10.24,10.30,9.65,9.69,"73,600",9.69
"Jun 8, 2016",10.78,10.78,10.05,10.25,"86,700",10.25
"Jun 7, 2016",11.01,11.19,10.79,10.80,"97,900",10.80
"Jun 6, 2016",11.35,11.35,10.98,11.10,"60,100",11.10
"Jun 3, 2016",11.30,11.30,10.75,11.20,"99,600",11.20
"Jun 2, 2016",10.87,11.29,10.57,11.23,"75,800",11.23
"Jun 1, 2016",10.18,11.09,10.08,10.96,"116,000",10.96
"May 31, 2016",10.83,11.16,10.25,10.48,"105,000",10.48
"May 27, 2016",10.88,10.98,10.53,10.84,"56,100",10.84
"May 26, 2016",10.55,11.07,10.36,10.81,"120,300",10.81
"May 25, 2016",8.77,10.84,8.77,10.63,"412,800",10.63
"May 24, 2016",7.67,8.76,7.56,8.64,"146,100",8.64
"May 23, 2016",7.97,8.04,7.50,7.55,"176,400",7.55
"May 20, 2016",7.79,8.24,7.63,7.82,"156,200",7.82
"May 19, 2016",7.49,7.81,7.45,7.61,"156,400",7.61
"May 18, 2016",7.51,7.75,7.36,7.48,"139,500",7.48
"May 17, 2016",7.70,7.80,7.15,7.49,"102,700",7.49
"May 16, 2016",8.32,8.32,7.52,7.70,"130,400",7.70
"May 13, 2016",7.60,7.83,7.27,7.77,"98,900",7.77
"May 12, 2016",7.93,8.12,7.42,7.63,"140,400",7.63
"May 11, 2016",8.29,8.31,7.79,7.84,"114,700",7.84
"May 10, 2016",8.32,8.35,8.00,8.28,"151,300",8.28
"May 9, 2016",8.25,8.41,8.00,8.20,"83,000",8.20
"May 6, 2016",8.38,8.53,8.02,8.17,"84,300",8.17
"May 5, 2016",8.56,8.76,8.26,8.48,"118,300",8.48
"May 4, 2016",9.18,9.18,8.56,8.82,"77,200",8.82
"May 3, 2016",8.93,9.26,8.92,9.01,"34,800",9.01
"May 2, 2016",9.18,9.34,8.79,9.29,"54,400",9.29
"Apr 29, 2016",9.35,9.40,8.92,9.07,"39,500",9.07
"Apr 28, 2016",9.29,9.68,8.96,9.33,"97,600",9.33
"Apr 27, 2016",9.45,9.57,9.06,9.29,"59,800",9.29
"Apr 26, 2016",9.79,9.79,9.16,9.51,"65,100",9.51
"Apr 25, 2016",10.11,10.19,9.61,9.75,"55,600",9.75
"Apr 22, 2016",10.08,10.40,9.93,10.11,"69,500",10.11
"Apr 21, 2016",9.79,10.13,9.64,10.11,"43,800",10.11
"Apr 20, 2016",9.95,10.28,9.64,9.84,"52,200",9.84
"Apr 19, 2016",10.28,10.73,9.89,9.94,"72,700",9.94
"Apr 18, 2016",10.13,10.31,9.82,10.20,"49,600",10.20
"Apr 15, 2016",10.32,10.42,9.57,10.04,"101,800",10.04
"Apr 14, 2016",10.36,10.53,10.04,10.30,"145,300",10.30
"Apr 13, 2016",10.45,10.78,9.95,10.29,"104,400",10.29
"Apr 12, 2016",10.45,10.65,10.06,10.40,"91,100",10.40
"Apr 11, 2016",10.56,10.75,10.33,10.47,"94,500",10.47
"Apr 8, 2016",10.54,10.54,10.09,10.43,"55,300",10.43
"Apr 7, 2016",11.27,11.27,10.29,10.34,"51,300",10.34
"Apr 6, 2016",10.13,10.98,10.13,10.65,"97,700",10.65
"Apr 5, 2016",10.74,11.31,10.14,10.19,"75,900",10.19
"Apr 4, 2016",10.55,11.40,10.46,10.84,"81,300",10.84
"Apr 1, 2016",10.75,11.05,10.42,10.74,"60,600",10.74
"Mar 31, 2016",10.15,10.96,10.09,10.79,"100,500",10.79
"Mar 30, 2016",10.69,10.90,10.00,10.22,"95,500",10.22
"Mar 29, 2016",9.94,10.70,9.72,10.68,"51,200",10.68
