Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",6.64,6.84,6.34,6.46,"230,800",6.46
"Jun 10, 2016",6.96,7.02,6.65,6.70,"315,600",6.70
"Jun 9, 2016",7.43,7.54,6.99,7.07,"187,600",7.07
"Jun 8, 2016",7.60,7.60,7.36,7.48,"181,100",7.48
"Jun 7, 2016",7.70,7.72,7.38,7.63,"250,900",7.63
"Jun 6, 2016",7.72,7.85,7.44,7.76,"191,000",7.76
"Jun 3, 2016",7.85,7.88,7.39,7.73,"319,600",7.73
"Jun 2, 2016",7.65,8.13,7.60,7.87,"504,400",7.87
"Jun 1, 2016",7.58,7.97,7.40,7.81,"390,900",7.81
"May 31, 2016",7.49,7.84,7.35,7.62,"626,500",7.62
"May 27, 2016",7.21,7.45,7.11,7.40,"480,100",7.40
"May 26, 2016",7.39,7.41,7.11,7.16,"504,400",7.16
"May 25, 2016",7.28,7.62,7.16,7.41,"413,600",7.41
"May 24, 2016",6.75,7.26,6.40,7.24,"416,700",7.24
"May 23, 2016",6.02,6.77,5.89,6.61,"448,100",6.61
"May 20, 2016",5.77,6.23,5.53,6.05,"781,300",6.05
"May 19, 2016",6.61,6.75,5.43,5.77,"1,100,600",5.77
"May 18, 2016",6.73,6.94,6.66,6.75,"313,100",6.75
"May 17, 2016",6.78,7.00,6.65,6.79,"413,700",6.79
"May 16, 2016",6.74,6.92,6.60,6.79,"395,100",6.79
"May 13, 2016",6.78,6.95,6.51,6.67,"440,200",6.67
"May 12, 2016",7.85,7.85,6.29,6.77,"716,900",6.77
"May 11, 2016",8.17,8.32,7.73,7.75,"186,900",7.75
"May 10, 2016",8.41,8.48,7.92,8.16,"140,800",8.16
"May 9, 2016",8.04,8.52,7.92,8.39,"125,800",8.39
"May 6, 2016",7.44,8.10,7.40,8.00,"223,500",8.00
"May 5, 2016",7.86,7.88,7.36,7.55,"187,900",7.55
"May 4, 2016",8.01,8.16,7.71,7.81,"318,100",7.81
"May 3, 2016",8.34,8.42,8.06,8.14,"157,800",8.14
"May 2, 2016",8.33,8.43,7.84,8.40,"236,000",8.40
"Apr 29, 2016",8.60,8.67,8.16,8.29,"215,900",8.29
"Apr 28, 2016",8.70,9.01,8.54,8.59,"425,400",8.59
"Apr 27, 2016",9.43,9.45,8.63,8.73,"450,600",8.73
"Apr 26, 2016",9.63,9.63,9.12,9.49,"272,300",9.49
"Apr 25, 2016",9.80,10.09,9.48,9.70,"191,700",9.70
"Apr 22, 2016",9.69,10.00,9.47,9.78,"226,600",9.78
"Apr 21, 2016",9.37,9.94,9.29,9.74,"324,600",9.74
"Apr 20, 2016",9.30,9.62,9.09,9.37,"178,400",9.37
"Apr 19, 2016",9.73,10.26,8.82,9.28,"459,700",9.28
"Apr 18, 2016",9.86,9.96,9.55,9.80,"326,100",9.80
"Apr 15, 2016",9.98,10.04,9.40,9.82,"336,800",9.82
"Apr 14, 2016",9.16,10.09,9.16,10.04,"391,200",10.04
"Apr 13, 2016",9.05,9.39,8.93,9.29,"265,900",9.29
"Apr 12, 2016",8.63,9.11,8.52,8.99,"126,300",8.99
"Apr 11, 2016",8.84,9.04,8.56,8.75,"180,000",8.75
"Apr 8, 2016",9.72,9.72,8.60,8.93,"372,400",8.93
"Apr 7, 2016",9.40,9.85,9.22,9.53,"366,800",9.53
"Apr 6, 2016",8.72,9.59,8.71,9.56,"593,400",9.56
"Apr 5, 2016",9.58,9.70,8.66,8.70,"386,600",8.70
"Apr 4, 2016",8.60,9.89,8.53,9.72,"611,000",9.72
"Apr 1, 2016",8.12,8.65,7.99,8.63,"439,600",8.63
"Mar 31, 2016",8.00,8.61,8.00,8.22,"275,400",8.22
"Mar 30, 2016",8.42,8.89,8.09,8.21,"282,600",8.21
"Mar 29, 2016",8.31,8.55,7.89,8.50,"396,800",8.50
"Mar 28, 2016",8.14,8.78,7.86,8.61,"210,800",8.61
"Mar 24, 2016",8.35,8.45,7.79,8.10,"474,800",8.10
"Mar 23, 2016",8.60,8.99,8.35,8.60,"442,500",8.60
"Mar 22, 2016",8.02,8.68,8.00,8.67,"394,000",8.67
"Mar 21, 2016",7.20,8.18,7.10,8.05,"423,200",8.05
"Mar 18, 2016",7.24,7.45,6.91,7.27,"940,000",7.27
"Mar 17, 2016",7.57,7.61,7.17,7.22,"438,900",7.22
"Mar 16, 2016",7.60,7.92,7.37,7.55,"306,100",7.55
"Mar 15, 2016",8.19,8.27,7.53,7.70,"302,300",7.70
"Mar 14, 2016",8.20,8.63,8.11,8.37,"380,700",8.37
"Mar 11, 2016",7.99,8.75,7.58,8.17,"711,200",8.17
"Mar 10, 2016",9.00,9.29,8.21,8.45,"273,300",8.45
"Mar 9, 2016",9.21,9.21,8.36,8.94,"222,600",8.94
"Mar 8, 2016",9.61,9.75,8.78,9.15,"326,900",9.15
"Mar 7, 2016",8.96,10.30,8.77,9.61,"871,500",9.61
"Mar 4, 2016",7.59,9.05,7.45,8.87,"643,300",8.87
"Mar 3, 2016",7.89,7.92,7.38,7.60,"297,900",7.60
"Mar 2, 2016",7.12,7.94,7.10,7.81,"536,900",7.81
"Mar 1, 2016",6.95,7.45,6.74,7.13,"447,000",7.13
"Feb 29, 2016",7.40,7.62,6.82,6.88,"272,000",6.88
"Feb 26, 2016",7.28,7.51,7.08,7.41,"210,100",7.41
"Feb 25, 2016",7.41,7.46,7.02,7.16,"202,000",7.16
"Feb 24, 2016",7.26,7.54,7.05,7.47,"218,300",7.47
"Feb 23, 2016",7.71,7.76,7.25,7.35,"231,700",7.35
"Feb 22, 2016",8.32,8.38,7.70,7.84,"309,200",7.84
"Feb 19, 2016",7.45,8.49,7.09,8.14,"454,200",8.14
