Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",15.68,15.76,14.87,14.98,"1,104,400",14.98
"Jun 10, 2016",16.04,16.09,15.69,15.80,"897,300",15.80
"Jun 9, 2016",15.88,16.34,15.88,16.28,"1,252,200",16.28
"Jun 8, 2016",16.09,16.26,15.67,16.01,"1,382,400",16.01
"Jun 7, 2016",16.19,16.27,16.01,16.01,"666,900",16.01
"Jun 6, 2016",15.83,16.30,15.50,16.25,"858,800",16.25
"Jun 3, 2016",15.91,15.92,15.57,15.84,"900,600",15.84
"Jun 2, 2016",15.48,15.99,14.76,15.96,"1,070,300",15.96
"Jun 1, 2016",15.35,15.70,15.23,15.53,"1,185,700",15.53
"May 31, 2016",15.27,15.56,15.20,15.44,"764,900",15.44
"May 27, 2016",14.96,15.29,14.87,15.17,"810,500",15.17
"May 26, 2016",14.79,14.91,14.56,14.90,"700,300",14.90
"May 25, 2016",14.63,14.85,14.45,14.80,"1,015,700",14.80
"May 24, 2016",14.21,14.59,13.89,14.54,"897,600",14.54
"May 23, 2016",13.81,14.20,13.74,14.07,"843,100",14.07
"May 20, 2016",13.50,13.96,13.28,13.84,"844,000",13.84
"May 19, 2016",13.57,13.78,13.17,13.39,"638,400",13.39
"May 18, 2016",13.30,13.84,13.23,13.65,"628,700",13.65
"May 17, 2016",13.87,13.99,13.27,13.35,"988,500",13.35
"May 16, 2016",13.41,13.99,12.82,13.91,"891,600",13.91
"May 13, 2016",13.05,13.39,13.05,13.32,"536,600",13.32
"May 12, 2016",13.37,13.49,12.87,13.09,"622,300",13.09
"May 11, 2016",13.69,13.82,13.27,13.29,"549,800",13.29
"May 10, 2016",13.65,13.73,13.41,13.71,"643,400",13.71
"May 9, 2016",13.46,13.74,13.26,13.58,"827,500",13.58
"May 6, 2016",13.53,13.73,12.99,13.38,"1,160,200",13.38
"May 5, 2016",14.19,14.27,13.56,13.65,"771,600",13.65
"May 4, 2016",15.21,15.36,13.60,14.02,"2,940,600",14.02
"May 3, 2016",15.85,16.14,15.48,15.59,"942,300",15.59
"May 2, 2016",15.84,15.99,15.44,15.98,"915,700",15.98
"Apr 29, 2016",16.04,16.13,15.49,15.68,"934,900",15.68
"Apr 28, 2016",16.18,16.45,16.02,16.14,"972,000",16.14
"Apr 27, 2016",16.15,16.41,16.04,16.24,"976,300",16.24
"Apr 26, 2016",16.20,16.38,15.83,16.14,"593,100",16.14
"Apr 25, 2016",16.11,16.43,16.04,16.20,"956,600",16.20
"Apr 22, 2016",15.77,16.34,15.68,16.22,"1,000,900",16.22
"Apr 21, 2016",15.37,15.79,15.28,15.77,"907,500",15.77
"Apr 20, 2016",15.60,15.81,15.30,15.37,"804,100",15.37
"Apr 19, 2016",15.72,15.94,15.36,15.56,"931,900",15.56
"Apr 18, 2016",15.15,15.87,15.08,15.75,"944,100",15.75
"Apr 15, 2016",15.11,15.31,14.91,15.14,"1,069,500",15.14
"Apr 14, 2016",15.28,15.31,14.81,15.19,"812,600",15.19
"Apr 13, 2016",14.88,15.32,14.54,15.27,"1,260,400",15.27
"Apr 12, 2016",15.20,15.40,14.53,14.85,"1,310,800",14.85
"Apr 11, 2016",15.52,15.67,15.25,15.29,"1,431,700",15.29
"Apr 8, 2016",15.38,15.59,15.00,15.48,"1,124,500",15.48
"Apr 7, 2016",15.22,15.85,15.04,15.15,"1,977,500",15.15
"Apr 6, 2016",14.41,15.52,14.41,15.32,"1,605,100",15.32
"Apr 5, 2016",14.16,14.57,14.11,14.37,"913,200",14.37
"Apr 4, 2016",14.49,15.01,14.24,14.26,"1,247,000",14.26
"Apr 1, 2016",13.63,14.54,13.50,14.44,"1,564,400",14.44
"Mar 31, 2016",13.65,14.00,13.37,13.75,"1,204,000",13.75
"Mar 30, 2016",13.43,13.71,13.38,13.57,"1,037,000",13.57
"Mar 29, 2016",12.57,13.35,12.49,13.35,"955,000",13.35
"Mar 28, 2016",12.78,12.88,12.43,12.62,"696,800",12.62
"Mar 24, 2016",12.49,12.99,12.32,12.71,"689,700",12.71
