Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",11.11,11.33,10.32,10.35,"703,300",10.35
"Jun 10, 2016",11.46,11.92,11.16,11.29,"468,200",11.29
"Jun 9, 2016",12.36,12.65,11.59,11.68,"631,000",11.68
"Jun 8, 2016",11.68,12.51,11.48,12.30,"593,000",12.30
"Jun 7, 2016",12.05,12.30,11.59,11.63,"618,300",11.63
"Jun 6, 2016",11.83,12.34,11.23,12.24,"527,900",12.24
"Jun 3, 2016",12.45,12.45,11.43,11.51,"633,800",11.51
"Jun 2, 2016",12.06,12.54,12.02,12.52,"458,400",12.52
"Jun 1, 2016",11.69,12.29,11.54,12.12,"454,700",12.12
"May 31, 2016",11.32,11.88,11.17,11.73,"413,400",11.73
"May 27, 2016",10.90,11.25,10.72,11.17,"320,000",11.17
"May 26, 2016",10.96,11.40,10.84,10.89,"526,500",10.89
"May 25, 2016",10.78,11.55,10.78,10.99,"549,900",10.99
"May 24, 2016",10.73,10.87,10.42,10.72,"442,800",10.72
"May 23, 2016",10.22,11.00,9.99,10.58,"566,800",10.58
"May 20, 2016",9.95,10.30,9.89,10.22,"511,600",10.22
"May 19, 2016",10.19,10.50,9.76,9.86,"474,100",9.86
"May 18, 2016",10.15,10.60,10.09,10.25,"399,700",10.25
"May 17, 2016",10.12,10.84,9.95,10.24,"671,200",10.24
"May 16, 2016",10.00,10.39,9.71,10.15,"555,200",10.15
"May 13, 2016",9.53,10.53,9.41,9.99,"761,800",9.99
"May 12, 2016",10.52,10.60,9.23,9.71,"1,963,700",9.71
"May 11, 2016",10.85,11.27,10.47,10.60,"1,409,800",10.60
"May 10, 2016",10.81,12.50,10.50,11.45,"7,062,900",11.45
"May 9, 2016",15.73,16.75,15.68,16.50,"546,600",16.50
"May 6, 2016",15.75,16.07,15.15,15.55,"451,500",15.55
"May 5, 2016",16.16,16.46,15.28,15.75,"851,800",15.75
"May 4, 2016",17.03,17.39,16.08,16.14,"576,300",16.14
"May 3, 2016",17.30,18.01,16.86,16.92,"685,400",16.92
"May 2, 2016",16.74,17.73,16.09,17.61,"836,000",17.61
"Apr 29, 2016",16.50,17.83,16.18,16.21,"1,813,600",16.21
"Apr 28, 2016",16.25,16.94,15.77,15.88,"623,500",15.88
"Apr 27, 2016",16.63,16.92,15.95,16.26,"484,500",16.26
"Apr 26, 2016",17.71,17.76,16.35,16.75,"626,300",16.75
"Apr 25, 2016",17.65,18.11,17.55,17.80,"503,700",17.80
"Apr 22, 2016",18.24,18.24,17.50,17.72,"646,400",17.72
"Apr 21, 2016",17.50,18.39,17.43,18.12,"357,900",18.12
"Apr 20, 2016",18.05,18.30,17.31,17.65,"381,800",17.65
"Apr 19, 2016",19.14,19.30,17.65,17.88,"655,100",17.88
"Apr 18, 2016",18.92,19.33,18.62,19.15,"398,400",19.15
"Apr 15, 2016",19.15,19.49,18.78,19.01,"388,300",19.01
"Apr 14, 2016",19.01,19.33,18.59,19.19,"306,200",19.19
"Apr 13, 2016",18.68,19.15,18.26,18.89,"408,500",18.89
"Apr 12, 2016",18.15,18.66,17.75,18.57,"497,600",18.57
"Apr 11, 2016",18.79,19.35,18.20,18.26,"345,100",18.26
"Apr 8, 2016",19.75,19.94,18.42,18.76,"399,000",18.76
"Apr 7, 2016",19.11,20.21,18.72,19.39,"525,200",19.39
"Apr 6, 2016",18.71,19.50,18.21,19.36,"927,700",19.36
"Apr 5, 2016",18.57,19.11,18.35,18.62,"446,400",18.62
"Apr 4, 2016",18.46,19.14,18.15,18.66,"457,600",18.66
"Apr 1, 2016",18.07,18.80,17.75,18.39,"488,400",18.39
"Mar 31, 2016",17.30,18.40,17.15,18.20,"669,700",18.20
"Mar 30, 2016",17.37,18.30,16.82,17.16,"460,300",17.16
"Mar 29, 2016",16.47,17.43,15.68,17.37,"453,700",17.37
"Mar 28, 2016",17.50,17.53,16.19,16.66,"527,100",16.66
"Mar 24, 2016",17.21,18.50,16.80,17.59,"376,400",17.59
"Mar 23, 2016",19.23,19.25,17.28,17.34,"648,900",17.34
"Mar 22, 2016",17.93,19.17,17.93,18.72,"568,300",18.72
"Mar 21, 2016",17.90,18.90,17.75,18.10,"582,500",18.10
"Mar 18, 2016",17.18,18.28,16.89,17.96,"1,068,900",17.96
"Mar 17, 2016",16.52,17.63,15.90,17.18,"720,500",17.18
"Mar 16, 2016",17.40,17.84,16.44,16.51,"699,400",16.51
"Mar 15, 2016",18.92,19.47,17.14,17.33,"843,500",17.33
"Mar 14, 2016",18.31,19.55,18.01,19.23,"735,800",19.23
"Mar 11, 2016",17.50,18.49,17.32,18.43,"687,400",18.43
"Mar 10, 2016",18.21,18.81,16.75,17.17,"990,100",17.17
"Mar 9, 2016",17.64,18.27,17.25,17.91,"791,700",17.91
"Mar 8, 2016",18.86,19.11,17.48,17.54,"936,300",17.54
"Mar 7, 2016",18.11,19.25,17.71,18.89,"1,036,400",18.89
"Mar 4, 2016",18.53,19.01,18.04,18.18,"669,500",18.18
"Mar 3, 2016",19.79,20.13,18.30,18.54,"814,600",18.54
"Mar 2, 2016",19.55,20.58,19.35,19.90,"1,311,300",19.90
"Mar 1, 2016",21.35,21.42,19.16,19.69,"1,519,700",19.69
"Feb 29, 2016",21.98,23.80,21.00,21.04,"685,600",21.04
"Feb 26, 2016",21.28,21.99,20.80,21.63,"596,300",21.63
"Feb 25, 2016",22.64,22.78,21.06,21.25,"561,100",21.25
"Feb 24, 2016",21.35,22.54,20.47,22.46,"712,100",22.46
"Feb 23, 2016",22.58,23.15,20.93,21.35,"622,700",21.35
"Feb 22, 2016",22.44,23.44,22.20,22.93,"567,800",22.93
"Feb 19, 2016",20.87,22.68,20.62,22.32,"629,800",22.32
"Feb 18, 2016",23.03,23.45,20.67,20.80,"629,000",20.80
"Feb 17, 2016",21.96,24.10,21.48,22.68,"680,300",22.68
"Feb 16, 2016",19.76,22.44,19.76,22.19,"378,300",22.19
"Feb 12, 2016",20.67,21.46,19.80,21.05,"495,000",21.05
"Feb 11, 2016",20.80,21.32,19.89,20.54,"743,200",20.54
"Feb 10, 2016",20.85,22.70,19.75,21.36,"584,200",21.36
"Feb 9, 2016",20.75,21.61,19.80,20.57,"577,700",20.57
"Feb 8, 2016",23.05,23.19,20.85,20.86,"569,400",20.86
"Feb 5, 2016",25.14,26.49,22.89,23.23,"509,700",23.23
"Feb 4, 2016",24.04,27.08,24.04,25.45,"431,500",25.45
"Feb 3, 2016",25.88,25.95,23.05,24.83,"612,200",24.83
"Feb 2, 2016",24.28,26.20,23.76,25.70,"640,300",25.70
"Feb 1, 2016",23.91,25.00,22.94,24.42,"582,600",24.42
"Jan 29, 2016",24.60,25.24,23.46,24.36,"366,400",24.36
"Jan 28, 2016",25.01,25.86,23.48,23.99,"520,100",23.99
"Jan 27, 2016",26.26,27.13,25.05,25.26,"429,700",25.26
"Jan 26, 2016",27.44,27.90,25.45,26.38,"406,600",26.38
"Jan 25, 2016",27.12,28.48,26.93,27.47,"506,800",27.47
"Jan 22, 2016",27.88,29.01,26.70,27.12,"488,900",27.12
"Jan 21, 2016",28.16,29.12,27.07,27.16,"270,100",27.16
"Jan 20, 2016",25.00,28.83,24.51,28.20,"586,600",28.20
"Jan 19, 2016",26.00,27.48,24.78,25.71,"978,300",25.71
"Jan 15, 2016",26.30,26.48,24.59,25.61,"614,500",25.61
"Jan 14, 2016",25.91,28.50,24.49,27.28,"609,100",27.28
"Jan 13, 2016",28.58,29.00,25.53,25.80,"679,000",25.80
"Jan 12, 2016",27.76,29.79,26.30,28.12,"603,400",28.12
"Jan 11, 2016",30.87,31.04,26.65,27.56,"604,200",27.56
"Jan 8, 2016",30.69,31.80,29.89,30.57,"365,500",30.57
"Jan 7, 2016",31.76,31.76,29.68,29.72,"663,200",29.72
"Jan 6, 2016",33.91,34.14,31.86,32.21,"460,200",32.21
"Jan 5, 2016",34.75,35.84,33.65,34.34,"563,000",34.34
"Jan 4, 2016",35.81,35.86,33.88,34.73,"571,600",34.73
"Dec 31, 2015",36.18,37.33,35.65,36.39,"359,000",36.39
"Dec 30, 2015",37.34,37.65,36.54,36.59,"354,300",36.59
"Dec 29, 2015",36.43,37.49,35.48,37.24,"294,600",37.24
"Dec 28, 2015",36.52,36.92,35.15,36.17,"305,900",36.17
"Dec 24, 2015",36.64,37.57,36.44,36.91,"163,700",36.91
"Dec 23, 2015",36.30,37.34,36.22,37.01,"323,000",37.01
"Dec 22, 2015",36.58,36.58,34.83,35.52,"277,600",35.52
"Dec 21, 2015",35.49,36.69,35.00,36.51,"315,800",36.51
"Dec 18, 2015",35.28,36.70,35.02,35.33,"735,800",35.33
"Dec 17, 2015",37.64,37.64,35.02,35.42,"286,800",35.42
"Dec 16, 2015",34.99,36.56,34.53,36.47,"441,000",36.47
"Dec 15, 2015",33.20,35.28,33.20,34.75,"471,200",34.75
"Dec 14, 2015",32.99,33.87,31.56,32.73,"363,900",32.73
"Dec 11, 2015",34.75,35.32,32.71,32.81,"471,100",32.81
"Dec 10, 2015",33.53,35.67,33.29,35.52,"356,900",35.52
"Dec 9, 2015",34.29,34.95,32.88,33.68,"329,500",33.68
"Dec 8, 2015",32.59,34.90,32.50,34.65,"434,700",34.65
"Dec 7, 2015",35.53,35.62,32.92,32.99,"454,600",32.99
"Dec 4, 2015",34.85,35.97,33.94,35.88,"327,700",35.88
"Dec 3, 2015",38.25,38.73,34.60,34.62,"926,700",34.62
"Dec 2, 2015",37.88,38.72,37.19,37.97,"398,900",37.97
"Dec 1, 2015",36.68,38.92,35.55,37.99,"553,800",37.99
